sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
AS237	2010	2010-06-23	7	0	6.8			2.8	2.0	5.4																		3000.0																									
AS237	2010	2010-06-23	12	0	5.6			2.8	2.0	4.0																		3000.0																									
AS237	2010	2010-06-23	11	0					2.0	5.8																		3000.0																									
AS237	2010	2010-06-23	9	0	6.2			3.0	2.0	5.6																		3000.0																									
AS237	2010	2010-06-23	10	0	5.8			2.8	2.0	5.0																		3000.0																									
AS237	2010	2010-06-23	8	0					2.0	6.2																		3000.0																									
AS237	2010	2010-06-24	6	0	6.2			2.9	2.0	5.5																		3000.0																									
AS237	2010	2010-06-24	7	0	6.0			2.9	2.0	4.0																		3000.0																									
AS237	2010	2010-06-24	8	0	6.0			2.8	2.0	4.5																		3000.0																									
AS237	2010	2010-06-24	9	0					2.0	8.0																		3000.0																									
AS237	2010	2010-06-24	11	0	5.5			2.6	2.0	4.0																		3000.0																									
AS237	2010	2010-06-24	4	0	6.4			3.3	2.0	4.0																		3000.0																									
AS237	2010	2010-06-24	5	0	6.5			2.8	2.0	4.7																		3000.0																									
AS237	2010	2010-06-24	12	0	5.7			2.8	2.0																			3000.0																									
AS237	2010	2010-06-25	4	0	5.8			2.5	2.0	3.6																		3000.0																									
AS237	2010	2010-06-25	9	0	5.6			2.7	2.0	4.0																		3000.0																									
AS237	2010	2010-06-25	8	0	5.8			2.6	2.0	4.2																		3000.0																									
AS237	2010	2010-06-25	11	0	5.4			3.0	2.0	3.7																		3000.0																									
AS237	2010	2010-06-25	5	0	6.6			2.8	2.0	4.0																		3000.0																									
AS237	2010	2010-06-25	10	0					2.0	4.8																		3000.0																									
AS237	2010	2010-06-25	6	0	6.2			3.3	2.0	7.2																		3000.0																									
AS237	2010	2010-06-25	7	0	6.0			2.6	2.0	4.2																		3000.0																									
AS237	2010	2010-06-25	12	0	6.2			3.1	2.0	3.5																		3000.0																									
AS237	2010	2010-06-26	8	0	5.2			2.5	2.0	4.2																		3000.0																									
AS237	2010	2010-06-26	10	0	7.4			2.8	2.0	8.0																		3000.0																									
AS237	2010	2010-06-26	9	0	7.0			2.7	2.0	4.0																		3000.0																									
AS237	2010	2010-06-26	11	0	6.8			2.8	2.0	4.5																		3000.0																									
AS237	2010	2010-06-26	12	0	6.5			3.1	2.0	4.0																		3000.0																									
AS237	2010	2010-06-26	7	0	5.8			2.7	2.0	4.2																		3000.0																									
