sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
CB53N	2007	2007-02-10	7	3	5.931	3.625	3.542	21.01	1.78	3.565			2.682	5.825	227.6	239.6	100.4	101.6										3000.0																								2.682	
CB53N	2007	2007-02-10	10	3	4.39				1.7	15.015				4.345	209.6			101.6										3000.0																								1.7	
CB53N	2007	2007-02-10	20	3	4.852	3.865	3.4410000000000003	16.694000000000006	1.38	1.885				4.605	218.0	270.8		114.8										3000.0																								1.81	
CB53N	2007	2007-02-10	10	0					2.525	9.46								105.0										3000.0																									
CB53N	2007	2007-02-10	13	3	3.528		3.082	10.874	1.72	3.21				3.875	242.0			105.2										3000.0																								1.72	
CB53N	2007	2007-02-10	8	3	5.33			18.659	1.66	3.565				5.33	238.4		106.4	101.6										3000.0																								3.565	
CB53N	2007	2007-02-10	20	0	3.895		3.472	13.525	1.91					3.82	228.0													3000.0																								1.91	
CB53N	2007	2007-02-10	5	3	6.7010000000000005	3.861	3.267	21.896	2.83	3.565			3.224	6.71	203.6	279.2	111.2	117.2										3000.0																								3.224	
CB53N	2007	2007-02-10	12	3	4.092		2.952	12.078	1.7	3.295				3.975	242.0			96.8										3000.0																								1.7	
CB53N	2007	2007-02-10	2	0	6.02				1.94	6.14				6.02				96.0										3000.0																									
CB53N	2007	2007-02-10	13	0	4.18				2.245					4.18	264.0													3000.0																								2.245	
CB53N	2007	2007-02-10	6	0	6.26	4.044	3.283	21.551	2.315				2.978	6.26	207.0	270.0	111.0											3000.0																								2.978	
CB53N	2007	2007-02-10	14	3	3.73		2.934	10.942	1.78	3.62				3.695	306.8			96.8										3000.0																								1.825	
CB53N	2007	2007-02-10	15	3	3.795		2.781	12.038	1.66	8.4				3.795	297.2			118.4										3000.0																								1.66	
CB53N	2007	2007-02-10	4	0	6.134	4.349	3.09	18.957	2.455	4.7			2.99	6.1		315.0	105.0	102.0										3000.0																								4.06	
CB53N	2007	2007-02-10	19	0	4.162		2.8160000000000003	11.722	1.7					4.06	285.0													3000.0																								1.7	
CB53N	2007	2007-02-10	18	3	2.943		3.059	9.004	1.72	2.695				3.675	266.0			95.6										3000.0																								1.72	
CB53N	2007	2007-02-10	0	3	5.92			17.833	1.765	5.11				5.92	321.2		90.8	96.8										3000.0																								4.955	
CB53N	2007	2007-02-10	7	0	6.081	3.71	3.428	20.844	2.0	4.06				5.9	252.0	252.0		111.0										3000.0																								3.42	
CB53N	2007	2007-02-10	17	3					1.72	4.7								112.4										3000.0																									
CB53N	2007	2007-02-10	11	0	4.79				2.49	3.26				4.34	261.0			120.0										3000.0																								2.49	
CB53N	2007	2007-02-10	3	3	5.385		2.958	16.305999999999994	1.81	7.22				5.385	366.8			108.8										3000.0																								1.81	
CB53N	2007	2007-02-10	23	0					1.76	4.34			2.9360000000000004				102.0	114.0										3000.0																									
CB53N	2007	2007-02-10	9	0					2.245	5.1								108.0										3000.0																									
CB53N	2007	2007-02-10	17	0					2.42	4.22								99.0										3000.0																									
CB53N	2007	2007-02-10	23	3	4.907				1.72	4.39			3.137	4.955			94.4	106.4										3000.0																								3.755	
CB53N	2007	2007-02-10	0	0					1.85	5.7			4.1389999999999985				102.0	102.0										3000.0																									
CB53N	2007	2007-02-10	5	0	6.971		3.099	21.605	3.22					6.62	288.0													3000.0																								3.22	
CB53N	2007	2007-02-10	16	3	4.63		4.269	19.767	1.72	6.815				4.53	195.2			95.6										3000.0																								1.72	
CB53N	2007	2007-02-10	1	0	5.729	4.426	3.039	17.412	2.0	5.3				5.7	195.0	342.0		102.0										3000.0																								2.0	
CB53N	2007	2007-02-10	15	0					1.73	7.02								123.0										3000.0																									
CB53N	2007	2007-02-10	21	0	4.272	3.35	3.395	14.502	1.79	2.56			2.2030000000000003	4.22	219.0	279.0	111.0	129.0										3000.0																								2.56	
CB53N	2007	2007-02-10	12	0	4.26				1.79					4.26	279.0													3000.0																								1.79	
CB53N	2007	2007-02-10	21	3	4.355		3.402	14.819	1.6	2.695				4.85	207.2			102.8										3000.0																								2.41	
CB53N	2007	2007-02-10	11	3	3.942		3.232	12.74	1.7	8.1				3.875	234.8			119.6										3000.0																								1.7	
CB53N	2007	2007-02-10	22	3					1.66	3.345			2.802				95.6	108.8										3000.0																								3.33	
CB53N	2007	2007-02-10	22	0					1.79	3.34								105.0										3000.0																									
CB53N	2007	2007-02-10	2	3	5.95		3.276	19.795	1.81	5.98				5.95	296.0			88.4										3000.0																								4.53	
CB53N	2007	2007-02-10	14	0	4.606				1.76	3.115				4.22	309.0			105.0										3000.0																								2.0	
CB53N	2007	2007-02-10	18	0	3.165				1.7	3.185				3.9	273.0			102.0										3000.0																								1.79	
CB53N	2007	2007-02-10	19	3	2.904		3.239	9.408	1.81	11.56				3.045	246.8			89.6										3000.0																								1.81	
CB53N	2007	2007-02-10	16	0	3.7				1.73	6.98				3.7	372.0			99.0										3000.0																								2.945	
CB53N	2007	2007-02-10	4	3	6.018	4.525	3.177	19.117	2.065	4.06			3.127	6.045	244.4	310.4	98.0	86.0										3000.0																								3.895	
CB53N	2007	2007-02-10	9	3	5.113		3.69	18.869	1.6	8.49				5.11	214.4			108.8										3000.0																								1.6	
CB53N	2007	2007-02-10	1	3	5.83	4.455	3.0410000000000004	17.729	1.81	4.75			2.51	5.675	226.4	333.2	90.8	92.0										3000.0																								4.17	
CB53N	2007	2007-02-10	6	3	6.439	4.045	3.335	21.477	1.81	2.005			2.978	6.365	208.4	258.8	101.6	95.6										3000.0																								2.005	
CB53N	2007	2007-02-11	10	0					2.035	9.06								111.0										3000.0																									
CB53N	2007	2007-02-11	8	0					1.76	7.98								105.0										3000.0																									
CB53N	2007	2007-02-11	9	0					2.385	9.3								102.0										3000.0																									
CB53N	2007	2007-02-11	18	3	3.185		3.295	10.492	1.765	2.26				3.19	180.8			86.0										3000.0																								1.765	
CB53N	2007	2007-02-11	1	0	5.445	4.27	3.2310000000000003	17.596	1.91	3.62			3.332	5.46		321.0	102.0	117.0										3000.0																								3.62	
CB53N	2007	2007-02-11	20	3	3.5580000000000003		3.075	10.939	1.66					3.525	258.8													3000.0																								1.66	
CB53N	2007	2007-02-11	17	3	3.49				1.46	3.06				3.545				87.2										3000.0																								1.46	
CB53N	2007	2007-02-11	17	0	3.22		2.979	11.572	1.76	2.07				3.22	258.0			96.0										3000.0																								2.07	
CB53N	2007	2007-02-11	11	3	4.2360000000000015		3.633	15.39	1.735	5.705				4.255	198.8			96.8										3000.0																								1.735	
CB53N	2007	2007-02-11	15	3	3.892		3.018	11.748	1.735	2.095				3.955	262.4			98.0										3000.0																								2.095	
CB53N	2007	2007-02-11	12	0	4.249				1.79	3.5				4.1	303.0			102.0										3000.0																								3.08	
CB53N	2007	2007-02-11	3	0	5.586	4.382	3.099	17.309	1.73	3.58			3.529	5.58	189.0	336.0	114.0	120.0										3000.0																								3.58	
CB53N	2007	2007-02-11	3	3	5.597	4.41	3.15	17.628	1.735	3.655			3.358	5.56	238.4	318.8	88.4	110.0										3000.0																								3.655	
CB53N	2007	2007-02-11	13	0	4.26				1.85	3.94				4.26	300.0			105.0										3000.0																								1.85	
CB53N	2007	2007-02-11	8	3					1.56	8.14								89.6										3000.0																									
CB53N	2007	2007-02-11	16	3	3.905		3.085	12.048	1.66	2.95				3.855	244.4			94.4										3000.0																								1.66	
CB53N	2007	2007-02-11	18	0	3.293		3.221	10.607	2.0					3.185	240.0													3000.0																								2.0	
CB53N	2007	2007-02-11	2	0	5.573	4.262	3.074	17.132	1.82	4.1			3.3760000000000003	5.54	222.0	345.0	99.0	114.0										3000.0																								3.3760000000000003	
CB53N	2007	2007-02-11	1	3	5.585	4.315	3.227	17.945	1.7	3.675			3.3680000000000003	5.585		306.8	86.0	108.8										3000.0																								3.675	
CB53N	2007	2007-02-11	14	0	4.181		2.774	11.597	1.76	2.945				3.94	285.0			114.0										3000.0																								2.105	
CB53N	2007	2007-02-11	0	3	4.9860000000000015	4.455			1.81	3.655			3.2110000000000003	4.7	256.4	471.2	93.2	107.6										3000.0																								3.655	
CB53N	2007	2007-02-11	21	3	3.915	2.342	3.24	13.834	1.735	2.71				3.915	213.2	221.6		101.6										3000.0																								1.81	
CB53N	2007	2007-02-11	9	3					1.68	9.625								94.4										3000.0																								1.68	
CB53N	2007	2007-02-11	6	3	4.93	4.03	3.135	17.182000000000002	1.64	3.345			2.68	4.93	209.6	315.2	96.8	99.2										3000.0																								2.68	
CB53N	2007	2007-02-11	11	0	4.391		2.947	12.941	1.73	6.98				4.14	279.0			111.0										3000.0																								1.73	
CB53N	2007	2007-02-11	13	3	4.107		3.019	12.4	1.765	3.565				4.235	285.2			94.4										3000.0																								2.74	
CB53N	2007	2007-02-11	22	0	3.979		3.567	14.194	1.79	3.15			2.915	4.02		231.0	108.0	126.0										3000.0																								2.945	
CB53N	2007	2007-02-11	16	0	4.1				1.76	2.175				4.1	270.0			102.0										3000.0																								2.175	
CB53N	2007	2007-02-11	23	0	5.2620000000000005	4.3039999999999985	3.793	19.961	1.85	3.98			3.342	5.3	228.0	255.0	102.0	114.0										3000.0																								3.9	
CB53N	2007	2007-02-11	4	3	5.518	4.36	3.213	17.727999999999994	1.81	3.565			3.283	5.53	180.0	315.2	99.2	106.4										3000.0																								3.565	
CB53N	2007	2007-02-11	23	3	6.41	4.87			1.735	3.955			3.131	6.01	222.8	248.0	93.2	105.2										3000.0																								3.935	
CB53N	2007	2007-02-11	20	0	3.522				2.315					3.22	270.0													3000.0																								2.315	
CB53N	2007	2007-02-11	7	0	5.3370000000000015	3.75	3.179	16.967	2.245	3.46			2.495	5.34	222.0	300.0	114.0	108.0										3000.0																								2.495	
CB53N	2007	2007-02-11	5	0	5.38	4.214	3.127	17.655	2.14	5.5			3.321	5.38	228.0	327.0	108.0	117.0										3000.0																								3.321	
CB53N	2007	2007-02-11	10	3	5.231				1.765	7.975				4.93	380.0			101.6										3000.0																								1.765	
CB53N	2007	2007-02-11	14	3	3.952		2.934	11.594	1.56	2.305				3.915	287.6			102.8										3000.0																								1.975	
CB53N	2007	2007-02-11	12	3	4.125				1.855	3.655				3.975	269.6			96.8										3000.0																								1.855	
CB53N	2007	2007-02-11	22	3					1.81	3.365								86.0										3000.0																								1.81	
CB53N	2007	2007-02-11	5	3	5.648	4.18	3.173	17.922	1.81	3.33			3.222	5.675	218.0	315.2	101.6	106.4										3000.0																								3.33	
CB53N	2007	2007-02-11	19	3	2.651				1.7	2.275				3.47	257.6			87.2										3000.0																								1.7	
CB53N	2007	2007-02-11	19	0	2.609		3.177	8.291	1.7					2.63	273.0													3000.0																								1.7	
CB53N	2007	2007-02-11	6	0	5.462999999999999	4.064	3.102	16.945	1.94	3.34			2.968	5.46	216.0	321.0	108.0	108.0										3000.0																								3.045	
CB53N	2007	2007-02-11	0	0					1.76	3.62			3.2430000000000003				102.0	117.0										3000.0																								3.62	
CB53N	2007	2007-02-11	2	3	5.638	4.248	3.1060000000000003	17.512999999999998	1.81	4.105			3.324	5.675		333.2	88.4	104.0										3000.0																								4.04	
CB53N	2007	2007-02-11	7	3	5.415	3.785	3.158	17.101	1.81	3.47				5.165	212.0	294.8		99.2										3000.0																								1.885	
CB53N	2007	2007-02-11	21	0	4.18		3.174	13.267	2.0	2.49			2.384	4.14		231.0	114.0	135.0										3000.0																								2.49	
CB53N	2007	2007-02-11	4	0	5.55	4.261	3.167	17.578	2.28	3.54			3.338	5.46	237.0	327.0	108.0	114.0										3000.0																								3.54	
CB53N	2007	2007-02-12	21	3	5.388	3.495	3.624	19.527	1.6	2.695				5.675	213.2	237.2		98.0										3000.0																								1.81	
CB53N	2007	2007-02-12	0	3	5.3				1.75	5.06			3.269	5.3	216.8	252.8	93.2	102.8										3000.0																								3.269	
CB53N	2007	2007-02-12	13	0	4.422				1.7					4.14	276.0													3000.0																								1.7	
CB53N	2007	2007-02-12	8	0	5.3	4.27	3.285	17.747	1.7	2.665				5.3	243.0	276.0		114.0										3000.0																								2.315	
CB53N	2007	2007-02-12	5	0					1.76	11.85								105.0										3000.0																									
CB53N	2007	2007-02-12	21	0	5.3			19.099	1.7	2.49				5.3	234.0	246.0	111.0	123.0										3000.0																								2.385	
CB53N	2007	2007-02-12	23	3	5.026		3.674	18.467	1.72	4.39			2.97	5.615		220.4	89.6	113.6										3000.0																								2.97	
CB53N	2007	2007-02-12	20	0	3.938	2.845	3.148	12.394	1.97					3.94	252.0	306.0												3000.0																								1.97	
CB53N	2007	2007-02-12	14	3	3.676		2.825	10.386	1.68	2.29				4.63	269.6			94.4										3000.0																								1.68	
CB53N	2007	2007-02-12	6	3					1.7	4.955								98.0										3000.0																									
CB53N	2007	2007-02-12	11	0					1.85	9.14								108.0										3000.0																									
CB53N	2007	2007-02-12	4	0	10.3		3.68	40.246	2.105	8.86			3.4530000000000003	10.3		213.0	99.0	105.0										3000.0																								6.86	
CB53N	2007	2007-02-12	0	0	5.26		1.633	16.803	1.76	4.66			3.492	5.26		330.0	102.0	111.0										3000.0																								4.34	
CB53N	2007	2007-02-12	14	0	3.913		2.9	11.345999999999998	2.14					4.7	297.0													3000.0																								2.14	
CB53N	2007	2007-02-12	7	3	5.284	3.785	3.225	17.042	1.58	3.795				5.245	208.4	298.4		108.8										3000.0																								1.58	
CB53N	2007	2007-02-12	22	3	5.735	3.905	3.2460000000000004	20.683000000000003	1.6	4.04				5.735	198.8	250.4		114.8										3000.0																								1.6	
CB53N	2007	2007-02-12	16	3	3.606		3.1	11.178	1.735	8.445				3.58	258.8			99.2										3000.0																								1.735	
CB53N	2007	2007-02-12	23	0	5.6160000000000005	4.15	3.515	19.74	1.76	3.5			2.94	5.54	228.0	249.0	99.0	111.0										3000.0																								2.94	
CB53N	2007	2007-02-12	3	0					2.35	8.66								99.0										3000.0																									
CB53N	2007	2007-02-12	12	3	3.69		3.454	12.746	1.72					4.145	244.4													3000.0																								1.72	
CB53N	2007	2007-02-12	4	3	10.523		4.0280000000000005	42.393	1.75	8.805			3.108	11.32		204.8	92.0	95.6										3000.0																								6.075	
CB53N	2007	2007-02-12	12	0	4.418				1.7					4.1	249.0													3000.0																								1.7	
CB53N	2007	2007-02-12	11	3	4.828		3.109	15.012	1.6	10.97				4.675	269.6			131.6										3000.0																								1.6	
CB53N	2007	2007-02-12	2	3					1.81	7.145								87.2										3000.0																									
CB53N	2007	2007-02-12	18	0	3.725		3.039	11.321	1.73	4.06				3.66	267.0			102.0										3000.0																								2.105	
CB53N	2007	2007-02-12	6	0					1.7	8.82								120.0										3000.0																									
CB53N	2007	2007-02-12	18	3	3.709		3.14	11.649	1.72	3.795				3.655	250.4			93.2										3000.0																								1.72	
CB53N	2007	2007-02-12	1	0					1.94	6.94								102.0										3000.0																									
CB53N	2007	2007-02-12	1	3	8.58	6.44			1.54	6.815			3.385	8.58	204.8	212.0	86.0	95.6										3000.0																								3.385	
CB53N	2007	2007-02-12	5	3					1.735	10.465			3.062				95.6	96.8										3000.0																									
CB53N	2007	2007-02-12	17	0	3.671				1.73					4.14	270.0													3000.0																								1.73	
CB53N	2007	2007-02-12	9	3	5.573		3.236	18.032	1.58	4.63				5.44	250.4			105.2										3000.0																								3.715	
CB53N	2007	2007-02-12	15	0	3.934		2.91	11.448	1.7					3.78	246.0													3000.0																								1.7	
CB53N	2007	2007-02-12	17	3	3.369		3.087	10.399	1.72					3.62	264.8													3000.0																								1.72	
CB53N	2007	2007-02-12	22	0	5.94			20.475	1.7	3.185				6.54	213.0	261.0	102.0	114.0										3000.0																								1.7	
CB53N	2007	2007-02-12	20	3	3.775		3.131	15.075	1.84	2.545			2.952	3.775		290.0	114.8	113.6										3000.0																								2.545	
CB53N	2007	2007-02-12	10	0	5.561		3.286	18.27	1.76	6.86				5.54	294.0			114.0										3000.0																								1.76	
CB53N	2007	2007-02-12	10	3	5.686		3.446	19.591	1.66	5.765				5.645	215.6			101.6										3000.0																								3.795	
CB53N	2007	2007-02-12	15	3	3.635				1.66	3.21				3.855	246.8			96.8										3000.0																								1.66	
CB53N	2007	2007-02-12	7	0	5.02	3.747			1.73	3.185			2.431	5.02	225.0	312.0	105.0	111.0										3000.0																								2.77	
CB53N	2007	2007-02-12	19	3	3.306		3.139	10.376	1.72	9.28				3.6	261.2			98.0										3000.0																								1.72	
CB53N	2007	2007-02-12	19	0	3.941				1.73	3.54				3.82	279.0			99.0										3000.0																								2.035	
CB53N	2007	2007-02-12	8	3	5.533		3.3080000000000003	18.303	1.66	2.845				5.415	232.4			106.4										3000.0																								2.02	
CB53N	2007	2007-02-12	9	0	5.421		3.252	17.632	1.73	4.1				5.66	231.0			114.0										3000.0																								2.315	
CB53N	2007	2007-02-12	2	0	8.26	7.67			2.315	6.66			3.315	8.14	264.0	267.0	96.0	105.0										3000.0																								6.66	
CB53N	2007	2007-02-12	16	0	3.902				1.76	8.9				3.98	291.0			117.0										3000.0																								1.76	
CB53N	2007	2007-02-12	3	3					1.72	8.855			3.4560000000000004				89.6	96.8										3000.0																									
CB53N	2007	2007-02-12	13	3	3.842		3.026	11.626	1.62					3.835	270.8													3000.0																								1.62	
CB53N	2007	2007-02-13	19	0	3.46				1.73					3.46	261.0													3000.0																								1.73	
CB53N	2007	2007-02-13	9	3	5.546		3.285	18.218	1.735					5.56	222.8													3000.0																								1.735	
CB53N	2007	2007-02-13	1	0	5.46	4.299	3.127	17.076	1.91	3.82			3.268	5.5	222.0	333.0	96.0	108.0										3000.0																								3.268	
CB53N	2007	2007-02-13	23	3	8.051	6.814	3.574	28.77	1.62	4.39			4.025	8.185	243.2	268.4	90.8	99.2										3000.0																								4.19	
CB53N	2007	2007-02-13	13	0	4.644		2.934	13.629	1.91	3.66				4.66	306.0			102.0										3000.0																								2.735	
