sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
CW46O	2003	04/04/2003	3	0	7.4929999999999986	7.11			2.945					7.54	306.0	618.0												3000.0																								2.945	
CW46O	2004	01/28/2004	3	0	5.9	4.388	3.202	18.894000000000002	1.6	3.74			3.478	5.9	213.0	309.0	96.0	108.0										3000.0																								3.62	
CW46O	2004	01/28/2004	16	0	3.647				1.6	4.14				3.66	300.0			93.0										3000.0																								2.735	
CW46O	2004	01/28/2004	4	0	4.881		3.795	18.523	1.6	7.06				4.94	99.0			180.0										3000.0																								1.6	
CW46O	2004	01/28/2004	18	0	3.451				1.6					3.451	237.0													3000.0																								1.6	
CW46O	2004	01/28/2004	7	0	4.178		3.935	16.442	1.6	6.86			3.378	4.22	225.0		99.0	105.0										3000.0																								3.378	
CW46O	2004	01/28/2004	8	0	6.952000000000001				1.6	13.4			4.35	6.952000000000001	183.0		99.0	174.0										3000.0																								4.35	
CW46O	2004	01/28/2004	10	0	4.7860000000000005		3.2689999999999997	15.648	1.6				3.388	4.82	303.0		102.0											3000.0																								3.388	
CW46O	2004	01/28/2004	19	0	3.64		2.97	10.811	1.6	2.56				3.66	216.0			93.0										3000.0																								1.6	
CW46O	2004	01/28/2004	1	0		4.256			1.6	6.1				4.7	219.0	732.0		129.0										3000.0																								1.6	
CW46O	2004	01/28/2004	6	0	6.004	5.39			1.6	10.55			4.947	6.02	204.0	204.0	93.0	135.0										3000.0																								4.947	
CW46O	2004	01/28/2004	12	0	3.214		3.2710000000000004	10.514000000000001	1.6				2.129	3.3	228.0		105.0											3000.0																								2.129	
CW46O	2004	01/28/2004	13	0	4.309				1.6	2.035			1.982	4.309	210.0		105.0	117.0										3000.0																								2.035	
CW46O	2004	01/28/2004	9	0	12.814				1.6	7.02			3.786	12.814	216.0		99.0	114.0										3000.0																								3.786	
CW46O	2004	01/28/2004	21	0	4.051	3.79			1.6	2.035				4.1	213.0	612.0		120.0										3000.0																								2.035	
CW46O	2004	01/28/2004	20	0	4.3180000000000005	3.75	2.633	11.37	1.6	6.74				4.3180000000000005	255.0	453.0		159.0										3000.0																								1.6	
CW46O	2004	01/28/2004	22	0	5.647				1.6	3.22			2.915	5.647	255.0		102.0	105.0										3000.0																								2.945	
CW46O	2004	01/28/2004	15	0	4.106				1.6	7.86				4.106	375.0			120.0										3000.0																								1.6	
CW46O	2004	01/28/2004	17	0	3.25		3.023	9.824	1.6					3.25	249.0													3000.0																								1.6	
CW46O	2004	01/28/2004	0	0	5.599				1.6	8.94				5.599	630.0			114.0										3000.0																								1.6	
