sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
DI373	2005	2005-03-30	20	0																								3000.0																									
DI373	2005	2005-03-30	23	0																								3000.0																									
DI373	2005	2005-03-30	22	0																								3000.0																									
DI373	2005	2005-03-30	19	0																								3000.0																									
DI373	2005	2005-03-30	21	0																								3000.0																									
DI373	2005	2005-03-31	1	0																								3000.0																									
DI373	2005	2005-03-31	7	0																								3000.0																									
DI373	2005	2005-03-31	9	0																								3000.0																									
DI373	2005	2005-03-31	6	0																								3000.0																									
DI373	2005	2005-03-31	14	0																								3000.0																									
DI373	2005	2005-03-31	17	0																								3000.0																									
DI373	2005	2005-03-31	10	0																								3000.0																									
DI373	2005	2005-03-31	21	0																								3000.0																									
DI373	2005	2005-03-31	23	0																								3000.0																									
DI373	2005	2005-03-31	5	0																								3000.0																									
DI373	2005	2005-03-31	2	0																								3000.0																									
DI373	2005	2005-03-31	22	0																								3000.0																									
DI373	2005	2005-03-31	12	0																								3000.0																									
DI373	2005	2005-03-31	16	0																								3000.0																									
DI373	2005	2005-03-31	15	0																								3000.0																									
DI373	2005	2005-03-31	11	0																								3000.0																									
DI373	2005	2005-03-31	4	0																								3000.0																									
DI373	2005	2005-03-31	20	0																								3000.0																									
DI373	2005	2005-03-31	19	0																								3000.0																									
DI373	2005	2005-03-31	3	0																								3000.0																									
DI373	2005	2005-03-31	18	0																								3000.0																									
DI373	2005	2005-03-31	13	0																								3000.0																									
DI373	2005	2005-03-31	8	0																								3000.0																									
DI373	2005	2005-03-31	0	0																								3000.0																									
DI373	2005	2005-04-01	10	0																								3000.0																									
DI373	2005	2005-04-01	7	0																								3000.0																									
DI373	2005	2005-04-01	3	0																								3000.0																									
DI373	2005	2005-04-01	19	0																								3000.0																									
DI373	2005	2005-04-01	22	0																								3000.0																									
DI373	2005	2005-04-01	14	0																								3000.0																									
DI373	2005	2005-04-01	17	0																								3000.0																									
DI373	2005	2005-04-01	5	0																								3000.0																									
DI373	2005	2005-04-01	1	0																								3000.0																									
DI373	2005	2005-04-01	2	0																								3000.0																									
DI373	2005	2005-04-01	9	0																								3000.0																									
DI373	2005	2005-04-01	23	0																								3000.0																									
DI373	2005	2005-04-01	21	0																								3000.0																									
DI373	2005	2005-04-01	0	0																								3000.0																									
DI373	2005	2005-04-01	13	0																								3000.0																									
DI373	2005	2005-04-01	15	0																								3000.0																									
DI373	2005	2005-04-01	16	0																								3000.0																									
DI373	2005	2005-04-01	11	0																								3000.0																									
DI373	2005	2005-04-01	8	0																								3000.0																									
DI373	2005	2005-04-01	4	0																								3000.0																									
DI373	2005	2005-04-01	12	0																								3000.0																									
DI373	2005	2005-04-01	20	0																								3000.0																									
DI373	2005	2005-04-01	6	0																								3000.0																									
DI373	2005	2005-04-01	18	0																								3000.0																									
DI373	2005	2005-04-02	2	0																								3000.0																									
DI373	2005	2005-04-02	4	0																								3000.0																									
DI373	2005	2005-04-02	6	0																								3000.0																									
DI373	2005	2005-04-02	23	0																								3000.0																									
DI373	2005	2005-04-02	22	0																								3000.0																									
DI373	2005	2005-04-02	18	0																								3000.0																									
DI373	2005	2005-04-02	7	0																								3000.0																									
DI373	2005	2005-04-02	19	0																								3000.0																									
DI373	2005	2005-04-02	1	0																								3000.0																									
DI373	2005	2005-04-02	8	0																								3000.0																									
DI373	2005	2005-04-02	5	0																								3000.0																									
DI373	2005	2005-04-02	13	0																								3000.0																									
DI373	2005	2005-04-02	11	0																								3000.0																									
DI373	2005	2005-04-02	15	0																								3000.0																									
DI373	2005	2005-04-02	20	0																								3000.0																									
DI373	2005	2005-04-02	21	0																								3000.0																									
DI373	2005	2005-04-02	0	0																								3000.0																									
DI373	2005	2005-04-02	12	0																								3000.0																									
DI373	2005	2005-04-02	16	0																								3000.0																									
DI373	2005	2005-04-02	9	0																								3000.0																									
DI373	2005	2005-04-02	14	0																								3000.0																									
DI373	2005	2005-04-02	17	0																								3000.0																									
DI373	2005	2005-04-02	3	0																								3000.0																									
DI373	2005	2005-04-02	10	0																								3000.0																									
DI373	2005	2005-04-03	14	0																								3000.0																									
DI373	2005	2005-04-03	11	0																								3000.0																									
DI373	2005	2005-04-03	12	0																								3000.0																									
DI373	2005	2005-04-03	20	0																								3000.0																									
DI373	2005	2005-04-03	21	0																								3000.0																									
DI373	2005	2005-04-03	8	0																								3000.0																									
DI373	2005	2005-04-03	16	0																								3000.0																									
DI373	2005	2005-04-03	5	0																								3000.0																									
DI373	2005	2005-04-03	6	0																								3000.0																									
DI373	2005	2005-04-03	0	0																								3000.0																									
DI373	2005	2005-04-03	17	0																								3000.0																									
DI373	2005	2005-04-03	19	0																								3000.0																									
DI373	2005	2005-04-03	18	0																								3000.0																									
DI373	2005	2005-04-03	15	0																								3000.0																									
DI373	2005	2005-04-03	22	0																								3000.0																									
DI373	2005	2005-04-03	7	0																								3000.0																									
DI373	2005	2005-04-03	4	0																								3000.0																									
DI373	2005	2005-04-03	3	0																								3000.0																									
