sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
FZA0M	2019	2019-04-21	9	0																																																	
FZA0M	2019	2019-04-21	12	20																																																	
FZA0M	2019	2019-04-21	5	40																																																	
FZA0M	2019	2019-04-21	16	40																																																	
FZA0M	2019	2019-04-21	23	30																																																	
FZA0M	2019	2019-04-21	3	40																																																	
FZA0M	2019	2019-04-21	4	10																																																	
FZA0M	2019	2019-04-21	22	20																																																	
FZA0M	2019	2019-04-21	7	30																																																	
FZA0M	2019	2019-04-21	6	50																																																	
FZA0M	2019	2019-04-21	21	40																																																	
FZA0M	2019	2019-04-21	0	40																																																	
FZA0M	2019	2019-04-21	20	30																																																	
FZA0M	2019	2019-04-21	10	0																																																	
FZA0M	2019	2019-04-21	0	50																																																	
FZA0M	2019	2019-04-21	5	0																																																	
FZA0M	2019	2019-04-21	6	20																																																	
FZA0M	2019	2019-04-21	1	20																																																	
FZA0M	2019	2019-04-21	14	40																																																	
FZA0M	2019	2019-04-21	2	50																																																	
FZA0M	2019	2019-04-21	12	40																																																	
FZA0M	2019	2019-04-21	17	40																																																	
FZA0M	2019	2019-04-21	22	50																																																	
FZA0M	2019	2019-04-21	12	10																																																	
FZA0M	2019	2019-04-21	12	0																																																	
FZA0M	2019	2019-04-21	19	20																																																	
FZA0M	2019	2019-04-21	10	50																																																	
FZA0M	2019	2019-04-21	4	20																																																	
FZA0M	2019	2019-04-21	9	40																																																	
FZA0M	2019	2019-04-21	20	40																																																	
FZA0M	2019	2019-04-21	16	50																																																	
FZA0M	2019	2019-04-21	18	20																																																	
FZA0M	2019	2019-04-21	22	30																																																	
FZA0M	2019	2019-04-21	2	30																																																	
FZA0M	2019	2019-04-21	6	0																																																	
FZA0M	2019	2019-04-21	0	0																																																	
FZA0M	2019	2019-04-21	10	40																																																	
FZA0M	2019	2019-04-21	18	0																																																	
FZA0M	2019	2019-04-21	17	30																																																	
FZA0M	2019	2019-04-21	1	0																																																	
FZA0M	2019	2019-04-21	23	50																																																	
FZA0M	2019	2019-04-21	8	20																																																	
FZA0M	2019	2019-04-21	14	30																																																	
FZA0M	2019	2019-04-21	23	0																																																	
FZA0M	2019	2019-04-21	12	50																																																	
FZA0M	2019	2019-04-21	8	40																																																	
FZA0M	2019	2019-04-21	21	30																																																	
FZA0M	2019	2019-04-21	5	20																																																	
FZA0M	2019	2019-04-21	13	30																																																	
FZA0M	2019	2019-04-21	14	0																																																	
FZA0M	2019	2019-04-21	15	50																																																	
FZA0M	2019	2019-04-21	16	20																																																	
FZA0M	2019	2019-04-21	7	20																																																	
FZA0M	2019	2019-04-21	5	50																																																	
FZA0M	2019	2019-04-21	4	50																																																	
FZA0M	2019	2019-04-21	11	50																																																	
FZA0M	2019	2019-04-21	19	50																																																	
FZA0M	2019	2019-04-21	21	0																																																	
FZA0M	2019	2019-04-21	11	20																																																	
FZA0M	2019	2019-04-21	11	40																																																	
FZA0M	2019	2019-04-21	1	50																																																	
FZA0M	2019	2019-04-21	10	10																																																	
FZA0M	2019	2019-04-21	4	30																																																	
FZA0M	2019	2019-04-21	6	40																																																	
FZA0M	2019	2019-04-21	1	10																																																	
FZA0M	2019	2019-04-21	16	10																																																	
FZA0M	2019	2019-04-21	11	10																																																	
FZA0M	2019	2019-04-21	10	20																																																	
FZA0M	2019	2019-04-21	2	40																																																	
FZA0M	2019	2019-04-21	3	20																																																	
FZA0M	2019	2019-04-21	10	30																																																	
FZA0M	2019	2019-04-21	22	40																																																	
FZA0M	2019	2019-04-21	17	10																																																	
FZA0M	2019	2019-04-21	14	10																																																	
FZA0M	2019	2019-04-21	2	10																																																	
FZA0M	2019	2019-04-21	14	20																																																	
FZA0M	2019	2019-04-21	21	10																																																	
FZA0M	2019	2019-04-21	18	30																																																	
FZA0M	2019	2019-04-21	8	10																																																	
FZA0M	2019	2019-04-21	17	0																																																	
FZA0M	2019	2019-04-21	11	0																																																	
FZA0M	2019	2019-04-21	15	30																																																	
FZA0M	2019	2019-04-21	13	20																																																	
FZA0M	2019	2019-04-21	2	0																																																	
FZA0M	2019	2019-04-21	22	10																																																	
FZA0M	2019	2019-04-21	0	10																																																	
FZA0M	2019	2019-04-21	3	50																																																	
FZA0M	2019	2019-04-21	15	10																																																	
FZA0M	2019	2019-04-21	6	30																																																	
FZA0M	2019	2019-04-21	21	50																																																	
FZA0M	2019	2019-04-21	20	20																																																	
FZA0M	2019	2019-04-21	13	10																																																	
FZA0M	2019	2019-04-21	11	30																																																	
FZA0M	2019	2019-04-21	19	30																																																	
FZA0M	2019	2019-04-21	23	20																																																	
FZA0M	2019	2019-04-21	12	30																																																	
FZA0M	2019	2019-04-21	15	40																																																	
FZA0M	2019	2019-04-21	2	20																																																	
FZA0M	2019	2019-04-21	20	10																																																	
FZA0M	2019	2019-04-21	15	0																																																	
FZA0M	2019	2019-04-21	7	0																																																	
FZA0M	2019	2019-04-21	14	50																																																	
FZA0M	2019	2019-04-21	19	10																																																	
