sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
GM037	2016	2016-07-05	17	45	5.5	3.3	3.2	17.6					2.1	6.2					110.0	20.0																284.0	0.4								101.0	3.5	1.0						
GM037	2016	2016-07-05	16	0	5.5	3.9	3.35	18.4		4.1			2.9	6.1				99.0	110.0	20.0																256.0	0.4								96.0	3.0	1.0						
GM037	2016	2016-07-05	3	30						4.7								99.0																																			
GM037	2016	2016-07-05	7	45						4.6								108.0																																			
GM037	2016	2016-07-05	13	45						9.1								99.0																																			
GM037	2016	2016-07-05	22	0	4.8		3.31	15.9					1.0	5.5					110.0	20.0																282.0									61.0	3.5	0.0						
GM037	2016	2016-07-05	5	0	4.8		3.52	16.9		4.9			2.5	5.5				112.0	110.0	20.0																242.0									64.0	3.5	0.0						
GM037	2016	2016-07-05	13	0						16.7								99.0																																			
GM037	2016	2016-07-05	13	30						8.7								99.0																																			
GM037	2016	2016-07-05	21	30	5.2		3.21	16.7					1.0	5.9					110.0	20.0																281.0									71.0	2.5	0.0						
GM037	2016	2016-07-05	2	45						5.2								94.0																																			
GM037	2016	2016-07-05	4	15	3.9		3.36	13.1		3.4			2.0	4.6				121.0	110.0	20.0																258.0									70.0	3.0	0.0						
GM037	2016	2016-07-05	2	15	4.1		3.15	12.9		4.0			1.1	4.8				94.0	110.0	20.0																301.0									44.0	3.0	0.0						
GM037	2016	2016-07-05	21	15	5.2		3.27	17.0					1.0	5.9					110.0	20.0																273.0									65.0	2.5	0.0						
GM037	2016	2016-07-05	4	45						5.3								112.0																																			
GM037	2016	2016-07-05	19	15						5.6								103.0																																			
GM037	2016	2016-07-05	23	0	4.6		3.39	15.6		3.9			0.9	5.3				103.0	110.0	20.0																272.0									39.0	2.5	0.0						
GM037	2016	2016-07-05	23	15	4.9		3.35	16.4					0.9	5.5					110.0	20.0																263.0									65.0	2.5	0.0						
GM037	2016	2016-07-05	1	45	3.8		3.05	11.6					1.0	4.4					110.0	20.0																314.0									107.0	3.0	0.0						
GM037	2016	2016-07-05	10	0						4.9								108.0																																			
GM037	2016	2016-07-05	13	15						11.1								99.0																																			
GM037	2016	2016-07-05	20	0																																																	
GM037	2016	2016-07-05	6	45	5.4	4.4	3.65	19.7		5.7			3.1	6.1				108.0	110.0	20.0																213.0	0.2								50.0	3.0	0.5						
GM037	2016	2016-07-05	18	30						2.5								103.0																																			
GM037	2016	2016-07-05	2	30	3.5		3.37	11.8		4.9			1.1	4.2				99.0	110.0	20.0																268.0									60.0	3.0	0.0						
GM037	2016	2016-07-05	20	15	5.7		3.67	20.9		4.8			1.1	6.4				103.0	110.0	20.0																240.0									39.0	2.5	0.0						
GM037	2016	2016-07-05	14	45	5.5	4.2	3.04	16.7		4.6			3.2	6.0				99.0	110.0	20.0																268.0	0.3								131.0	2.5	1.0						
GM037	2016	2016-07-05	23	30	4.6		3.61	16.6					0.9	5.3					110.0	20.0																246.0									40.0	3.0	0.0						
GM037	2016	2016-07-05	16	30	5.5	3.8	3.35	18.4					2.7	6.1					110.0	20.0																264.0	0.7								86.0	3.0	1.0						
GM037	2016	2016-07-05	0	45	4.2		3.05	12.8		3.4			1.0	4.8				103.0	110.0	20.0																318.0									55.0	3.5	0.0						
GM037	2016	2016-07-05	11	15						11.1								94.0																																			
GM037	2016	2016-07-05	8	30	5.5	4.4	3.31	18.2		5.0			3.4	6.1				108.0	110.0	20.0																233.0	0.8								71.0	3.0	1.0						
GM037	2016	2016-07-05	10	45	6.1	4.6	3.11	19.0		5.4			3.5	6.7				103.0	110.0	20.0																261.0	0.7								92.0	3.0	1.0						
GM037	2016	2016-07-05	11	45						10.3								99.0																																			
GM037	2016	2016-07-05	5	15	4.8		3.46	16.6		4.7			2.6	5.5				112.0	110.0	20.0																226.0	0.1								71.0	2.5	0.7						
GM037	2016	2016-07-05	2	0	3.8		3.18	12.1		4.8			1.1	4.5				94.0	110.0	20.0																295.0									62.0	2.5	0.0						
GM037	2016	2016-07-05	15	15	5.6		3.2	17.9		5.4			3.1	6.2				99.0	110.0	20.0																249.0	0.8								126.0	2.5	0.3						
GM037	2016	2016-07-05	4	30	4.1		3.39	13.9		4.3			2.2	4.7				117.0	110.0	20.0																236.0	0.6								90.0	3.0	0.7						
GM037	2016	2016-07-05	9	15	5.8	4.2	3.05	17.7		4.6			3.5	6.4				112.0	110.0	20.0																272.0	0.5								101.0	3.5	3.0						
GM037	2016	2016-07-05	7	15						5.4								108.0																																			
GM037	2016	2016-07-05	0	0	4.0		3.23	12.9					0.9	4.7					110.0	20.0																277.0									52.0	2.5	0.0						
GM037	2016	2016-07-05	19	30						4.8								108.0																																			
GM037	2016	2016-07-05	20	45						3.6								103.0																																			
GM037	2016	2016-07-05	0	30	3.7		3.22	11.9		3.2			1.0	4.4				103.0	110.0	20.0																307.0									41.0	3.0	0.0						
GM037	2016	2016-07-05	16	45	4.7		3.36	15.8		3.6			2.6	5.4				94.0	110.0	20.0																258.0									80.0	3.5	0.0						
GM037	2016	2016-07-05	11	0						8.3								99.0																																			
GM037	2016	2016-07-05	7	30						4.8								112.0																																			
GM037	2016	2016-07-05	12	15						11.4								99.0																																			
GM037	2016	2016-07-05	12	30						8.3								99.0																																			
GM037	2016	2016-07-05	20	30																																																	
GM037	2016	2016-07-05	12	0						12.0								99.0																																			
GM037	2016	2016-07-05	16	15	5.4	3.9	3.33	18.0		3.7			2.8	6.0				99.0	110.0	20.0																259.0	0.7								88.0	2.5	0.5						
GM037	2016	2016-07-05	22	45	4.8		3.21	15.4					0.9	5.5					110.0	20.0																282.0									53.0	2.5	0.0						
GM037	2016	2016-07-05	7	0						5.6								108.0																																			
GM037	2016	2016-07-05	15	0	5.3	4.2	3.34	17.7		4.6			3.1	5.9				99.0	110.0	20.0																244.0	0.9								96.0	3.5	1.0						
GM037	2016	2016-07-05	9	45																																																	
GM037	2016	2016-07-05	3	0	3.5		3.57	12.5		7.0			1.3	4.2				99.0	110.0	20.0																226.0									68.0	2.5	0.0						
GM037	2016	2016-07-05	18	0	5.7		3.14	17.9					1.9	6.2					110.0	20.0																297.0									60.0	3.0	0.0						
GM037	2016	2016-07-05	11	30						15.8								99.0																																			
