sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
HA419	2010	2010-02-15	12	0	11.1																																																
HA419	2010	2010-02-15	14	0	6.9																																																
HA419	2010	2010-02-15	10	0	12.6																																																
HA419	2010	2010-02-15	8	0	14.2																																																
HA419	2010	2010-02-15	19	0	4.7																																																
HA419	2010	2010-02-15	2	0	8.4																																																
HA419	2010	2010-02-15	13	0	8.3																																																
HA419	2010	2010-02-15	18	0	4.3																																																
HA419	2010	2010-02-15	21	0	2.0																																																
HA419	2010	2010-02-15	6	0	13.2																																																
HA419	2010	2010-02-15	23	0	3.7																																																
HA419	2010	2010-02-15	16	0	4.1																																																
HA419	2010	2010-02-15	7	0	13.7																																																
HA419	2010	2010-02-15	5	0	12.7																																																
HA419	2010	2010-02-15	9	0	12.8																																																
HA419	2010	2010-02-15	11	0	12.0																																																
HA419	2010	2010-02-15	17	0	4.1																																																
HA419	2010	2010-02-15	3	0	9.6																																																
HA419	2010	2010-02-15	20	0	3.3																																																
HA419	2010	2010-02-15	15	0	5.2																																																
HA419	2010	2010-02-15	1	0	6.8																																																
HA419	2010	2010-02-15	4	0	11.8																																																
HA419	2010	2010-02-15	0	0	5.7																																																
HA419	2010	2010-02-16	6	0	13.6																																																
HA419	2010	2010-02-16	2	0	7.6																																																
HA419	2010	2010-02-16	4	0	10.1																																																
HA419	2010	2010-02-16	8	0	13.1																																																
HA419	2010	2010-02-16	1	0	7.4																																																
HA419	2010	2010-02-16	22	0	2.0																																																
HA419	2010	2010-02-16	9	0	13.5																																																
HA419	2010	2010-02-16	7	0	14.4																																																
HA419	2010	2010-02-16	20	0	7.7																																																
HA419	2010	2010-02-16	10	0	14.2																																																
HA419	2010	2010-02-16	3	0	9.0																																																
HA419	2010	2010-02-16	14	0	9.5																																																
HA419	2010	2010-02-16	5	0	11.3																																																
HA419	2010	2010-02-16	21	0	3.2																																																
HA419	2010	2010-02-16	0	0	6.4																																																
HA419	2010	2010-02-16	13	0	10.3																																																
HA419	2010	2010-02-16	17	0	7.1																																																
HA419	2010	2010-02-16	18	0	7.3																																																
HA419	2010	2010-02-16	12	0	10.6																																																
HA419	2010	2010-02-16	16	0	7.6																																																
