date	h	m	sonde	year	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
2006-09-26	0	0	KB548	2006																								3000.0																									
2006-09-26	1	0	KB548	2006	6.6				1.2																			3000.0																									
2006-09-26	2	0	KB548	2006	6.6				1.2	3.0																		3000.0																									
2006-09-26	3	0	KB548	2006																								3000.0																									
2006-09-26	4	0	KB548	2006																								3000.0																									
2006-09-26	5	0	KB548	2006																								3000.0																									
2006-09-26	6	0	KB548	2006																								3000.0																									
2006-09-26	7	0	KB548	2006																								3000.0																									
2006-09-26	8	0	KB548	2006																								3000.0																									
2006-09-26	9	0	KB548	2006	5.0				1.3	2.8																		3000.0																									
2006-09-26	10	0	KB548	2006	4.5				1.7																			3000.0																									
2006-09-26	11	0	KB548	2006	4.4				1.7																			3000.0																									
2006-09-26	12	0	KB548	2006	4.3				1.7	2.5																		3000.0																									
2006-09-26	13	0	KB548	2006	4.3				1.7																			3000.0																									
2006-09-26	14	0	KB548	2006	4.2				1.7																			3000.0																									
2006-09-26	15	0	KB548	2006	4.0				1.7																			3000.0																									
2006-09-26	16	0	KB548	2006	3.9				1.7																			3000.0																									
2006-09-26	17	0	KB548	2006	3.8				1.7	3.1																		3000.0																									
2006-09-26	18	0	KB548	2006	3.7				1.7																			3000.0																									
2006-09-26	19	0	KB548	2006	3.6				1.7																			3000.0																									
2006-09-26	20	0	KB548	2006	3.6				1.7																			3000.0																									
2006-09-26	21	0	KB548	2006	3.8				1.7																			3000.0																									
2006-09-26	22	0	KB548	2006	4.8				1.7	3.2																		3000.0																									
2006-09-26	23	0	KB548	2006																								3000.0																									
2006-09-27	0	0	KB548	2006																								3000.0																									
2006-09-27	1	0	KB548	2006																								3000.0																									
2006-09-27	2	0	KB548	2006																								3000.0																									
2006-09-27	7	0	KB548	2006	5.5				1.2	3.2																		3000.0																									
2006-09-27	8	0	KB548	2006	5.3				1.6																			3000.0																									
2006-09-27	9	0	KB548	2006	4.9				1.6	3.3																		3000.0																									
2006-09-27	10	0	KB548	2006	4.2				1.7	3.1																		3000.0																									
2006-09-27	11	0	KB548	2006	4.6				1.7																			3000.0																									
2006-09-27	12	0	KB548	2006	4.9				1.9																			3000.0																									
2006-09-27	13	0	KB548	2006	4.5				1.6																			3000.0																									
2006-09-27	14	0	KB548	2006	4.4				1.7																			3000.0																									
2006-09-27	15	0	KB548	2006	4.4				1.6																			3000.0																									
2006-09-27	16	0	KB548	2006	4.3				1.5																			3000.0																									
2006-09-27	17	0	KB548	2006	4.3				2.1																			3000.0																									
2006-09-27	18	0	KB548	2006	4.1				1.7																			3000.0																									
2006-09-27	19	0	KB548	2006	4.2				1.7																			3000.0																									
2006-09-27	20	0	KB548	2006	4.2				1.6																			3000.0																									
2006-09-27	21	0	KB548	2006	4.4				1.7																			3000.0																									
2006-09-27	22	0	KB548	2006	4.8				1.7	3.2																		3000.0																									
2006-09-27	23	0	KB548	2006	5.3				1.3																			3000.0																									
