sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
LM42J	2011	2011-03-15	18	0	4.412				2.47					3.895	266.0													3000.0																									
LM42J	2011	2011-03-15	15	0					2.695																			3000.0																									
LM42J	2011	2011-03-15	8	0	9.23		3.285	30.31900000000001	1.825	6.01				9.23		257.6	100.4	108.8										3000.0																								5.98	
LM42J	2011	2011-03-15	11	0					2.575	3.31								100.4										3000.0																									
LM42J	2011	2011-03-15	19	0	4.152		3.4339999999999997	14.255999999999998	1.9					4.125	228.8													3000.0																									
LM42J	2011	2011-03-15	2	0	7.319	4.62	3.5460000000000003	25.95300000000001	2.23				3.6489999999999996	7.255	192.8	244.4	98.0											3000.0																									
LM42J	2011	2011-03-15	20	0	3.0989999999999998				1.68						248.0													3000.0																									
LM42J	2011	2011-03-15	12	0					2.695	3.225								98.0										3000.0																									
LM42J	2011	2011-03-15	7	0	10.176		3.048	31.018	2.38	5.19			3.2969999999999997	9.625		275.6	93.2	114.8										3000.0																								5.14	
LM42J	2011	2011-03-15	1	0	7.8420000000000005	4.27	3.5789999999999997	28.070999999999998	1.96	3.275			3.114	7.765	204.8	236.0	98.0	117.2										3000.0																								3.275	
LM42J	2011	2011-03-15	10	0	8.15		2.2159999999999997	18.064	2.365	5.95				7.725		467.6		100.4										3000.0																									
LM42J	2011	2011-03-15	14	0	4.9060000000000015				2.68					4.28	270.8													3000.0																									
LM42J	2011	2011-03-15	9	0	8.49		3.3819999999999997	28.709	1.66	5.92				8.49		250.4	100.0	105.2										3000.0																								5.885	
LM42J	2011	2011-03-15	4	0	7.45	5.19	3.017	22.47300000000001	2.65	3.33				7.45	270.8	318.8	99.2	95.6										3000.0																								3.33	
LM42J	2011	2011-03-15	5	0	8.922	5.08	2.964	26.445999999999998	3.815					8.805	267.2	293.6												3000.0																									
LM42J	2011	2011-03-15	21	0	3.112				1.64					3.11	266.0													3000.0																									
LM42J	2011	2011-03-15	17	0	4.252				2.605					4.21	269.6													3000.0																									
LM42J	2011	2011-03-15	3	0	6.745	4.415	3.07	20.711	2.875					6.745	182.0	233.6	100.0											3000.0																								3.65	
LM42J	2011	2011-03-15	22	0	3.298		3.2539999999999996	10.732999999999999	1.66					3.295	249.2													3000.0																									
LM42J	2011	2011-03-15	13	0	4.859		3.187	15.487	2.725					4.725	262.4													3000.0																									
LM42J	2011	2011-03-15	6	0	9.185		3.0789999999999997	28.285	2.605					9.185		284.0	96.8											3000.0																								3.0380000000000003	
LM42J	2011	2011-03-15	23	0	5.709				2.44					5.56	216.8													3000.0																									
LM42J	2011	2011-03-15	16	0	4.46		2.992	13.344000000000001	2.605					4.39	278.0													3000.0																									
LM42J	2011	2011-03-16	1	0	7.598	4.525	3.4960000000000004	26.559	2.455	3.31			3.187	7.525	195.2	250.4	100.0	110.0										3000.0																								3.31	
LM42J	2011	2011-03-16	23	0	5.416				2.62					5.385	212.0													3000.0																									
LM42J	2011	2011-03-16	22	0	3.2260000000000004		3.282	10.588	1.7					3.175	248.0													3000.0																									
LM42J	2011	2011-03-16	18	0	4.732				2.41					4.325														3000.0																									
LM42J	2011	2011-03-16	12	0					2.785																			3000.0																									
LM42J	2011	2011-03-16	10	0	10.021				2.32	2.8				9.28	226.4			104.0										3000.0																								2.8	
LM42J	2011	2011-03-16	16	0	4.488		2.969	13.325999999999999	2.665					4.415	298.4													3000.0																									
LM42J	2011	2011-03-16	11	0	8.702				2.755					7.765	201.2													3000.0																									
LM42J	2011	2011-03-16	7	0	8.427999999999999	4.795	3.0989999999999998	26.119	2.665				3.503	8.4	210.8	284.0	100.0											3000.0																									
LM42J	2011	2011-03-16	15	0	4.592				2.62					4.235	298.4													3000.0																									
LM42J	2011	2011-03-16	3	0	8.186	4.6	3.457	28.303	2.425				3.675	8.14	184.4	257.6	96.8											3000.0																									
LM42J	2011	2011-03-16	0	0	6.7570000000000014				2.485	3.19			2.785	6.745	219.2		100.0	105.2										3000.0																									
LM42J	2011	2011-03-16	20	0	3.674		3.222	11.838	1.56					3.455	226.4													3000.0																									
LM42J	2011	2011-03-16	17	0					2.71																			3000.0																									
LM42J	2011	2011-03-16	9	0	9.166	4.18	3.1910000000000003	29.247	2.26	3.16			3.16	9.085	232.4	255.2	100.0	112.4										3000.0																									
LM42J	2011	2011-03-16	13	0					2.695																			3000.0																									
LM42J	2011	2011-03-16	19	0	4.29		3.447	14.787	1.855	2.005				4.255	224.0			94.4										3000.0																								2.005	
LM42J	2011	2011-03-16	6	0	8.315	4.7	3.088	25.680999999999997	2.29	3.275				8.315	190.4	302.0	100.0	113.6										3000.0																								3.275	
LM42J	2011	2011-03-16	2	0	8.046	4.645			2.185	3.62			3.338	7.975	186.8	250.4	99.2	106.4										3000.0																								3.62	
LM42J	2011	2011-03-16	4	0	7.7479999999999976	4.745	3.094	23.97	2.47				3.2239999999999998	7.765	180.0	269.6	93.2											3000.0																									
LM42J	2011	2011-03-16	8	0	8.737	4.34	3.062	26.756999999999998	2.005	2.185			3.054	8.625	201.2	285.2	100.0	95.6										3000.0																									
LM42J	2011	2011-03-16	5	0	8.197000000000001	5.055	3.1039999999999996	25.44400000000001	2.41				3.511	8.14	180.0	302.0	93.2											3000.0																									
LM42J	2011	2011-03-16	21	0	3.182				1.38					2.965	245.6													3000.0																									
LM42J	2011	2011-03-17	13	0	4.7410000000000005				2.695					4.19	251.6													3000.0																									
LM42J	2011	2011-03-17	17	0	4.8580000000000005		3.029	14.713	2.875					4.8	280.4													3000.0																									
LM42J	2011	2011-03-17	1	0	7.546	4.36	3.56	26.866	2.035	3.31			3.112	7.45			96.8	94.4										3000.0																								3.31	
LM42J	2011	2011-03-17	8	0	9.474		3.056	28.956999999999997	1.96	5.33			3.1060000000000003	9.375		274.4	96.8	106.4										3000.0																									
LM42J	2011	2011-03-17	9	0	9.525		3.31	31.524	2.23	3.955				9.525		251.6	100.0	104.0										3000.0																								3.915	
LM42J	2011	2011-03-17	2	0	6.815	4.567	3.43	23.378	2.29	3.755				6.815	207.2	248.0	96.8	92.0										3000.0																								3.735	
LM42J	2011	2011-03-17	10	0	9.214				2.14	2.62			2.71	8.995	227.6		100.0	102.8										3000.0																									
LM42J	2011	2011-03-17	0	0	7.145		3.593	25.675	1.66	2.83			2.841				99.2	108.8										3000.0																									
LM42J	2011	2011-03-17	19	0	5.164		3.575	18.46	1.7					4.9	202.4													3000.0																									
LM42J	2011	2011-03-17	20	0	3.051		3.511	10.710999999999999	1.66					3.0	208.4													3000.0																									
LM42J	2011	2011-03-17	14	0					2.68	2.92								94.4										3000.0																									
LM42J	2011	2011-03-17	5	0	8.974	5.08	2.995	26.875999999999998	2.875	3.295				8.945	219.2	299.6		94.4										3000.0																								3.295	
LM42J	2011	2011-03-17	21	0	2.7760000000000002		2.965	8.232000000000001	1.66					2.725	290.0													3000.0																									
LM42J	2011	2011-03-17	16	0	4.944		2.8360000000000003	14.019	2.875					4.675	302.0													3000.0																									
