sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
LY164	2004	2004-11-25	11	30	7.287000000000001				2.77		2.77		0.0	7.0729999999999995					0.0	0.0						0.0	0.0				0.046					255.50900000000001					80.882		10.895999999999999	40.441									
LY164	2004	2004-11-25	15	30	0.0								0.0						0.0	0.0						0.0	0.0				0.0					0.0					0.0		0.0	0.0									
LY164	2004	2004-11-25	14	30	0.0								0.0						0.0	0.0						0.0	0.0				0.0					0.0					0.0		0.0	0.0									
LY164	2004	2004-11-25	21	30	4.0889999999999995				2.023		2.023		0.0	5.665					0.0	0.0						0.0	0.0				-2.101					331.381					84.29299999999998		6.252999999999999	42.147									
LY164	2004	2004-11-25	18	30	3.0239999999999996				1.675				0.0	2.162					0.0	0.0						0.0	0.0				-0.371					370.39099999999996					121.351		3.6919999999999997	60.675									
LY164	2004	2004-11-25	16	30	2.638								0.0						0.0	0.0						0.0	0.0				-0.282					291.298					91.91		2.074	45.955									
LY164	2004	2004-11-25	13	30	6.867000000000001				4.317		4.317		0.0	6.5729999999999995					0.0	0.0						0.0	0.0				-0.332					282.817					97.17200000000001		12.863	48.58600000000001									
LY164	2004	2004-11-25	19	30	-3.7430000000000003				1.614		1.614		0.0	3.12					0.0	0.0						0.0	0.0				-6.845					284.28					51.898999999999994		1.4280000000000002	25.95									
LY164	2004	2004-11-25	12	30	6.8370000000000015				2.293		2.293		0.0	6.727					0.0	0.0						0.0	0.0				-0.086					268.441					78.90100000000002		10.176	39.451									
LY164	2004	2004-11-25	17	30	2.535				2.138		2.138		0.0	3.12					0.0	0.0						0.0	0.0				-0.256					342.3280000000001					101.50399999999999		2.219	50.751999999999995									
LY164	2004	2004-11-25	20	30	2.545				2.0380000000000003		2.0380000000000003		0.0	3.085					0.0	0.0						0.0	0.0				0.068					328.08099999999996					29.25		0.735	14.625									
LY164	2004	2004-11-25	22	30	3.1310000000000002				1.751				3.045	4.058					124.73299999999999	10.913						0.0	0.0				-0.068					192.44					50.114		1.8	25.057									
LY164	2004	2004-11-26	3	30	2.434				1.913		1.913		0.0	2.425					0.0	0.0						0.0	0.0				-0.086					297.619					63.683		1.158	31.840999999999998									
LY164	2004	2004-11-26	7	30	4.645				1.7169999999999999		1.7169999999999999		0.0	5.056					0.0	0.0						0.0	0.0				-0.16899999999999998					277.214					77.23100000000002		4.931	38.615									
LY164	2004	2004-11-26	19	30	3.04				2.94				0.0	3.178					0.0	0.0						0.0	0.0				-0.175					355.12800000000016					111.669		2.968	55.833999999999996									
LY164	2004	2004-11-26	12	30	6.062				3.615		3.615		0.0	6.037999999999999					0.0	0.0						0.0	0.0				-0.08					255.24099999999999					66.745		6.772	33.372									
LY164	2004	2004-11-26	4	30	2.099								0.0						0.0	0.0						0.0	0.0				-0.087					317.77099999999996					123.81200000000001		1.463	61.90600000000001									
LY164	2004	2004-11-26	0	30	3.1310000000000002				2.269				0.0	3.12					0.0	0.0						0.0	0.0				-0.28300000000000003					351.289					108.71799999999999		3.386	54.358999999999995									
LY164	2004	2004-11-26	23	30	3.447				1.62		1.62		0.0	3.12					0.0	0.0						0.0	0.0				0.265					359.11400000000015					111.796		2.992	55.898									
LY164	2004	2004-11-26	13	30	5.155				2.019		2.019		0.0	5.6770000000000005					0.0	0.0						0.0	0.0				-0.01					263.185					68.904		5.058	34.452									
LY164	2004	2004-11-26	20	30	2.929				1.675		1.675		0.0	4.742					0.0	0.0						0.0	0.0				-1.486					297.341					76.82600000000002		2.8539999999999996	38.413000000000004									
LY164	2004	2004-11-26	14	30	4.226				4.011		4.011		0.0	4.2010000000000005					0.0	0.0						0.0	0.0				-0.213					290.44599999999997					104.413		5.48	52.207									
LY164	2004	2004-11-26	10	30	6.027				2.8569999999999998		2.8569999999999998		0.0	6.015					0.0	0.0						0.0	0.0				-0.027999999999999997					280.334					112.295		10.339	56.147									
LY164	2004	2004-11-26	22	30	3.38				1.942			1.942	3.623	4.586					165.89700000000005	17.195						0.0	0.0				3.38					0.0					0.0		1.55	0.0									
LY164	2004	2004-11-26	15	30	3.3080000000000003				1.6780000000000002		1.6780000000000002		0.0	3.3080000000000003					0.0	0.0						0.0	0.0				-0.065					281.843					77.956		2.4819999999999998	38.978									
LY164	2004	2004-11-26	2	30	0.0				1.662				2.131	2.138					114.02600000000001	7.871						0.0	0.0				0.0					0.0					0.0		0.166	0.0									
LY164	2004	2004-11-26	6	30	3.0039999999999996				2.346				0.0	3.05					0.0	0.0						0.0	0.0				-0.29100000000000004					322.3520000000001					107.777		4.207	53.88800000000001									
LY164	2004	2004-11-26	1	30	3.0060000000000002				1.632		1.632		0.0	3.074					0.0	0.0						0.0	0.0				-0.122					325.578					75.707		2.064	37.853									
LY164	2004	2004-11-26	21	30	5.749				4.043		4.043		0.0	5.749					0.0	0.0						0.0	0.0				-2.6860000000000004					385.14599999999996					110.85		15.407	55.425									
LY164	2004	2004-11-26	8	30	5.709				4.058		4.058		0.0	5.612					0.0	0.0						0.0	0.0				-0.048					279.46299999999997					65.91		8.481	32.955									
LY164	2004	2004-11-26	9	30	6.422999999999999				2.6039999999999996		2.6039999999999996		0.0	6.422999999999999					0.0	0.0						0.0	0.0				-0.009000000000000001					292.954					38.453		7.8370000000000015	19.226									
LY164	2004	2004-11-26	16	30	2.0580000000000003				4.828				0.0	6.547999999999999					0.0	0.0						0.0	0.0				-0.379					329.634					108.20299999999999		2.3409999999999997	54.102									
LY164	2004	2004-11-27	22	30	3.41				2.68				0.0	3.4610000000000003					0.0	0.0						0.0	0.0				-0.267					354.19599999999997					120.505		5.595	60.253									
LY164	2004	2004-11-27	11	30	6.3				5.968999999999999				3.405	6.3					0.0	0.0						0.0	0.0				-0.142					250.726					90.537		9.959	45.269									
LY164	2004	2004-11-27	0	30	2.7319999999999998				2.13		2.13		0.0	3.435					0.0	0.0						0.0	0.0				-0.271					390.17699999999996					135.94		3.178	67.97									
LY164	2004	2004-11-27	9	30	5.8320000000000025				4.401		5.377999999999999		0.0	5.787000000000001					0.0	0.0						0.0	0.0				-0.077					263.64799999999997					73.907		7.138	36.954									
LY164	2004	2004-11-27	15	30	2.594				1.6580000000000001				0.0	2.574					0.0	0.0						0.0	0.0				-0.205					322.6					107.296		2.278	53.648									
LY164	2004	2004-11-27	13	30	4.979				2.0269999999999997		2.0269999999999997		0.0	5.81					0.0	0.0						0.0	0.0				-0.198					258.737					85.133		5.956	42.567									
LY164	2004	2004-11-27	18	30	3.4739999999999998				2.5639999999999996		2.844		2.48	3.4610000000000003					138.054	13.908						0.0	0.0				-0.098					250.09					61.577		1.614	30.789									
LY164	2004	2004-11-27	12	30	5.877999999999999				2.738		2.738		0.0	6.782					0.0	0.0						0.0	0.0				-0.204					245.543					71.68		6.98	35.84									
LY164	2004	2004-11-27	23	30	0.0				5.05				3.4419999999999997	6.521					141.803	12.397						0.0	0.0				0.0					0.0					0.0		0.17	0.0									
LY164	2004	2004-11-27	17	30	3.782				1.5959999999999999			1.5959999999999999	2.046	3.322					122.074	10.324000000000002						0.0	0.0				-0.4270000000000001					248.69299999999998					74.939		3.694	37.469									
LY164	2004	2004-11-27	4	30	0.0								0.0						0.0	0.0						0.0	0.0				0.0					0.0					0.0		0.0	0.0									
LY164	2004	2004-11-27	6	30	0.0								0.0						0.0	0.0						0.0	0.0				0.0					0.0					0.0		0.0	0.0									
LY164	2004	2004-11-27	2	30	2.32				2.06		2.06		0.0	3.12					0.0	0.0						0.0	0.0				-0.40700000000000003					403.531					145.795		3.9739999999999998	72.89699999999998									
LY164	2004	2004-11-27	14	30	4.907				1.7369999999999999		1.7369999999999999		0.0	4.663					0.0	0.0						0.0	0.0				0.105					292.908					110.177		6.79	55.089									
LY164	2004	2004-11-27	10	30	6.4479999999999995				2.655		2.655		0.0	6.676					0.0	0.0						0.0	0.0				-0.057					255.014					68.85600000000001		7.933	34.428000000000004									
LY164	2004	2004-11-27	21	30	0.0				5.2989999999999995				5.7810000000000015	7.966					125.195	10.474						0.0	0.0				0.0					0.0					0.0		1.577	0.0									
LY164	2004	2004-11-27	1	30	2.909								0.0						0.0	0.0						0.0	0.0				2.909					0.0					0.0		0.0	0.0									
LY164	2004	2004-11-27	20	30	0.0								0.0						0.0	0.0						0.0	0.0				0.0					0.0					0.0		0.0	0.0									
LY164	2004	2004-11-27	3	30	2.3280000000000003				1.8780000000000001		1.8780000000000001		0.0	2.886					0.0	0.0						0.0	0.0				-0.086					350.039					109.096		1.7630000000000001	54.548									
LY164	2004	2004-11-27	7	30	3.935				1.935		1.935		1.7919999999999998	3.935					0.0	0.0						0.0	0.0				-0.096					286.96299999999997					102.79799999999999		4.564	51.398999999999994									
LY164	2004	2004-11-27	19	30	6.279				2.897			2.897	6.974	7.023					142.07	12.857000000000001						0.0	0.0				6.279					0.0					0.0		0.8340000000000001	0.0									
LY164	2004	2004-11-27	8	30	5.296				2.6239999999999997		2.6239999999999997		0.0	5.175					0.0	0.0						0.0	0.0				0.02					265.606					72.898		5.586	36.449									
LY164	2004	2004-11-28	6	30	2.374				1.847		1.847		0.0	2.411					0.0	0.0						0.0	0.0				-0.08900000000000001					300.8640000000001					91.98200000000001		1.5430000000000001	45.99100000000001									
LY164	2004	2004-11-28	22	30	3.4610000000000003				2.235		2.235	5.125	0.0	5.686					0.0	0.0						0.0	0.0				-0.282					360.87					109.396		4.268	54.698									
LY164	2004	2004-11-28	20	30	3.448				1.626			1.626	2.217	3.448					141.981	14.834000000000001						0.0	0.0				0.336					186.555					56.033		1.4909999999999999	28.016									
