sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
MA155	2012	2012-03-07	18	0	4.3		2.81	12.1					0.8	5.0					110.0	20.0																376.0									110.0	3.0	0.0						
MA155	2012	2012-03-07	22	15	2.1		3.38	7.1					0.6	2.9					110.0	20.0																298.0									95.0	2.5	0.0						
MA155	2012	2012-03-07	10	15	6.7	4.5	2.7	18.1					3.1	7.4					110.0	20.0																361.0	0.4								180.0	3.5	0.5						
MA155	2012	2012-03-07	14	45	5.9		3.07	18.1					2.0	6.6					110.0	20.0																308.0									98.0	2.5	0.0						
MA155	2012	2012-03-07	6	30	5.4		2.94	15.9					2.8	6.1					110.0	20.0																321.0									164.0	2.5	0.0						
MA155	2012	2012-03-07	13	0	6.3		3.19	20.1					2.7	7.0					110.0	20.0																294.0									120.0	3.0	0.0						
MA155	2012	2012-03-07	3	45	3.0		3.27	9.8					1.7	3.7					110.0	20.0																267.0									93.0	2.5	0.0						
MA155	2012	2012-03-07	5	15	5.4		3.43	18.5					2.4	6.1					110.0	20.0																263.0	0.0								87.0	3.5	0.6						
MA155	2012	2012-03-07	7	30	5.7	3.7	2.81	16.0					3.0	6.4					110.0	20.0																339.0	0.1								172.0	2.5	1.5						
MA155	2012	2012-03-07	7	15	5.2	3.7	3.21	16.7						5.9																																							
MA155	2012	2012-03-07	13	45	6.0	3.9	3.28	19.7					2.4	6.7					110.0	20.0																271.0	0.5								92.0	3.0	0.5						
MA155	2012	2012-03-07	11	0	6.8	4.3	3.06	20.8					3.1	7.5					110.0	20.0																308.0	0.0								132.0	2.5	1.5						
MA155	2012	2012-03-07	19	45	3.5		3.03	10.6					0.6	4.2					110.0	20.0																354.0									144.0	3.0	0.0						
MA155	2012	2012-03-07	20	0	2.2		3.77	8.3					0.6	3.0					110.0	20.0																255.0									71.0	3.0	0.0						
MA155	2012	2012-03-07	22	45	2.5		2.96	7.4					0.6	3.2					110.0	20.0																361.0									70.0	2.5	0.0						
MA155	2012	2012-03-07	7	45	5.7	3.5	2.58	14.7						6.3																																							
MA155	2012	2012-03-07	22	0	3.2		2.84	9.1					0.6	3.9					110.0	20.0																384.0									114.0	2.5	0.0						
MA155	2012	2012-03-07	8	15	6.2	3.7	2.89	17.9					3.1	6.9					110.0	20.0																337.0	0.5								176.0	2.5	0.5						
MA155	2012	2012-03-07	2	45	2.8		2.75	7.7					1.2	3.5					110.0	20.0																376.0									157.0	3.0	0.0						
