sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
MM168	2011	2011-03-11	17	0					3.0	5.7																		3000.0																									
MM168	2011	2011-03-11	22	0					2.1	3.1																		3000.0																									
MM168	2011	2011-03-11	19	0					2.9	5.0																		3000.0																									
MM168	2011	2011-03-11	21	0					1.9	3.0																		3000.0																									
MM168	2011	2011-03-11	11	0	4.3			2.6	3.0																			3000.0																									
MM168	2011	2011-03-11	23	0					3.2	3.9																		3000.0																									
MM168	2011	2011-03-11	3	0					4.6	6.7																		3000.0																									
MM168	2011	2011-03-11	13	0	4.3			3.0	3.1																			3000.0																									
MM168	2011	2011-03-11	20	0					2.0	4.2																		3000.0																									
MM168	2011	2011-03-11	2	0					2.5	7.8																		3000.0																									
MM168	2011	2011-03-11	18	0					4.6	9.2																		3000.0																									
MM168	2011	2011-03-11	14	0	3.5				3.0																			3000.0																									
MM168	2011	2011-03-11	1	0					3.4	5.7																		3000.0																									
MM168	2011	2011-03-11	12	0	4.5			2.9	2.9																			3000.0																									
MM168	2011	2011-03-12	17	0	3.7			3.0	1.6																			3000.0																									
MM168	2011	2011-03-12	13	0	4.8			3.2	2.6																			3000.0																									
MM168	2011	2011-03-12	8	0	4.2			3.0	3.2																			3000.0																									
MM168	2011	2011-03-12	11	0	4.5			3.0	3.0																			3000.0																									
MM168	2011	2011-03-12	0	0					4.4	5.4																		3000.0																									
MM168	2011	2011-03-12	20	0					3.1	5.3																		3000.0																									
MM168	2011	2011-03-12	16	0	4.0			3.1	1.7																			3000.0																									
MM168	2011	2011-03-12	6	0	3.5			3.1	2.8																			3000.0																									
MM168	2011	2011-03-12	12	0	4.6			3.1	2.6																			3000.0																									
MM168	2011	2011-03-12	15	0	4.3			3.3	2.3																			3000.0																									
MM168	2011	2011-03-12	14	0	4.6			2.9	2.3																			3000.0																									
MM168	2011	2011-03-12	7	0	3.8			3.1	2.5																			3000.0																									
MM168	2011	2011-03-12	22	0					3.8	5.6																		3000.0																									
MM168	2011	2011-03-13	9	0	5.3			3.4	2.9																			3000.0																									
MM168	2011	2011-03-13	11	0	6.3			3.1	2.0																			3000.0																									
MM168	2011	2011-03-13	12	0	5.5			3.3	2.0																			3000.0																									
MM168	2011	2011-03-13	15	0	5.3			3.3	2.3																			3000.0																									
MM168	2011	2011-03-13	22	0	4.1				2.0	4.4																		3000.0																									
MM168	2011	2011-03-13	6	0	4.9			3.2	2.3																			3000.0																									
MM168	2011	2011-03-13	8	0	5.5			3.2	2.6																			3000.0																									
MM168	2011	2011-03-13	16	0	5.0			3.0	1.6																			3000.0																									
MM168	2011	2011-03-13	18	0					2.4	7.2																		3000.0																									
MM168	2011	2011-03-13	3	0	2.5			2.8	1.4																			3000.0																									
MM168	2011	2011-03-13	19	0					2.9	4.2																		3000.0																									
MM168	2011	2011-03-13	21	0					2.2	3.6																		3000.0																									
MM168	2011	2011-03-13	13	0	5.4			3.3	2.8																			3000.0																									
MM168	2011	2011-03-13	4	0	3.2			2.9	1.6																			3000.0																									
MM168	2011	2011-03-13	14	0	5.3			3.3	2.3																			3000.0																									
MM168	2011	2011-03-13	23	0	3.5			2.6	1.6	2.8																		3000.0																									
MM168	2011	2011-03-13	17	0	4.0			3.2	1.6																			3000.0																									
MM168	2011	2011-03-13	2	0	2.5			2.8	1.4																			3000.0																									
MM168	2011	2011-03-13	7	0	5.0			3.1	2.8																			3000.0																									
MM168	2011	2011-03-13	1	0	2.9			2.9	1.5	2.3																		3000.0																									
MM168	2011	2011-03-13	5	0	3.9			3.1	2.0																			3000.0																									
MM168	2011	2011-03-13	10	0	5.1			3.3	2.7																			3000.0																									
MM168	2011	2011-03-13	20	0					4.8	5.6																		3000.0																									
MM168	2011	2011-03-13	0	0	2.8			2.8	2.1																			3000.0																									
MM168	2011	2011-03-14	5	0	3.9			3.1	2.3																			3000.0																									
MM168	2011	2011-03-14	1	0	2.6			2.8	1.5																			3000.0																									
MM168	2011	2011-03-14	6	0	4.4			3.2	2.5																			3000.0																									
MM168	2011	2011-03-14	3	0	2.4			2.8	1.4																			3000.0																									
MM168	2011	2011-03-14	4	0	3.0			3.0	2.0																			3000.0																									
MM168	2011	2011-03-14	2	0	2.4			2.8	1.4																			3000.0																									
MM168	2011	2011-03-14	0	0	3.0			2.8	1.6																			3000.0																									
MM168	2011	2011-03-15	19	0	4.0			3.3	1.6																			3000.0																									
MM168	2011	2011-03-15	15	0	5.6			3.4	1.8																			3000.0																									
MM168	2011	2011-03-15	20	0	3.6			3.2	1.5																			3000.0																									
MM168	2011	2011-03-15	21	0	3.0			3.1	1.5																			3000.0																									
MM168	2011	2011-03-15	22	0	2.4			3.1	1.3																			3000.0																									
MM168	2011	2011-03-15	23	0	2.0			3.0	1.2																			3000.0																									
MM168	2011	2011-03-16	19	0	4.1			3.3	1.6																			3000.0																									
MM168	2011	2011-03-16	20	0	3.5			3.2	1.6																			3000.0																									
MM168	2011	2011-03-16	11	0	6.8			3.5	1.6																			3000.0																									
MM168	2011	2011-03-16	18	0	4.7			3.3	1.6																			3000.0																									
MM168	2011	2011-03-16	4	0	3.4			3.3	1.7																			3000.0																									
MM168	2011	2011-03-16	3	0	2.0			3.0	1.1																			3000.0																									
MM168	2011	2011-03-16	23	0	2.0			2.8	1.3																			3000.0																									
MM168	2011	2011-03-16	6	0	5.2			3.3	1.5																			3000.0																									
MM168	2011	2011-03-16	13	0	6.2			3.5	1.3																			3000.0																									
MM168	2011	2011-03-16	9	0	6.3			3.3	1.7																			3000.0																									
MM168	2011	2011-03-16	12	0	6.3			3.5	1.7																			3000.0																									
MM168	2011	2011-03-16	5	0	4.3			3.3	2.0																			3000.0																									
MM168	2011	2011-03-16	0	0	1.8			2.9	1.3																			3000.0																									
MM168	2011	2011-03-16	10	0	6.3			3.3	1.7																			3000.0																									
MM168	2011	2011-03-16	8	0	5.7			3.3	2.0																			3000.0																									
MM168	2011	2011-03-16	22	0	2.4			3.0	1.3																			3000.0																									
MM168	2011	2011-03-17	23	0	3.0			2.8	1.5																			3000.0																									
MM168	2011	2011-03-17	16	0	5.5			3.4	1.6																			3000.0																									
MM168	2011	2011-03-17	3	0	1.9			3.1	1.2																			3000.0																									
MM168	2011	2011-03-17	11	0	6.4			3.3	1.9																			3000.0																									
MM168	2011	2011-03-17	15	0	6.0			3.4	2.4																			3000.0																									
MM168	2011	2011-03-17	5	0	4.3			3.4	3.4																			3000.0																									
MM168	2011	2011-03-17	20	0					1.6	4.3																		3000.0																									
MM168	2011	2011-03-17	19	0	3.6			3.3	1.6																			3000.0																									
MM168	2011	2011-03-17	10	0	6.2			3.3	2.8																			3000.0																									
MM168	2011	2011-03-17	17	0	5.3			3.3	1.1																			3000.0																									
MM168	2011	2011-03-17	14	0	6.3			3.3	2.3																			3000.0																									
MM168	2011	2011-03-17	8	0	6.3			3.4	3.3																			3000.0																									
MM168	2011	2011-03-17	6	0	5.3			3.3	3.7																			3000.0																									
MM168	2011	2011-03-17	12	0	6.2			3.3	1.9																			3000.0																									
MM168	2011	2011-03-17	18	0	4.3			3.3	1.5																			3000.0																									
MM168	2011	2011-03-17	4	0	3.5			2.9	1.9																			3000.0																									
MM168	2011	2011-03-17	9	0	6.3			3.3	2.1																			3000.0																									
MM168	2011	2011-03-17	21	0	3.5			2.7	1.5	2.8																		3000.0																									
MM168	2011	2011-03-17	22	0	3.0			2.8	1.6																			3000.0																									
MM168	2011	2011-03-18	4	0	3.0			3.1	1.5																			3000.0																									
MM168	2011	2011-03-18	14	0	5.5			3.6	1.6																			3000.0																									
MM168	2011	2011-03-18	0	0	2.3			2.9	1.5																			3000.0																									
MM168	2011	2011-03-18	15	0	5.2			3.5	1.8																			3000.0																									
MM168	2011	2011-03-18	13	0	6.3			3.3	1.5																			3000.0																									
MM168	2011	2011-03-18	5	0	3.6			3.3	1.3																			3000.0																									
MM168	2011	2011-03-18	1	0	2.0			2.8	1.6																			3000.0																									
MM168	2011	2011-03-18	17	0	5.2			3.3	1.7																			3000.0																									
MM168	2011	2011-03-18	9	0	5.3			3.2	1.7																			3000.0																									
MM168	2011	2011-03-18	19	0	3.7			3.3	1.6																			3000.0																									
MM168	2011	2011-03-18	20	0	3.6			3.2	1.3																			3000.0																									
MM168	2011	2011-03-18	22	0	2.2			3.0	1.6																			3000.0																									
MM168	2011	2011-03-18	10	0	5.6			3.3	1.5																			3000.0																									
MM168	2011	2011-03-18	18	0	5.0			3.3	1.6																			3000.0																									
MM168	2011	2011-03-18	16	0	5.2			3.3	1.6																			3000.0																									
MM168	2011	2011-03-18	23	0	1.6			3.0	1.6																			3000.0																									
MM168	2011	2011-03-18	8	0	4.7			3.3	1.4																			3000.0																									
MM168	2011	2011-03-18	6	0	4.2			3.1	1.2																			3000.0																									
MM168	2011	2011-03-18	12	0	5.6			3.4	1.4																			3000.0																									
MM168	2011	2011-03-18	21	0	2.8			3.1	1.6																			3000.0																									
MM168	2011	2011-03-18	2	0	1.8			2.8	1.5																			3000.0																									
MM168	2011	2011-03-18	11	0	5.8			3.3	1.5																			3000.0																									
MM168	2011	2011-03-19	1	0					3.1	4.3																		3000.0																									
MM168	2011	2011-03-19	10	0	5.4			3.4	1.2																			3000.0																									
MM168	2011	2011-03-19	16	0	4.7			3.5	1.6																			3000.0																									
MM168	2011	2011-03-19	14	0	5.5			3.4	1.5																			3000.0																									
MM168	2011	2011-03-19	23	0	1.7			2.8	1.6																			3000.0																									
MM168	2011	2011-03-19	15	0	5.2			3.5	1.6																			3000.0																									
MM168	2011	2011-03-19	5	0	3.8			3.3	1.2																			3000.0																									
MM168	2011	2011-03-19	13	0	5.6			3.3	1.5																			3000.0																									
MM168	2011	2011-03-19	4	0	3.2			3.2	1.6																			3000.0																									
MM168	2011	2011-03-19	12	0	5.6			3.3	1.7																			3000.0																									
MM168	2011	2011-03-19	8	0	4.7			3.4	1.5																			3000.0																									
MM168	2011	2011-03-19	19	0	3.6			3.3	1.3																			3000.0																									
MM168	2011	2011-03-19	6	0	4.1			3.3	1.5																			3000.0																									
MM168	2011	2011-03-19	11	0	5.7			3.5	1.3																			3000.0																									
MM168	2011	2011-03-19	21	0	2.7			3.3	1.5																			3000.0																									
MM168	2011	2011-03-19	18	0	4.3			3.3	1.6																			3000.0																									
MM168	2011	2011-03-19	9	0	5.2			3.3	2.0																			3000.0																									
MM168	2011	2011-03-19	20	0	3.4			3.3	1.5																			3000.0																									
MM168	2011	2011-03-19	22	0	2.2			2.9	1.6																			3000.0																									
MM168	2011	2011-03-19	17	0	5.0			3.3	1.3																			3000.0																									
MM168	2011	2011-03-20	6	0	4.6			3.2	2.5																			3000.0																									
MM168	2011	2011-03-20	23	0	3.4			3.1	1.6	2.4																		3000.0																									
MM168	2011	2011-03-20	20	0	3.0			3.0	1.6	2.9																		3000.0																									
MM168	2011	2011-03-20	14	0	5.6			3.5	2.2																			3000.0																									
MM168	2011	2011-03-20	16	0	3.0			3.4	1.6																			3000.0																									
MM168	2011	2011-03-20	13	0	5.6			3.3	1.5																			3000.0																									
MM168	2011	2011-03-20	17	0	3.0			3.3	2.0																			3000.0																									
MM168	2011	2011-03-20	19	0	3.0			3.5	1.6	1.8																		3000.0																									
MM168	2011	2011-03-20	9	0	5.3			3.1	1.7																			3000.0																									
MM168	2011	2011-03-20	0	0	2.9			2.9	2.3																			3000.0																									
MM168	2011	2011-03-20	5	0	4.0			3.3	3.1																			3000.0																									
MM168	2011	2011-03-20	11	0	5.6			3.1	1.9																			3000.0																									
MM168	2011	2011-03-20	2	0	2.7			2.8	1.6																			3000.0																									
MM168	2011	2011-03-20	12	0	6.1			3.2	1.7																			3000.0																									
MM168	2011	2011-03-20	22	0	3.9			2.7	1.6	3.9																		3000.0																									
MM168	2011	2011-03-20	15	0	5.0			3.3	2.0																			3000.0																									
MM168	2011	2011-03-20	18	0	2.6			2.9	2.2																			3000.0																									
MM168	2011	2011-03-20	1	0	2.2			2.9	1.6																			3000.0																									
MM168	2011	2011-03-20	21	0	3.5				2.2	4.3																		3000.0																									
MM168	2011	2011-03-20	8	0	5.0			3.3	2.6																			3000.0																									
MM168	2011	2011-03-20	3	0	2.2			2.9	1.6																			3000.0																									
MM168	2011	2011-03-20	4	0	3.3			3.3	2.0																			3000.0																									
MM168	2011	2011-03-20	10	0	5.3			3.3	1.7																			3000.0																									
MM168	2011	2011-03-21	21	0	2.8			2.9	1.7																			3000.0																									
MM168	2011	2011-03-21	1	0	3.0			2.8	2.2																			3000.0																									
MM168	2011	2011-03-21	19	0	2.8			3.0	1.7																			3000.0																									
MM168	2011	2011-03-21	9	0	4.5				1.6																			3000.0																									
MM168	2011	2011-03-21	22	0	3.1				1.7	4.4																		3000.0																									
MM168	2011	2011-03-21	10	0	4.7				1.6																			3000.0																									
MM168	2011	2011-03-21	16	0	4.7			3.3	1.7																			3000.0																									
MM168	2011	2011-03-21	4	0	3.3			3.3	2.0																			3000.0																									
MM168	2011	2011-03-21	3	0	2.5			3.1	1.6																			3000.0																									
MM168	2011	2011-03-21	13	0	5.0			3.2	1.5																			3000.0																									
MM168	2011	2011-03-21	6	0	4.4			3.3	1.5																			3000.0																									
MM168	2011	2011-03-21	2	0	2.9			3.0	1.8	2.2																		3000.0																									
MM168	2011	2011-03-21	17	0	4.6			3.3	1.7																			3000.0																									
MM168	2011	2011-03-21	12	0	5.0			3.2	1.7																			3000.0																									
