sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
PY52R	2006	2006-03-29	17	0	3.5460000000000003		3.355	11.898	1.726	22.628				3.9130000000000003	234.49													3000.0																								1.745	
PY52R	2006	2006-03-29	15	0	1.635		2.441	3.992	1.34	22.628				1.635	476.14													3000.0																								1.3840000000000001	
PY52R	2006	2006-03-29	5	0	10.942		3.31	36.22	6.197	22.628				10.552	248.81													3000.0																								6.263999999999999	
PY52R	2006	2006-03-29	7	0	6.5520000000000005		3.707	24.285999999999998	2.7239999999999998	22.628				6.54	250.6													3000.0																								5.8729999999999976	
PY52R	2006	2006-03-29	2	0					5.937	22.628																		3000.0																									
PY52R	2006	2006-03-29	10	0	4.763				1.516	22.628				4.763	517.31													3000.0																								3.47	
PY52R	2006	2006-03-29	14	0	4.067				1.25	22.628				4.067														3000.0																								1.399	
PY52R	2006	2006-03-29	21	0	4.999				1.653	22.628			2.844	4.867		239.86	107.4											3000.0																								2.8739999999999997	
PY52R	2006	2006-03-29	18	0	2.783	1.0			1.104	22.628				2.783	254.18													3000.0																								1.956	
PY52R	2006	2006-03-29	19	0	3.1489999999999996		3.367	10.604000000000001	1.4680000000000002	22.628				3.1319999999999997	272.08													3000.0																								2.16	
PY52R	2006	2006-03-29	16	0	4.0889999999999995		3.302	13.503	1.3840000000000001	22.628				3.9560000000000004	273.87													3000.0																								3.359	
PY52R	2006	2006-03-29	23	0	9.851		3.154	31.074	6.3660000000000005	22.628				9.682	304.3													3000.0																								6.3660000000000005	
PY52R	2006	2006-03-29	9	0	6.4				2.5540000000000003	22.628				6.4	522.68													3000.0																								3.451	
PY52R	2006	2006-03-29	6	0	8.423		3.556	29.949	3.6639999999999997	22.628				8.734	259.55													3000.0																								5.8729999999999976	
PY52R	2006	2006-03-29	13	0	4.395				1.237	22.628				4.463	331.15													3000.0																								3.049	
PY52R	2006	2006-03-29	12	0	4.686				1.399	22.628				4.296														3000.0																								3.4139999999999997	
PY52R	2006	2006-03-29	20	0	2.7539999999999996		3.14	8.648	1.635	22.628				3.082	277.45													3000.0																								2.011	
PY52R	2006	2006-03-29	11	0	5.189				1.541	22.628				4.867	263.13													3000.0																								4.022	
PY52R	2006	2006-03-29	22	0	7.33				2.011	22.628			4.71	7.3679999999999986		327.57	109.19											3000.0																								5.968999999999999	
PY52R	2006	2006-03-29	8	0	4.872				1.883	22.628			3.403	4.763		270.29	119.93											3000.0																								3.4330000000000003	
PY52R	2006	2006-03-30	21	0					2.6519999999999997	22.628																		3000.0																									
PY52R	2006	2006-03-30	16	0	7.053999999999999		3.201	24.57800000000001	2.09	22.628				7.053999999999999	232.7													3000.0																								2.293	
PY52R	2006	2006-03-30	18	0	3.4930000000000003		2.5860000000000003	9.035	1.492	22.628				3.235	359.79													3000.0																								2.447	
PY52R	2006	2006-03-30	11	0	4.915				1.237	22.628				4.561	272.08													3000.0																								1.8419999999999999	
PY52R	2006	2006-03-30	9	0	4.724		2.945	13.912	1.319	22.628				5.39	281.03													3000.0																								2.541	
PY52R	2006	2006-03-30	12	0	5.6270000000000024				1.165	22.628				5.6270000000000024	234.49													3000.0																								1.237	
