sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
RA041	2019	08/02/2019	1	45	3.1		3.35	10.4					0.7	3.8					110.0	20.0																250.0	0.0								61.0	1.6	0.0						
RA041	2019	08/02/2019	2	0	2.9		3.45	10.0		7.4			0.8	3.6				112.0	110.0	20.0																266.0	0.0								67.0	2.8	0.0						
RA041	2019	08/02/2019	8	15						5.5								112.0																																			
RA041	2019	08/02/2019	22	0	4.4		3.43	15.1					0.5	5.1					110.0	20.0																275.0	0.0								54.0	2.8	0.0						
RA041	2019	08/02/2019	20	45	5.1		3.45	17.6		2.5			0.7	5.8				103.0	110.0	20.0																252.0	0.0								43.0	1.6	0.0						
RA041	2019	08/02/2019	17	0	4.0		3.63	14.5		3.0			2.3	4.7				99.0	110.0	20.0																220.0	0.0								75.0	2.8	0.0						
RA041	2019	08/02/2019	23	30	3.7		3.38	12.5		2.9			0.4	4.4				99.0	110.0	20.0																262.0	0.0								48.0	2.0	0.0						
RA041	2019	08/02/2019	5	0	4.0		4.1	16.4		3.3			2.2	4.7				126.0	110.0	20.0																190.0	0.0								45.0	1.6	0.0						
RA041	2019	08/02/2019	2	45	2.7		3.56	9.6					1.0	3.4					110.0	20.0																257.0	0.0								54.0	2.4	0.0						
RA041	2019	08/02/2019	21	15	4.5		3.27	14.7		4.3			0.6	5.2				103.0	110.0	20.0																286.0	0.0								61.0	2.4	0.0						
RA041	2019	08/02/2019	4	30	4.1		3.85	15.8		2.3			1.9	4.8				94.0	110.0	20.0																210.0	0.0								50.0	2.4	0.0						
RA041	2019	08/02/2019	12	15	4.9	4.2	3.22	15.8		4.2			3.2	5.6				112.0	110.0	20.0																210.0	0.8								68.0	1.2	1.0						
RA041	2019	08/02/2019	19	0						5.5								103.0																																			
RA041	2019	08/02/2019	22	45	4.1		3.41	14.0					0.4	4.8					110.0	20.0																267.0	0.0								52.0	2.8	0.0						
RA041	2019	08/02/2019	16	30	4.7	3.5	3.32	15.6		3.1			2.5	5.3				103.0	110.0	20.0																236.0	0.1								67.0	1.2	1.1						
RA041	2019	08/02/2019	21	0	4.8		3.4	16.3		4.4			0.7	5.5				108.0	110.0	20.0																259.0	0.0								52.0	2.4	0.0						
RA041	2019	08/02/2019	1	30	3.2		3.34	10.7		2.5			0.7	3.9				94.0	110.0	20.0																262.0	0.0								61.0	2.4	0.0						
RA041	2019	08/02/2019	10	45						4.5								108.0																																			
RA041	2019	08/02/2019	19	45	5.7		3.32	18.9		4.3			1.0	6.4				103.0	110.0	20.0																268.0	0.0								59.0	2.0	0.0						
RA041	2019	08/02/2019	0	0	3.3		3.24	10.7		2.8			0.5	4.0				94.0	110.0	20.0																279.0	0.0								43.0	1.6	0.0						
RA041	2019	08/02/2019	5	30	4.0		3.78	15.1		3.5			2.4	4.7				126.0	110.0	20.0																200.0	0.0								72.0	2.8	0.0						
RA041	2019	08/02/2019	18	0	4.7		3.45	16.2		3.0			1.8	5.4				108.0	110.0	20.0																249.0	0.0								63.0	1.6	0.0						
RA041	2019	08/02/2019	13	45						4.7								99.0																																			
RA041	2019	08/02/2019	0	45	3.4		3.21	10.9		2.9			0.6	4.1				94.0	110.0	20.0																283.0	0.0								51.0	1.2	0.0						
RA041	2019	08/02/2019	23	45	3.6		3.39	12.2		2.6			0.4	4.3				99.0	110.0	20.0																260.0	0.0								39.0	1.6	0.0						
RA041	2019	08/02/2019	1	0	3.5		3.26	11.4		3.0			0.6	4.2				94.0	110.0	20.0																276.0	0.0								46.0	2.0	0.0						
RA041	2019	08/02/2019	18	15	5.0		3.12	15.6		3.2			1.6	5.7				108.0	110.0	20.0																275.0	0.0								78.0	2.0	0.0						
RA041	2019	08/02/2019	19	30						3.6								103.0																																			
RA041	2019	08/02/2019	0	15	3.3		3.3	10.9		3.0			0.5	4.0				94.0	110.0	20.0																281.0	0.0								53.0	2.4	0.0						
RA041	2019	08/02/2019	6	0	4.0		3.4	13.6		4.0			2.6	4.7				121.0	110.0	20.0																230.0	0.0								113.0	1.2	0.0						
RA041	2019	08/02/2019	16	45	4.7	3.5	3.32	15.6		2.9			2.4	5.4				99.0	110.0	20.0																242.0	0.5								70.0	1.2	1.0						
RA041	2019	08/02/2019	14	15						4.4								99.0																																			
RA041	2019	08/02/2019	17	30	4.7		3.34	15.7		2.9			2.1	5.4				103.0	110.0	20.0																254.0	0.0								85.0	2.8	0.0						
RA041	2019	08/02/2019	11	45	4.8		3.08	14.8		3.4			3.2	5.4				108.0	110.0	20.0																230.0	0.0								109.0	2.0	0.0						
RA041	2019	08/02/2019	9	45						5.3								108.0																																			
RA041	2019	08/02/2019	2	30	2.8		3.43	9.6					0.9	3.5					110.0	20.0																255.0	0.0								68.0	1.6	0.0						
RA041	2019	08/02/2019	4	45	4.2		4.0	16.8		2.9			2.0	4.9				126.0	110.0	20.0																190.0	0.0								45.0	1.2	0.0						
RA041	2019	08/02/2019	14	45						4.0								103.0																																			
RA041	2019	08/02/2019	20	30	5.3		3.45	18.3		3.5			0.8	6.0				103.0	110.0	20.0																261.0	0.0								55.0	2.4	0.0						
