sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
SD266	2005	2005-03-30	18	0	4.8				1.0	2.2																		3000.0																									
SD266	2005	2005-03-30	19	0	4.4				1.0	6.0																		3000.0																									
SD266	2005	2005-03-30	16	0	4.4				1.5																			3000.0																									
SD266	2005	2005-03-30	21	0	2.6				1.0	3.2																		3000.0																									
SD266	2005	2005-03-30	17	0	3.0				1.0	4.5																		3000.0																									
SD266	2005	2005-03-30	22	0	2.0				1.0	3.8																		3000.0																									
SD266	2005	2005-03-30	20	0	3.2				1.0	7.0																		3000.0																									
SD266	2005	2005-03-30	23	0	2.0				1.0	3.0																		3000.0																									
SD266	2005	2005-03-31	16	0	4.5				1.0																			3000.0																									
SD266	2005	2005-03-31	2	0	3.5				1.0																			3000.0																									
SD266	2005	2005-03-31	10	0	6.2				1.0																			3000.0																									
SD266	2005	2005-03-31	11	0	6.2				1.0																			3000.0																									
SD266	2005	2005-03-31	9	0	5.9				1.0																			3000.0																									
SD266	2005	2005-03-31	5	0	4.8				1.0																			3000.0																									
SD266	2005	2005-03-31	3	0	4.3				1.0																			3000.0																									
SD266	2005	2005-03-31	0	0	2.2				1.0																			3000.0																									
SD266	2005	2005-03-31	1	0	3.0				1.0																			3000.0																									
SD266	2005	2005-03-31	23	0	4.0				1.0																			3000.0																									
SD266	2005	2005-03-31	15	0	5.2				1.0																			3000.0																									
SD266	2005	2005-03-31	13	0	5.8				1.0																			3000.0																									
SD266	2005	2005-03-31	19	0	3.5				1.0	3.0																		3000.0																									
SD266	2005	2005-03-31	18	0	2.8				1.0	6.0																		3000.0																									
SD266	2005	2005-03-31	12	0	5.9				1.0																			3000.0																									
SD266	2005	2005-03-31	20	0	3.8				1.0	2.1																		3000.0																									
SD266	2005	2005-03-31	4	0	4.5				1.0																			3000.0																									
SD266	2005	2005-03-31	7	0	5.5				1.0																			3000.0																									
SD266	2005	2005-03-31	6	0	5.3				1.0																			3000.0																									
SD266	2005	2005-03-31	8	0	5.9				1.0																			3000.0																									
SD266	2005	2005-03-31	14	0	5.6				1.0																			3000.0																									
SD266	2005	2005-03-31	17	0	3.6				1.0																			3000.0																									
SD266	2005	2005-03-31	22	0	3.8				1.0	3.6																		3000.0																									
SD266	2005	2005-03-31	21	0	3.9				1.0	3.6																		3000.0																									
SD266	2005	2005-04-01	19	0	3.0				1.0																			3000.0																									
SD266	2005	2005-04-01	20	0	2.5				1.0																			3000.0																									
SD266	2005	2005-04-01	4	0	5.0				1.0																			3000.0																									
SD266	2005	2005-04-01	13	0	5.5				1.0																			3000.0																									
SD266	2005	2005-04-01	8	0	6.8				1.0																			3000.0																									
SD266	2005	2005-04-01	22	0	3.0				1.0																			3000.0																									
SD266	2005	2005-04-01	14	0	5.2				1.0																			3000.0																									
