sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
SQ67Q	2004	2004-11-20	18	0					1.735	8.639								112.77										3000.0																									
SQ67Q	2004	2004-11-21	22	0	4.503	4.218999999999999			1.508	3.745			3.478	4.537	230.91	424.23	109.19	121.72										3000.0																								3.508	
SQ67Q	2004	2004-11-21	11	0	5.291	4.97			1.8419999999999999					5.291	221.96	293.56												3000.0																								1.8419999999999999	
SQ67Q	2004	2004-11-21	9	0	5.21	4.507	2.424	12.63	1.5919999999999999	4.044			2.352	5.21	247.02	506.57	171.84	132.46										3000.0																								2.352	
SQ67Q	2004	2004-11-21	13	0					1.5830000000000002				1.9380000000000002	3.891	322.2	590.7	128.88											3000.0																								1.9380000000000002	
SQ67Q	2004	2004-11-21	15	0	3.305		3.3280000000000003	11.0	1.7930000000000001	2.195			1.985	3.323	259.55		125.3	127.09										3000.0																								2.195	
SQ67Q	2004	2004-11-21	18	0	4.748	4.338			1.745	8.926			2.318	4.748	277.45	409.91	110.98	107.4										3000.0																								2.318	
SQ67Q	2004	2004-11-21	20	0	4.02				1.5830000000000002	9.073			2.5469999999999997	4.02	234.49		107.4	102.03										3000.0																								2.5469999999999997	
SQ67Q	2004	2004-11-21	1	0	5.086	4.6819999999999995			1.716	4.439			2.75	5.164	241.65	662.3	107.4	107.4										3000.0																								3.765	
SQ67Q	2004	2004-11-21	2	0	5.478	4.862	2.6889999999999996	14.731	1.7069999999999999	4.636			4.447	5.5070000000000014	261.34	474.35	107.4	112.77										3000.0																								4.488	
SQ67Q	2004	2004-11-21	19	0	4.074	0.0			1.716	3.978			2.435	4.112	257.76	574.59	109.19	109.19										3000.0																								2.435	
SQ67Q	2004	2004-11-21	6	0	6.711		2.3680000000000003	15.892999999999999	1.635	1.6980000000000002			2.464	6.711	286.4		112.77	112.77										3000.0																								1.6980000000000002	
SQ67Q	2004	2004-11-21	10	0	4.83		3.1910000000000003	15.411	1.6440000000000001	2.16			2.2119999999999997	4.867	315.04		182.58	161.1										3000.0																								2.16	
SQ67Q	2004	2004-11-21	4	0	5.1720000000000015		2.8480000000000003	14.729000000000001	1.9669999999999999	3.1489999999999996			3.654	5.247999999999998	263.13		159.31	162.89										3000.0																								3.1489999999999996	
SQ67Q	2004	2004-11-21	7	0	4.654		2.8369999999999997	13.204	1.6980000000000002	2.281			1.959	4.6610000000000005	220.17		114.56	116.35										3000.0																								1.989	
SQ67Q	2004	2004-11-21	8	0	3.762		3.11	11.702	1.68	2.343			2.352	3.765	232.7		118.14	137.83										3000.0																								2.343	
SQ67Q	2004	2004-11-21	16	0	10.924000000000001				2.905	5.303999999999999				10.924000000000001	259.55			166.47										3000.0																								5.303999999999999	
SQ67Q	2004	2004-11-21	14	0	3.5	3.3289999999999997			1.6	1.6980000000000002			2.103	3.5	289.98	569.22	134.25	121.72										3000.0																								1.6980000000000002	
SQ67Q	2004	2004-11-21	17	0	3.7319999999999998	3.575			1.7069999999999999	2.6660000000000004			2.7680000000000002	3.807	259.55	456.45	162.89	171.84										3000.0																								2.6660000000000004	
SQ67Q	2004	2004-11-21	12	0	3.7089999999999996	3.536			1.653	4.537			1.743	3.7239999999999998	182.58	588.91	191.53	171.84										3000.0																								1.743	
SQ67Q	2004	2004-11-21	23	0	4.562	4.173	2.928	13.360999999999999	1.716	2.9210000000000003			3.403	4.562	225.54	415.28	107.4	123.51										3000.0																								2.9210000000000003	
