foF2	foF2_err	date	year	h	m	sonde
8.25	0.0	2000-06-17	2000	0	0	AN438
7.95	0.7	2000-06-17	2000	0	15	AN438
7.65	1.0	2000-06-17	2000	0	30	AN438
7.35	0.7	2000-06-17	2000	0	45	AN438
7.05	0.0	2000-06-17	2000	1	0	AN438
7.11875	0.7	2000-06-17	2000	1	15	AN438
7.1875	1.0	2000-06-17	2000	1	30	AN438
7.25625	0.7	2000-06-17	2000	1	45	AN438
7.325	0.0	2000-06-17	2000	2	0	AN438
7.3945	0.7	2000-06-17	2000	2	15	AN438
7.464	1.0	2000-06-17	2000	2	30	AN438
7.5335	0.7	2000-06-17	2000	2	45	AN438
7.603	0.0	2000-06-17	2000	3	0	AN438
7.73975	0.7	2000-06-17	2000	3	15	AN438
7.8765	1.0	2000-06-17	2000	3	30	AN438
8.013250000000001	0.7	2000-06-17	2000	3	45	AN438
8.15	0.0	2000-06-17	2000	4	0	AN438
8.05	0.7	2000-06-17	2000	4	15	AN438
7.95	1.0	2000-06-17	2000	4	30	AN438
7.85	0.7	2000-06-17	2000	4	45	AN438
7.75	0.0	2000-06-17	2000	5	0	AN438
7.65	0.7	2000-06-17	2000	5	15	AN438
7.55	1.0	2000-06-17	2000	5	30	AN438
7.449999999999999	0.7	2000-06-17	2000	5	45	AN438
7.35	0.0	2000-06-17	2000	6	0	AN438
7.525	0.7	2000-06-17	2000	6	15	AN438
7.7	1.0	2000-06-17	2000	6	30	AN438
7.875	0.7	2000-06-17	2000	6	45	AN438
8.05	0.0	2000-06-17	2000	7	0	AN438
8.275	0.7	2000-06-17	2000	7	15	AN438
8.5	1.0	2000-06-17	2000	7	30	AN438
8.725	0.7	2000-06-17	2000	7	45	AN438
8.95	0.0	2000-06-17	2000	8	0	AN438
8.975	0.7	2000-06-17	2000	8	15	AN438
9.0	1.0	2000-06-17	2000	8	30	AN438
9.025	0.7	2000-06-17	2000	8	45	AN438
9.05	0.0	2000-06-17	2000	9	0	AN438
8.95825	0.7	2000-06-17	2000	9	15	AN438
8.8665	1.0	2000-06-17	2000	9	30	AN438
8.774750000000001	0.7	2000-06-17	2000	9	45	AN438
8.683	0.0	2000-06-17	2000	10	0	AN438
8.79975	0.7	2000-06-17	2000	10	15	AN438
8.9165	1.0	2000-06-17	2000	10	30	AN438
9.03325	0.7	2000-06-17	2000	10	45	AN438
9.15	0.0	2000-06-17	2000	11	0	AN438
9.217500000000001	0.7	2000-06-17	2000	11	15	AN438
9.285	1.0	2000-06-17	2000	11	30	AN438
9.3525	0.7	2000-06-17	2000	11	45	AN438
9.42	0.0	2000-06-17	2000	12	0	AN438
9.457	0.7	2000-06-17	2000	12	15	AN438
9.494	1.0	2000-06-17	2000	12	30	AN438
9.530999999999999	0.7	2000-06-17	2000	12	45	AN438
9.568	0.0	2000-06-17	2000	13	0	AN438
9.55125	0.7	2000-06-17	2000	13	15	AN438
9.5345	1.0	2000-06-17	2000	13	30	AN438
9.51775	0.7	2000-06-17	2000	13	45	AN438
9.501	0.0	2000-06-17	2000	14	0	AN438
9.600999999999999	0.7	2000-06-17	2000	14	15	AN438
9.701	1.0	2000-06-17	2000	14	30	AN438
9.801	0.7	2000-06-17	2000	14	45	AN438
9.901	0.0	2000-06-17	2000	15	0	AN438
9.907	0.7	2000-06-17	2000	15	15	AN438
9.913	1.0	2000-06-17	2000	15	30	AN438
9.919	0.7	2000-06-17	2000	15	45	AN438
9.925	0.0	2000-06-17	2000	16	0	AN438
9.815750000000001	0.7	2000-06-17	2000	16	15	AN438
9.7065	1.0	2000-06-17	2000	16	30	AN438
9.597249999999999	0.7	2000-06-17	2000	16	45	AN438
9.488	0.0	2000-06-17	2000	17	0	AN438
9.4285	0.7	2000-06-17	2000	17	15	AN438
9.369	1.0	2000-06-17	2000	17	30	AN438
9.3095	0.7	2000-06-17	2000	17	45	AN438
9.25	0.0	2000-06-17	2000	18	0	AN438
9.175	0.7	2000-06-17	2000	18	15	AN438
9.1	1.0	2000-06-17	2000	18	30	AN438
9.024999999999999	0.7	2000-06-17	2000	18	45	AN438
8.95	0.0	2000-06-17	2000	19	0	AN438
8.95	0.7	2000-06-17	2000	19	15	AN438
8.95	1.0	2000-06-17	2000	19	30	AN438
8.95	0.7	2000-06-17	2000	19	45	AN438
8.95	0.0	2000-06-17	2000	20	0	AN438
8.95225	0.7	2000-06-17	2000	20	15	AN438
8.9545	1.0	2000-06-17	2000	20	30	AN438
8.95675	0.7	2000-06-17	2000	20	45	AN438
8.959	0.0	2000-06-17	2000	21	0	AN438
9.031749999999999	0.7	2000-06-17	2000	21	15	AN438
9.1045	1.0	2000-06-17	2000	21	30	AN438
9.17725	0.7	2000-06-17	2000	21	45	AN438
9.25	0.0	2000-06-17	2000	22	0	AN438
9.175	0.7	2000-06-17	2000	22	15	AN438
9.1	1.0	2000-06-17	2000	22	30	AN438
9.024999999999999	0.7	2000-06-17	2000	22	45	AN438
8.95	0.0	2000-06-17	2000	23	0	AN438
8.924999999999999	0.7	2000-06-17	2000	23	15	AN438
8.899999999999999	1.0	2000-06-17	2000	23	30	AN438
8.875	0.7	2000-06-17	2000	23	45	AN438
8.85	0.0	2000-06-18	2000	0	0	AN438
8.9	0.7	2000-06-18	2000	0	15	AN438
8.95	1.0	2000-06-18	2000	0	30	AN438
9.0	0.7	2000-06-18	2000	0	45	AN438
9.05	0.0	2000-06-18	2000	1	0	AN438
9.125	0.7	2000-06-18	2000	1	15	AN438
9.2	1.0	2000-06-18	2000	1	30	AN438
9.275	0.7	2000-06-18	2000	1	45	AN438
9.35	0.0	2000-06-18	2000	2	0	AN438
9.375	0.7	2000-06-18	2000	2	15	AN438
9.399999999999999	1.0	2000-06-18	2000	2	30	AN438
9.424999999999999	0.7	2000-06-18	2000	2	45	AN438
9.45	0.0	2000-06-18	2000	3	0	AN438
9.274999999999999	0.7	2000-06-18	2000	3	15	AN438
9.1	1.0	2000-06-18	2000	3	30	AN438
8.925	0.7	2000-06-18	2000	3	45	AN438
8.75	0.0	2000-06-18	2000	4	0	AN438
8.85	0.7	2000-06-18	2000	4	15	AN438
8.95	1.0	2000-06-18	2000	4	30	AN438
9.05	0.7	2000-06-18	2000	4	45	AN438
9.15	0.0	2000-06-18	2000	5	0	AN438
9.15	0.7	2000-06-18	2000	5	15	AN438
9.15	1.0	2000-06-18	2000	5	30	AN438
9.15	0.7	2000-06-18	2000	5	45	AN438
9.15	0.0	2000-06-18	2000	6	0	AN438
9.075	0.7	2000-06-18	2000	6	15	AN438
9.0	1.0	2000-06-18	2000	6	30	AN438
8.924999999999999	0.7	2000-06-18	2000	6	45	AN438
8.85	0.0	2000-06-18	2000	7	0	AN438
8.825	0.7	2000-06-18	2000	7	15	AN438
8.8	1.0	2000-06-18	2000	7	30	AN438
8.775	0.7	2000-06-18	2000	7	45	AN438
8.75	0.0	2000-06-18	2000	8	0	AN438
8.758	0.7	2000-06-18	2000	8	15	AN438
8.766	1.0	2000-06-18	2000	8	30	AN438
8.774000000000001	0.7	2000-06-18	2000	8	45	AN438
8.782	0.0	2000-06-18	2000	9	0	AN438
9.049	0.7	2000-06-18	2000	9	15	AN438
9.315999999999999	1.0	2000-06-18	2000	9	30	AN438
9.583	0.7	2000-06-18	2000	9	45	AN438
9.85	0.0	2000-06-18	2000	10	0	AN438
9.825	0.7	2000-06-18	2000	10	15	AN438
9.8	1.0	2000-06-18	2000	10	30	AN438
9.775	0.7	2000-06-18	2000	10	45	AN438
9.75	0.0	2000-06-18	2000	11	0	AN438
257.2875	0.7	2000-06-18	2000	11	15	AN438
504.82500000000005	1.0	2000-06-18	2000	11	30	AN438
752.3625000000001	0.7	2000-06-18	2000	11	45	AN438
999.9	0.0	2000-06-18	2000	12	0	AN438
752.2125	0.7	2000-06-18	2000	12	15	AN438
504.525	1.0	2000-06-18	2000	12	30	AN438
256.8375	0.7	2000-06-18	2000	12	45	AN438
9.15	0.0	2000-06-18	2000	13	0	AN438
9.17275	0.7	2000-06-18	2000	13	15	AN438
9.1955	1.0	2000-06-18	2000	13	30	AN438
9.21825	0.7	2000-06-18	2000	13	45	AN438
9.241	0.0	2000-06-18	2000	14	0	AN438
9.21825	0.7	2000-06-18	2000	14	15	AN438
9.1955	1.0	2000-06-18	2000	14	30	AN438
9.17275	0.7	2000-06-18	2000	14	45	AN438
9.15	0.0	2000-06-18	2000	15	0	AN438
9.18675	0.7	2000-06-18	2000	15	15	AN438
9.223500000000001	1.0	2000-06-18	2000	15	30	AN438
9.260250000000001	0.7	2000-06-18	2000	15	45	AN438
9.297	0.0	2000-06-18	2000	16	0	AN438
9.225750000000001	0.7	2000-06-18	2000	16	15	AN438
9.1545	1.0	2000-06-18	2000	16	30	AN438
9.08325	0.7	2000-06-18	2000	16	45	AN438
9.012	0.0	2000-06-18	2000	17	0	AN438
9.01825	0.7	2000-06-18	2000	17	15	AN438
9.0245	1.0	2000-06-18	2000	17	30	AN438
9.030750000000001	0.7	2000-06-18	2000	17	45	AN438
9.037	0.0	2000-06-18	2000	18	0	AN438
8.88025	0.7	2000-06-18	2000	18	15	AN438
8.723500000000001	1.0	2000-06-18	2000	18	30	AN438
8.56675	0.7	2000-06-18	2000	18	45	AN438
8.41	0.0	2000-06-18	2000	19	0	AN438
256.2825	0.7	2000-06-18	2000	19	15	AN438
504.15500000000003	1.0	2000-06-18	2000	19	30	AN438
752.0275	0.7	2000-06-18	2000	19	45	AN438
999.9	0.0	2000-06-18	2000	20	0	AN438
999.9	0.7	2000-06-18	2000	20	15	AN438
999.9	1.0	2000-06-18	2000	20	30	AN438
999.9	0.7	2000-06-18	2000	20	45	AN438
999.9	0.0	2000-06-18	2000	21	0	AN438
751.8625	0.7	2000-06-18	2000	21	15	AN438
503.825	1.0	2000-06-18	2000	21	30	AN438
255.78750000000002	0.7	2000-06-18	2000	21	45	AN438
7.75	0.0	2000-06-18	2000	22	0	AN438
7.2	0.7	2000-06-18	2000	22	15	AN438
6.65	1.0	2000-06-18	2000	22	30	AN438
6.1	0.7	2000-06-18	2000	22	45	AN438
5.55	0.0	2000-06-18	2000	23	0	AN438
5.91875	0.7	2000-06-18	2000	23	15	AN438
6.2875	1.0	2000-06-18	2000	23	30	AN438
6.65625	0.7	2000-06-18	2000	23	45	AN438
7.025	0.0	2000-06-19	2000	0	0	AN438
7.372	0.7	2000-06-19	2000	0	15	AN438
7.719	1.0	2000-06-19	2000	0	30	AN438
8.066	0.7	2000-06-19	2000	0	45	AN438
8.413	0.0	2000-06-19	2000	1	0	AN438
8.32225	0.7	2000-06-19	2000	1	15	AN438
8.2315	1.0	2000-06-19	2000	1	30	AN438
8.14075	0.7	2000-06-19	2000	1	45	AN438
8.05	0.0	2000-06-19	2000	2	0	AN438
8.200000000000001	0.7	2000-06-19	2000	2	15	AN438
8.350000000000001	1.0	2000-06-19	2000	2	30	AN438
8.5	0.7	2000-06-19	2000	2	45	AN438
8.65	0.0	2000-06-19	2000	3	0	AN438
8.3	0.7	2000-06-19	2000	3	15	AN438
7.95	1.0	2000-06-19	2000	3	30	AN438
7.6	0.7	2000-06-19	2000	3	45	AN438
7.25	0.0	2000-06-19	2000	4	0	AN438
7.3	0.7	2000-06-19	2000	4	15	AN438
7.35	1.0	2000-06-19	2000	4	30	AN438
7.4	0.7	2000-06-19	2000	4	45	AN438
7.45	0.0	2000-06-19	2000	5	0	AN438
7.475	0.7	2000-06-19	2000	5	15	AN438
7.5	1.0	2000-06-19	2000	5	30	AN438
7.525	0.7	2000-06-19	2000	5	45	AN438
7.55	0.0	2000-06-19	2000	6	0	AN438
7.6	0.7	2000-06-19	2000	6	15	AN438
7.65	1.0	2000-06-19	2000	6	30	AN438
7.7	0.7	2000-06-19	2000	6	45	AN438
7.75	0.0	2000-06-19	2000	7	0	AN438
7.925	0.7	2000-06-19	2000	7	15	AN438
8.1	1.0	2000-06-19	2000	7	30	AN438
8.274999999999999	0.7	2000-06-19	2000	7	45	AN438
8.45	0.0	2000-06-19	2000	8	0	AN438
8.81575	0.7	2000-06-19	2000	8	15	AN438
