foF2	foF2_err	date	year	h	m	sonde
5.2	0.0	2017-07-20	2017	0	0	AU930
5.3	0.0	2017-07-20	2017	0	15	AU930
5.65	0.0	2017-07-20	2017	0	30	AU930
5.6	0.0	2017-07-20	2017	0	45	AU930
5.7	0.0	2017-07-20	2017	1	0	AU930
5.6	0.0	2017-07-20	2017	1	15	AU930
5.9	0.0	2017-07-20	2017	1	30	AU930
5.9	0.0	2017-07-20	2017	1	45	AU930
6.0	0.0	2017-07-20	2017	2	0	AU930
5.8	0.0	2017-07-20	2017	2	15	AU930
5.9	0.0	2017-07-20	2017	2	30	AU930
5.7	0.0	2017-07-20	2017	2	45	AU930
5.6	0.0	2017-07-20	2017	3	0	AU930
5.6	0.0	2017-07-20	2017	3	15	AU930
5.1	0.0	2017-07-20	2017	3	30	AU930
4.9	0.0	2017-07-20	2017	3	45	AU930
4.0	0.0	2017-07-20	2017	4	0	AU930
3.6	0.0	2017-07-20	2017	4	15	AU930
3.4	0.0	2017-07-20	2017	4	30	AU930
3.2	0.0	2017-07-20	2017	4	45	AU930
3.3	0.0	2017-07-20	2017	5	0	AU930
3.2	0.0	2017-07-20	2017	5	15	AU930
3.1	0.0	2017-07-20	2017	5	30	AU930
3.3	0.0	2017-07-20	2017	5	45	AU930
3.1	0.0	2017-07-20	2017	6	0	AU930
3.3	0.0	2017-07-20	2017	6	15	AU930
3.1	0.0	2017-07-20	2017	6	30	AU930
3.1	0.0	2017-07-20	2017	6	45	AU930
3.0	0.0	2017-07-20	2017	7	0	AU930
3.0	0.0	2017-07-20	2017	7	15	AU930
3.0	0.0	2017-07-20	2017	7	30	AU930
3.0	0.0	2017-07-20	2017	7	45	AU930
3.0	0.0	2017-07-20	2017	8	0	AU930
2.9	0.0	2017-07-20	2017	8	15	AU930
2.9	0.0	2017-07-20	2017	8	30	AU930
2.7	0.0	2017-07-20	2017	8	45	AU930
2.8	0.0	2017-07-20	2017	9	0	AU930
2.7	0.0	2017-07-20	2017	9	15	AU930
2.7	0.0	2017-07-20	2017	9	30	AU930
2.7	0.0	2017-07-20	2017	9	45	AU930
2.8	0.0	2017-07-20	2017	10	0	AU930
2.7	0.0	2017-07-20	2017	10	15	AU930
2.6	0.0	2017-07-20	2017	10	30	AU930
2.6	0.0	2017-07-20	2017	10	45	AU930
2.5	0.0	2017-07-20	2017	11	0	AU930
2.7	0.0	2017-07-20	2017	11	15	AU930
2.8	0.0	2017-07-20	2017	11	30	AU930
3.0	0.0	2017-07-20	2017	11	45	AU930
3.5	0.0	2017-07-20	2017	12	0	AU930
