foF2	foF2_err	date	year	h	m	sonde
4.377083333333335	0.6000000000000001	2012-12-01	2012	0	45	BD840
4.333708333333335	0.9	2012-12-01	2012	1	0	BD840
4.290333333333335	1.2000000000000002	2012-12-01	2012	1	15	BD840
4.2469583333333345	1.5	2012-12-01	2012	1	30	BD840
4.203583333333334	1.8000000000000003	2012-12-01	2012	1	45	BD840
4.160208333333334	2.1	2012-12-01	2012	2	0	BD840
4.116833333333334	2.4	2012-12-01	2012	2	15	BD840
4.073458333333334	2.7	2012-12-01	2012	2	30	BD840
4.030083333333334	2.6	2012-12-01	2012	2	45	BD840
3.9867083333333335	2.3000000000000003	2012-12-01	2012	3	0	BD840
3.943333333333334	2.0	2012-12-01	2012	3	15	BD840
3.8999583333333336	1.7000000000000002	2012-12-01	2012	3	30	BD840
3.8565833333333335	1.4	2012-12-01	2012	3	45	BD840
3.8132083333333333	1.1	2012-12-01	2012	4	0	BD840
3.769833333333333	0.8	2012-12-01	2012	4	15	BD840
3.726458333333333	0.5	2012-12-01	2012	4	30	BD840
3.576111111111111	0.6000000000000001	2012-12-01	2012	4	45	BD840
3.3722777777777777	0.9	2012-12-01	2012	5	0	BD840
3.168444444444444	1.2000000000000002	2012-12-01	2012	5	15	BD840
2.964611111111111	1.1	2012-12-01	2012	5	30	BD840
2.7607777777777773	0.8	2012-12-01	2012	5	45	BD840
2.5569444444444445	0.5	2012-12-01	2012	6	0	BD840
2.4723333333333333	0.5	2012-12-01	2012	6	15	BD840
2.4756666666666667	0.6000000000000001	2012-12-01	2012	6	30	BD840
2.4931666666666668	0.5	2012-12-01	2012	6	45	BD840
2.571888888888889	0.6000000000000001	2012-12-01	2012	7	0	BD840
2.6812222222222224	0.8	2012-12-01	2012	7	15	BD840
2.7905555555555557	0.5	2012-12-01	2012	7	30	BD840
2.773	0.5	2012-12-01	2012	7	45	BD840
2.7453333333333334	0.6000000000000001	2012-12-01	2012	8	0	BD840
2.744333333333333	0.5	2012-12-01	2012	8	15	BD840
2.8326666666666664	0.5	2012-12-01	2012	8	30	BD840
2.8436666666666666	0.5	2012-12-01	2012	8	45	BD840
2.897666666666667	0.5	2012-12-01	2012	9	0	BD840
2.9653333333333336	0.6000000000000001	2012-12-01	2012	9	15	BD840
3.0138333333333334	0.5	2012-12-01	2012	9	30	BD840
3.0643333333333334	0.6000000000000001	2012-12-01	2012	9	45	BD840
3.1158333333333332	0.5	2012-12-01	2012	10	0	BD840
3.113	0.5	2012-12-01	2012	10	15	BD840
3.088333333333334	0.5	2012-12-01	2012	10	30	BD840
3.104	0.6000000000000001	2012-12-01	2012	10	45	BD840
3.1385	0.5	2012-12-01	2012	11	0	BD840
3.1613333333333333	0.5	2012-12-01	2012	11	15	BD840
3.187	0.5	2012-12-01	2012	11	30	BD840
3.179	0.5	2012-12-01	2012	11	45	BD840
3.185	0.6000000000000001	2012-12-01	2012	12	0	BD840
3.2075	0.5	2012-12-01	2012	12	15	BD840
3.191666666666667	0.5	2012-12-01	2012	12	30	BD840
3.1966666666666668	0.5	2012-12-01	2012	12	45	BD840
3.2116666666666664	0.5	2012-12-01	2012	13	0	BD840
3.276333333333333	0.5	2012-12-01	2012	13	15	BD840
3.5403333333333333	0.5	2012-12-01	2012	13	30	BD840
4.007666666666666	0.5	2012-12-01	2012	13	45	BD840
4.695666666666667	0.5	2012-12-01	2012	14	0	BD840
5.199333333333333	0.5	2012-12-01	2012	14	15	BD840
5.665	0.5	2012-12-01	2012	14	30	BD840
5.924666666666666	0.5	2012-12-01	2012	14	45	BD840
6.005	0.5	2012-12-01	2012	15	0	BD840
6.3883333333333345	0.5	2012-12-01	2012	15	15	BD840
6.914333333333334	0.5	2012-12-01	2012	15	30	BD840
6.761333333333334	0.5	2012-12-01	2012	15	45	BD840
6.701166666666667	0.6000000000000001	2012-12-01	2012	16	0	BD840
6.854416666666667	0.9	2012-12-01	2012	16	15	BD840
7.007666666666668	0.8	2012-12-01	2012	16	30	BD840
7.160916666666668	0.5	2012-12-01	2012	16	45	BD840
7.392	0.5	2012-12-01	2012	17	0	BD840
7.414333333333333	0.6000000000000001	2012-12-01	2012	17	15	BD840
7.312833333333334	0.9	2012-12-01	2012	17	30	BD840
7.211333333333334	0.8	2012-12-01	2012	17	45	BD840
7.1098333333333334	0.5	2012-12-01	2012	18	0	BD840
7.683000000000001	0.6000000000000001	2012-12-01	2012	18	15	BD840
8.5935	0.5	2012-12-01	2012	18	30	BD840
8.729666666666667	0.5	2012-12-01	2012	18	45	BD840
8.965333333333334	0.5	2012-12-01	2012	19	0	BD840
9.091666666666667	0.5	2012-12-01	2012	19	15	BD840
8.986333333333333	0.6000000000000001	2012-12-01	2012	19	30	BD840
8.853333333333332	0.5	2012-12-01	2012	19	45	BD840
8.721666666666666	0.5	2012-12-01	2012	20	0	BD840
8.370333333333333	0.6000000000000001	2012-12-01	2012	20	15	BD840
7.908833333333334	0.9	2012-12-01	2012	20	30	BD840
7.447333333333335	0.8	2012-12-01	2012	20	45	BD840
6.985833333333336	0.5	2012-12-01	2012	21	0	BD840
6.947333333333334	0.5	2012-12-01	2012	21	15	BD840
6.100333333333333	0.5	2012-12-01	2012	21	30	BD840
6.335333333333333	0.5	2012-12-01	2012	21	45	BD840
7.133	0.5	2012-12-01	2012	22	0	BD840
7.3740000000000006	0.5	2012-12-01	2012	22	15	BD840
6.897	0.5	2012-12-01	2012	22	30	BD840
6.788333333333334	0.5	2012-12-01	2012	22	45	BD840
6.286333333333335	0.5	2012-12-01	2012	23	0	BD840
6.396666666666667	0.5	2012-12-01	2012	23	15	BD840
6.640666666666666	0.5	2012-12-01	2012	23	30	BD840
5.767333333333333	0.5	2012-12-01	2012	23	45	BD840
5.077	0.5	2012-12-02	2012	0	0	BD840
4.502000000000001	0.5	2012-12-02	2012	0	15	BD840
3.9163333333333337	0.5	2012-12-02	2012	0	30	BD840
3.799666666666667	0.5	2012-12-02	2012	0	45	BD840
3.6943333333333337	0.5	2012-12-02	2012	1	0	BD840
3.5433333333333334	0.5	2012-12-02	2012	1	15	BD840
3.3666666666666667	0.5	2012-12-02	2012	1	30	BD840
2.641	0.5	2012-12-02	2012	1	45	BD840
2.3606666666666665	0.5	2012-12-02	2012	2	0	BD840
2.2893333333333334	0.6000000000000001	2012-12-02	2012	2	15	BD840
2.1458333333333335	0.5	2012-12-02	2012	2	30	BD840
2.056333333333334	0.6000000000000001	2012-12-02	2012	2	45	BD840
1.9938333333333333	0.5	2012-12-02	2012	3	0	BD840
2.0238333333333336	0.6000000000000001	2012-12-02	2012	3	15	BD840
2.1000833333333335	0.9	2012-12-02	2012	3	30	BD840
2.1763333333333335	0.8	2012-12-02	2012	3	45	BD840
2.2525833333333334	0.5	2012-12-02	2012	4	0	BD840
2.298	0.6000000000000001	2012-12-02	2012	4	15	BD840
2.3280000000000003	0.9	2012-12-02	2012	4	30	BD840
2.358	0.8	2012-12-02	2012	4	45	BD840
2.388	0.5	2012-12-02	2012	5	0	BD840
2.4033333333333333	0.5	2012-12-02	2012	5	15	BD840
2.464666666666667	0.5	2012-12-02	2012	5	30	BD840
2.517333333333333	0.5	2012-12-02	2012	5	45	BD840
2.2676666666666665	0.5	2012-12-02	2012	6	0	BD840
2.1656666666666666	0.5	2012-12-02	2012	6	15	BD840
2.202	0.5	2012-12-02	2012	6	30	BD840
2.4276666666666666	0.5	2012-12-02	2012	6	45	BD840
2.380333333333333	0.5	2012-12-02	2012	7	0	BD840
2.2143333333333333	0.5	2012-12-02	2012	7	15	BD840
2.172	0.6000000000000001	2012-12-02	2012	7	30	BD840
2.1750000000000003	0.5	2012-12-02	2012	7	45	BD840
2.2573333333333334	0.5	2012-12-02	2012	8	0	BD840
2.356	0.5	2012-12-02	2012	8	15	BD840
2.342333333333333	0.5	2012-12-02	2012	8	30	BD840
2.3489999999999998	0.5	2012-12-02	2012	8	45	BD840
2.477666666666667	0.5	2012-12-02	2012	9	0	BD840
2.737	0.5	2012-12-02	2012	9	15	BD840
2.5406666666666666	0.5	2012-12-02	2012	9	30	BD840
2.394	0.5	2012-12-02	2012	9	45	BD840
2.711	0.5	2012-12-02	2012	10	0	BD840
3.0696666666666665	0.5	2012-12-02	2012	10	15	BD840
3.106666666666667	0.5	2012-12-02	2012	10	30	BD840
3.0516666666666667	0.5	2012-12-02	2012	10	45	BD840
2.574	0.5	2012-12-02	2012	11	0	BD840
2.3863333333333334	0.5	2012-12-02	2012	11	15	BD840
2.8056666666666663	0.5	2012-12-02	2012	11	30	BD840
2.9826666666666664	0.5	2012-12-02	2012	11	45	BD840
2.5666666666666664	0.5	2012-12-02	2012	12	0	BD840
2.4053333333333335	0.5	2012-12-02	2012	12	15	BD840
2.36	0.5	2012-12-02	2012	12	30	BD840
2.313	0.5	2012-12-02	2012	12	45	BD840
2.6993333333333336	0.5	2012-12-02	2012	13	0	BD840
3.1206666666666667	0.5	2012-12-02	2012	13	15	BD840
3.5683333333333334	0.5	2012-12-02	2012	13	30	BD840
4.028666666666666	0.5	2012-12-02	2012	13	45	BD840
4.391	0.5	2012-12-02	2012	14	0	BD840
5.385666666666666	0.5	2012-12-02	2012	14	15	BD840
5.976333333333333	0.5	2012-12-02	2012	14	30	BD840
6.243333333333333	0.5	2012-12-02	2012	14	45	BD840
6.623333333333333	0.5	2012-12-02	2012	15	0	BD840
6.523666666666666	0.5	2012-12-02	2012	15	15	BD840
6.621666666666666	0.5	2012-12-02	2012	15	30	BD840
6.1770000000000005	0.5	2012-12-02	2012	15	45	BD840
5.596666666666667	0.5	2012-12-02	2012	16	0	BD840
6.302333333333333	0.5	2012-12-02	2012	16	15	BD840
6.9223333333333334	0.5	2012-12-02	2012	16	30	BD840
7.027333333333333	0.5	2012-12-02	2012	16	45	BD840
6.607333333333333	0.5	2012-12-02	2012	17	0	BD840
6.8790000000000004	0.5	2012-12-02	2012	17	15	BD840
6.956333333333333	0.5	2012-12-02	2012	17	30	BD840
7.247333333333334	0.5	2012-12-02	2012	17	45	BD840
7.324666666666666	0.5	2012-12-02	2012	18	0	BD840
7.486666666666666	0.5	2012-12-02	2012	18	15	BD840
8.095	0.5	2012-12-02	2012	18	30	BD840
8.075000000000001	0.5	2012-12-02	2012	18	45	BD840
7.999333333333333	0.5	2012-12-02	2012	19	0	BD840
8.209	0.5	2012-12-02	2012	19	15	BD840
8.194999999999999	0.5	2012-12-02	2012	19	30	BD840
7.022333333333334	0.5	2012-12-02	2012	19	45	BD840
7.020666666666667	0.5	2012-12-02	2012	20	0	BD840
7.634	0.5	2012-12-02	2012	20	15	BD840
7.519666666666667	0.5	2012-12-02	2012	20	30	BD840
7.4883333333333315	0.5	2012-12-02	2012	20	45	BD840
7.949666666666665	0.5	2012-12-02	2012	21	0	BD840
8.484333333333334	0.5	2012-12-02	2012	21	15	BD840
8.148	0.5	2012-12-02	2012	21	30	BD840
7.185666666666667	0.5	2012-12-02	2012	21	45	BD840
6.993333333333333	0.5	2012-12-02	2012	22	0	BD840
6.976333333333334	0.5	2012-12-02	2012	22	15	BD840
6.309666666666667	0.5	2012-12-02	2012	22	30	BD840
6.377000000000001	0.5	2012-12-02	2012	22	45	BD840
6.169666666666667	0.5	2012-12-02	2012	23	0	BD840
5.986666666666666	0.5	2012-12-02	2012	23	15	BD840
5.736	0.5	2012-12-02	2012	23	30	BD840
5.209666666666667	0.5	2012-12-02	2012	23	45	BD840
4.186333333333333	0.5	2012-12-03	2012	0	0	BD840
4.249333333333333	0.5	2012-12-03	2012	0	15	BD840
3.4236666666666666	0.5	2012-12-03	2012	0	30	BD840
2.9473333333333334	0.6000000000000001	2012-12-03	2012	0	45	BD840
3.0303333333333335	0.5	2012-12-03	2012	1	0	BD840
2.9146666666666667	0.5	2012-12-03	2012	1	15	BD840
2.529666666666667	0.5	2012-12-03	2012	1	30	BD840
2.4363333333333332	0.5	2012-12-03	2012	1	45	BD840
2.6253333333333333	0.5	2012-12-03	2012	2	0	BD840
2.8059999999999996	0.5	2012-12-03	2012	2	15	BD840
2.5296666666666665	0.5	2012-12-03	2012	2	30	BD840
2.45	0.6000000000000001	2012-12-03	2012	2	45	BD840
2.576	0.9	2012-12-03	2012	3	0	BD840
2.702	0.8	2012-12-03	2012	3	15	BD840
2.8280000000000003	0.5	2012-12-03	2012	3	30	BD840
2.571	0.6000000000000001	2012-12-03	2012	3	45	BD840
2.1225	0.5	2012-12-03	2012	4	0	BD840
1.973	0.6000000000000001	2012-12-03	2012	4	15	BD840
1.973	0.9	2012-12-03	2012	4	30	BD840
1.973	1.1	2012-12-03	2012	4	45	BD840
1.973	0.8	2012-12-03	2012	5	0	BD840
1.973	0.5	2012-12-03	2012	5	15	BD840
2.0543333333333336	0.5	2012-12-03	2012	5	30	BD840
2.1853333333333333	0.6000000000000001	2012-12-03	2012	5	45	BD840
2.3208333333333333	0.5	2012-12-03	2012	6	0	BD840
2.3866666666666667	0.6000000000000001	2012-12-03	2012	6	15	BD840
2.417666666666667	0.9	2012-12-03	2012	6	30	BD840
2.4486666666666665	1.1	2012-12-03	2012	6	45	BD840
2.4796666666666667	0.8	2012-12-03	2012	7	0	BD840
2.5106666666666664	0.5	2012-12-03	2012	7	15	BD840
