foF2	foF2_err	date	year	h	m	sonde
4.7	0.0	2010-01-22	2010	0	0	BP440
4.7	0.7	2010-01-22	2010	0	15	BP440
4.7	1.0	2010-01-22	2010	0	30	BP440
4.7	0.7	2010-01-22	2010	0	45	BP440
4.7	0.0	2010-01-22	2010	1	0	BP440
4.925	0.7	2010-01-22	2010	1	15	BP440
5.15	1.0	2010-01-22	2010	1	30	BP440
5.375	0.7	2010-01-22	2010	1	45	BP440
5.6	0.0	2010-01-22	2010	2	0	BP440
5.625	0.7	2010-01-22	2010	2	15	BP440
5.65	1.0	2010-01-22	2010	2	30	BP440
5.675	0.7	2010-01-22	2010	2	45	BP440
5.7	0.0	2010-01-22	2010	3	0	BP440
5.85	0.7	2010-01-22	2010	3	15	BP440
6.0	1.0	2010-01-22	2010	3	30	BP440
6.1499999999999995	0.7	2010-01-22	2010	3	45	BP440
6.3	0.0	2010-01-22	2010	4	0	BP440
6.05	0.7	2010-01-22	2010	4	15	BP440
5.8	1.0	2010-01-22	2010	4	30	BP440
5.55	0.7	2010-01-22	2010	4	45	BP440
5.3	0.0	2010-01-22	2010	5	0	BP440
5.225	0.7	2010-01-22	2010	5	15	BP440
5.15	1.0	2010-01-22	2010	5	30	BP440
5.075	0.7	2010-01-22	2010	5	45	BP440
5.0	0.0	2010-01-22	2010	6	0	BP440
5.125	0.7	2010-01-22	2010	6	15	BP440
5.25	1.0	2010-01-22	2010	6	30	BP440
5.375	0.7	2010-01-22	2010	6	45	BP440
5.5	0.0	2010-01-22	2010	7	0	BP440
5.425	0.7	2010-01-22	2010	7	15	BP440
5.35	1.0	2010-01-22	2010	7	30	BP440
5.275	0.7	2010-01-22	2010	7	45	BP440
5.2	0.0	2010-01-22	2010	8	0	BP440
4.875	0.7	2010-01-22	2010	8	15	BP440
4.55	1.0	2010-01-22	2010	8	30	BP440
4.225	0.7	2010-01-22	2010	8	45	BP440
3.9	0.0	2010-01-22	2010	9	0	BP440
3.775	0.7	2010-01-22	2010	9	15	BP440
3.65	1.0	2010-01-22	2010	9	30	BP440
3.525	0.7	2010-01-22	2010	9	45	BP440
3.4	0.0	2010-01-22	2010	10	0	BP440
3.375	0.7	2010-01-22	2010	10	15	BP440
3.3499999999999996	1.0	2010-01-22	2010	10	30	BP440
3.3249999999999997	0.7	2010-01-22	2010	10	45	BP440
3.3	0.0	2010-01-22	2010	11	0	BP440
3.0999999999999996	0.7	2010-01-22	2010	11	15	BP440
2.9	1.0	2010-01-22	2010	11	30	BP440
2.7	0.7	2010-01-22	2010	11	45	BP440
2.5	0.0	2010-01-22	2010	12	0	BP440
2.55	0.7	2010-01-22	2010	12	15	BP440
2.6	1.0	2010-01-22	2010	12	30	BP440
2.6500000000000004	0.7	2010-01-22	2010	12	45	BP440
2.7	0.0	2010-01-22	2010	13	0	BP440
2.7750000000000004	0.7	2010-01-22	2010	13	15	BP440
2.85	1.0	2010-01-22	2010	13	30	BP440
2.925	0.7	2010-01-22	2010	13	45	BP440
3.0	0.0	2010-01-22	2010	14	0	BP440
3.025	0.7	2010-01-22	2010	14	15	BP440
3.05	1.0	2010-01-22	2010	14	30	BP440
3.075	0.7	2010-01-22	2010	14	45	BP440
3.1	0.0	2010-01-22	2010	15	0	BP440
3.15	0.7	2010-01-22	2010	15	15	BP440
3.2	1.0	2010-01-22	2010	15	30	BP440
3.25	0.7	2010-01-22	2010	15	45	BP440
3.3	0.0	2010-01-22	2010	16	0	BP440
3.275	0.7	2010-01-22	2010	16	15	BP440
3.25	1.0	2010-01-22	2010	16	30	BP440
3.225	0.7	2010-01-22	2010	16	45	BP440
3.2	0.0	2010-01-22	2010	17	0	BP440
3.1750000000000003	0.7	2010-01-22	2010	17	15	BP440
3.1500000000000004	1.0	2010-01-22	2010	17	30	BP440
3.125	0.7	2010-01-22	2010	17	45	BP440
3.1	0.0	2010-01-22	2010	18	0	BP440
3.075	0.7	2010-01-22	2010	18	15	BP440
3.05	1.0	2010-01-22	2010	18	30	BP440
3.025	0.7	2010-01-22	2010	18	45	BP440
3.0	0.0	2010-01-22	2010	19	0	BP440
3.0	0.7	2010-01-22	2010	19	15	BP440
3.0	1.0	2010-01-22	2010	19	30	BP440
3.0	0.7	2010-01-22	2010	19	45	BP440
3.0	0.0	2010-01-22	2010	20	0	BP440
3.05	0.7	2010-01-22	2010	20	15	BP440
3.1	1.0	2010-01-22	2010	20	30	BP440
3.1500000000000004	0.7	2010-01-22	2010	20	45	BP440
3.2	0.0	2010-01-22	2010	21	0	BP440
3.2	0.7	2010-01-22	2010	21	15	BP440
3.2	1.0	2010-01-22	2010	21	30	BP440
3.2	0.7	2010-01-22	2010	21	45	BP440
3.2	0.0	2010-01-22	2010	22	0	BP440
3.1500000000000004	0.7	2010-01-22	2010	22	15	BP440
3.1	1.0	2010-01-22	2010	22	30	BP440
3.05	0.7	2010-01-22	2010	22	45	BP440
3.0	0.0	2010-01-22	2010	23	0	BP440
3.325	0.7	2010-01-22	2010	23	15	BP440
3.65	1.0	2010-01-22	2010	23	30	BP440
3.9749999999999996	0.7	2010-01-22	2010	23	45	BP440
4.3	0.0	2010-01-23	2010	0	0	BP440
4.375	0.7	2010-01-23	2010	0	15	BP440
4.449999999999999	1.0	2010-01-23	2010	0	30	BP440
4.5249999999999995	0.7	2010-01-23	2010	0	45	BP440
4.6	0.0	2010-01-23	2010	1	0	BP440
4.725	0.7	2010-01-23	2010	1	15	BP440
4.85	1.0	2010-01-23	2010	1	30	BP440
4.975	0.7	2010-01-23	2010	1	45	BP440
5.1	0.0	2010-01-23	2010	2	0	BP440
5.199999999999999	0.7	2010-01-23	2010	2	15	BP440
5.3	1.0	2010-01-23	2010	2	30	BP440
5.4	0.7	2010-01-23	2010	2	45	BP440
5.5	0.0	2010-01-23	2010	3	0	BP440
5.7	0.7	2010-01-23	2010	3	15	BP440
5.9	1.0	2010-01-23	2010	3	30	BP440
6.1	0.7	2010-01-23	2010	3	45	BP440
6.3	0.0	2010-01-23	2010	4	0	BP440
6.3	0.7	2010-01-23	2010	4	15	BP440
6.3	1.0	2010-01-23	2010	4	30	BP440
6.3	0.7	2010-01-23	2010	4	45	BP440
6.3	0.0	2010-01-23	2010	5	0	BP440
6.125	0.7	2010-01-23	2010	5	15	BP440
5.949999999999999	1.0	2010-01-23	2010	5	30	BP440
5.7749999999999995	0.7	2010-01-23	2010	5	45	BP440
5.6	0.0	2010-01-23	2010	6	0	BP440
