foF2	foF2_err	date	year	h	m	sonde
10.65	0.0	2000-01-18	2000	2	0	CL424
9.95	0.0	2000-01-18	2000	2	15	CL424
9.55	0.0	2000-01-18	2000	2	30	CL424
10.05	0.0	2000-01-18	2000	2	45	CL424
10.04998665368106	0.7	2000-01-18	2000	3	0	CL424
10.04997330736212	1.0	2000-01-18	2000	3	15	CL424
10.049959961043179	1.3	2000-01-18	2000	3	30	CL424
10.049946614724236	1.6	2000-01-18	2000	3	45	CL424
10.049933268405296	1.9	2000-01-18	2000	4	0	CL424
10.049919922086355	2.2	2000-01-18	2000	4	15	CL424
10.049906575767414	2.5	2000-01-18	2000	4	30	CL424
10.049893229448474	2.8	2000-01-18	2000	4	45	CL424
10.049879883129533	3.1	2000-01-18	2000	5	0	CL424
10.04986653681059	3.4	2000-01-18	2000	5	15	CL424
10.04985319049165	3.7	2000-01-18	2000	5	30	CL424
10.049839844172709	4.0	2000-01-18	2000	5	45	CL424
10.049826497853768	4.3	2000-01-18	2000	6	0	CL424
10.049813151534828	4.6000000000000005	2000-01-18	2000	6	15	CL424
10.049799805215887	4.9	2000-01-18	2000	6	30	CL424
10.049786458896946	5.2	2000-01-18	2000	6	45	CL424
10.049773112578004	5.500000000000001	2000-01-18	2000	7	0	CL424
10.049759766259063	5.800000000000001	2000-01-18	2000	7	15	CL424
10.049746419940123	6.1000000000000005	2000-01-18	2000	7	30	CL424
10.049733073621182	6.4	2000-01-18	2000	7	45	CL424
10.049719727302241	6.7	2000-01-18	2000	8	0	CL424
10.0497063809833	7.000000000000001	2000-01-18	2000	8	15	CL424
10.049693034664358	7.300000000000001	2000-01-18	2000	8	30	CL424
10.049679688345417	7.6000000000000005	2000-01-18	2000	8	45	CL424
10.049666342026477	7.9	2000-01-18	2000	9	0	CL424
10.049652995707536	8.2	2000-01-18	2000	9	15	CL424
10.049639649388595	8.5	2000-01-18	2000	9	30	CL424
10.049626303069655	8.8	2000-01-18	2000	9	45	CL424
10.049612956750714	9.100000000000001	2000-01-18	2000	10	0	CL424
10.049599610431772	9.4	2000-01-18	2000	10	15	CL424
10.04958626411283	9.700000000000001	2000-01-18	2000	10	30	CL424
10.04957291779389	10.0	2000-01-18	2000	10	45	CL424
10.04955957147495	10.3	2000-01-18	2000	11	0	CL424
10.049546225156009	10.600000000000001	2000-01-18	2000	11	15	CL424
10.049532878837068	10.9	2000-01-18	2000	11	30	CL424
10.049519532518126	11.200000000000001	2000-01-18	2000	11	45	CL424
10.049506186199185	11.5	2000-01-18	2000	12	0	CL424
10.049492839880244	11.8	2000-01-18	2000	12	15	CL424
10.049479493561304	12.100000000000001	2000-01-18	2000	12	30	CL424
10.049466147242363	12.4	2000-01-18	2000	12	45	CL424
10.049452800923422	12.700000000000001	2000-01-18	2000	13	0	CL424
10.049439454604482	13.0	2000-01-18	2000	13	15	CL424
10.04942610828554	13.3	2000-01-18	2000	13	30	CL424
10.049412761966598	13.3	2000-01-18	2000	13	45	CL424
10.049399415647658	13.0	2000-01-18	2000	14	0	CL424
10.049386069328717	12.700000000000001	2000-01-18	2000	14	15	CL424
10.049372723009776	12.4	2000-01-18	2000	14	30	CL424
10.049359376690836	12.100000000000001	2000-01-18	2000	14	45	CL424
10.049346030371893	11.8	2000-01-18	2000	15	0	CL424
10.049332684052953	11.5	2000-01-18	2000	15	15	CL424
10.049319337734012	11.200000000000001	2000-01-18	2000	15	30	CL424
10.049305991415071	10.9	2000-01-18	2000	15	45	CL424
10.04929264509613	10.600000000000001	2000-01-18	2000	16	0	CL424
10.04927929877719	10.3	2000-01-18	2000	16	15	CL424
10.049265952458247	10.0	2000-01-18	2000	16	30	CL424
10.049252606139307	9.700000000000001	2000-01-18	2000	16	45	CL424
10.049239259820366	9.4	2000-01-18	2000	17	0	CL424
10.049225913501425	9.100000000000001	2000-01-18	2000	17	15	CL424
10.049212567182485	8.8	2000-01-18	2000	17	30	CL424
10.049199220863544	8.5	2000-01-18	2000	17	45	CL424
10.049185874544603	8.2	2000-01-18	2000	18	0	CL424
10.049172528225661	7.9	2000-01-18	2000	18	15	CL424
10.04915918190672	7.6000000000000005	2000-01-18	2000	18	30	CL424
10.04914583558778	7.300000000000001	2000-01-18	2000	18	45	CL424
10.049132489268839	7.000000000000001	2000-01-18	2000	19	0	CL424
10.049119142949898	6.7	2000-01-18	2000	19	15	CL424
10.049105796630958	6.4	2000-01-18	2000	19	30	CL424
10.049092450312015	6.1000000000000005	2000-01-18	2000	19	45	CL424
10.049079103993074	5.800000000000001	2000-01-18	2000	20	0	CL424
10.049065757674134	5.500000000000001	2000-01-18	2000	20	15	CL424
10.049052411355193	5.2	2000-01-18	2000	20	30	CL424
10.049039065036252	4.9	2000-01-18	2000	20	45	CL424
10.049025718717312	4.6000000000000005	2000-01-18	2000	21	0	CL424
10.049012372398371	4.3	2000-01-18	2000	21	15	CL424
10.048999026079429	4.0	2000-01-18	2000	21	30	CL424
10.048985679760488	3.7	2000-01-18	2000	21	45	CL424
10.048972333441547	3.4	2000-01-18	2000	22	0	CL424
10.048958987122607	3.1	2000-01-18	2000	22	15	CL424
10.048945640803666	2.8	2000-01-18	2000	22	30	CL424
10.048932294484725	2.5	2000-01-18	2000	22	45	CL424
10.048918948165783	2.2	2000-01-18	2000	23	0	CL424
10.048905601846842	1.9	2000-01-18	2000	23	15	CL424
