foF2	foF2_err	date	year	h	m	sonde
4.0	0.0	2009-03-02	2009	0	0	DB049
3.75	0.0	2009-03-02	2009	0	15	DB049
3.5	0.0	2009-03-02	2009	0	30	DB049
3.4	0.0	2009-03-02	2009	0	45	DB049
3.85	0.0	2009-03-02	2009	1	0	DB049
3.3	0.0	2009-03-02	2009	1	15	DB049
3.6	0.0	2009-03-02	2009	1	30	DB049
3.6	0.0	2009-03-02	2009	1	45	DB049
3.25	0.0	2009-03-02	2009	2	0	DB049
3.45	0.0	2009-03-02	2009	2	15	DB049
3.25	0.0	2009-03-02	2009	2	30	DB049
3.25	0.0	2009-03-02	2009	2	45	DB049
3.15	0.0	2009-03-02	2009	3	0	DB049
3.2	0.0	2009-03-02	2009	3	15	DB049
3.4	0.0	2009-03-02	2009	3	30	DB049
3.65	0.0	2009-03-02	2009	3	45	DB049
3.3	0.0	2009-03-02	2009	4	0	DB049
3.35	0.0	2009-03-02	2009	4	15	DB049
3.4	0.0	2009-03-02	2009	4	30	DB049
2.9	0.0	2009-03-02	2009	4	45	DB049
2.9	0.0	2009-03-02	2009	5	0	DB049
2.7	0.0	2009-03-02	2009	5	15	DB049
2.6	0.0	2009-03-02	2009	5	30	DB049
2.55	0.0	2009-03-02	2009	5	45	DB049
2.75	0.0	2009-03-02	2009	6	0	DB049
3.1	0.0	2009-03-02	2009	6	15	DB049
3.45	0.0	2009-03-02	2009	6	30	DB049
3.801	0.0	2009-03-02	2009	6	45	DB049
4.15	0.0	2009-03-02	2009	7	0	DB049
4.596	0.0	2009-03-02	2009	7	15	DB049
4.588	0.0	2009-03-02	2009	7	30	DB049
4.957	0.0	2009-03-02	2009	7	45	DB049
4.907	0.0	2009-03-02	2009	8	0	DB049
4.725	0.0	2009-03-02	2009	8	15	DB049
4.663	0.0	2009-03-02	2009	8	30	DB049
4.525	0.0	2009-03-02	2009	8	45	DB049
4.5	0.0	2009-03-02	2009	9	0	DB049
4.875	0.0	2009-03-02	2009	9	15	DB049
5.025	0.0	2009-03-02	2009	9	30	DB049
4.907	0.0	2009-03-02	2009	9	45	DB049
4.952	0.0	2009-03-02	2009	10	0	DB049
5.104	0.0	2009-03-02	2009	10	15	DB049
5.375	0.0	2009-03-02	2009	10	30	DB049
5.425	0.0	2009-03-02	2009	10	45	DB049
5.275	0.0	2009-03-02	2009	11	0	DB049
5.275	0.0	2009-03-02	2009	11	15	DB049
5.363	0.0	2009-03-02	2009	11	30	DB049
5.425	0.0	2009-03-02	2009	11	45	DB049
5.275	0.0	2009-03-02	2009	12	0	DB049
5.125	0.0	2009-03-02	2009	12	15	DB049
4.975	0.0	2009-03-02	2009	12	30	DB049
5.425	0.0	2009-03-02	2009	12	45	DB049
