foF2	foF2_err	date	year	h	m	sonde
9.95	0.0	2002-09-29	2002	0	0	DS932
9.825	0.7	2002-09-29	2002	0	15	DS932
9.7	0.0	2002-09-29	2002	0	30	DS932
9.25	0.7	2002-09-29	2002	0	45	DS932
8.8	0.0	2002-09-29	2002	1	0	DS932
8.0	0.7	2002-09-29	2002	1	15	DS932
7.2	0.0	2002-09-29	2002	1	30	DS932
6.9	0.7	2002-09-29	2002	1	45	DS932
6.6	0.0	2002-09-29	2002	2	0	DS932
6.1	0.7	2002-09-29	2002	2	15	DS932
5.6	0.0	2002-09-29	2002	2	30	DS932
5.5	0.7	2002-09-29	2002	2	45	DS932
5.4	0.0	2002-09-29	2002	3	0	DS932
5.45	0.7	2002-09-29	2002	3	15	DS932
5.5	0.0	2002-09-29	2002	3	30	DS932
5.3	0.7	2002-09-29	2002	3	45	DS932
5.1	0.0	2002-09-29	2002	4	0	DS932
5.449999999999999	0.7	2002-09-29	2002	4	15	DS932
5.8	0.0	2002-09-29	2002	4	30	DS932
5.65	0.7	2002-09-29	2002	4	45	DS932
5.5	0.0	2002-09-29	2002	5	0	DS932
5.2	0.7	2002-09-29	2002	5	15	DS932
4.9	0.0	2002-09-29	2002	5	30	DS932
4.9	0.7	2002-09-29	2002	5	45	DS932
4.9	0.0	2002-09-29	2002	6	0	DS932
4.9	0.7	2002-09-29	2002	6	15	DS932
4.9	0.0	2002-09-29	2002	6	30	DS932
5.15	0.7	2002-09-29	2002	6	45	DS932
5.4	0.0	2002-09-29	2002	7	0	DS932
5.1	0.7	2002-09-29	2002	7	15	DS932
4.8	0.0	2002-09-29	2002	7	30	DS932
5.0	0.7	2002-09-29	2002	7	45	DS932
5.2	0.0	2002-09-29	2002	8	0	DS932
5.15	0.7	2002-09-29	2002	8	15	DS932
5.1	0.0	2002-09-29	2002	8	30	DS932
5.0	0.7	2002-09-29	2002	8	45	DS932
4.9	0.0	2002-09-29	2002	9	0	DS932
4.85	0.7	2002-09-29	2002	9	15	DS932
4.8	0.0	2002-09-29	2002	9	30	DS932
4.8	0.7	2002-09-29	2002	9	45	DS932
4.8	0.0	2002-09-29	2002	10	0	DS932
4.85	0.7	2002-09-29	2002	10	15	DS932
4.9	0.0	2002-09-29	2002	10	30	DS932
5.25	0.7	2002-09-29	2002	10	45	DS932
5.6	0.0	2002-09-29	2002	11	0	DS932
