foF2	foF2_err	date	year	h	m	sonde
4.4	0.0	2003-04-01	2003	0	0	EB040
4.45	0.7	2003-04-01	2003	0	15	EB040
4.5	1.0	2003-04-01	2003	0	30	EB040
4.55	0.7	2003-04-01	2003	0	45	EB040
4.6	0.0	2003-04-01	2003	1	0	EB040
4.574999999999999	0.7	2003-04-01	2003	1	15	EB040
4.55	1.0	2003-04-01	2003	1	30	EB040
4.525	0.7	2003-04-01	2003	1	45	EB040
4.5	0.0	2003-04-01	2003	2	0	EB040
4.45	0.7	2003-04-01	2003	2	15	EB040
4.4	1.0	2003-04-01	2003	2	30	EB040
4.35	0.7	2003-04-01	2003	2	45	EB040
4.3	0.0	2003-04-01	2003	3	0	EB040
4.25	0.7	2003-04-01	2003	3	15	EB040
4.199999999999999	1.0	2003-04-01	2003	3	30	EB040
4.1499999999999995	0.7	2003-04-01	2003	3	45	EB040
4.1	0.0	2003-04-01	2003	4	0	EB040
4.1	0.7	2003-04-01	2003	4	15	EB040
4.1	1.0	2003-04-01	2003	4	30	EB040
4.1	0.7	2003-04-01	2003	4	45	EB040
4.1	0.0	2003-04-01	2003	5	0	EB040
4.3125	0.7	2003-04-01	2003	5	15	EB040
4.525	1.0	2003-04-01	2003	5	30	EB040
4.7375	0.7	2003-04-01	2003	5	45	EB040
4.95	0.0	2003-04-01	2003	6	0	EB040
5.075	0.7	2003-04-01	2003	6	15	EB040
5.2	1.0	2003-04-01	2003	6	30	EB040
5.325	0.7	2003-04-01	2003	6	45	EB040
5.45	0.0	2003-04-01	2003	7	0	EB040
5.4875	0.7	2003-04-01	2003	7	15	EB040
5.525	1.0	2003-04-01	2003	7	30	EB040
5.5625	0.7	2003-04-01	2003	7	45	EB040
5.6	0.0	2003-04-01	2003	8	0	EB040
5.7124999999999995	0.7	2003-04-01	2003	8	15	EB040
5.824999999999999	1.0	2003-04-01	2003	8	30	EB040
5.9375	0.7	2003-04-01	2003	8	45	EB040
6.05	0.0	2003-04-01	2003	9	0	EB040
6.39375	0.7	2003-04-01	2003	9	15	EB040
6.7375	1.0	2003-04-01	2003	9	30	EB040
7.08125	0.7	2003-04-01	2003	9	45	EB040
7.425	0.0	2003-04-01	2003	10	0	EB040
7.172	0.7	2003-04-01	2003	10	15	EB040
6.918999999999999	1.0	2003-04-01	2003	10	30	EB040
6.665999999999999	0.7	2003-04-01	2003	10	45	EB040
6.4129999999999985	0.0	2003-04-01	2003	11	0	EB040
6.622249999999999	0.7	2003-04-01	2003	11	15	EB040
6.831499999999999	1.0	2003-04-01	2003	11	30	EB040
7.040749999999999	0.7	2003-04-01	2003	11	45	EB040
7.25	0.0	2003-04-01	2003	12	0	EB040
7.375	0.7	2003-04-01	2003	12	15	EB040
7.5	1.0	2003-04-01	2003	12	30	EB040
7.625	0.7	2003-04-01	2003	12	45	EB040
7.75	0.0	2003-04-01	2003	13	0	EB040
7.8	0.7	2003-04-01	2003	13	15	EB040
7.85	1.0	2003-04-01	2003	13	30	EB040
7.9	0.7	2003-04-01	2003	13	45	EB040
7.95	0.0	2003-04-01	2003	14	0	EB040
7.9	0.7	2003-04-01	2003	14	15	EB040
7.85	1.0	2003-04-01	2003	14	30	EB040
7.8	0.7	2003-04-01	2003	14	45	EB040
7.75	0.0	2003-04-01	2003	15	0	EB040
7.65	0.7	2003-04-01	2003	15	15	EB040
7.55	1.0	2003-04-01	2003	15	30	EB040
7.449999999999999	0.7	2003-04-01	2003	15	45	EB040
7.35	0.0	2003-04-01	2003	16	0	EB040
7.35	0.7	2003-04-01	2003	16	15	EB040
7.35	1.0	2003-04-01	2003	16	30	EB040
7.35	0.7	2003-04-01	2003	16	45	EB040
7.35	0.0	2003-04-01	2003	17	0	EB040
7.2749999999999995	0.7	2003-04-01	2003	17	15	EB040
7.199999999999999	1.0	2003-04-01	2003	17	30	EB040
7.125	0.7	2003-04-01	2003	17	45	EB040
7.05	0.0	2003-04-01	2003	18	0	EB040
6.8625	0.7	2003-04-01	2003	18	15	EB040
6.675	1.0	2003-04-01	2003	18	30	EB040
6.4875	0.7	2003-04-01	2003	18	45	EB040
6.3	0.0	2003-04-01	2003	19	0	EB040
6.225	0.7	2003-04-01	2003	19	15	EB040
6.15	1.0	2003-04-01	2003	19	30	EB040
6.075	0.7	2003-04-01	2003	19	45	EB040
6.0	0.0	2003-04-01	2003	20	0	EB040
5.925	0.7	2003-04-01	2003	20	15	EB040
5.85	1.0	2003-04-01	2003	20	30	EB040
5.775	0.7	2003-04-01	2003	20	45	EB040
5.7	0.0	2003-04-01	2003	21	0	EB040
5.6375	0.7	2003-04-01	2003	21	15	EB040
5.575	1.0	2003-04-01	2003	21	30	EB040
5.5125	1.3	2003-04-01	2003	21	45	EB040
5.45	1.6	2003-04-01	2003	22	0	EB040
5.3875	1.3	2003-04-01	2003	22	15	EB040
5.325	1.0	2003-04-01	2003	22	30	EB040
5.2625	0.7	2003-04-01	2003	22	45	EB040
5.2	0.0	2003-04-01	2003	23	0	EB040
5.125	0.7	2003-04-01	2003	23	15	EB040
5.05	1.0	2003-04-01	2003	23	30	EB040
4.975	1.3	2003-04-01	2003	23	45	EB040
4.9	1.6	2003-04-02	2003	0	0	EB040
4.825	1.3	2003-04-02	2003	0	15	EB040
4.75	1.0	2003-04-02	2003	0	30	EB040
4.675	0.7	2003-04-02	2003	0	45	EB040
4.6	0.0	2003-04-02	2003	1	0	EB040
4.6	0.7	2003-04-02	2003	1	15	EB040
4.6	1.0	2003-04-02	2003	1	30	EB040
4.6	0.7	2003-04-02	2003	1	45	EB040
4.6	0.0	2003-04-02	2003	2	0	EB040
4.5249999999999995	0.7	2003-04-02	2003	2	15	EB040
4.449999999999999	1.0	2003-04-02	2003	2	30	EB040
4.375	1.3	2003-04-02	2003	2	45	EB040
4.3	1.6	2003-04-02	2003	3	0	EB040
4.225	1.3	2003-04-02	2003	3	15	EB040
4.15	1.0	2003-04-02	2003	3	30	EB040
4.075	0.7	2003-04-02	2003	3	45	EB040
4.0	0.0	2003-04-02	2003	4	0	EB040
3.975	0.7	2003-04-02	2003	4	15	EB040
3.95	1.0	2003-04-02	2003	4	30	EB040
3.925	0.7	2003-04-02	2003	4	45	EB040
3.9	0.0	2003-04-02	2003	5	0	EB040
4.1375	0.7	2003-04-02	2003	5	15	EB040
4.375	1.0	2003-04-02	2003	5	30	EB040
4.6125	0.7	2003-04-02	2003	5	45	EB040
4.85	0.0	2003-04-02	2003	6	0	EB040
5.1	0.7	2003-04-02	2003	6	15	EB040
5.35	1.0	2003-04-02	2003	6	30	EB040
5.6	0.7	2003-04-02	2003	6	45	EB040
5.85	0.0	2003-04-02	2003	7	0	EB040
5.9937499999999995	0.7	2003-04-02	2003	7	15	EB040
6.137499999999999	1.0	2003-04-02	2003	7	30	EB040
6.28125	0.7	2003-04-02	2003	7	45	EB040
6.425	0.0	2003-04-02	2003	8	0	EB040
6.68125	0.7	2003-04-02	2003	8	15	EB040
6.9375	1.0	2003-04-02	2003	8	30	EB040
7.19375	0.7	2003-04-02	2003	8	45	EB040
7.45	0.0	2003-04-02	2003	9	0	EB040
7.51875	0.7	2003-04-02	2003	9	15	EB040
7.5875	1.0	2003-04-02	2003	9	30	EB040
7.65625	0.7	2003-04-02	2003	9	45	EB040
7.725	0.0	2003-04-02	2003	10	0	EB040
7.96875	0.7	2003-04-02	2003	10	15	EB040
8.212499999999999	1.0	2003-04-02	2003	10	30	EB040
8.456249999999999	0.7	2003-04-02	2003	10	45	EB040
8.7	0.0	2003-04-02	2003	11	0	EB040
9.087499999999999	0.7	2003-04-02	2003	11	15	EB040
9.475	1.0	2003-04-02	2003	11	30	EB040
9.8625	0.7	2003-04-02	2003	11	45	EB040
10.25	0.0	2003-04-02	2003	12	0	EB040
10.275	0.7	2003-04-02	2003	12	15	EB040
10.3	1.0	2003-04-02	2003	12	30	EB040
10.325	0.7	2003-04-02	2003	12	45	EB040
10.35	0.0	2003-04-02	2003	13	0	EB040
10.2	0.7	2003-04-02	2003	13	15	EB040
10.05	1.0	2003-04-02	2003	13	30	EB040
9.9	0.7	2003-04-02	2003	13	45	EB040
9.75	0.0	2003-04-02	2003	14	0	EB040
9.675	0.7	2003-04-02	2003	14	15	EB040
9.6	1.0	2003-04-02	2003	14	30	EB040
9.524999999999999	0.7	2003-04-02	2003	14	45	EB040
9.45	0.0	2003-04-02	2003	15	0	EB040
9.549999999999999	0.7	2003-04-02	2003	15	15	EB040
9.649999999999999	1.0	2003-04-02	2003	15	30	EB040
9.75	0.7	2003-04-02	2003	15	45	EB040
9.85	0.0	2003-04-02	2003	16	0	EB040
9.85	0.7	2003-04-02	2003	16	15	EB040
9.85	1.0	2003-04-02	2003	16	30	EB040
9.85	0.7	2003-04-02	2003	16	45	EB040
9.85	0.0	2003-04-02	2003	17	0	EB040
9.575	0.7	2003-04-02	2003	17	15	EB040
9.3	1.0	2003-04-02	2003	17	30	EB040
9.025	0.7	2003-04-02	2003	17	45	EB040
8.75	0.0	2003-04-02	2003	18	0	EB040
8.622916666666667	0.7	2003-04-02	2003	18	15	EB040
8.495833333333334	1.0	2003-04-02	2003	18	30	EB040
8.36875	1.3	2003-04-02	2003	18	45	EB040
8.241666666666667	1.6	2003-04-02	2003	19	0	EB040
8.114583333333334	1.9	2003-04-02	2003	19	15	EB040
7.9875	2.2	2003-04-02	2003	19	30	EB040
7.860416666666667	2.5	2003-04-02	2003	19	45	EB040
7.733333333333333	2.8	2003-04-02	2003	20	0	EB040
7.60625	3.1	2003-04-02	2003	20	15	EB040
7.479166666666667	3.4	2003-04-02	2003	20	30	EB040
7.352083333333334	3.7	2003-04-02	2003	20	45	EB040
7.225	4.0	2003-04-02	2003	21	0	EB040
7.097916666666666	3.7	2003-04-02	2003	21	15	EB040
6.970833333333333	3.4	2003-04-02	2003	21	30	EB040
6.84375	3.1	2003-04-02	2003	21	45	EB040
6.716666666666667	2.8	2003-04-02	2003	22	0	EB040
6.589583333333334	2.5	2003-04-02	2003	22	15	EB040
6.4625	2.2	2003-04-02	2003	22	30	EB040
6.335416666666667	1.9	2003-04-02	2003	22	45	EB040
6.208333333333334	1.6	2003-04-02	2003	23	0	EB040
6.081250000000001	1.3	2003-04-02	2003	23	15	EB040
5.9541666666666675	1.0	2003-04-02	2003	23	30	EB040
5.827083333333334	0.7	2003-04-02	2003	23	45	EB040
5.7	0.0	2003-04-03	2003	0	0	EB040
5.675	0.7	2003-04-03	2003	0	15	EB040
5.65	1.0	2003-04-03	2003	0	30	EB040
5.625	0.7	2003-04-03	2003	0	45	EB040
5.6	0.0	2003-04-03	2003	1	0	EB040
5.5375	0.7	2003-04-03	2003	1	15	EB040
5.475	1.0	2003-04-03	2003	1	30	EB040
5.4125	1.3	2003-04-03	2003	1	45	EB040
5.35	1.6	2003-04-03	2003	2	0	EB040
5.2875	1.3	2003-04-03	2003	2	15	EB040
5.225	1.0	2003-04-03	2003	2	30	EB040
5.1625	0.7	2003-04-03	2003	2	45	EB040
5.1	0.0	2003-04-03	2003	3	0	EB040
5.0	0.7	2003-04-03	2003	3	15	EB040
4.9	1.0	2003-04-03	2003	3	30	EB040
4.8	0.7	2003-04-03	2003	3	45	EB040
4.7	0.0	2003-04-03	2003	4	0	EB040
4.879166666666666	0.7	2003-04-03	2003	4	15	EB040
5.058333333333334	1.0	2003-04-03	2003	4	30	EB040
5.2375	1.3	2003-04-03	2003	4	45	EB040
5.416666666666667	1.6	2003-04-03	2003	5	0	EB040
5.595833333333333	1.9	2003-04-03	2003	5	15	EB040
5.775	2.2	2003-04-03	2003	5	30	EB040
5.954166666666667	1.9	2003-04-03	2003	5	45	EB040
6.133333333333333	1.6	2003-04-03	2003	6	0	EB040
6.3125	1.3	2003-04-03	2003	6	15	EB040
6.491666666666666	1.0	2003-04-03	2003	6	30	EB040
6.6708333333333325	0.7	2003-04-03	2003	6	45	EB040
6.85	0.0	2003-04-03	2003	7	0	EB040
7.15	0.7	2003-04-03	2003	7	15	EB040
7.45	1.0	2003-04-03	2003	7	30	EB040
7.75	0.7	2003-04-03	2003	7	45	EB040
8.05	0.0	2003-04-03	2003	8	0	EB040
8.254545454545456	0.7	2003-04-03	2003	8	15	EB040
8.459090909090909	1.0	2003-04-03	2003	8	30	EB040
8.663636363636364	0.8200000000000001	2003-04-03	2003	8	45	EB040
8.868181818181817	0.52	2003-04-03	2003	9	0	EB040
8.913839285714285	0.5800000000000001	2003-04-03	2003	9	15	EB040
8.853571428571428	0.88	2003-04-03	2003	9	30	EB040
8.79330357142857	0.74	2003-04-03	2003	9	45	EB040
8.733035714285714	0.44	2003-04-03	2003	10	0	EB040
8.69698275862069	0.66	2003-04-03	2003	10	15	EB040
8.664655172413793	0.9600000000000001	2003-04-03	2003	10	30	EB040
8.632327586206896	0.7	2003-04-03	2003	10	45	EB040
8.6	0.0	2003-04-03	2003	11	0	EB040
