foF2	foF2_err	date	year	h	m	sonde
5.8370000000000015	0.0	2004-10-03	2004	0	0	GH64L
5.971500000000001	0.7	2004-10-03	2004	0	15	GH64L
6.106000000000001	1.0	2004-10-03	2004	0	30	GH64L
6.240500000000001	0.7	2004-10-03	2004	0	45	GH64L
6.375	0.0	2004-10-03	2004	1	0	GH64L
6.27675	0.7	2004-10-03	2004	1	15	GH64L
6.1785	1.0	2004-10-03	2004	1	30	GH64L
6.08025	0.7	2004-10-03	2004	1	45	GH64L
5.982	0.0	2004-10-03	2004	2	0	GH64L
6.0207500000000005	0.7	2004-10-03	2004	2	15	GH64L
6.0595	1.0	2004-10-03	2004	2	30	GH64L
6.09825	0.7	2004-10-03	2004	2	45	GH64L
6.1370000000000005	0.0	2004-10-03	2004	3	0	GH64L
6.125750000000001	0.7	2004-10-03	2004	3	15	GH64L
6.1145000000000005	1.0	2004-10-03	2004	3	30	GH64L
6.103250000000001	1.3	2004-10-03	2004	3	45	GH64L
6.0920000000000005	1.6	2004-10-03	2004	4	0	GH64L
6.080750000000001	1.3	2004-10-03	2004	4	15	GH64L
6.0695000000000014	1.0	2004-10-03	2004	4	30	GH64L
6.058250000000001	0.7	2004-10-03	2004	4	45	GH64L
6.0470000000000015	0.0	2004-10-03	2004	5	0	GH64L
6.072000000000001	0.7	2004-10-03	2004	5	15	GH64L
6.097000000000001	1.0	2004-10-03	2004	5	30	GH64L
6.122000000000001	0.7	2004-10-03	2004	5	45	GH64L
6.147	0.0	2004-10-03	2004	6	0	GH64L
6.1555	0.7	2004-10-03	2004	6	15	GH64L
6.164	1.0	2004-10-03	2004	6	30	GH64L
6.1725	0.7	2004-10-03	2004	6	45	GH64L
6.181	0.0	2004-10-03	2004	7	0	GH64L
6.38875	0.7	2004-10-03	2004	7	15	GH64L
6.596500000000001	1.0	2004-10-03	2004	7	30	GH64L
6.804250000000001	0.7	2004-10-03	2004	7	45	GH64L
7.0120000000000005	0.0	2004-10-03	2004	8	0	GH64L
6.6675	0.7	2004-10-03	2004	8	15	GH64L
6.323	1.0	2004-10-03	2004	8	30	GH64L
5.9785	0.7	2004-10-03	2004	8	45	GH64L
5.634	0.0	2004-10-03	2004	9	0	GH64L
5.25975	0.7	2004-10-03	2004	9	15	GH64L
4.8855	1.0	2004-10-03	2004	9	30	GH64L
4.5112499999999995	0.7	2004-10-03	2004	9	45	GH64L
4.137	0.0	2004-10-03	2004	10	0	GH64L
4.56525	0.7	2004-10-03	2004	10	15	GH64L
4.993499999999999	1.0	2004-10-03	2004	10	30	GH64L
