foF2	foF2_err	date	year	h	m	sonde
2.925	0.0	2010-01-23	2010	0	0	HE13N
2.95	0.0	2010-01-23	2010	0	15	HE13N
2.975	0.0	2010-01-23	2010	0	30	HE13N
2.975	0.0	2010-01-23	2010	0	45	HE13N
2.975	0.0	2010-01-23	2010	1	0	HE13N
2.925	0.0	2010-01-23	2010	1	15	HE13N
2.875	0.0	2010-01-23	2010	1	30	HE13N
2.825	0.0	2010-01-23	2010	1	45	HE13N
2.8	0.0	2010-01-23	2010	2	0	HE13N
2.725	0.0	2010-01-23	2010	2	15	HE13N
2.725	0.0	2010-01-23	2010	2	30	HE13N
2.65	0.0	2010-01-23	2010	2	45	HE13N
2.575	0.0	2010-01-23	2010	3	0	HE13N
2.75	0.0	2010-01-23	2010	3	15	HE13N
2.825	0.0	2010-01-23	2010	3	30	HE13N
3.175	0.0	2010-01-23	2010	3	45	HE13N
3.725	0.0	2010-01-23	2010	4	0	HE13N
4.05	0.0	2010-01-23	2010	4	15	HE13N
4.387	0.0	2010-01-23	2010	4	30	HE13N
4.675	0.0	2010-01-23	2010	4	45	HE13N
4.988	0.0	2010-01-23	2010	5	0	HE13N
5.337999999999999	0.0	2010-01-23	2010	5	15	HE13N
5.337999999999999	0.0	2010-01-23	2010	5	30	HE13N
5.438	0.0	2010-01-23	2010	5	45	HE13N
5.488	0.0	2010-01-23	2010	6	0	HE13N
5.863	0.0	2010-01-23	2010	6	15	HE13N
6.113	0.0	2010-01-23	2010	6	30	HE13N
6.2620000000000005	0.0	2010-01-23	2010	6	45	HE13N
6.1629999999999985	0.0	2010-01-23	2010	7	0	HE13N
6.087999999999999	0.0	2010-01-23	2010	7	15	HE13N
6.1370000000000005	0.0	2010-01-23	2010	7	30	HE13N
6.238	0.0	2010-01-23	2010	7	45	HE13N
6.2879999999999985	0.0	2010-01-23	2010	8	0	HE13N
6.225	0.0	2010-01-23	2010	8	15	HE13N
5.988	0.0	2010-01-23	2010	8	30	HE13N
5.625	0.0	2010-01-23	2010	8	45	HE13N
5.5379999999999985	0.0	2010-01-23	2010	9	0	HE13N
5.65	0.0	2010-01-23	2010	9	15	HE13N
5.8	0.0	2010-01-23	2010	9	30	HE13N
5.925	0.0	2010-01-23	2010	9	45	HE13N
6.0	0.0	2010-01-23	2010	10	0	HE13N
6.125	0.0	2010-01-23	2010	10	15	HE13N
6.35	0.0	2010-01-23	2010	10	30	HE13N
6.55	0.0	2010-01-23	2010	10	45	HE13N
6.7	0.0	2010-01-23	2010	11	0	HE13N
6.725	0.0	2010-01-23	2010	11	15	HE13N
6.775	0.0	2010-01-23	2010	11	30	HE13N
6.988	0.0	2010-01-23	2010	11	45	HE13N
7.0	0.0	2010-01-23	2010	12	0	HE13N
6.85	0.0	2010-01-23	2010	12	15	HE13N
6.725	0.0	2010-01-23	2010	12	30	HE13N
6.675	0.0	2010-01-23	2010	12	45	HE13N
6.45	0.0	2010-01-23	2010	13	0	HE13N
6.375	0.0	2010-01-23	2010	13	15	HE13N
6.35	0.0	2010-01-23	2010	13	30	HE13N
6.4	0.0	2010-01-23	2010	13	45	HE13N
6.337999999999999	0.0	2010-01-23	2010	14	0	HE13N
6.35	0.0	2010-01-23	2010	14	15	HE13N
6.4	0.0	2010-01-23	2010	14	30	HE13N
6.45	0.0	2010-01-23	2010	14	45	HE13N
6.363	0.0	2010-01-23	2010	15	0	HE13N
6.275	0.0	2010-01-23	2010	15	15	HE13N
6.087999999999999	0.0	2010-01-23	2010	15	30	HE13N
6.063	0.0	2010-01-23	2010	15	45	HE13N
5.837999999999999	0.0	2010-01-23	2010	16	0	HE13N
5.688	0.0	2010-01-23	2010	16	15	HE13N
5.675	0.0	2010-01-23	2010	16	30	HE13N
5.837999999999999	0.0	2010-01-23	2010	16	45	HE13N
5.938	0.0	2010-01-23	2010	17	0	HE13N
5.95	0.0	2010-01-23	2010	17	15	HE13N
5.7879999999999985	0.0	2010-01-23	2010	17	30	HE13N
5.6	0.0	2010-01-23	2010	17	45	HE13N
5.587999999999999	0.0	2010-01-23	2010	18	0	HE13N
5.3	0.0	2010-01-23	2010	18	15	HE13N
5.45	0.0	2010-01-23	2010	18	30	HE13N
5.225	0.0	2010-01-23	2010	18	45	HE13N
4.65	0.0	2010-01-23	2010	19	0	HE13N
4.5	0.0	2010-01-23	2010	19	15	HE13N
4.075	0.0	2010-01-23	2010	19	30	HE13N
3.95	0.0	2010-01-23	2010	19	45	HE13N
3.75	0.0	2010-01-23	2010	20	0	HE13N
3.65	0.0	2010-01-23	2010	20	15	HE13N
3.575	0.0	2010-01-23	2010	20	30	HE13N
3.525	0.0	2010-01-23	2010	20	45	HE13N
3.45	0.0	2010-01-23	2010	21	0	HE13N
3.45	0.0	2010-01-23	2010	21	15	HE13N
3.4	0.0	2010-01-23	2010	21	30	HE13N
3.375	0.0	2010-01-23	2010	21	45	HE13N
3.325	0.0	2010-01-23	2010	22	0	HE13N
3.25	0.0	2010-01-23	2010	22	15	HE13N
3.225	0.0	2010-01-23	2010	22	30	HE13N
3.175	0.0	2010-01-23	2010	22	45	HE13N
3.2	0.0	2010-01-23	2010	23	0	HE13N
3.125	0.0	2010-01-23	2010	23	15	HE13N
3.175	0.0	2010-01-23	2010	23	30	HE13N
3.125	0.0	2010-01-23	2010	23	45	HE13N
3.025	0.0	2010-01-24	2010	0	0	HE13N
3.1	0.0	2010-01-24	2010	0	15	HE13N
3.1	0.0	2010-01-24	2010	0	30	HE13N
3.125	0.0	2010-01-24	2010	0	45	HE13N
3.1	0.0	2010-01-24	2010	1	0	HE13N
3.175	0.0	2010-01-24	2010	1	15	HE13N
3.2	0.0	2010-01-24	2010	1	30	HE13N
3.15	0.0	2010-01-24	2010	1	45	HE13N
3.1	0.0	2010-01-24	2010	2	0	HE13N
