foF2	foF2_err	date	year	h	m	sonde
2.4	0.0	2011-01-20	2011	19	45	IR352
2.42	0.7	2011-01-20	2011	20	0	IR352
2.44	1.0	2011-01-20	2011	20	15	IR352
2.46	0.7	2011-01-20	2011	20	30	IR352
2.48	0.0	2011-01-20	2011	20	45	IR352
2.4266666666666667	0.7	2011-01-20	2011	21	0	IR352
2.373333333333333	0.7	2011-01-20	2011	21	15	IR352
2.32	0.0	2011-01-20	2011	21	30	IR352
2.2800000000000002	0.7	2011-01-20	2011	21	45	IR352
2.24	0.0	2011-01-20	2011	22	0	IR352
2.3400000000000003	0.7	2011-01-20	2011	22	15	IR352
2.4400000000000004	1.0	2011-01-20	2011	22	30	IR352
2.54	1.3	2011-01-20	2011	22	45	IR352
2.64	1.6	2011-01-20	2011	23	0	IR352
2.74	1.9	2011-01-20	2011	23	15	IR352
2.84	2.2	2011-01-20	2011	23	30	IR352
2.94	1.9	2011-01-20	2011	23	45	IR352
3.04	1.6	2011-01-21	2011	0	0	IR352
3.14	1.3	2011-01-21	2011	0	15	IR352
3.24	1.0	2011-01-21	2011	0	30	IR352
3.34	0.7	2011-01-21	2011	0	45	IR352
3.44	0.0	2011-01-21	2011	1	0	IR352
4.08	0.0	2011-01-21	2011	1	15	IR352
4.64	0.0	2011-01-21	2011	1	30	IR352
4.96	0.0	2011-01-21	2011	1	45	IR352
5.2	0.0	2011-01-21	2011	2	0	IR352
4.88	0.0	2011-01-21	2011	2	15	IR352
4.8	0.0	2011-01-21	2011	2	30	IR352
6.0	0.0	2011-01-21	2011	2	45	IR352
5.92	0.0	2011-01-21	2011	3	0	IR352
5.68	0.0	2011-01-21	2011	3	15	IR352
6.32	0.0	2011-01-21	2011	3	30	IR352
6.0	0.0	2011-01-21	2011	3	45	IR352
5.76	0.0	2011-01-21	2011	4	0	IR352
5.68	0.0	2011-01-21	2011	4	15	IR352
5.84	0.0	2011-01-21	2011	4	30	IR352
6.24	0.0	2011-01-21	2011	4	45	IR352
6.4	0.0	2011-01-21	2011	5	0	IR352
6.4	0.0	2011-01-21	2011	5	15	IR352
5.84	0.0	2011-01-21	2011	5	30	IR352
5.52	0.0	2011-01-21	2011	5	45	IR352
5.76	0.0	2011-01-21	2011	6	0	IR352
5.68	0.0	2011-01-21	2011	6	15	IR352
5.68	0.0	2011-01-21	2011	6	30	IR352
5.68	0.0	2011-01-21	2011	6	45	IR352
