foF2	foF2_err	date	year	h	m	sonde
2.4282500000000002	0.42000000000000004	2013-06-18	2013	7	15	IS141
8.067499999999999	0.44	2013-06-18	2013	7	30	IS141
8.491499999999998	0.42000000000000004	2013-06-18	2013	7	45	IS141
8.559	0.0	2013-06-18	2013	8	0	IS141
8.6155	0.42000000000000004	2013-06-18	2013	8	15	IS141
8.799500000000002	0.44	2013-06-18	2013	8	30	IS141
8.6495	0.42000000000000004	2013-06-18	2013	8	45	IS141
0.0	0.0	2013-06-18	2013	9	0	IS141
7.5515	0.42000000000000004	2013-06-18	2013	9	15	IS141
4.882	0.44	2013-06-18	2013	9	30	IS141
8.480593023255816	0.42000000000000004	2013-06-18	2013	9	45	IS141
8.459488372093023	0.72	2013-06-18	2013	10	0	IS141
8.438383720930233	1.02	2013-06-18	2013	10	15	IS141
8.417279069767442	1.32	2013-06-18	2013	10	30	IS141
8.396174418604652	1.62	2013-06-18	2013	10	45	IS141
8.375069767441861	1.92	2013-06-18	2013	11	0	IS141
8.35396511627907	2.02	2013-06-18	2013	11	15	IS141
8.33286046511628	1.7200000000000002	2013-06-18	2013	11	30	IS141
8.31175581395349	1.42	2013-06-18	2013	11	45	IS141
8.290651162790699	1.12	2013-06-18	2013	12	0	IS141
8.269546511627908	0.8200000000000001	2013-06-18	2013	12	15	IS141
8.248441860465116	0.52	2013-06-18	2013	12	30	IS141
8.183475155279504	0.5	2013-06-18	2013	12	45	IS141
8.172900621118014	0.8	2013-06-18	2013	13	0	IS141
8.162326086956522	1.1	2013-06-18	2013	13	15	IS141
8.151751552795032	1.4	2013-06-18	2013	13	30	IS141
8.141177018633542	1.7000000000000002	2013-06-18	2013	13	45	IS141
8.130602484472051	2.0	2013-06-18	2013	14	0	IS141
8.12002795031056	2.3000000000000003	2013-06-18	2013	14	15	IS141
8.10945341614907	2.6	2013-06-18	2013	14	30	IS141
8.098878881987579	2.9	2013-06-18	2013	14	45	IS141
8.088304347826087	3.2	2013-06-18	2013	15	0	IS141
