foF2	foF2_err	date	year	h	m	sonde
3.952	0.42000000000000004	2018-08-10	2018	2	30	JB57N
3.9850000000000003	0.42000000000000004	2018-08-10	2018	2	45	JB57N
3.7195	0.42000000000000004	2018-08-10	2018	3	0	JB57N
3.505	0.42000000000000004	2018-08-10	2018	3	15	JB57N
3.886	0.42000000000000004	2018-08-10	2018	3	30	JB57N
4.011	0.42000000000000004	2018-08-10	2018	3	45	JB57N
3.852666666666667	0.42000000000000004	2018-08-10	2018	4	0	JB57N
3.8923333333333336	0.42000000000000004	2018-08-10	2018	4	15	JB57N
4.458	0.0	2018-08-10	2018	4	30	JB57N
3.957	0.0	2018-08-10	2018	4	45	JB57N
3.852	0.0	2018-08-10	2018	5	0	JB57N
0.0	0.0	2018-08-10	2018	5	15	JB57N
3.915	0.0	2018-08-10	2018	5	30	JB57N
3.22	0.0	2018-08-10	2018	5	45	JB57N
4.5760000000000005	0.0	2018-08-10	2018	6	0	JB57N
2.878	0.0	2018-08-10	2018	6	15	JB57N
3.3110000000000004	0.0	2018-08-10	2018	6	30	JB57N
3.383	0.0	2018-08-10	2018	6	45	JB57N
3.905	0.0	2018-08-10	2018	7	0	JB57N
4.757	0.0	2018-08-10	2018	7	15	JB57N
3.612	0.0	2018-08-10	2018	7	30	JB57N
3.852	0.0	2018-08-10	2018	7	45	JB57N
4.5760000000000005	0.0	2018-08-10	2018	8	0	JB57N
4.168666666666667	0.42000000000000004	2018-08-10	2018	8	15	JB57N
2.8313333333333333	0.42000000000000004	2018-08-10	2018	8	30	JB57N
3.686	0.42000000000000004	2018-08-10	2018	8	45	JB57N
3.335	0.42000000000000004	2018-08-10	2018	9	0	JB57N
3.0295000000000005	0.42000000000000004	2018-08-10	2018	9	15	JB57N
2.4855	0.42000000000000004	2018-08-10	2018	9	30	JB57N
2.3579999999999997	0.42000000000000004	2018-08-10	2018	9	45	JB57N
2.745	0.42000000000000004	2018-08-10	2018	10	0	JB57N
2.815	0.42000000000000004	2018-08-10	2018	10	15	JB57N
2.684	0.42000000000000004	2018-08-10	2018	10	30	JB57N
2.3535	0.42000000000000004	2018-08-10	2018	10	45	JB57N
2.4154999999999998	0.42000000000000004	2018-08-10	2018	11	0	JB57N
2.331	0.42000000000000004	2018-08-10	2018	11	15	JB57N
2.22	0.42000000000000004	2018-08-10	2018	11	30	JB57N
2.2855	0.42000000000000004	2018-08-10	2018	11	45	JB57N
2.45	0.42000000000000004	2018-08-10	2018	12	0	JB57N
2.901333333333333	0.42000000000000004	2018-08-10	2018	12	15	JB57N
3.129	0.0	2018-08-10	2018	12	30	JB57N
3.174	0.0	2018-08-10	2018	12	45	JB57N
3.3110000000000004	0.0	2018-08-10	2018	13	0	JB57N
2.745	0.0	2018-08-10	2018	13	15	JB57N
2.545	0.0	2018-08-10	2018	13	30	JB57N
2.786	0.0	2018-08-10	2018	13	45	JB57N
2.332	0.0	2018-08-10	2018	14	0	JB57N
3.129	0.0	2018-08-10	2018	14	15	JB57N
2.912	0.0	2018-08-10	2018	14	30	JB57N
3.265	0.0	2018-08-10	2018	14	45	JB57N
2.585	0.0	2018-08-10	2018	15	0	JB57N
2.045	0.0	2018-08-10	2018	15	15	JB57N
2.332	0.0	2018-08-10	2018	15	30	JB57N
2.602	0.0	2018-08-10	2018	15	45	JB57N
2.737	0.0	2018-08-10	2018	16	0	JB57N
4.738	0.42000000000000004	2018-08-10	2018	16	15	JB57N
3.6826666666666665	0.42000000000000004	2018-08-10	2018	16	30	JB57N
3.2470000000000003	0.42000000000000004	2018-08-10	2018	16	45	JB57N
2.6726172839506175	0.54	2018-08-10	2018	17	0	JB57N
2.7317971781305115	0.8400000000000001	2018-08-10	2018	17	15	JB57N
2.7909770723104055	1.1400000000000001	2018-08-10	2018	17	30	JB57N
2.8501569664903	1.44	2018-08-10	2018	17	45	JB57N
2.909336860670194	1.7400000000000002	2018-08-10	2018	18	0	JB57N
2.9685167548500884	2.04	2018-08-10	2018	18	15	JB57N
3.0276966490299824	2.34	2018-08-10	2018	18	30	JB57N
3.0868765432098764	2.64	2018-08-10	2018	18	45	JB57N
3.146056437389771	2.94	2018-08-10	2018	19	0	JB57N
3.205236331569665	3.2399999999999998	2018-08-10	2018	19	15	JB57N
3.2644162257495593	3.54	2018-08-10	2018	19	30	JB57N
3.3235961199294533	3.84	2018-08-10	2018	19	45	JB57N
3.3827760141093473	4.140000000000001	2018-08-10	2018	20	0	JB57N
3.4419559082892417	4.44	2018-08-10	2018	20	15	JB57N
3.5011358024691357	4.74	2018-08-10	2018	20	30	JB57N
3.56031569664903	5.04	2018-08-10	2018	20	45	JB57N
