foF2	foF2_err	date	year	h	m	sonde
0.0	0.0	2011-01-20	2011	0	0	LG178
0.0	0.46	2011-01-20	2011	0	15	LG178
4.961	0.0	2011-01-20	2011	0	30	LG178
2.4805	0.7	2011-01-20	2011	0	45	LG178
0.0	0.0	2011-01-20	2011	1	0	LG178
0.0	0.7	2011-01-20	2011	1	15	LG178
0.0	0.52	2011-01-20	2011	1	30	LG178
0.0	0.46	2011-01-20	2011	1	45	LG178
0.0	0.52	2011-01-20	2011	2	0	LG178
0.0	0.5800000000000001	2011-01-20	2011	2	15	LG178
0.0	0.52	2011-01-20	2011	2	30	LG178
0.0	0.5800000000000001	2011-01-20	2011	2	45	LG178
0.0	0.64	2011-01-20	2011	3	0	LG178
0.0	0.46	2011-01-20	2011	3	15	LG178
0.0	0.0	2011-01-20	2011	3	30	LG178
3.534	0.46	2011-01-20	2011	3	45	LG178
4.1389999999999985	0.0	2011-01-20	2011	4	0	LG178
0.0	0.46	2011-01-20	2011	4	15	LG178
0.0	0.0	2011-01-20	2011	4	30	LG178
1.8009999999999997	0.46	2011-01-20	2011	4	45	LG178
3.407	0.0	2011-01-20	2011	5	0	LG178
2.53725	0.46	2011-01-20	2011	5	15	LG178
3.7415	0.64	2011-01-20	2011	5	30	LG178
2.05	0.46	2011-01-20	2011	5	45	LG178
0.0	0.0	2011-01-20	2011	6	0	LG178
1.7835	0.46	2011-01-20	2011	6	15	LG178
0.0	0.52	2011-01-20	2011	6	30	LG178
0.0	0.46	2011-01-20	2011	6	45	LG178
0.0	0.0	2011-01-20	2011	7	0	LG178
0.0	0.46	2011-01-20	2011	7	15	LG178
4.226	0.0	2011-01-20	2011	7	30	LG178
0.0	0.5800000000000001	2011-01-20	2011	7	45	LG178
0.0	0.52	2011-01-20	2011	8	0	LG178
0.0	0.8200000000000001	2011-01-20	2011	8	15	LG178
0.0	1.12	2011-01-20	2011	8	30	LG178
0.0	1.3	2011-01-20	2011	8	45	LG178
0.0	1.0	2011-01-20	2011	9	0	LG178
0.0	0.7	2011-01-20	2011	9	15	LG178
0.0	0.0	2011-01-20	2011	9	30	LG178
0.0	0.46	2011-01-20	2011	9	45	LG178
0.0	0.0	2011-01-20	2011	10	0	LG178
0.0	0.46	2011-01-20	2011	10	15	LG178
0.0	0.0	2011-01-20	2011	10	30	LG178
0.0	0.5800000000000001	2011-01-20	2011	10	45	LG178
0.0	0.0	2011-01-20	2011	11	0	LG178
1.4915	0.46	2011-01-20	2011	11	15	LG178
0.0	0.0	2011-01-20	2011	11	30	LG178
0.0	0.46	2011-01-20	2011	11	45	LG178
0.0	0.0	2011-01-20	2011	12	0	LG178
3.659	0.46	2011-01-20	2011	12	15	LG178
3.0189999999999992	0.52	2011-01-20	2011	12	30	LG178
0.0	0.46	2011-01-20	2011	12	45	LG178
0.0	0.0	2011-01-20	2011	13	0	LG178
2.5325	0.46	2011-01-20	2011	13	15	LG178
0.0	0.0	2011-01-20	2011	13	30	LG178
0.0	0.46	2011-01-20	2011	13	45	LG178
4.195	0.0	2011-01-20	2011	14	0	LG178
0.0	0.46	2011-01-20	2011	14	15	LG178
2.688	0.0	2011-01-20	2011	14	30	LG178
0.0	0.46	2011-01-20	2011	14	45	LG178
3.837	0.0	2011-01-20	2011	15	0	LG178
3.019	0.46	2011-01-20	2011	15	15	LG178
0.0	0.0	2011-01-20	2011	15	30	LG178
3.7640000000000002	0.46	2011-01-20	2011	15	45	LG178
0.0	0.0	2011-01-20	2011	16	0	LG178
2.6905	0.46	2011-01-20	2011	16	15	LG178
0.0	0.0	2011-01-20	2011	16	30	LG178
2.7365	0.46	2011-01-20	2011	16	45	LG178
5.059	0.0	2011-01-20	2011	17	0	LG178
2.2325	0.46	2011-01-20	2011	17	15	LG178
0.0	0.0	2011-01-20	2011	17	30	LG178
0.0	0.46	2011-01-20	2011	17	45	LG178
3.654	0.0	2011-01-20	2011	18	0	LG178
4.0945	0.46	2011-01-20	2011	18	15	LG178
