foF2	foF2_err	date	year	h	m	sonde
5.5	0.0	2000-05-22	2000	12	30	LM42B
4.805	0.7	2000-05-22	2000	12	45	LM42B
4.11	0.0	2000-05-22	2000	13	0	LM42B
4.605	0.7	2000-05-22	2000	13	15	LM42B
5.1	0.0	2000-05-22	2000	13	30	LM42B
5.199999999999999	0.7	2000-05-22	2000	13	45	LM42B
5.3	0.0	2000-05-22	2000	14	0	LM42B
5.25	0.7	2000-05-22	2000	14	15	LM42B
5.2	0.0	2000-05-22	2000	14	30	LM42B
5.2	0.7	2000-05-22	2000	14	45	LM42B
5.2	0.0	2000-05-22	2000	15	0	LM42B
5.050000000000001	0.7	2000-05-22	2000	15	15	LM42B
4.9	0.0	2000-05-22	2000	15	30	LM42B
4.65	0.7	2000-05-22	2000	15	45	LM42B
4.4	0.0	2000-05-22	2000	16	0	LM42B
4.15	0.7	2000-05-22	2000	16	15	LM42B
3.9	0.0	2000-05-22	2000	16	30	LM42B
3.95	0.7	2000-05-22	2000	16	45	LM42B
4.0	0.0	2000-05-22	2000	17	0	LM42B
4.2	0.7	2000-05-22	2000	17	15	LM42B
4.4	0.0	2000-05-22	2000	17	30	LM42B
4.1	0.7	2000-05-22	2000	17	45	LM42B
3.8	0.0	2000-05-22	2000	18	0	LM42B
3.9	0.7	2000-05-22	2000	18	15	LM42B
4.0	0.0	2000-05-22	2000	18	30	LM42B
3.8	0.7	2000-05-22	2000	18	45	LM42B
3.6	0.0	2000-05-22	2000	19	0	LM42B
3.55	0.7	2000-05-22	2000	19	15	LM42B
3.5	0.0	2000-05-22	2000	19	30	LM42B
3.45	0.7	2000-05-22	2000	19	45	LM42B
3.4	0.0	2000-05-22	2000	20	0	LM42B
3.5	0.7	2000-05-22	2000	20	15	LM42B
3.6	0.0	2000-05-22	2000	20	30	LM42B
3.55	0.7	2000-05-22	2000	20	45	LM42B
3.5	0.0	2000-05-22	2000	21	0	LM42B
3.55	0.7	2000-05-22	2000	21	15	LM42B
3.6	0.0	2000-05-22	2000	21	30	LM42B
3.55	0.7	2000-05-22	2000	21	45	LM42B
3.5	0.0	2000-05-22	2000	22	0	LM42B
4.575	0.7	2000-05-22	2000	22	15	LM42B
5.65	0.0	2000-05-22	2000	22	30	LM42B
6.800000000000001	0.7	2000-05-22	2000	22	45	LM42B
7.95	0.0	2000-05-22	2000	23	0	LM42B
8.075	0.7	2000-05-22	2000	23	15	LM42B
8.2	0.0	2000-05-22	2000	23	30	LM42B
9.875	0.7	2000-05-22	2000	23	45	LM42B
11.55	0.0	2000-05-23	2000	0	0	LM42B
11.65	0.7	2000-05-23	2000	0	15	LM42B
11.75	0.0	2000-05-23	2000	0	30	LM42B
11.65	0.7	2000-05-23	2000	0	45	LM42B
11.55	0.0	2000-05-23	2000	1	0	LM42B
11.15	0.7	2000-05-23	2000	1	15	LM42B
10.75	0.0	2000-05-23	2000	1	30	LM42B
11.3375	0.7	2000-05-23	2000	1	45	LM42B
11.925	0.0	2000-05-23	2000	2	0	LM42B
12.287500000000001	0.7	2000-05-23	2000	2	15	LM42B
12.65	0.0	2000-05-23	2000	2	30	LM42B
12.25	0.7	2000-05-23	2000	2	45	LM42B
11.85	0.0	2000-05-23	2000	3	0	LM42B
11.524999999999999	0.7	2000-05-23	2000	3	15	LM42B
11.2	0.0	2000-05-23	2000	3	30	LM42B
11.475	0.7	2000-05-23	2000	3	45	LM42B
11.75	0.0	2000-05-23	2000	4	0	LM42B
11.9	0.7	2000-05-23	2000	4	15	LM42B
12.05	0.0	2000-05-23	2000	4	30	LM42B
13.037500000000001	0.7	2000-05-23	2000	4	45	LM42B
14.025	0.0	2000-05-23	2000	5	0	LM42B
12.787500000000001	0.7	2000-05-23	2000	5	15	LM42B
11.55	0.0	2000-05-23	2000	5	30	LM42B
11.2	0.7	2000-05-23	2000	5	45	LM42B
10.85	0.0	2000-05-23	2000	6	0	LM42B
10.8	0.7	2000-05-23	2000	6	15	LM42B
10.75	0.0	2000-05-23	2000	6	30	LM42B
10.85	0.7	2000-05-23	2000	6	45	LM42B
10.95	0.0	2000-05-23	2000	7	0	LM42B
11.149999999999999	0.7	2000-05-23	2000	7	15	LM42B
11.35	0.0	2000-05-23	2000	7	30	LM42B
11.45	0.7	2000-05-23	2000	7	45	LM42B
11.55	0.0	2000-05-23	2000	8	0	LM42B
11.3	0.7	2000-05-23	2000	8	15	LM42B
11.05	0.0	2000-05-23	2000	8	30	LM42B
10.5815	0.7	2000-05-23	2000	8	45	LM42B
10.113	0.0	2000-05-23	2000	9	0	LM42B
10.131499999999999	0.7	2000-05-23	2000	9	15	LM42B
10.15	0.0	2000-05-23	2000	9	30	LM42B
10.425	0.7	2000-05-23	2000	9	45	LM42B
10.7	0.0	2000-05-23	2000	10	0	LM42B
9.705	0.7	2000-05-23	2000	10	15	LM42B
8.71	0.0	2000-05-23	2000	10	30	LM42B
8.505	0.7	2000-05-23	2000	10	45	LM42B
8.3	0.0	2000-05-23	2000	11	0	LM42B
7.95	0.7	2000-05-23	2000	11	15	LM42B
7.6	0.0	2000-05-23	2000	11	30	LM42B
6.699999999999999	0.7	2000-05-23	2000	11	45	LM42B
5.8	0.0	2000-05-23	2000	12	0	LM42B
5.8	0.7	2000-05-23	2000	12	15	LM42B
5.8	0.0	2000-05-23	2000	12	30	LM42B
5.75	0.7	2000-05-23	2000	12	45	LM42B
5.7	0.0	2000-05-23	2000	13	0	LM42B
5.75	0.7	2000-05-23	2000	13	15	LM42B
5.8	0.0	2000-05-23	2000	13	30	LM42B
5.5	0.7	2000-05-23	2000	13	45	LM42B
5.2	0.0	2000-05-23	2000	14	0	LM42B
5.75	0.7	2000-05-23	2000	14	15	LM42B
6.3	0.0	2000-05-23	2000	14	30	LM42B
5.449999999999999	0.7	2000-05-23	2000	14	45	LM42B
4.6	0.0	2000-05-23	2000	15	0	LM42B
4.3	0.7	2000-05-23	2000	15	15	LM42B
4.0	0.0	2000-05-23	2000	15	30	LM42B
3.975	0.7	2000-05-23	2000	15	45	LM42B
3.95	0.0	2000-05-23	2000	16	0	LM42B
3.975	0.7	2000-05-23	2000	16	15	LM42B
4.0	0.0	2000-05-23	2000	16	30	LM42B
4.0	0.7	2000-05-23	2000	16	45	LM42B
4.0	0.0	2000-05-23	2000	17	0	LM42B
4.35	0.7	2000-05-23	2000	17	15	LM42B
4.7	0.0	2000-05-23	2000	17	30	LM42B
4.825	0.7	2000-05-23	2000	17	45	LM42B
4.95	0.0	2000-05-23	2000	18	0	LM42B
4.925000000000001	0.7	2000-05-23	2000	18	15	LM42B
4.9	0.0	2000-05-23	2000	18	30	LM42B
4.825	0.7	2000-05-23	2000	18	45	LM42B
4.75	0.0	2000-05-23	2000	19	0	LM42B
4.775	0.7	2000-05-23	2000	19	15	LM42B
4.8	0.0	2000-05-23	2000	19	30	LM42B
4.154999999999999	0.7	2000-05-23	2000	19	45	LM42B
3.51	0.0	2000-05-23	2000	20	0	LM42B
3.0549999999999997	0.7	2000-05-23	2000	20	15	LM42B
2.6	0.0	2000-05-23	2000	20	30	LM42B
2.5	0.7	2000-05-23	2000	20	45	LM42B
2.4	0.0	2000-05-23	2000	21	0	LM42B
2.8	0.7	2000-05-23	2000	21	15	LM42B
3.2	0.0	2000-05-23	2000	21	30	LM42B
3.1	0.7	2000-05-23	2000	21	45	LM42B
3.0	0.0	2000-05-23	2000	22	0	LM42B
3.525	0.7	2000-05-23	2000	22	15	LM42B
4.05	0.0	2000-05-23	2000	22	30	LM42B
6.279999999999999	0.7	2000-05-23	2000	22	45	LM42B
8.51	0.0	2000-05-23	2000	23	0	LM42B
8.83	0.7	2000-05-23	2000	23	15	LM42B
9.15	0.0	2000-05-23	2000	23	30	LM42B
9.8	0.7	2000-05-23	2000	23	45	LM42B
10.45	0.0	2000-05-24	2000	0	0	LM42B
10.475	0.7	2000-05-24	2000	0	15	LM42B
10.5	0.0	2000-05-24	2000	0	30	LM42B
10.225	0.7	2000-05-24	2000	0	45	LM42B
9.95	0.0	2000-05-24	2000	1	0	LM42B
9.5	0.7	2000-05-24	2000	1	15	LM42B
9.05	0.0	2000-05-24	2000	1	30	LM42B
10.100000000000001	0.7	2000-05-24	2000	1	45	LM42B
11.15	0.0	2000-05-24	2000	2	0	LM42B
11.4	0.7	2000-05-24	2000	2	15	LM42B
11.65	0.0	2000-05-24	2000	2	30	LM42B
11.850000000000001	0.7	2000-05-24	2000	2	45	LM42B
12.05	0.0	2000-05-24	2000	3	0	LM42B
11.625	0.7	2000-05-24	2000	3	15	LM42B
11.2	0.0	2000-05-24	2000	3	30	LM42B
11.475	0.7	2000-05-24	2000	3	45	LM42B
11.75	0.0	2000-05-24	2000	4	0	LM42B
12.05	0.7	2000-05-24	2000	4	15	LM42B
12.35	0.0	2000-05-24	2000	4	30	LM42B
11.95	0.7	2000-05-24	2000	4	45	LM42B
11.55	0.0	2000-05-24	2000	5	0	LM42B
11.95	0.7	2000-05-24	2000	5	15	LM42B
12.35	0.0	2000-05-24	2000	5	30	LM42B
13.1125	0.7	2000-05-24	2000	5	45	LM42B
13.875	0.0	2000-05-24	2000	6	0	LM42B
14.0125	0.7	2000-05-24	2000	6	15	LM42B
14.15	0.0	2000-05-24	2000	6	30	LM42B
13.850000000000001	0.7	2000-05-24	2000	6	45	LM42B
13.55	0.0	2000-05-24	2000	7	0	LM42B
13.4	0.7	2000-05-24	2000	7	15	LM42B
13.25	0.0	2000-05-24	2000	7	30	LM42B
