foF2	foF2_err	date	year	h	m	sonde
7.842	0.0	2011-03-15	2011	1	0	LM42J
7.71125	0.7	2011-03-15	2011	1	15	LM42J
7.5805	1.0	2011-03-15	2011	1	30	LM42J
7.44975	0.7	2011-03-15	2011	1	45	LM42J
7.319	0.0	2011-03-15	2011	2	0	LM42J
7.1754999999999995	0.7	2011-03-15	2011	2	15	LM42J
7.032	1.0	2011-03-15	2011	2	30	LM42J
6.8885000000000005	0.7	2011-03-15	2011	2	45	LM42J
6.745	0.0	2011-03-15	2011	3	0	LM42J
6.921250000000001	0.7	2011-03-15	2011	3	15	LM42J
7.0975	1.0	2011-03-15	2011	3	30	LM42J
7.27375	0.7	2011-03-15	2011	3	45	LM42J
7.45	0.0	2011-03-15	2011	4	0	LM42J
7.8180000000000005	0.7	2011-03-15	2011	4	15	LM42J
8.186	1.0	2011-03-15	2011	4	30	LM42J
8.554	0.7	2011-03-15	2011	4	45	LM42J
8.922	0.0	2011-03-15	2011	5	0	LM42J
8.98775	0.7	2011-03-15	2011	5	15	LM42J
9.0535	1.0	2011-03-15	2011	5	30	LM42J
9.119250000000001	0.7	2011-03-15	2011	5	45	LM42J
9.185	0.0	2011-03-15	2011	6	0	LM42J
9.43275	0.7	2011-03-15	2011	6	15	LM42J
9.6805	1.0	2011-03-15	2011	6	30	LM42J
9.92825	0.7	2011-03-15	2011	6	45	LM42J
10.176	0.0	2011-03-15	2011	7	0	LM42J
9.9395	0.7	2011-03-15	2011	7	15	LM42J
9.703	1.0	2011-03-15	2011	7	30	LM42J
9.4665	0.7	2011-03-15	2011	7	45	LM42J
9.23	0.0	2011-03-15	2011	8	0	LM42J
9.045	0.7	2011-03-15	2011	8	15	LM42J
8.86	1.0	2011-03-15	2011	8	30	LM42J
8.675	0.7	2011-03-15	2011	8	45	LM42J
8.49	0.0	2011-03-15	2011	9	0	LM42J
8.405000000000001	0.7	2011-03-15	2011	9	15	LM42J
8.32	1.0	2011-03-15	2011	9	30	LM42J
8.235	0.7	2011-03-15	2011	9	45	LM42J
8.15	0.0	2011-03-15	2011	10	0	LM42J
7.87575	0.7	2011-03-15	2011	10	15	LM42J
7.601500000000001	1.0	2011-03-15	2011	10	30	LM42J
7.32725	1.3	2011-03-15	2011	10	45	LM42J
7.053	1.6	2011-03-15	2011	11	0	LM42J
6.7787500000000005	1.9	2011-03-15	2011	11	15	LM42J
6.5045	2.2	2011-03-15	2011	11	30	LM42J
6.23025	1.9	2011-03-15	2011	11	45	LM42J
5.9559999999999995	1.6	2011-03-15	2011	12	0	LM42J
5.68175	1.3	2011-03-15	2011	12	15	LM42J
5.407500000000001	1.0	2011-03-15	2011	12	30	LM42J
5.13325	0.7	2011-03-15	2011	12	45	LM42J
4.859	0.0	2011-03-15	2011	13	0	LM42J
4.87075	0.7	2011-03-15	2011	13	15	LM42J
4.8825	1.0	2011-03-15	2011	13	30	LM42J
4.894250000000001	0.7	2011-03-15	2011	13	45	LM42J
4.9060000000000015	0.0	2011-03-15	2011	14	0	LM42J
4.850250000000001	0.7	2011-03-15	2011	14	15	LM42J
4.794500000000001	1.0	2011-03-15	2011	14	30	LM42J
4.738750000000001	1.3	2011-03-15	2011	14	45	LM42J
4.683000000000001	1.6	2011-03-15	2011	15	0	LM42J
4.62725	1.3	2011-03-15	2011	15	15	LM42J
4.5715	1.0	2011-03-15	2011	15	30	LM42J
4.515750000000001	0.7	2011-03-15	2011	15	45	LM42J
4.46	0.0	2011-03-15	2011	16	0	LM42J
4.4079999999999995	0.7	2011-03-15	2011	16	15	LM42J
4.356	1.0	2011-03-15	2011	16	30	LM42J
4.304	0.7	2011-03-15	2011	16	45	LM42J
4.252	0.0	2011-03-15	2011	17	0	LM42J
4.292	0.7	2011-03-15	2011	17	15	LM42J
4.332	1.0	2011-03-15	2011	17	30	LM42J
4.372	0.7	2011-03-15	2011	17	45	LM42J
4.412	0.0	2011-03-15	2011	18	0	LM42J
4.3469999999999995	0.7	2011-03-15	2011	18	15	LM42J
4.282	1.0	2011-03-15	2011	18	30	LM42J
4.2170000000000005	0.7	2011-03-15	2011	18	45	LM42J
4.152	0.0	2011-03-15	2011	19	0	LM42J
3.88875	0.7	2011-03-15	2011	19	15	LM42J
3.6255	1.0	2011-03-15	2011	19	30	LM42J
3.3622500000000004	0.7	2011-03-15	2011	19	45	LM42J
3.099	0.0	2011-03-15	2011	20	0	LM42J
3.10225	0.7	2011-03-15	2011	20	15	LM42J
3.1055	1.0	2011-03-15	2011	20	30	LM42J
3.10875	0.7	2011-03-15	2011	20	45	LM42J
3.112	0.0	2011-03-15	2011	21	0	LM42J
3.1585	0.7	2011-03-15	2011	21	15	LM42J
3.205	1.0	2011-03-15	2011	21	30	LM42J
3.2515	0.7	2011-03-15	2011	21	45	LM42J
3.298	0.0	2011-03-15	2011	22	0	LM42J
3.90075	0.7	2011-03-15	2011	22	15	LM42J
4.5035	1.0	2011-03-15	2011	22	30	LM42J
5.106249999999999	0.7	2011-03-15	2011	22	45	LM42J
5.709	0.0	2011-03-15	2011	23	0	LM42J
5.971	0.7	2011-03-15	2011	23	15	LM42J
6.2330000000000005	1.0	2011-03-15	2011	23	30	LM42J
6.495000000000001	0.7	2011-03-15	2011	23	45	LM42J
6.7570000000000014	0.0	2011-03-16	2011	0	0	LM42J
6.967250000000001	0.7	2011-03-16	2011	0	15	LM42J
7.1775	1.0	2011-03-16	2011	0	30	LM42J
7.3877500000000005	0.7	2011-03-16	2011	0	45	LM42J
7.598	0.0	2011-03-16	2011	1	0	LM42J
7.71	0.7	2011-03-16	2011	1	15	LM42J
7.821999999999999	1.0	2011-03-16	2011	1	30	LM42J
7.933999999999999	0.7	2011-03-16	2011	1	45	LM42J
8.046	0.0	2011-03-16	2011	2	0	LM42J
8.081	0.7	2011-03-16	2011	2	15	LM42J
8.116	1.0	2011-03-16	2011	2	30	LM42J
8.151	0.7	2011-03-16	2011	2	45	LM42J
8.186	0.0	2011-03-16	2011	3	0	LM42J
8.0765	0.7	2011-03-16	2011	3	15	LM42J
7.966999999999999	1.0	2011-03-16	2011	3	30	LM42J
7.857499999999997	0.7	2011-03-16	2011	3	45	LM42J
7.747999999999997	0.0	2011-03-16	2011	4	0	LM42J
7.860249999999998	0.7	2011-03-16	2011	4	15	LM42J
7.972499999999998	1.0	2011-03-16	2011	4	30	LM42J
8.08475	0.7	2011-03-16	2011	4	45	LM42J
8.197000000000001	0.0	2011-03-16	2011	5	0	LM42J
8.226500000000001	0.7	2011-03-16	2011	5	15	LM42J
8.256	1.0	2011-03-16	2011	5	30	LM42J
8.285499999999999	0.7	2011-03-16	2011	5	45	LM42J
8.315	0.0	2011-03-16	2011	6	0	LM42J
8.34325	0.7	2011-03-16	2011	6	15	LM42J
8.3715	1.0	2011-03-16	2011	6	30	LM42J
8.39975	0.7	2011-03-16	2011	6	45	LM42J
8.427999999999999	0.0	2011-03-16	2011	7	0	LM42J
8.50525	0.7	2011-03-16	2011	7	15	LM42J
8.5825	1.0	2011-03-16	2011	7	30	LM42J
8.659749999999999	0.7	2011-03-16	2011	7	45	LM42J
8.737	0.0	2011-03-16	2011	8	0	LM42J
8.84425	0.7	2011-03-16	2011	8	15	LM42J
8.9515	1.0	2011-03-16	2011	8	30	LM42J
9.05875	0.7	2011-03-16	2011	8	45	LM42J
9.166	0.0	2011-03-16	2011	9	0	LM42J
9.379750000000001	0.7	2011-03-16	2011	9	15	LM42J
9.5935	1.0	2011-03-16	2011	9	30	LM42J
9.80725	0.7	2011-03-16	2011	9	45	LM42J
10.021	0.0	2011-03-16	2011	10	0	LM42J
9.69125	0.7	2011-03-16	2011	10	15	LM42J
9.3615	1.0	2011-03-16	2011	10	30	LM42J
9.03175	0.7	2011-03-16	2011	10	45	LM42J
8.702	0.0	2011-03-16	2011	11	0	LM42J
8.445124999999999	0.7	2011-03-16	2011	11	15	LM42J
8.18825	1.0	2011-03-16	2011	11	30	LM42J
7.931375	1.3	2011-03-16	2011	11	45	LM42J
7.6745	1.6	2011-03-16	2011	12	0	LM42J
7.417625	1.9	2011-03-16	2011	12	15	LM42J
7.16075	2.2	2011-03-16	2011	12	30	LM42J
6.903874999999999	2.5	2011-03-16	2011	12	45	LM42J
6.647	2.8	2011-03-16	2011	13	0	LM42J
6.390124999999999	2.5	2011-03-16	2011	13	15	LM42J
6.13325	2.2	2011-03-16	2011	13	30	LM42J
5.8763749999999995	1.9	2011-03-16	2011	13	45	LM42J
5.6194999999999995	1.6	2011-03-16	2011	14	0	LM42J
5.3626249999999995	1.3	2011-03-16	2011	14	15	LM42J
5.10575	1.0	2011-03-16	2011	14	30	LM42J
4.848875	0.7	2011-03-16	2011	14	45	LM42J
4.592	0.0	2011-03-16	2011	15	0	LM42J
4.566	0.7	2011-03-16	2011	15	15	LM42J
4.54	1.0	2011-03-16	2011	15	30	LM42J
4.514	0.7	2011-03-16	2011	15	45	LM42J
4.488	0.0	2011-03-16	2011	16	0	LM42J
4.5185	0.7	2011-03-16	2011	16	15	LM42J
4.549	1.0	2011-03-16	2011	16	30	LM42J
4.5795	1.3	2011-03-16	2011	16	45	LM42J
4.61	1.6	2011-03-16	2011	17	0	LM42J
4.6405	1.3	2011-03-16	2011	17	15	LM42J
4.671	1.0	2011-03-16	2011	17	30	LM42J
4.7015	0.7	2011-03-16	2011	17	45	LM42J
4.732	0.0	2011-03-16	2011	18	0	LM42J
4.6215	0.7	2011-03-16	2011	18	15	LM42J
4.511	1.0	2011-03-16	2011	18	30	LM42J
4.4005	0.7	2011-03-16	2011	18	45	LM42J
4.29	0.0	2011-03-16	2011	19	0	LM42J
4.136	0.7	2011-03-16	2011	19	15	LM42J
3.982	1.0	2011-03-16	2011	19	30	LM42J
3.828	0.7	2011-03-16	2011	19	45	LM42J
3.674	0.0	2011-03-16	2011	20	0	LM42J
3.5509999999999997	0.7	2011-03-16	2011	20	15	LM42J
