foF2	foF2_err	date	year	h	m	sonde
3.825	0.0	2004-11-21	2004	0	0	LV12P
3.625	0.7	2004-11-21	2004	0	15	LV12P
3.425	0.0	2004-11-21	2004	0	30	LV12P
3.275	0.7	2004-11-21	2004	0	45	LV12P
3.125	0.0	2004-11-21	2004	1	0	LV12P
3.125	0.7	2004-11-21	2004	1	15	LV12P
3.125	0.0	2004-11-21	2004	1	30	LV12P
3.125	0.7	2004-11-21	2004	1	45	LV12P
3.125	0.0	2004-11-21	2004	2	0	LV12P
2.925	0.7	2004-11-21	2004	2	15	LV12P
2.725	0.0	2004-11-21	2004	2	30	LV12P
2.98125	0.7	2004-11-21	2004	2	45	LV12P
3.2375	1.0	2004-11-21	2004	3	0	LV12P
3.49375	0.7	2004-11-21	2004	3	15	LV12P
3.75	0.0	2004-11-21	2004	3	30	LV12P
4.3375	0.7	2004-11-21	2004	3	45	LV12P
4.925	0.0	2004-11-21	2004	4	0	LV12P
5.3	0.7	2004-11-21	2004	4	15	LV12P
5.675	0.0	2004-11-21	2004	4	30	LV12P
5.9315	0.7	2004-11-21	2004	4	45	LV12P
6.188	0.0	2004-11-21	2004	5	0	LV12P
6.468999999999999	0.7	2004-11-21	2004	5	15	LV12P
6.75	0.0	2004-11-21	2004	5	30	LV12P
6.9625	0.7	2004-11-21	2004	5	45	LV12P
7.175	0.0	2004-11-21	2004	6	0	LV12P
7.425	0.7	2004-11-21	2004	6	15	LV12P
7.675	0.0	2004-11-21	2004	6	30	LV12P
7.675	0.7	2004-11-21	2004	6	45	LV12P
7.675	0.0	2004-11-21	2004	7	0	LV12P
8.05	0.7	2004-11-21	2004	7	15	LV12P
8.425	0.0	2004-11-21	2004	7	30	LV12P
8.450862068965517	0.68	2004-11-21	2004	7	45	LV12P
8.478225806451613	0.42000000000000004	2004-11-21	2004	8	0	LV12P
8.526612903225805	0.7	2004-11-21	2004	8	15	LV12P
8.575	0.0	2004-11-21	2004	8	30	LV12P
8.739999999999998	0.7	2004-11-21	2004	8	45	LV12P
8.905	0.0	2004-11-21	2004	9	0	LV12P
9.139999999999999	0.7	2004-11-21	2004	9	15	LV12P
9.375	0.0	2004-11-21	2004	9	30	LV12P
9.469000000000001	0.7	2004-11-21	2004	9	45	LV12P
9.563	0.0	2004-11-21	2004	10	0	LV12P
9.594000000000001	0.7	2004-11-21	2004	10	15	LV12P
9.625	0.0	2004-11-21	2004	10	30	LV12P
9.45	0.7	2004-11-21	2004	10	45	LV12P
9.275	0.0	2004-11-21	2004	11	0	LV12P
9.275	0.7	2004-11-21	2004	11	15	LV12P
9.275	0.0	2004-11-21	2004	11	30	LV12P
9.193999999999999	0.7	2004-11-21	2004	11	45	LV12P
9.113	0.0	2004-11-21	2004	12	0	LV12P
9.294	0.7	2004-11-21	2004	12	15	LV12P
9.475	0.0	2004-11-21	2004	12	30	LV12P
9.45	0.7	2004-11-21	2004	12	45	LV12P
9.425	0.0	2004-11-21	2004	13	0	LV12P
9.5	0.7	2004-11-21	2004	13	15	LV12P
9.575	0.0	2004-11-21	2004	13	30	LV12P
9.375	0.7	2004-11-21	2004	13	45	LV12P
9.175	0.0	2004-11-21	2004	14	0	LV12P
9.3	0.7	2004-11-21	2004	14	15	LV12P
9.425	0.0	2004-11-21	2004	14	30	LV12P
9.350000000000001	0.7	2004-11-21	2004	14	45	LV12P
9.275	0.0	2004-11-21	2004	15	0	LV12P
