foF2	foF2_err	date	year	h	m	sonde
7.287000000000001	0.0	2004-11-25	2004	11	30	LY164
7.174500000000001	0.7	2004-11-25	2004	11	45	LY164
7.062000000000001	1.0	2004-11-25	2004	12	0	LY164
6.949500000000001	0.7	2004-11-25	2004	12	15	LY164
6.8370000000000015	0.0	2004-11-25	2004	12	30	LY164
6.844500000000002	0.7	2004-11-25	2004	12	45	LY164
6.852000000000001	1.0	2004-11-25	2004	13	0	LY164
6.8595000000000015	0.7	2004-11-25	2004	13	15	LY164
6.867000000000001	0.0	2004-11-25	2004	13	30	LY164
5.150250000000001	0.7	2004-11-25	2004	13	45	LY164
3.4335000000000004	1.0	2004-11-25	2004	14	0	LY164
1.7167500000000002	0.7	2004-11-25	2004	14	15	LY164
0.0	0.0	2004-11-25	2004	14	30	LY164
0.0	0.7	2004-11-25	2004	14	45	LY164
0.0	1.0	2004-11-25	2004	15	0	LY164
0.0	0.7	2004-11-25	2004	15	15	LY164
0.0	0.0	2004-11-25	2004	15	30	LY164
0.6595	0.7	2004-11-25	2004	15	45	LY164
1.319	1.0	2004-11-25	2004	16	0	LY164
1.9785000000000001	0.7	2004-11-25	2004	16	15	LY164
2.638	0.0	2004-11-25	2004	16	30	LY164
2.61225	0.7	2004-11-25	2004	16	45	LY164
2.5865	1.0	2004-11-25	2004	17	0	LY164
2.56075	0.7	2004-11-25	2004	17	15	LY164
2.535	0.0	2004-11-25	2004	17	30	LY164
2.6572500000000003	0.7	2004-11-25	2004	17	45	LY164
2.7795	1.0	2004-11-25	2004	18	0	LY164
2.90175	0.7	2004-11-25	2004	18	15	LY164
3.024	0.0	2004-11-25	2004	18	30	LY164
1.3322500000000002	0.7	2004-11-25	2004	18	45	LY164
-0.3594999999999997	1.0	2004-11-25	2004	19	0	LY164
-2.0512499999999996	0.7	2004-11-25	2004	19	15	LY164
-3.743	0.0	2004-11-25	2004	19	30	LY164
-2.171	0.7	2004-11-25	2004	19	45	LY164
-0.5989999999999998	1.0	2004-11-25	2004	20	0	LY164
0.9730000000000003	0.7	2004-11-25	2004	20	15	LY164
2.545	0.0	2004-11-25	2004	20	30	LY164
2.931	0.7	2004-11-25	2004	20	45	LY164
3.317	1.0	2004-11-25	2004	21	0	LY164
3.7030000000000003	0.7	2004-11-25	2004	21	15	LY164
4.089	0.0	2004-11-25	2004	21	30	LY164
3.8495000000000004	0.7	2004-11-25	2004	21	45	LY164
3.6100000000000003	1.0	2004-11-25	2004	22	0	LY164
3.3705	0.7	2004-11-25	2004	22	15	LY164
3.131	0.0	2004-11-25	2004	22	30	LY164
3.131	0.7	2004-11-25	2004	22	45	LY164
3.131	1.0	2004-11-25	2004	23	0	LY164
3.131	1.3	2004-11-25	2004	23	15	LY164
