foF2	foF2_err	date	year	h	m	sonde
3.7	0.0	2011-01-20	2011	0	0	ML449
3.95	0.7	2011-01-20	2011	0	15	ML449
4.2	1.0	2011-01-20	2011	0	30	ML449
4.45	0.7	2011-01-20	2011	0	45	ML449
4.7	0.0	2011-01-20	2011	1	0	ML449
4.9	0.7	2011-01-20	2011	1	15	ML449
5.1	1.0	2011-01-20	2011	1	30	ML449
5.3	0.7	2011-01-20	2011	1	45	ML449
5.5	0.0	2011-01-20	2011	2	0	ML449
5.625	0.7	2011-01-20	2011	2	15	ML449
5.75	1.0	2011-01-20	2011	2	30	ML449
5.875	0.7	2011-01-20	2011	2	45	ML449
6.0	0.0	2011-01-20	2011	3	0	ML449
5.95	0.7	2011-01-20	2011	3	15	ML449
5.9	1.0	2011-01-20	2011	3	30	ML449
5.85	0.7	2011-01-20	2011	3	45	ML449
5.8	0.0	2011-01-20	2011	4	0	ML449
5.75	0.7	2011-01-20	2011	4	15	ML449
5.699999999999999	1.0	2011-01-20	2011	4	30	ML449
5.6499999999999995	0.7	2011-01-20	2011	4	45	ML449
5.6	0.0	2011-01-20	2011	5	0	ML449
5.625	0.7	2011-01-20	2011	5	15	ML449
5.65	1.0	2011-01-20	2011	5	30	ML449
5.675	0.7	2011-01-20	2011	5	45	ML449
5.7	0.0	2011-01-20	2011	6	0	ML449
5.6	0.7	2011-01-20	2011	6	15	ML449
5.5	1.0	2011-01-20	2011	6	30	ML449
5.4	0.7	2011-01-20	2011	6	45	ML449
5.3	0.0	2011-01-20	2011	7	0	ML449
5.05	0.7	2011-01-20	2011	7	15	ML449
4.8	1.0	2011-01-20	2011	7	30	ML449
4.55	0.7	2011-01-20	2011	7	45	ML449
4.3	0.0	2011-01-20	2011	8	0	ML449
4.05	0.7	2011-01-20	2011	8	15	ML449
3.8	1.0	2011-01-20	2011	8	30	ML449
3.55	0.7	2011-01-20	2011	8	45	ML449
3.3	0.0	2011-01-20	2011	9	0	ML449
3.0749999999999997	0.7	2011-01-20	2011	9	15	ML449
2.8499999999999996	1.0	2011-01-20	2011	9	30	ML449
2.625	0.7	2011-01-20	2011	9	45	ML449
2.4	0.0	2011-01-20	2011	10	0	ML449
2.4	0.7	2011-01-20	2011	10	15	ML449
2.4	1.0	2011-01-20	2011	10	30	ML449
2.4	0.7	2011-01-20	2011	10	45	ML449
2.4	0.0	2011-01-20	2011	11	0	ML449
2.4	0.7	2011-01-20	2011	11	15	ML449
2.4	1.0	2011-01-20	2011	11	30	ML449
2.4	0.7	2011-01-20	2011	11	45	ML449
2.4	0.0	2011-01-20	2011	12	0	ML449
2.425	0.7	2011-01-20	2011	12	15	ML449
2.45	1.0	2011-01-20	2011	12	30	ML449
2.475	0.7	2011-01-20	2011	12	45	ML449
2.5	0.0	2011-01-20	2011	13	0	ML449
2.55	0.7	2011-01-20	2011	13	15	ML449
2.6	1.0	2011-01-20	2011	13	30	ML449
2.6500000000000004	0.7	2011-01-20	2011	13	45	ML449
2.7	0.0	2011-01-20	2011	14	0	ML449
2.6500000000000004	0.7	2011-01-20	2011	14	15	ML449
2.6	1.0	2011-01-20	2011	14	30	ML449
2.55	0.7	2011-01-20	2011	14	45	ML449
2.5	0.0	2011-01-20	2011	15	0	ML449
2.475	0.7	2011-01-20	2011	15	15	ML449
2.45	1.0	2011-01-20	2011	15	30	ML449
2.425	0.7	2011-01-20	2011	15	45	ML449
2.4	0.0	2011-01-20	2011	16	0	ML449
2.425	0.7	2011-01-20	2011	16	15	ML449
2.45	1.0	2011-01-20	2011	16	30	ML449
2.475	0.7	2011-01-20	2011	16	45	ML449
2.5	0.0	2011-01-20	2011	17	0	ML449
2.5	0.7	2011-01-20	2011	17	15	ML449
2.5	1.0	2011-01-20	2011	17	30	ML449
2.5	0.7	2011-01-20	2011	17	45	ML449
2.5	0.0	2011-01-20	2011	18	0	ML449
2.5	0.7	2011-01-20	2011	18	15	ML449
2.5	1.0	2011-01-20	2011	18	30	ML449
2.5	0.7	2011-01-20	2011	18	45	ML449
2.5	0.0	2011-01-20	2011	19	0	ML449
2.5	0.7	2011-01-20	2011	19	15	ML449
2.5	1.0	2011-01-20	2011	19	30	ML449
2.5	0.7	2011-01-20	2011	19	45	ML449
2.5	0.0	2011-01-20	2011	20	0	ML449
2.525	0.7	2011-01-20	2011	20	15	ML449
2.55	1.0	2011-01-20	2011	20	30	ML449
2.575	0.7	2011-01-20	2011	20	45	ML449
2.6	0.0	2011-01-20	2011	21	0	ML449
2.525	0.7	2011-01-20	2011	21	15	ML449
2.45	1.0	2011-01-20	2011	21	30	ML449
2.375	0.7	2011-01-20	2011	21	45	ML449
2.3	0.0	2011-01-20	2011	22	0	ML449
2.2249999999999996	0.7	2011-01-20	2011	22	15	ML449
2.15	1.0	2011-01-20	2011	22	30	ML449
2.075	0.7	2011-01-20	2011	22	45	ML449
2.0	0.0	2011-01-20	2011	23	0	ML449
2.475	0.7	2011-01-20	2011	23	15	ML449
2.9499999999999997	1.0	2011-01-20	2011	23	30	ML449
3.425	0.7	2011-01-20	2011	23	45	ML449
3.9	0.0	2011-01-21	2011	0	0	ML449
4.125	0.7	2011-01-21	2011	0	15	ML449
4.35	1.0	2011-01-21	2011	0	30	ML449
4.575	0.7	2011-01-21	2011	0	45	ML449
4.8	0.0	2011-01-21	2011	1	0	ML449
4.975	0.7	2011-01-21	2011	1	15	ML449
5.15	1.0	2011-01-21	2011	1	30	ML449
5.325	0.7	2011-01-21	2011	1	45	ML449
5.5	0.0	2011-01-21	2011	2	0	ML449
5.85	0.7	2011-01-21	2011	2	15	ML449
6.2	1.0	2011-01-21	2011	2	30	ML449
6.550000000000001	0.7	2011-01-21	2011	2	45	ML449
6.9	0.0	2011-01-21	2011	3	0	ML449
6.800000000000001	0.7	2011-01-21	2011	3	15	ML449
6.7	1.0	2011-01-21	2011	3	30	ML449
6.6	0.7	2011-01-21	2011	3	45	ML449
6.5	0.0	2011-01-21	2011	4	0	ML449
6.425	0.7	2011-01-21	2011	4	15	ML449
6.35	1.0	2011-01-21	2011	4	30	ML449
6.275	0.7	2011-01-21	2011	4	45	ML449
6.2	0.0	2011-01-21	2011	5	0	ML449
6.1	0.7	2011-01-21	2011	5	15	ML449
6.0	1.0	2011-01-21	2011	5	30	ML449
5.9	0.7	2011-01-21	2011	5	45	ML449
5.8	0.0	2011-01-21	2011	6	0	ML449
5.725	0.7	2011-01-21	2011	6	15	ML449
5.65	1.0	2011-01-21	2011	6	30	ML449
5.575	0.7	2011-01-21	2011	6	45	ML449
5.5	0.0	2011-01-21	2011	7	0	ML449
5.425	0.7	2011-01-21	2011	7	15	ML449
5.35	1.0	2011-01-21	2011	7	30	ML449
5.275	0.7	2011-01-21	2011	7	45	ML449
5.2	0.0	2011-01-21	2011	8	0	ML449
4.775	0.7	2011-01-21	2011	8	15	ML449
4.35	1.0	2011-01-21	2011	8	30	ML449
3.925	0.7	2011-01-21	2011	8	45	ML449
3.5	0.0	2011-01-21	2011	9	0	ML449
3.225	0.7	2011-01-21	2011	9	15	ML449
2.95	1.0	2011-01-21	2011	9	30	ML449
2.675	0.7	2011-01-21	2011	9	45	ML449
2.4	0.0	2011-01-21	2011	10	0	ML449
2.5	0.7	2011-01-21	2011	10	15	ML449
2.5999999999999996	1.0	2011-01-21	2011	10	30	ML449
2.6999999999999997	0.7	2011-01-21	2011	10	45	ML449
2.8	0.0	2011-01-21	2011	11	0	ML449
2.7249999999999996	0.7	2011-01-21	2011	11	15	ML449
2.65	1.0	2011-01-21	2011	11	30	ML449
2.575	0.7	2011-01-21	2011	11	45	ML449
2.5	0.0	2011-01-21	2011	12	0	ML449
2.475	0.7	2011-01-21	2011	12	15	ML449
2.45	1.0	2011-01-21	2011	12	30	ML449
2.425	0.7	2011-01-21	2011	12	45	ML449
2.4	0.0	2011-01-21	2011	13	0	ML449
2.45	0.7	2011-01-21	2011	13	15	ML449
2.5	1.0	2011-01-21	2011	13	30	ML449
2.55	0.7	2011-01-21	2011	13	45	ML449
2.6	0.0	2011-01-21	2011	14	0	ML449
2.65	0.7	2011-01-21	2011	14	15	ML449
2.7	1.0	2011-01-21	2011	14	30	ML449
2.75	0.7	2011-01-21	2011	14	45	ML449
2.8	0.0	2011-01-21	2011	15	0	ML449
2.8	0.7	2011-01-21	2011	15	15	ML449
2.8	1.0	2011-01-21	2011	15	30	ML449
2.8	0.7	2011-01-21	2011	15	45	ML449
2.8	0.0	2011-01-21	2011	16	0	ML449
2.8499999999999996	0.7	2011-01-21	2011	16	15	ML449
2.9	1.0	2011-01-21	2011	16	30	ML449
2.95	0.7	2011-01-21	2011	16	45	ML449
3.0	0.0	2011-01-21	2011	17	0	ML449
3.05	0.7	2011-01-21	2011	17	15	ML449
3.1	1.0	2011-01-21	2011	17	30	ML449
3.1500000000000004	0.7	2011-01-21	2011	17	45	ML449
3.2	0.0	2011-01-21	2011	18	0	ML449
3.1750000000000003	0.7	2011-01-21	2011	18	15	ML449
3.1500000000000004	1.0	2011-01-21	2011	18	30	ML449
3.125	0.7	2011-01-21	2011	18	45	ML449
3.1	0.0	2011-01-21	2011	19	0	ML449
3.05	0.7	2011-01-21	2011	19	15	ML449
3.0	1.0	2011-01-21	2011	19	30	ML449
2.95	0.7	2011-01-21	2011	19	45	ML449
2.9	0.0	2011-01-21	2011	20	0	ML449
2.95	0.7	2011-01-21	2011	20	15	ML449
3.0	1.0	2011-01-21	2011	20	30	ML449
3.05	0.7	2011-01-21	2011	20	45	ML449
3.1	0.0	2011-01-21	2011	21	0	ML449
2.925	0.7	2011-01-21	2011	21	15	ML449
2.75	1.0	2011-01-21	2011	21	30	ML449
