foF2	foF2_err	date	year	h	m	sonde
6.803	0.0	2004-11-06	2004	0	0	MU43K
10.343499999999999	0.7	2004-11-06	2004	0	15	MU43K
13.884	1.0	2004-11-06	2004	0	30	MU43K
17.4245	0.7	2004-11-06	2004	0	45	MU43K
20.965	0.0	2004-11-06	2004	1	0	MU43K
17.7095	0.7	2004-11-06	2004	1	15	MU43K
14.454	1.0	2004-11-06	2004	1	30	MU43K
11.1985	0.7	2004-11-06	2004	1	45	MU43K
7.943	0.0	2004-11-06	2004	2	0	MU43K
8.07475	0.7	2004-11-06	2004	2	15	MU43K
8.2065	1.0	2004-11-06	2004	2	30	MU43K
8.33825	0.7	2004-11-06	2004	2	45	MU43K
8.47	0.0	2004-11-06	2004	3	0	MU43K
8.40475	0.7	2004-11-06	2004	3	15	MU43K
8.339500000000001	1.0	2004-11-06	2004	3	30	MU43K
8.27425	0.7	2004-11-06	2004	3	45	MU43K
8.209	0.0	2004-11-06	2004	4	0	MU43K
8.36975	0.7	2004-11-06	2004	4	15	MU43K
8.5305	1.0	2004-11-06	2004	4	30	MU43K
8.69125	0.7	2004-11-06	2004	4	45	MU43K
8.852	0.0	2004-11-06	2004	5	0	MU43K
8.932500000000001	0.7	2004-11-06	2004	5	15	MU43K
9.013	1.0	2004-11-06	2004	5	30	MU43K
9.0935	0.7	2004-11-06	2004	5	45	MU43K
9.174	0.0	2004-11-06	2004	6	0	MU43K
9.248249999999999	0.7	2004-11-06	2004	6	15	MU43K
9.3225	1.0	2004-11-06	2004	6	30	MU43K
9.39675	0.7	2004-11-06	2004	6	45	MU43K
9.471	0.0	2004-11-06	2004	7	0	MU43K
9.316749999999999	0.7	2004-11-06	2004	7	15	MU43K
9.1625	1.0	2004-11-06	2004	7	30	MU43K
9.00825	0.7	2004-11-06	2004	7	45	MU43K
8.854	0.0	2004-11-06	2004	8	0	MU43K
8.873999999999999	0.7	2004-11-06	2004	8	15	MU43K
8.893999999999998	1.0	2004-11-06	2004	8	30	MU43K
8.914	0.7	2004-11-06	2004	8	45	MU43K
8.934	0.0	2004-11-06	2004	9	0	MU43K
8.84775	0.7	2004-11-06	2004	9	15	MU43K
8.7615	1.0	2004-11-06	2004	9	30	MU43K
8.67525	0.7	2004-11-06	2004	9	45	MU43K
8.589	0.0	2004-11-06	2004	10	0	MU43K
8.48675	0.7	2004-11-06	2004	10	15	MU43K
8.3845	1.0	2004-11-06	2004	10	30	MU43K
8.28225	0.7	2004-11-06	2004	10	45	MU43K
8.18	0.0	2004-11-06	2004	11	0	MU43K
8.0305	0.7	2004-11-06	2004	11	15	MU43K
7.881	1.0	2004-11-06	2004	11	30	MU43K
7.731500000000001	0.7	2004-11-06	2004	11	45	MU43K
7.582000000000002	0.0	2004-11-06	2004	12	0	MU43K
7.133750000000001	0.7	2004-11-06	2004	12	15	MU43K
6.685500000000001	1.0	2004-11-06	2004	12	30	MU43K
6.23725	0.7	2004-11-06	2004	12	45	MU43K
5.789	0.0	2004-11-06	2004	13	0	MU43K
5.5855	0.7	2004-11-06	2004	13	15	MU43K
5.382	1.0	2004-11-06	2004	13	30	MU43K
5.1785	0.7	2004-11-06	2004	13	45	MU43K
4.975	0.0	2004-11-06	2004	14	0	MU43K
4.97325	0.7	2004-11-06	2004	14	15	MU43K
4.9715	1.0	2004-11-06	2004	14	30	MU43K
4.9697499999999994	0.7	2004-11-06	2004	14	45	MU43K
4.968	0.0	2004-11-06	2004	15	0	MU43K
4.938	0.7	2004-11-06	2004	15	15	MU43K
