foF2	foF2_err	date	year	h	m	sonde
11.713	0.0	2004-11-18	2004	0	0	MW26P
9.66825	0.7	2004-11-18	2004	0	15	MW26P
7.6235	1.0	2004-11-18	2004	0	30	MW26P
5.57875	0.7	2004-11-18	2004	0	45	MW26P
3.534	0.0	2004-11-18	2004	1	0	MW26P
4.05425	0.7	2004-11-18	2004	1	15	MW26P
4.5745000000000005	1.0	2004-11-18	2004	1	30	MW26P
5.0947499999999994	0.7	2004-11-18	2004	1	45	MW26P
5.615	0.0	2004-11-18	2004	2	0	MW26P
5.3975	0.7	2004-11-18	2004	2	15	MW26P
5.18	1.0	2004-11-18	2004	2	30	MW26P
4.9625	0.7	2004-11-18	2004	2	45	MW26P
4.745	0.0	2004-11-18	2004	3	0	MW26P
4.85275	0.7	2004-11-18	2004	3	15	MW26P
4.9605	1.0	2004-11-18	2004	3	30	MW26P
5.06825	1.3	2004-11-18	2004	3	45	MW26P
5.176	1.6	2004-11-18	2004	4	0	MW26P
5.28375	1.3	2004-11-18	2004	4	15	MW26P
5.391500000000001	1.0	2004-11-18	2004	4	30	MW26P
5.49925	0.7	2004-11-18	2004	4	45	MW26P
5.607	0.0	2004-11-18	2004	5	0	MW26P
5.83	0.7	2004-11-18	2004	5	15	MW26P
6.053	1.0	2004-11-18	2004	5	30	MW26P
6.276	1.3	2004-11-18	2004	5	45	MW26P
6.4990000000000006	1.6	2004-11-18	2004	6	0	MW26P
6.722	1.3	2004-11-18	2004	6	15	MW26P
6.945	1.0	2004-11-18	2004	6	30	MW26P
7.168	0.7	2004-11-18	2004	6	45	MW26P
7.391	0.0	2004-11-18	2004	7	0	MW26P
7.313750000000001	0.7	2004-11-18	2004	7	15	MW26P
7.236500000000001	1.0	2004-11-18	2004	7	30	MW26P
7.159250000000002	0.7	2004-11-18	2004	7	45	MW26P
7.0820000000000025	0.0	2004-11-18	2004	8	0	MW26P
6.767500000000002	0.7	2004-11-18	2004	8	15	MW26P
6.453000000000002	1.0	2004-11-18	2004	8	30	MW26P
6.138500000000001	1.3	2004-11-18	2004	8	45	MW26P
5.824000000000002	1.6	2004-11-18	2004	9	0	MW26P
5.509500000000001	1.3	2004-11-18	2004	9	15	MW26P
5.195	1.0	2004-11-18	2004	9	30	MW26P
4.8805	0.7	2004-11-18	2004	9	45	MW26P
4.566	0.0	2004-11-18	2004	10	0	MW26P
