foF2	foF2_err	date	year	h	m	sonde
3.75	0.0	2015-10-13	2015	0	0	NI135
3.675	0.0	2015-10-13	2015	0	15	NI135
3.675	0.0	2015-10-13	2015	0	30	NI135
3.825	0.0	2015-10-13	2015	0	45	NI135
3.5	0.0	2015-10-13	2015	1	0	NI135
3.675	0.0	2015-10-13	2015	1	15	NI135
3.5	0.0	2015-10-13	2015	1	30	NI135
2.775	0.0	2015-10-13	2015	1	45	NI135
3.45	0.0	2015-10-13	2015	2	0	NI135
3.525	0.0	2015-10-13	2015	2	15	NI135
3.725	0.0	2015-10-13	2015	2	30	NI135
3.8	0.0	2015-10-13	2015	2	45	NI135
3.45	0.0	2015-10-13	2015	3	0	NI135
3.775	0.0	2015-10-13	2015	3	15	NI135
3.6	0.0	2015-10-13	2015	3	30	NI135
4.0	0.0	2015-10-13	2015	3	45	NI135
4.25	0.0	2015-10-13	2015	4	0	NI135
4.775	0.0	2015-10-13	2015	4	15	NI135
5.175	0.0	2015-10-13	2015	4	30	NI135
5.7	0.0	2015-10-13	2015	4	45	NI135
6.225	0.0	2015-10-13	2015	5	0	NI135
6.6	0.0	2015-10-13	2015	5	15	NI135
6.813	0.0	2015-10-13	2015	5	30	NI135
7.087999999999999	0.0	2015-10-13	2015	5	45	NI135
6.875	0.0	2015-10-13	2015	6	0	NI135
6.45	0.0	2015-10-13	2015	6	15	NI135
6.1	0.0	2015-10-13	2015	6	30	NI135
6.1	0.0	2015-10-13	2015	6	45	NI135
6.7	0.0	2015-10-13	2015	7	0	NI135
6.9	0.0	2015-10-13	2015	7	15	NI135
6.938	0.0	2015-10-13	2015	7	30	NI135
7.1370000000000005	0.0	2015-10-13	2015	7	45	NI135
7.313	0.0	2015-10-13	2015	8	0	NI135
7.612999999999999	0.0	2015-10-13	2015	8	15	NI135
7.962999999999999	0.0	2015-10-13	2015	8	30	NI135
7.987999999999999	0.0	2015-10-13	2015	8	45	NI135
7.813	0.0	2015-10-13	2015	9	0	NI135
8.05	0.0	2015-10-13	2015	9	15	NI135
7.962999999999999	0.0	2015-10-13	2015	9	30	NI135
8.062999999999999	0.0	2015-10-13	2015	9	45	NI135
7.9129999999999985	0.0	2015-10-13	2015	10	0	NI135
7.6	0.0	2015-10-13	2015	10	15	NI135
7.337999999999999	0.0	2015-10-13	2015	10	30	NI135
7.063	0.0	2015-10-13	2015	10	45	NI135
7.2879999999999985	0.0	2015-10-13	2015	11	0	NI135
7.0379999999999985	0.0	2015-10-13	2015	11	15	NI135
6.6	0.0	2015-10-13	2015	11	30	NI135
6.375	0.0	2015-10-13	2015	11	45	NI135
6.825	0.0	2015-10-13	2015	12	0	NI135
7.212999999999999	0.0	2015-10-13	2015	12	15	NI135
7.487999999999999	0.0	2015-10-13	2015	12	30	NI135
7.55	0.0	2015-10-13	2015	12	45	NI135
7.6629999999999985	0.0	2015-10-13	2015	13	0	NI135
7.35	0.0	2015-10-13	2015	13	15	NI135
7.225	0.0	2015-10-13	2015	13	30	NI135
7.175	0.0	2015-10-13	2015	13	45	NI135
7.188	0.0	2015-10-13	2015	14	0	NI135
7.125	0.0	2015-10-13	2015	14	15	NI135
7.225	0.0	2015-10-13	2015	14	30	NI135
6.9	0.0	2015-10-13	2015	14	45	NI135
6.375	0.0	2015-10-13	2015	15	0	NI135
6.35	0.0	2015-10-13	2015	15	15	NI135
6.1	0.0	2015-10-13	2015	15	30	NI135
5.775	0.0	2015-10-13	2015	15	45	NI135
5.45	0.0	2015-10-13	2015	16	0	NI135
5.075	0.0	2015-10-13	2015	16	15	NI135
4.725	0.0	2015-10-13	2015	16	30	NI135
3.9	0.0	2015-10-13	2015	16	45	NI135
3.45	0.0	2015-10-13	2015	17	0	NI135
3.95	0.0	2015-10-13	2015	17	15	NI135
3.95	0.0	2015-10-13	2015	17	30	NI135
3.9	0.0	2015-10-13	2015	17	45	NI135
3.875	0.0	2015-10-13	2015	18	0	NI135
3.85	0.0	2015-10-13	2015	18	15	NI135
4.05	0.0	2015-10-13	2015	18	30	NI135
4.2	0.0	2015-10-13	2015	18	45	NI135
4.125	0.0	2015-10-13	2015	19	0	NI135
3.925	0.0	2015-10-13	2015	19	15	NI135
3.675	0.0	2015-10-13	2015	19	30	NI135
3.7	0.0	2015-10-13	2015	19	45	NI135
3.725	0.0	2015-10-13	2015	20	0	NI135
3.95	0.0	2015-10-13	2015	20	15	NI135
4.025	0.0	2015-10-13	2015	20	30	NI135
4.2	0.0	2015-10-13	2015	20	45	NI135
4.3	0.0	2015-10-13	2015	21	0	NI135
4.2	0.0	2015-10-13	2015	21	15	NI135
4.1	0.0	2015-10-13	2015	21	30	NI135
3.45	0.0	2015-10-13	2015	21	45	NI135
2.85	0.0	2015-10-13	2015	22	0	NI135
2.725	0.0	2015-10-13	2015	22	15	NI135
2.875	0.0	2015-10-13	2015	22	30	NI135
2.85	0.0	2015-10-13	2015	22	45	NI135
2.725	0.0	2015-10-13	2015	23	0	NI135
2.95	0.0	2015-10-13	2015	23	15	NI135
3.075	0.0	2015-10-13	2015	23	30	NI135
3.075	0.0	2015-10-13	2015	23	45	NI135
2.975	0.0	2015-10-14	2015	0	0	NI135
2.95	0.0	2015-10-14	2015	0	15	NI135
2.825	0.0	2015-10-14	2015	0	30	NI135
2.95	0.0	2015-10-14	2015	0	45	NI135
2.85	0.0	2015-10-14	2015	1	0	NI135
2.975	0.0	2015-10-14	2015	1	15	NI135
2.825	0.0	2015-10-14	2015	1	30	NI135
3.0	0.0	2015-10-14	2015	1	45	NI135
3.075	0.0	2015-10-14	2015	2	0	NI135
3.25	0.0	2015-10-14	2015	2	15	NI135
3.125	0.0	2015-10-14	2015	2	30	NI135
2.88	0.54	2015-10-14	2015	2	45	NI135
2.725	0.0	2015-10-14	2015	3	0	NI135
2.85	0.0	2015-10-14	2015	3	15	NI135
3.025	0.0	2015-10-14	2015	3	30	NI135
3.675	0.0	2015-10-14	2015	3	45	NI135
4.45	0.0	2015-10-14	2015	4	0	NI135
5.4	0.0	2015-10-14	2015	4	15	NI135
5.459247417609444	0.56	2015-10-14	2015	4	30	NI135
5.476586325627152	0.8600000000000001	2015-10-14	2015	4	45	NI135
5.49392523364486	1.1600000000000001	2015-10-14	2015	5	0	NI135
5.511264141662568	1.46	2015-10-14	2015	5	15	NI135
5.528603049680275	1.7600000000000002	2015-10-14	2015	5	30	NI135
5.545941957697983	2.06	2015-10-14	2015	5	45	NI135
5.563280865715691	2.36	2015-10-14	2015	6	0	NI135
5.580619773733399	2.66	2015-10-14	2015	6	15	NI135
5.597958681751107	2.96	2015-10-14	2015	6	30	NI135
5.615297589768815	3.26	2015-10-14	2015	6	45	NI135
5.632636497786523	3.56	2015-10-14	2015	7	0	NI135
5.649975405804231	3.86	2015-10-14	2015	7	15	NI135
5.667314313821938	4.16	2015-10-14	2015	7	30	NI135
5.684653221839646	4.460000000000001	2015-10-14	2015	7	45	NI135
5.701992129857354	4.760000000000001	2015-10-14	2015	8	0	NI135
5.719331037875062	5.0600000000000005	2015-10-14	2015	8	15	NI135
5.7366699458927695	5.36	2015-10-14	2015	8	30	NI135
5.754008853910477	5.66	2015-10-14	2015	8	45	NI135
5.771347761928185	5.960000000000001	2015-10-14	2015	9	0	NI135
5.788686669945893	6.260000000000001	2015-10-14	2015	9	15	NI135
5.8060255779636005	6.1000000000000005	2015-10-14	2015	9	30	NI135
5.823364485981308	5.800000000000001	2015-10-14	2015	9	45	NI135
5.840703393999016	5.500000000000001	2015-10-14	2015	10	0	NI135
5.858042302016724	5.2	2015-10-14	2015	10	15	NI135
5.875381210034432	4.9	2015-10-14	2015	10	30	NI135
5.892720118052139	4.6000000000000005	2015-10-14	2015	10	45	NI135
5.910059026069848	4.3	2015-10-14	2015	11	0	NI135
5.927397934087556	4.0	2015-10-14	2015	11	15	NI135
