foF2	foF2_err	date	year	h	m	sonde
2.643	0.0	2011-01-20	2011	18	0	NO369
2.67575	0.7	2011-01-20	2011	18	15	NO369
2.7085	1.0	2011-01-20	2011	18	30	NO369
2.74125	1.3	2011-01-20	2011	18	45	NO369
2.774	1.6	2011-01-20	2011	19	0	NO369
2.8067499999999996	1.3	2011-01-20	2011	19	15	NO369
2.8394999999999997	1.0	2011-01-20	2011	19	30	NO369
2.8722499999999997	0.7	2011-01-20	2011	19	45	NO369
2.905	0.0	2011-01-20	2011	20	0	NO369
2.66	0.0	2011-01-20	2011	20	15	NO369
2.52	0.0	2011-01-20	2011	20	30	NO369
2.52	0.0	2011-01-20	2011	20	45	NO369
2.52	0.0	2011-01-20	2011	21	0	NO369
2.4535	0.7	2011-01-20	2011	21	15	NO369
2.387	0.0	2011-01-20	2011	21	30	NO369
2.03	0.0	2011-01-20	2011	21	45	NO369
2.018333333333333	0.7	2011-01-20	2011	22	0	NO369
2.0066666666666664	1.0	2011-01-20	2011	22	15	NO369
1.9949999999999999	1.3	2011-01-20	2011	22	30	NO369
1.9833333333333332	1.6	2011-01-20	2011	22	45	NO369
1.9716666666666665	1.9	2011-01-20	2011	23	0	NO369
1.96	2.2	2011-01-20	2011	23	15	NO369
1.9483333333333333	2.5	2011-01-20	2011	23	30	NO369
1.9366666666666665	2.8	2011-01-20	2011	23	45	NO369
1.9249999999999998	3.1	2011-01-21	2011	0	0	NO369
1.9133333333333333	2.8	2011-01-21	2011	0	15	NO369
1.9016666666666666	2.5	2011-01-21	2011	0	30	NO369
1.89	2.2	2011-01-21	2011	0	45	NO369
1.8783333333333334	1.9	2011-01-21	2011	1	0	NO369
1.8666666666666667	1.6	2011-01-21	2011	1	15	NO369
1.855	1.3	2011-01-21	2011	1	30	NO369
1.8433333333333333	1.0	2011-01-21	2011	1	45	NO369
1.8316666666666668	0.7	2011-01-21	2011	2	0	NO369
1.82	0.0	2011-01-21	2011	2	15	NO369
2.0586363636363636	0.54	2011-01-21	2011	2	30	NO369
2.389130434782609	0.56	2011-01-21	2011	2	45	NO369
2.8	0.0	2011-01-21	2011	3	0	NO369
2.66	0.0	2011-01-21	2011	3	15	NO369
3.115	0.0	2011-01-21	2011	3	30	NO369
3.465	0.0	2011-01-21	2011	3	45	NO369
3.78	0.0	2011-01-21	2011	4	0	NO369
3.955	0.0	2011-01-21	2011	4	15	NO369
3.815	0.0	2011-01-21	2011	4	30	NO369
3.8927272727272726	0.54	2011-01-21	2011	4	45	NO369
4.205869565217391	0.56	2011-01-21	2011	5	0	NO369
4.725	0.0	2011-01-21	2011	5	15	NO369
4.585	0.0	2011-01-21	2011	5	30	NO369
4.795	0.0	2011-01-21	2011	5	45	NO369
5.005	0.0	2011-01-21	2011	6	0	NO369
5.04	0.0	2011-01-21	2011	6	15	NO369
5.005	0.0	2011-01-21	2011	6	30	NO369
5.075	0.0	2011-01-21	2011	6	45	NO369
5.04	0.0	2011-01-21	2011	7	0	NO369
5.25	0.0	2011-01-21	2011	7	15	NO369
4.97	0.0	2011-01-21	2011	7	30	NO369
4.83	0.0	2011-01-21	2011	7	45	NO369
4.83	0.0	2011-01-21	2011	8	0	NO369
4.655	0.0	2011-01-21	2011	8	15	NO369
4.585	0.0	2011-01-21	2011	8	30	NO369
4.3225	0.54	2011-01-21	2011	8	45	NO369
4.005217391304348	0.56	2011-01-21	2011	9	0	NO369
3.64	0.0	2011-01-21	2011	9	15	NO369
3.5	0.0	2011-01-21	2011	9	30	NO369
3.71	0.0	2011-01-21	2011	9	45	NO369
3.71	0.0	2011-01-21	2011	10	0	NO369
3.29	0.0	2011-01-21	2011	10	15	NO369
3.08	0.0	2011-01-21	2011	10	30	NO369
3.01	0.0	2011-01-21	2011	10	45	NO369
2.59	0.0	2011-01-21	2011	11	0	NO369
2.59	0.0	2011-01-21	2011	11	15	NO369
2.45	0.0	2011-01-21	2011	11	30	NO369
2.1	0.0	2011-01-21	2011	11	45	NO369
2.03	0.0	2011-01-21	2011	12	0	NO369
2.0531249999999996	0.7	2011-01-21	2011	12	15	NO369
2.07625	1.0	2011-01-21	2011	12	30	NO369
2.0993749999999998	1.3	2011-01-21	2011	12	45	NO369
2.1224999999999996	1.6	2011-01-21	2011	13	0	NO369
2.145625	1.9	2011-01-21	2011	13	15	NO369
2.1687499999999997	2.2	2011-01-21	2011	13	30	NO369
2.191875	2.5	2011-01-21	2011	13	45	NO369
2.215	2.8	2011-01-21	2011	14	0	NO369
2.2381249999999997	2.5	2011-01-21	2011	14	15	NO369
2.26125	2.2	2011-01-21	2011	14	30	NO369
2.284375	1.9	2011-01-21	2011	14	45	NO369
2.3075	1.6	2011-01-21	2011	15	0	NO369
2.330625	1.3	2011-01-21	2011	15	15	NO369
2.35375	1.0	2011-01-21	2011	15	30	NO369
2.376875	0.7	2011-01-21	2011	15	45	NO369
2.4	0.0	2011-01-21	2011	16	0	NO369
2.3375	0.7	2011-01-21	2011	16	15	NO369
2.275	0.0	2011-01-21	2011	16	30	NO369
2.4325	0.7	2011-01-21	2011	16	45	NO369
2.59	0.0	2011-01-21	2011	17	0	NO369
2.643	0.0	2011-01-21	2011	17	15	NO369
2.345	0.0	2011-01-21	2011	17	30	NO369
2.117	0.0	2011-01-21	2011	17	45	NO369
2.1959999999999997	0.7	2011-01-21	2011	18	0	NO369
2.275	0.0	2011-01-21	2011	18	15	NO369
2.835	0.0	2011-01-21	2011	18	30	NO369
2.7649999999999997	0.7	2011-01-21	2011	18	45	NO369
2.695	0.0	2011-01-21	2011	19	0	NO369
2.45	0.0	2011-01-21	2011	19	15	NO369
2.625	0.0	2011-01-21	2011	19	30	NO369
2.625	0.0	2011-01-21	2011	19	45	NO369
2.6058	0.7	2011-01-21	2011	20	0	NO369
2.5866	1.0	2011-01-21	2011	20	15	NO369
2.5674	1.0	2011-01-21	2011	20	30	NO369
2.5482	0.7	2011-01-21	2011	20	45	NO369
2.529	0.0	2011-01-21	2011	21	0	NO369
2.4545	0.7	2011-01-21	2011	21	15	NO369
2.38	0.0	2011-01-21	2011	21	30	NO369
2.4458823529411764	0.7	2011-01-21	2011	21	45	NO369
2.511764705882353	1.0	2011-01-21	2011	22	0	NO369
2.5776470588235294	1.3	2011-01-21	2011	22	15	NO369
2.643529411764706	1.6	2011-01-21	2011	22	30	NO369
2.7094117647058824	1.9	2011-01-21	2011	22	45	NO369
2.775294117647059	2.2	2011-01-21	2011	23	0	NO369
2.8411764705882354	2.5	2011-01-21	2011	23	15	NO369
2.907058823529412	2.8	2011-01-21	2011	23	30	NO369
2.972941176470588	3.1	2011-01-21	2011	23	45	NO369
3.038823529411765	3.4	2011-01-22	2011	0	0	NO369
3.104705882352941	3.7	2011-01-22	2011	0	15	NO369
3.170588235294118	4.0	2011-01-22	2011	0	30	NO369
3.236470588235294	4.3	2011-01-22	2011	0	45	NO369
3.3023529411764705	4.6000000000000005	2011-01-22	2011	1	0	NO369
3.368235294117647	4.9	2011-01-22	2011	1	15	NO369
3.4341176470588235	5.2	2011-01-22	2011	1	30	NO369
3.5	5.500000000000001	2011-01-22	2011	1	45	NO369
3.5658823529411765	5.2	2011-01-22	2011	2	0	NO369
3.631764705882353	4.9	2011-01-22	2011	2	15	NO369
3.6976470588235295	4.6000000000000005	2011-01-22	2011	2	30	NO369
3.763529411764706	4.3	2011-01-22	2011	2	45	NO369
3.8294117647058825	4.0	2011-01-22	2011	3	0	NO369
3.895294117647059	3.7	2011-01-22	2011	3	15	NO369
3.9611764705882355	3.4	2011-01-22	2011	3	30	NO369
4.027058823529412	3.1	2011-01-22	2011	3	45	NO369
4.092941176470589	2.8	2011-01-22	2011	4	0	NO369
4.158823529411765	2.5	2011-01-22	2011	4	15	NO369
4.224705882352941	2.2	2011-01-22	2011	4	30	NO369
4.290588235294118	1.9	2011-01-22	2011	4	45	NO369
4.356470588235294	1.6	2011-01-22	2011	5	0	NO369
4.422352941176471	1.3	2011-01-22	2011	5	15	NO369
4.488235294117647	1.0	2011-01-22	2011	5	30	NO369
4.554117647058824	0.7	2011-01-22	2011	5	45	NO369
4.62	0.0	2011-01-22	2011	6	0	NO369
4.63909090909091	0.7	2011-01-22	2011	6	15	NO369
4.658181818181818	1.0	2011-01-22	2011	6	30	NO369
4.677272727272728	1.3	2011-01-22	2011	6	45	NO369
4.696363636363636	1.6	2011-01-22	2011	7	0	NO369
4.715454545454546	1.9	2011-01-22	2011	7	15	NO369
4.734545454545454	1.9	2011-01-22	2011	7	30	NO369
4.753636363636364	1.6	2011-01-22	2011	7	45	NO369
4.7727272727272725	1.3	2011-01-22	2011	8	0	NO369
4.791818181818182	1.0	2011-01-22	2011	8	15	NO369
4.810909090909091	0.7	2011-01-22	2011	8	30	NO369
4.83	0.0	2011-01-22	2011	8	45	NO369
4.5600000000000005	0.7	2011-01-22	2011	9	0	NO369
4.29	1.0	2011-01-22	2011	9	15	NO369
4.02	1.3	2011-01-22	2011	9	30	NO369
3.75	1.3	2011-01-22	2011	9	45	NO369
3.48	1.0	2011-01-22	2011	10	0	NO369
3.21	0.7	2011-01-22	2011	10	15	NO369
2.94	0.0	2011-01-22	2011	10	30	NO369
2.836875	0.7	2011-01-22	2011	10	45	NO369
2.73375	1.0	2011-01-22	2011	11	0	NO369
2.6306249999999998	1.3	2011-01-22	2011	11	15	NO369
2.5275	1.44	2011-01-22	2011	11	30	NO369
2.424375	1.1400000000000001	2011-01-22	2011	11	45	NO369
2.32125	0.8400000000000001	2011-01-22	2011	12	0	NO369
2.2181249999999997	0.54	2011-01-22	2011	12	15	NO369
2.168690058479532	0.56	2011-01-22	2011	12	30	NO369
2.166233918128655	0.8600000000000001	2011-01-22	2011	12	45	NO369
2.163777777777778	1.1600000000000001	2011-01-22	2011	13	0	NO369
2.1613216374269006	1.46	2011-01-22	2011	13	15	NO369
2.1588654970760235	1.7600000000000002	2011-01-22	2011	13	30	NO369
2.1564093567251463	2.06	2011-01-22	2011	13	45	NO369
2.1539532163742687	2.36	2011-01-22	2011	14	0	NO369
2.1514970760233916	2.66	2011-01-22	2011	14	15	NO369
2.1490409356725144	2.96	2011-01-22	2011	14	30	NO369
2.1465847953216373	3.26	2011-01-22	2011	14	45	NO369
2.14412865497076	3.56	2011-01-22	2011	15	0	NO369
2.141672514619883	3.86	2011-01-22	2011	15	15	NO369
2.139216374269006	4.16	2011-01-22	2011	15	30	NO369
2.1367602339181286	4.460000000000001	2011-01-22	2011	15	45	NO369
2.1343040935672515	4.760000000000001	2011-01-22	2011	16	0	NO369
2.1318479532163743	5.0600000000000005	2011-01-22	2011	16	15	NO369
2.129391812865497	5.36	2011-01-22	2011	16	30	NO369
2.1269356725146196	5.66	2011-01-22	2011	16	45	NO369
2.1244795321637424	5.960000000000001	2011-01-22	2011	17	0	NO369
2.1220233918128653	6.260000000000001	2011-01-22	2011	17	15	NO369
2.119567251461988	6.5600000000000005	2011-01-22	2011	17	30	NO369
2.117111111111111	6.86	2011-01-22	2011	17	45	NO369
2.114654970760234	7.16	2011-01-22	2011	18	0	NO369
2.1121988304093566	7.460000000000001	2011-01-22	2011	18	15	NO369
2.1097426900584795	7.760000000000001	2011-01-22	2011	18	30	NO369
2.1072865497076023	8.06	2011-01-22	2011	18	45	NO369
2.104830409356725	8.36	2011-01-22	2011	19	0	NO369
2.102374269005848	8.66	2011-01-22	2011	19	15	NO369
2.099918128654971	8.940000000000001	2011-01-22	2011	19	30	NO369
2.0974619883040932	8.64	2011-01-22	2011	19	45	NO369
2.095005847953216	8.34	2011-01-22	2011	20	0	NO369
2.092549707602339	8.040000000000001	2011-01-22	2011	20	15	NO369
2.090093567251462	7.74	2011-01-22	2011	20	30	NO369
2.0876374269005846	7.44	2011-01-22	2011	20	45	NO369
2.0851812865497075	7.140000000000001	2011-01-22	2011	21	0	NO369
2.0827251461988303	6.840000000000001	2011-01-22	2011	21	15	NO369
2.080269005847953	6.540000000000001	2011-01-22	2011	21	30	NO369
2.077812865497076	6.24	2011-01-22	2011	21	45	NO369
2.075356725146199	5.94	2011-01-22	2011	22	0	NO369
2.0729005847953217	5.640000000000001	2011-01-22	2011	22	15	NO369
2.070444444444444	5.340000000000001	2011-01-22	2011	22	30	NO369
2.067988304093567	5.04	2011-01-22	2011	22	45	NO369
2.0655321637426898	4.74	2011-01-22	2011	23	0	NO369
2.0630760233918126	4.44	2011-01-22	2011	23	15	NO369
2.0606198830409355	4.140000000000001	2011-01-22	2011	23	30	NO369
