foF2	foF2_err	date	year	h	m	sonde
5.8	0.0	2002-09-29	2002	0	0	NQJ61
6.6	0.0	2002-09-29	2002	0	15	NQJ61
6.5	0.0	2002-09-29	2002	0	30	NQJ61
3.7	0.0	2002-09-29	2002	0	45	NQJ61
4.9	0.0	2002-09-29	2002	1	0	NQJ61
3.5	0.0	2002-09-29	2002	1	15	NQJ61
5.6	0.0	2002-09-29	2002	1	30	NQJ61
4.9	0.0	2002-09-29	2002	1	45	NQJ61
3.7	0.0	2002-09-29	2002	2	0	NQJ61
5.7	0.0	2002-09-29	2002	2	15	NQJ61
5.5	0.0	2002-09-29	2002	2	30	NQJ61
5.4	0.0	2002-09-29	2002	2	45	NQJ61
5.41	0.0	2002-09-29	2002	3	0	NQJ61
5.4	0.0	2002-09-29	2002	3	15	NQJ61
5.1	0.0	2002-09-29	2002	3	30	NQJ61
5.21	0.0	2002-09-29	2002	3	45	NQJ61
4.91	0.0	2002-09-29	2002	4	0	NQJ61
4.9	0.0	2002-09-29	2002	4	15	NQJ61
4.9	0.0	2002-09-29	2002	4	30	NQJ61
4.9	0.0	2002-09-29	2002	4	45	NQJ61
5.475	0.0	2002-09-29	2002	5	0	NQJ61
4.65	0.0	2002-09-29	2002	5	15	NQJ61
4.5	0.0	2002-09-29	2002	5	30	NQJ61
4.5939999999999985	0.0	2002-09-29	2002	5	45	NQJ61
5.71	0.0	2002-09-29	2002	6	0	NQJ61
4.6	0.0	2002-09-29	2002	6	15	NQJ61
3.796	0.0	2002-09-29	2002	6	30	NQJ61
3.75	0.0	2002-09-29	2002	6	45	NQJ61
3.75	0.0	2002-09-29	2002	7	0	NQJ61
3.7	0.0	2002-09-29	2002	7	15	NQJ61
3.75	0.0	2002-09-29	2002	7	30	NQJ61
3.75	0.0	2002-09-29	2002	7	45	NQJ61
3.75	0.0	2002-09-29	2002	8	0	NQJ61
3.775	0.0	2002-09-29	2002	8	15	NQJ61
4.413	0.0	2002-09-29	2002	8	30	NQJ61
4.55	0.0	2002-09-29	2002	8	45	NQJ61
4.95	0.0	2002-09-29	2002	9	0	NQJ61
5.35	0.0	2002-09-29	2002	9	15	NQJ61
5.75	0.0	2002-09-29	2002	9	30	NQJ61
6.05	0.0	2002-09-29	2002	9	45	NQJ61
6.55	0.0	2002-09-29	2002	10	0	NQJ61
6.85	0.0	2002-09-29	2002	10	15	NQJ61
7.075	0.0	2002-09-29	2002	10	30	NQJ61
7.25	0.0	2002-09-29	2002	10	45	NQJ61
7.4	0.0	2002-09-29	2002	11	0	NQJ61
7.3	0.0	2002-09-29	2002	11	15	NQJ61
7.5	0.0	2002-09-29	2002	11	30	NQJ61
7.8	0.0	2002-09-29	2002	11	45	NQJ61
8.05	0.0	2002-09-29	2002	12	0	NQJ61
8.21	0.0	2002-09-29	2002	12	15	NQJ61
8.35	0.0	2002-09-29	2002	12	30	NQJ61
8.45	0.0	2002-09-29	2002	12	45	NQJ61
8.45	0.0	2002-09-29	2002	13	0	NQJ61
8.45	0.0	2002-09-29	2002	13	15	NQJ61
8.45	0.0	2002-09-29	2002	13	30	NQJ61
8.65	0.0	2002-09-29	2002	13	45	NQJ61
8.75	0.0	2002-09-29	2002	14	0	NQJ61
8.85	0.0	2002-09-29	2002	14	15	NQJ61
9.05	0.0	2002-09-29	2002	14	30	NQJ61
9.15	0.0	2002-09-29	2002	14	45	NQJ61
9.25	0.0	2002-09-29	2002	15	0	NQJ61
9.45	0.0	2002-09-29	2002	15	15	NQJ61
9.55	0.0	2002-09-29	2002	15	30	NQJ61
9.55	0.0	2002-09-29	2002	15	45	NQJ61
9.95	0.0	2002-09-29	2002	16	0	NQJ61
9.75	0.0	2002-09-29	2002	16	15	NQJ61
9.75	0.0	2002-09-29	2002	16	30	NQJ61
10.35	0.0	2002-09-29	2002	16	45	NQJ61
10.35	0.0	2002-09-29	2002	17	0	NQJ61
10.35	0.0	2002-09-29	2002	17	15	NQJ61
10.55	0.0	2002-09-29	2002	17	30	NQJ61
10.35	0.0	2002-09-29	2002	17	45	NQJ61
9.7	0.0	2002-09-29	2002	18	0	NQJ61
10.6	0.0	2002-09-29	2002	18	15	NQJ61
9.7	0.0	2002-09-29	2002	18	30	NQJ61
10.55	0.0	2002-09-29	2002	18	45	NQJ61
9.95	0.0	2002-09-29	2002	19	0	NQJ61
9.35	0.0	2002-09-29	2002	19	15	NQJ61
9.45	0.0	2002-09-29	2002	19	30	NQJ61
9.35	0.0	2002-09-29	2002	19	45	NQJ61
7.05	0.0	2002-09-29	2002	20	0	NQJ61
9.35	0.0	2002-09-29	2002	20	15	NQJ61
9.65	0.0	2002-09-29	2002	20	30	NQJ61
9.15	0.0	2002-09-29	2002	20	45	NQJ61
8.35	0.0	2002-09-29	2002	21	0	NQJ61
8.45	0.0	2002-09-29	2002	21	15	NQJ61
7.85	0.0	2002-09-29	2002	21	30	NQJ61
7.0	0.0	2002-09-29	2002	21	45	NQJ61
6.8	0.0	2002-09-29	2002	22	0	NQJ61
6.61	0.0	2002-09-29	2002	22	15	NQJ61
6.51	0.0	2002-09-29	2002	22	30	NQJ61
5.6	0.0	2002-09-29	2002	22	45	NQJ61
5.51	0.0	2002-09-29	2002	23	0	NQJ61
5.31	0.0	2002-09-29	2002	23	15	NQJ61
5.21	0.0	2002-09-29	2002	23	30	NQJ61
5.21	0.0	2002-09-29	2002	23	45	NQJ61
5.11	0.0	2002-09-30	2002	0	0	NQJ61
3.7	0.0	2002-09-30	2002	0	15	NQJ61
4.81	0.0	2002-09-30	2002	0	30	NQJ61
4.61	0.0	2002-09-30	2002	0	45	NQJ61
4.51	0.0	2002-09-30	2002	1	0	NQJ61
5.11	0.0	2002-09-30	2002	1	15	NQJ61
5.1	0.0	2002-09-30	2002	1	30	NQJ61
4.91	0.0	2002-09-30	2002	1	45	NQJ61
4.8	0.0	2002-09-30	2002	2	0	NQJ61
4.7	0.0	2002-09-30	2002	2	15	NQJ61
5.5	0.0	2002-09-30	2002	2	30	NQJ61
5.382	0.7	2002-09-30	2002	2	45	NQJ61
5.264	1.0	2002-09-30	2002	3	0	NQJ61
5.146	1.0	2002-09-30	2002	3	15	NQJ61
5.0280000000000005	0.7	2002-09-30	2002	3	30	NQJ61
4.91	0.0	2002-09-30	2002	3	45	NQJ61
3.7	0.0	2002-09-30	2002	4	0	NQJ61
5.71	0.0	2002-09-30	2002	4	15	NQJ61
5.61	0.0	2002-09-30	2002	4	30	NQJ61
4.61	0.0	2002-09-30	2002	4	45	NQJ61
4.642222222222222	0.7	2002-09-30	2002	5	0	NQJ61
4.674444444444445	1.0	2002-09-30	2002	5	15	NQJ61
4.706666666666667	1.3	2002-09-30	2002	5	30	NQJ61
4.738888888888889	1.6	2002-09-30	2002	5	45	NQJ61
4.771111111111112	1.6	2002-09-30	2002	6	0	NQJ61
4.803333333333334	1.3	2002-09-30	2002	6	15	NQJ61
4.835555555555556	1.0	2002-09-30	2002	6	30	NQJ61
4.867777777777778	0.7	2002-09-30	2002	6	45	NQJ61
4.9	0.0	2002-09-30	2002	7	0	NQJ61
4.8	0.7	2002-09-30	2002	7	15	NQJ61
4.7	0.7	2002-09-30	2002	7	30	NQJ61
4.6	0.0	2002-09-30	2002	7	45	NQJ61
5.15	0.7	2002-09-30	2002	8	0	NQJ61
5.7	0.0	2002-09-30	2002	8	15	NQJ61
5.3	0.0	2002-09-30	2002	8	30	NQJ61
5.9	0.0	2002-09-30	2002	8	45	NQJ61
5.5	0.0	2002-09-30	2002	9	0	NQJ61
5.3	0.0	2002-09-30	2002	9	15	NQJ61
5.15	0.0	2002-09-30	2002	9	30	NQJ61
4.9	0.0	2002-09-30	2002	9	45	NQJ61
5.6	0.0	2002-09-30	2002	10	0	NQJ61
6.0	0.0	2002-09-30	2002	10	15	NQJ61
5.1	0.0	2002-09-30	2002	10	30	NQJ61
5.1	0.0	2002-09-30	2002	10	45	NQJ61
4.9	0.0	2002-09-30	2002	11	0	NQJ61
5.2	0.0	2002-09-30	2002	11	15	NQJ61
5.7	0.0	2002-09-30	2002	11	30	NQJ61
5.8	0.0	2002-09-30	2002	11	45	NQJ61
5.925	0.0	2002-09-30	2002	12	0	NQJ61
6.113	0.0	2002-09-30	2002	12	15	NQJ61
6.45	0.0	2002-09-30	2002	12	30	NQJ61
6.45	0.0	2002-09-30	2002	12	45	NQJ61
6.95	0.0	2002-09-30	2002	13	0	NQJ61
6.5	0.0	2002-09-30	2002	13	15	NQJ61
6.45	0.0	2002-09-30	2002	13	30	NQJ61
6.31	0.0	2002-09-30	2002	13	45	NQJ61
6.6	0.0	2002-09-30	2002	14	0	NQJ61
8.01	0.0	2002-09-30	2002	14	15	NQJ61
8.4	0.0	2002-09-30	2002	14	30	NQJ61
9.35	0.0	2002-09-30	2002	14	45	NQJ61
9.4	0.0	2002-09-30	2002	15	0	NQJ61
9.5	0.0	2002-09-30	2002	15	15	NQJ61
8.85	0.0	2002-09-30	2002	15	30	NQJ61
8.25	0.0	2002-09-30	2002	15	45	NQJ61
7.4	0.0	2002-09-30	2002	16	0	NQJ61
7.225	0.0	2002-09-30	2002	16	15	NQJ61
7.15	0.0	2002-09-30	2002	16	30	NQJ61
6.801	0.0	2002-09-30	2002	16	45	NQJ61
6.45	0.0	2002-09-30	2002	17	0	NQJ61
6.65	0.0	2002-09-30	2002	17	15	NQJ61
6.313	0.0	2002-09-30	2002	17	30	NQJ61
5.85	0.0	2002-09-30	2002	17	45	NQJ61
6.4	0.0	2002-09-30	2002	18	0	NQJ61
6.25	0.0	2002-09-30	2002	18	15	NQJ61
5.85	0.0	2002-09-30	2002	18	30	NQJ61
