foF2	foF2_err	date	year	h	m	sonde
10.942	0.0	2006-03-29	2006	5	0	PY52R
10.31225	0.7	2006-03-29	2006	5	15	PY52R
9.682500000000001	1.0	2006-03-29	2006	5	30	PY52R
9.05275	0.7	2006-03-29	2006	5	45	PY52R
8.423	0.0	2006-03-29	2006	6	0	PY52R
7.95525	0.7	2006-03-29	2006	6	15	PY52R
7.487500000000001	1.0	2006-03-29	2006	6	30	PY52R
7.01975	0.7	2006-03-29	2006	6	45	PY52R
6.5520000000000005	0.0	2006-03-29	2006	7	0	PY52R
6.132000000000001	0.7	2006-03-29	2006	7	15	PY52R
5.712	1.0	2006-03-29	2006	7	30	PY52R
5.292	0.7	2006-03-29	2006	7	45	PY52R
4.872	0.0	2006-03-29	2006	8	0	PY52R
5.254	0.7	2006-03-29	2006	8	15	PY52R
5.636	1.0	2006-03-29	2006	8	30	PY52R
6.018000000000001	0.7	2006-03-29	2006	8	45	PY52R
6.4	0.0	2006-03-29	2006	9	0	PY52R
5.99075	0.7	2006-03-29	2006	9	15	PY52R
5.5815	1.0	2006-03-29	2006	9	30	PY52R
5.17225	0.7	2006-03-29	2006	9	45	PY52R
4.763	0.0	2006-03-29	2006	10	0	PY52R
4.8695	0.7	2006-03-29	2006	10	15	PY52R
4.976	1.0	2006-03-29	2006	10	30	PY52R
5.0825	0.7	2006-03-29	2006	10	45	PY52R
5.189	0.0	2006-03-29	2006	11	0	PY52R
5.06325	0.7	2006-03-29	2006	11	15	PY52R
4.9375	1.0	2006-03-29	2006	11	30	PY52R
4.81175	0.7	2006-03-29	2006	11	45	PY52R
4.686	0.0	2006-03-29	2006	12	0	PY52R
4.61325	0.7	2006-03-29	2006	12	15	PY52R
4.5405	1.0	2006-03-29	2006	12	30	PY52R
4.46775	0.7	2006-03-29	2006	12	45	PY52R
4.395	0.0	2006-03-29	2006	13	0	PY52R
4.313	0.7	2006-03-29	2006	13	15	PY52R
4.231	1.0	2006-03-29	2006	13	30	PY52R
4.149	0.7	2006-03-29	2006	13	45	PY52R
4.067	0.0	2006-03-29	2006	14	0	PY52R
3.459	0.7	2006-03-29	2006	14	15	PY52R
2.851	1.0	2006-03-29	2006	14	30	PY52R
2.243	0.7	2006-03-29	2006	14	45	PY52R
1.635	0.0	2006-03-29	2006	15	0	PY52R
2.2485	0.7	2006-03-29	2006	15	15	PY52R
2.862	1.0	2006-03-29	2006	15	30	PY52R
3.4755000000000003	0.7	2006-03-29	2006	15	45	PY52R
4.089	0.0	2006-03-29	2006	16	0	PY52R
3.9532500000000006	0.7	2006-03-29	2006	16	15	PY52R
3.8175000000000003	1.0	2006-03-29	2006	16	30	PY52R
3.68175	0.7	2006-03-29	2006	16	45	PY52R
3.5460000000000003	0.0	2006-03-29	2006	17	0	PY52R
3.3552500000000003	0.7	2006-03-29	2006	17	15	PY52R
3.1645000000000003	1.0	2006-03-29	2006	17	30	PY52R
2.97375	0.7	2006-03-29	2006	17	45	PY52R
2.783	0.0	2006-03-29	2006	18	0	PY52R
2.8745	0.7	2006-03-29	2006	18	15	PY52R
2.966	1.0	2006-03-29	2006	18	30	PY52R
3.0575	0.7	2006-03-29	2006	18	45	PY52R
3.149	0.0	2006-03-29	2006	19	0	PY52R
3.05025	0.7	2006-03-29	2006	19	15	PY52R
2.9515000000000002	1.0	2006-03-29	2006	19	30	PY52R
2.85275	0.7	2006-03-29	2006	19	45	PY52R
2.754	0.0	2006-03-29	2006	20	0	PY52R
3.31525	0.7	2006-03-29	2006	20	15	PY52R
3.8765	1.0	2006-03-29	2006	20	30	PY52R
4.437749999999999	0.7	2006-03-29	2006	20	45	PY52R
4.999	0.0	2006-03-29	2006	21	0	PY52R
5.5817499999999995	0.7	2006-03-29	2006	21	15	PY52R
6.1645	1.0	2006-03-29	2006	21	30	PY52R
6.74725	0.7	2006-03-29	2006	21	45	PY52R
7.33	0.0	2006-03-29	2006	22	0	PY52R
7.96025	0.7	2006-03-29	2006	22	15	PY52R
8.5905	1.0	2006-03-29	2006	22	30	PY52R
9.22075	0.7	2006-03-29	2006	22	45	PY52R
9.851	0.0	2006-03-29	2006	23	0	PY52R
10.232000000000001	0.7	2006-03-29	2006	23	15	PY52R
10.613	1.0	2006-03-29	2006	23	30	PY52R
10.994	0.7	2006-03-29	2006	23	45	PY52R
11.375	0.0	2006-03-30	2006	0	0	PY52R
11.468	0.7	2006-03-30	2006	0	15	PY52R
11.561	1.0	2006-03-30	2006	0	30	PY52R
11.654	0.7	2006-03-30	2006	0	45	PY52R
11.747	0.0	2006-03-30	2006	1	0	PY52R
11.7	0.7	2006-03-30	2006	1	15	PY52R
11.652999999999999	1.0	2006-03-30	2006	1	30	PY52R
11.606	0.7	2006-03-30	2006	1	45	PY52R
11.559	0.0	2006-03-30	2006	2	0	PY52R
11.869499999999999	0.7	2006-03-30	2006	2	15	PY52R
12.18	1.0	2006-03-30	2006	2	30	PY52R
12.490499999999999	0.7	2006-03-30	2006	2	45	PY52R
12.800999999999998	0.0	2006-03-30	2006	3	0	PY52R
12.692333333333332	0.7	2006-03-30	2006	3	15	PY52R
12.583666666666666	1.0	2006-03-30	2006	3	30	PY52R
12.474999999999998	1.3	2006-03-30	2006	3	45	PY52R
12.366333333333332	1.6	2006-03-30	2006	4	0	PY52R
12.257666666666665	1.9	2006-03-30	2006	4	15	PY52R
12.149	2.2	2006-03-30	2006	4	30	PY52R
12.040333333333333	1.9	2006-03-30	2006	4	45	PY52R
11.931666666666667	1.6	2006-03-30	2006	5	0	PY52R
11.823	1.3	2006-03-30	2006	5	15	PY52R
11.714333333333332	1.0	2006-03-30	2006	5	30	PY52R
11.605666666666666	0.7	2006-03-30	2006	5	45	PY52R
11.497	0.0	2006-03-30	2006	6	0	PY52R
10.664	0.7	2006-03-30	2006	6	15	PY52R
9.831	1.0	2006-03-30	2006	6	30	PY52R
8.998	0.7	2006-03-30	2006	6	45	PY52R
8.165	0.0	2006-03-30	2006	7	0	PY52R
7.647249999999999	0.7	2006-03-30	2006	7	15	PY52R
7.129499999999998	1.0	2006-03-30	2006	7	30	PY52R
6.611749999999999	0.7	2006-03-30	2006	7	45	PY52R
6.0939999999999985	0.0	2006-03-30	2006	8	0	PY52R
5.751499999999999	0.7	2006-03-30	2006	8	15	PY52R
5.408999999999999	1.0	2006-03-30	2006	8	30	PY52R
5.0665	0.7	2006-03-30	2006	8	45	PY52R
4.724	0.0	2006-03-30	2006	9	0	PY52R
4.548500000000001	0.7	2006-03-30	2006	9	15	PY52R
4.373	1.0	2006-03-30	2006	9	30	PY52R
4.1975	0.7	2006-03-30	2006	9	45	PY52R
4.022	0.0	2006-03-30	2006	10	0	PY52R
4.24525	0.7	2006-03-30	2006	10	15	PY52R
4.468500000000001	1.0	2006-03-30	2006	10	30	PY52R
4.69175	0.7	2006-03-30	2006	10	45	PY52R
4.915	0.0	2006-03-30	2006	11	0	PY52R
5.093	0.7	2006-03-30	2006	11	15	PY52R
5.271000000000001	1.0	2006-03-30	2006	11	30	PY52R
5.449000000000002	0.7	2006-03-30	2006	11	45	PY52R
5.627000000000002	0.0	2006-03-30	2006	12	0	PY52R
5.527750000000001	0.7	2006-03-30	2006	12	15	PY52R
5.428500000000001	1.0	2006-03-30	2006	12	30	PY52R
5.329250000000001	0.7	2006-03-30	2006	12	45	PY52R
5.23	0.0	2006-03-30	2006	13	0	PY52R
5.530625000000001	0.7	2006-03-30	2006	13	15	PY52R
5.831250000000001	1.0	2006-03-30	2006	13	30	PY52R
6.131875	1.3	2006-03-30	2006	13	45	PY52R
6.4325	1.6	2006-03-30	2006	14	0	PY52R
6.733125	1.3	2006-03-30	2006	14	15	PY52R
7.0337499999999995	1.0	2006-03-30	2006	14	30	PY52R
7.334375	0.7	2006-03-30	2006	14	45	PY52R
7.635	0.0	2006-03-30	2006	15	0	PY52R
7.489749999999999	0.7	2006-03-30	2006	15	15	PY52R
7.344499999999999	1.0	2006-03-30	2006	15	30	PY52R
7.199249999999999	0.7	2006-03-30	2006	15	45	PY52R
7.0539999999999985	0.0	2006-03-30	2006	16	0	PY52R
6.490249999999999	0.7	2006-03-30	2006	16	15	PY52R
5.926499999999999	1.0	2006-03-30	2006	16	30	PY52R
5.36275	0.7	2006-03-30	2006	16	45	PY52R
4.799	0.0	2006-03-30	2006	17	0	PY52R
4.4725	0.7	2006-03-30	2006	17	15	PY52R
4.146000000000001	1.0	2006-03-30	2006	17	30	PY52R
3.8195000000000006	0.7	2006-03-30	2006	17	45	PY52R
3.4930000000000003	0.0	2006-03-30	2006	18	0	PY52R
3.4155	0.7	2006-03-30	2006	18	15	PY52R
3.338	1.0	2006-03-30	2006	18	30	PY52R
