foF2	foF2_err	date	year	h	m	sonde
3.3	0.0	2019-08-02	2019	0	0	RA041
3.3	0.0	2019-08-02	2019	0	15	RA041
3.2	0.0	2019-08-02	2019	0	30	RA041
3.4	0.0	2019-08-02	2019	0	45	RA041
3.5	0.0	2019-08-02	2019	1	0	RA041
3.3	0.0	2019-08-02	2019	1	15	RA041
3.2	0.0	2019-08-02	2019	1	30	RA041
3.1	0.0	2019-08-02	2019	1	45	RA041
2.9	0.0	2019-08-02	2019	2	0	RA041
2.8	0.0	2019-08-02	2019	2	15	RA041
2.8	0.0	2019-08-02	2019	2	30	RA041
2.7	0.0	2019-08-02	2019	2	45	RA041
2.7	0.0	2019-08-02	2019	3	0	RA041
2.7	0.0	2019-08-02	2019	3	15	RA041
2.9	0.0	2019-08-02	2019	3	30	RA041
2.9	0.0	2019-08-02	2019	3	45	RA041
3.1	0.0	2019-08-02	2019	4	0	RA041
3.7	0.0	2019-08-02	2019	4	15	RA041
4.1	0.0	2019-08-02	2019	4	30	RA041
4.2	0.0	2019-08-02	2019	4	45	RA041
4.0	0.0	2019-08-02	2019	5	0	RA041
3.9	0.0	2019-08-02	2019	5	15	RA041
4.0	0.0	2019-08-02	2019	5	30	RA041
3.9	0.0	2019-08-02	2019	5	45	RA041
4.0	0.0	2019-08-02	2019	6	0	RA041
4.5	0.0	2019-08-02	2019	6	15	RA041
4.5095238095238095	0.7	2019-08-02	2019	6	30	RA041
4.519047619047619	1.0	2019-08-02	2019	6	45	RA041
4.5285714285714285	1.3	2019-08-02	2019	7	0	RA041
4.538095238095238	1.6	2019-08-02	2019	7	15	RA041
4.5476190476190474	1.9	2019-08-02	2019	7	30	RA041
4.557142857142857	2.2	2019-08-02	2019	7	45	RA041
4.566666666666666	2.5	2019-08-02	2019	8	0	RA041
4.576190476190476	2.8	2019-08-02	2019	8	15	RA041
4.585714285714285	3.1	2019-08-02	2019	8	30	RA041
4.595238095238095	3.4	2019-08-02	2019	8	45	RA041
4.604761904761905	3.4	2019-08-02	2019	9	0	RA041
4.614285714285715	3.1	2019-08-02	2019	9	15	RA041
4.623809523809524	2.8	2019-08-02	2019	9	30	RA041
4.633333333333334	2.5	2019-08-02	2019	9	45	RA041
4.642857142857143	2.2	2019-08-02	2019	10	0	RA041
4.652380952380953	1.9	2019-08-02	2019	10	15	RA041
4.661904761904762	1.6	2019-08-02	2019	10	30	RA041
4.671428571428572	1.3	2019-08-02	2019	10	45	RA041
4.680952380952381	1.0	2019-08-02	2019	11	0	RA041
4.690476190476191	0.7	2019-08-02	2019	11	15	RA041
4.7	0.0	2019-08-02	2019	11	30	RA041
4.8	0.0	2019-08-02	2019	11	45	RA041
5.0	0.0	2019-08-02	2019	12	0	RA041
4.9	0.0	2019-08-02	2019	12	15	RA041
5.0	0.0	2019-08-02	2019	12	30	RA041
4.9	0.0	2019-08-02	2019	12	45	RA041
4.8	0.0	2019-08-02	2019	13	0	RA041
5.1	0.0	2019-08-02	2019	13	15	RA041
5.033333333333333	0.7	2019-08-02	2019	13	30	RA041
4.966666666666667	1.0	2019-08-02	2019	13	45	RA041
4.8999999999999995	1.3	2019-08-02	2019	14	0	RA041
4.833333333333333	1.6	2019-08-02	2019	14	15	RA041
4.766666666666667	1.6	2019-08-02	2019	14	30	RA041
4.7	1.3	2019-08-02	2019	14	45	RA041
4.633333333333333	1.0	2019-08-02	2019	15	0	RA041
4.566666666666666	0.7	2019-08-02	2019	15	15	RA041
4.5	0.0	2019-08-02	2019	15	30	RA041
4.7	0.0	2019-08-02	2019	15	45	RA041
5.0	0.0	2019-08-02	2019	16	0	RA041
4.6	0.0	2019-08-02	2019	16	15	RA041
4.7	0.0	2019-08-02	2019	16	30	RA041
4.7	0.0	2019-08-02	2019	16	45	RA041
4.0	0.0	2019-08-02	2019	17	0	RA041
4.6	0.0	2019-08-02	2019	17	15	RA041
4.7	0.0	2019-08-02	2019	17	30	RA041
4.7	0.0	2019-08-02	2019	17	45	RA041
4.7	0.0	2019-08-02	2019	18	0	RA041
5.0	0.0	2019-08-02	2019	18	15	RA041
5.1	0.0	2019-08-02	2019	18	30	RA041
5.4	0.0	2019-08-02	2019	18	45	RA041
5.6	0.7	2019-08-02	2019	19	0	RA041
5.8	0.0	2019-08-02	2019	19	15	RA041
5.75	0.7	2019-08-02	2019	19	30	RA041
5.7	0.0	2019-08-02	2019	19	45	RA041
5.6	0.0	2019-08-02	2019	20	0	RA041
5.4	0.0	2019-08-02	2019	20	15	RA041
5.3	0.0	2019-08-02	2019	20	30	RA041
5.1	0.0	2019-08-02	2019	20	45	RA041
4.8	0.0	2019-08-02	2019	21	0	RA041
4.5	0.0	2019-08-02	2019	21	15	RA041
4.7	0.0	2019-08-02	2019	21	30	RA041
4.6	0.0	2019-08-02	2019	21	45	RA041
4.4	0.0	2019-08-02	2019	22	0	RA041
4.4	0.0	2019-08-02	2019	22	15	RA041
4.2	0.0	2019-08-02	2019	22	30	RA041
4.1	0.0	2019-08-02	2019	22	45	RA041
4.0	0.0	2019-08-02	2019	23	0	RA041
3.9	0.0	2019-08-02	2019	23	15	RA041
3.7	0.0	2019-08-02	2019	23	30	RA041
3.6	0.0	2019-08-02	2019	23	45	RA041
3.5	0.0	2019-08-03	2019	0	0	RA041
3.5	0.0	2019-08-03	2019	0	15	RA041
3.4	0.0	2019-08-03	2019	0	30	RA041
3.2	0.0	2019-08-03	2019	0	45	RA041
3.2	0.0	2019-08-03	2019	1	0	RA041
3.0	0.0	2019-08-03	2019	1	15	RA041
2.9	0.0	2019-08-03	2019	1	30	RA041
2.9	0.0	2019-08-03	2019	1	45	RA041
2.9	0.0	2019-08-03	2019	2	0	RA041
2.8	0.0	2019-08-03	2019	2	15	RA041
2.5	0.0	2019-08-03	2019	2	30	RA041
2.8	0.0	2019-08-03	2019	2	45	RA041
2.7	0.0	2019-08-03	2019	3	0	RA041
2.4	0.0	2019-08-03	2019	3	15	RA041
2.4	0.0	2019-08-03	2019	3	30	RA041
2.5999999999999996	0.7	2019-08-03	2019	3	45	RA041
2.8	0.0	2019-08-03	2019	4	0	RA041
3.1	0.0	2019-08-03	2019	4	15	RA041
3.1	0.0	2019-08-03	2019	4	30	RA041
3.7	0.0	2019-08-03	2019	4	45	RA041
3.8	0.0	2019-08-03	2019	5	0	RA041
3.7	0.0	2019-08-03	2019	5	15	RA041
3.9	0.0	2019-08-03	2019	5	30	RA041
4.6	0.0	2019-08-03	2019	5	45	RA041
4.4	0.7	2019-08-03	2019	6	0	RA041
4.2	0.0	2019-08-03	2019	6	15	RA041
4.2	0.0	2019-08-03	2019	6	30	RA041
4.3	0.0	2019-08-03	2019	6	45	RA041
4.4	0.7	2019-08-03	2019	7	0	RA041
4.5	0.0	2019-08-03	2019	7	15	RA041
4.65	0.7	2019-08-03	2019	7	30	RA041
4.8	0.0	2019-08-03	2019	7	45	RA041
4.766666666666667	0.7	2019-08-03	2019	8	0	RA041
4.733333333333333	0.7	2019-08-03	2019	8	15	RA041
4.7	0.0	2019-08-03	2019	8	30	RA041
4.85	0.7	2019-08-03	2019	8	45	RA041
5.0	0.0	2019-08-03	2019	9	0	RA041
5.0	0.0	2019-08-03	2019	9	15	RA041
5.0	0.0	2019-08-03	2019	9	30	RA041
5.2	0.0	2019-08-03	2019	9	45	RA041
5.3	0.0	2019-08-03	2019	10	0	RA041
