foF2	foF2_err	date	year	h	m	sonde
8.478833333333332	0.42000000000000004	2011-10-09	2011	0	15	SJJ18
7.990368421052631	0.56	2011-10-09	2011	0	30	SJJ18
7.7139999999999995	0.48000000000000004	2011-10-09	2011	0	45	SJJ18
7.5097499999999995	0.42000000000000004	2011-10-09	2011	1	0	SJJ18
7.02048275862069	0.56	2011-10-09	2011	1	15	SJJ18
6.605137931034483	0.52	2011-10-09	2011	1	30	SJJ18
6.3774999999999995	0.42000000000000004	2011-10-09	2011	1	45	SJJ18
7.4274545454545455	0.42000000000000004	2011-10-09	2011	2	0	SJJ18
6.704666666666667	0.44	2011-10-09	2011	2	15	SJJ18
6.806162162162162	0.56	2011-10-09	2011	2	30	SJJ18
6.930216216216216	0.68	2011-10-09	2011	2	45	SJJ18
7.027	0.42000000000000004	2011-10-09	2011	3	0	SJJ18
6.692	0.42000000000000004	2011-10-09	2011	3	15	SJJ18
6.1288	0.44	2011-10-09	2011	3	30	SJJ18
6.1766000000000005	0.44	2011-10-09	2011	3	45	SJJ18
5.6295714285714284	0.46	2011-10-09	2011	4	0	SJJ18
7.054071428571428	0.46	2011-10-09	2011	4	15	SJJ18
7.83125	0.42000000000000004	2011-10-09	2011	4	30	SJJ18
7.9505	0.42000000000000004	2011-10-09	2011	4	45	SJJ18
8.189	0.42000000000000004	2011-10-09	2011	5	0	SJJ18
8.190999999999999	0.42000000000000004	2011-10-09	2011	5	15	SJJ18
7.8815	0.42000000000000004	2011-10-09	2011	5	30	SJJ18
7.32225	0.42000000000000004	2011-10-09	2011	5	45	SJJ18
6.744	0.42000000000000004	2011-10-09	2011	6	0	SJJ18
6.556	0.42000000000000004	2011-10-09	2011	6	15	SJJ18
5.78075	0.42000000000000004	2011-10-09	2011	6	30	SJJ18
5.2985	0.42000000000000004	2011-10-09	2011	6	45	SJJ18
4.8225	0.42000000000000004	2011-10-09	2011	7	0	SJJ18
4.5600000000000005	0.42000000000000004	2011-10-09	2011	7	15	SJJ18
4.223200000000001	0.42000000000000004	2011-10-09	2011	7	30	SJJ18
2.909	0.46	2011-10-09	2011	7	45	SJJ18
4.9015	0.46	2011-10-09	2011	8	0	SJJ18
4.040571428571428	0.46	2011-10-09	2011	8	15	SJJ18
4.642142857142857	0.48000000000000004	2011-10-09	2011	8	30	SJJ18
4.3522	0.44	2011-10-09	2011	8	45	SJJ18
4.783	0.46	2011-10-09	2011	9	0	SJJ18
4.88025	0.42000000000000004	2011-10-09	2011	9	15	SJJ18
4.8180000000000005	0.42000000000000004	2011-10-09	2011	9	30	SJJ18
4.292857142857143	0.44	2011-10-09	2011	9	45	SJJ18
4.34375	0.42000000000000004	2011-10-09	2011	10	0	SJJ18
5.166	0.42000000000000004	2011-10-09	2011	10	15	SJJ18
5.99875	0.42000000000000004	2011-10-09	2011	10	30	SJJ18
7.3847499999999995	0.42000000000000004	2011-10-09	2011	10	45	SJJ18
7.3934999999999995	0.42000000000000004	2011-10-09	2011	11	0	SJJ18
8.4285	0.42000000000000004	2011-10-09	2011	11	15	SJJ18
8.95675	0.42000000000000004	2011-10-09	2011	11	30	SJJ18
8.805999999999997	0.42000000000000004	2011-10-09	2011	11	45	SJJ18
8.7538	0.42000000000000004	2011-10-09	2011	12	0	SJJ18
9.25675	0.42000000000000004	2011-10-09	2011	12	15	SJJ18
9.234	0.42000000000000004	2011-10-09	2011	12	30	SJJ18
8.891454545454545	0.42000000000000004	2011-10-09	2011	12	45	SJJ18
9.324818181818182	0.46	2011-10-09	2011	13	0	SJJ18
9.394428571428572	0.44	2011-10-09	2011	13	15	SJJ18
9.709444444444443	0.48000000000000004	2011-10-09	2011	13	30	SJJ18
