foF2	foF2_err	date	year	h	m	sonde
5.086	0.0	2004-11-21	2004	1	0	SQ67Q
5.184	0.7	2004-11-21	2004	1	15	SQ67Q
5.282	1.0	2004-11-21	2004	1	30	SQ67Q
5.38	0.7	2004-11-21	2004	1	45	SQ67Q
5.478	0.0	2004-11-21	2004	2	0	SQ67Q
5.686	0.7	2004-11-21	2004	2	15	SQ67Q
5.894	1.0	2004-11-21	2004	2	30	SQ67Q
6.101999999999999	0.7	2004-11-21	2004	2	45	SQ67Q
6.31	0.0	2004-11-21	2004	3	0	SQ67Q
6.0255	0.7	2004-11-21	2004	3	15	SQ67Q
5.7410000000000005	1.0	2004-11-21	2004	3	30	SQ67Q
5.456500000000001	0.7	2004-11-21	2004	3	45	SQ67Q
5.1720000000000015	0.0	2004-11-21	2004	4	0	SQ67Q
5.364375000000002	0.7	2004-11-21	2004	4	15	SQ67Q
5.556750000000001	1.0	2004-11-21	2004	4	30	SQ67Q
5.749125000000001	1.3	2004-11-21	2004	4	45	SQ67Q
5.941500000000001	1.6	2004-11-21	2004	5	0	SQ67Q
6.133875000000001	1.3	2004-11-21	2004	5	15	SQ67Q
6.326250000000001	1.0	2004-11-21	2004	5	30	SQ67Q
6.518625	0.7	2004-11-21	2004	5	45	SQ67Q
6.711	0.0	2004-11-21	2004	6	0	SQ67Q
6.19675	0.7	2004-11-21	2004	6	15	SQ67Q
5.6825	1.0	2004-11-21	2004	6	30	SQ67Q
5.1682500000000005	0.7	2004-11-21	2004	6	45	SQ67Q
4.654	0.0	2004-11-21	2004	7	0	SQ67Q
4.431	0.7	2004-11-21	2004	7	15	SQ67Q
4.208	1.0	2004-11-21	2004	7	30	SQ67Q
3.985	0.7	2004-11-21	2004	7	45	SQ67Q
3.762	0.0	2004-11-21	2004	8	0	SQ67Q
4.124	0.7	2004-11-21	2004	8	15	SQ67Q
4.486	1.0	2004-11-21	2004	8	30	SQ67Q
4.848	0.7	2004-11-21	2004	8	45	SQ67Q
5.21	0.0	2004-11-21	2004	9	0	SQ67Q
5.115	0.7	2004-11-21	2004	9	15	SQ67Q
5.02	1.0	2004-11-21	2004	9	30	SQ67Q
4.925	0.7	2004-11-21	2004	9	45	SQ67Q
4.83	0.0	2004-11-21	2004	10	0	SQ67Q
4.94525	0.7	2004-11-21	2004	10	15	SQ67Q
5.0605	1.0	2004-11-21	2004	10	30	SQ67Q
5.175750000000001	0.7	2004-11-21	2004	10	45	SQ67Q
5.291	0.0	2004-11-21	2004	11	0	SQ67Q
4.8955	0.7	2004-11-21	2004	11	15	SQ67Q
4.5	1.0	2004-11-21	2004	11	30	SQ67Q
4.1045	0.7	2004-11-21	2004	11	45	SQ67Q
3.709	0.0	2004-11-21	2004	12	0	SQ67Q
3.682875	0.7	2004-11-21	2004	12	15	SQ67Q
3.65675	1.0	2004-11-21	2004	12	30	SQ67Q
3.630625	1.3	2004-11-21	2004	12	45	SQ67Q
3.6045	1.6	2004-11-21	2004	13	0	SQ67Q
3.578375	1.3	2004-11-21	2004	13	15	SQ67Q
3.55225	1.0	2004-11-21	2004	13	30	SQ67Q
3.526125	0.7	2004-11-21	2004	13	45	SQ67Q
3.5	0.0	2004-11-21	2004	14	0	SQ67Q
3.45125	0.7	2004-11-21	2004	14	15	SQ67Q
3.4025	1.0	2004-11-21	2004	14	30	SQ67Q
3.3537500000000002	0.7	2004-11-21	2004	14	45	SQ67Q
3.305	0.0	2004-11-21	2004	15	0	SQ67Q
5.20975	0.7	2004-11-21	2004	15	15	SQ67Q
7.1145	1.0	2004-11-21	2004	15	30	SQ67Q
9.01925	0.7	2004-11-21	2004	15	45	SQ67Q
10.924	0.0	2004-11-21	2004	16	0	SQ67Q
9.126	0.7	2004-11-21	2004	16	15	SQ67Q
7.327999999999999	1.0	2004-11-21	2004	16	30	SQ67Q
5.53	0.7	2004-11-21	2004	16	45	SQ67Q
3.732	0.0	2004-11-21	2004	17	0	SQ67Q
3.986	0.7	2004-11-21	2004	17	15	SQ67Q
4.24	1.0	2004-11-21	2004	17	30	SQ67Q
4.494000000000001	0.7	2004-11-21	2004	17	45	SQ67Q
4.748	0.0	2004-11-21	2004	18	0	SQ67Q
4.5795	0.7	2004-11-21	2004	18	15	SQ67Q
4.411	1.0	2004-11-21	2004	18	30	SQ67Q
4.2425	0.7	2004-11-21	2004	18	45	SQ67Q
4.074	0.0	2004-11-21	2004	19	0	SQ67Q
4.060499999999999	0.7	2004-11-21	2004	19	15	SQ67Q
4.047	1.0	2004-11-21	2004	19	30	SQ67Q
4.0335	0.7	2004-11-21	2004	19	45	SQ67Q
4.02	0.0	2004-11-21	2004	20	0	SQ67Q
4.080375	0.7	2004-11-21	2004	20	15	SQ67Q
4.14075	1.0	2004-11-21	2004	20	30	SQ67Q
4.201124999999999	1.3	2004-11-21	2004	20	45	SQ67Q
