foF2	foF2_err	date	year	h	m	sonde
6.1	0.0	2002-09-29	2002	0	0	THJ77
6.3	0.0	2002-09-29	2002	0	15	THJ77
5.9	0.0	2002-09-29	2002	0	30	THJ77
5.81	0.0	2002-09-29	2002	0	45	THJ77
5.81	0.0	2002-09-29	2002	1	0	THJ77
5.6	0.0	2002-09-29	2002	1	15	THJ77
5.5	0.0	2002-09-29	2002	1	30	THJ77
4.6	0.0	2002-09-29	2002	1	45	THJ77
5.2	0.0	2002-09-29	2002	2	0	THJ77
5.21	0.0	2002-09-29	2002	2	15	THJ77
5.5	0.0	2002-09-29	2002	2	30	THJ77
5.3	0.0	2002-09-29	2002	2	45	THJ77
5.2	0.0	2002-09-29	2002	3	0	THJ77
4.7	0.0	2002-09-29	2002	3	15	THJ77
4.5	0.0	2002-09-29	2002	3	30	THJ77
4.3	0.0	2002-09-29	2002	3	45	THJ77
4.3	0.0	2002-09-29	2002	4	0	THJ77
4.3	0.0	2002-09-29	2002	4	15	THJ77
3.9	0.0	2002-09-29	2002	4	30	THJ77
4.9	0.0	2002-09-29	2002	4	45	THJ77
5.7	0.0	2002-09-29	2002	5	0	THJ77
4.3	0.0	2002-09-29	2002	5	15	THJ77
4.6	0.0	2002-09-29	2002	5	30	THJ77
3.3	0.0	2002-09-29	2002	5	45	THJ77
4.0	0.0	2002-09-29	2002	6	0	THJ77
4.4	0.0	2002-09-29	2002	6	15	THJ77
3.4	0.0	2002-09-29	2002	6	30	THJ77
4.1	0.0	2002-09-29	2002	6	45	THJ77
3.65	0.7	2002-09-29	2002	7	0	THJ77
3.2	0.0	2002-09-29	2002	7	15	THJ77
3.5	0.0	2002-09-29	2002	7	30	THJ77
3.3	0.0	2002-09-29	2002	7	45	THJ77
3.0	0.0	2002-09-29	2002	8	0	THJ77
3.51	0.0	2002-09-29	2002	8	15	THJ77
3.25	0.0	2002-09-29	2002	8	30	THJ77
4.55	0.0	2002-09-29	2002	8	45	THJ77
4.25	0.0	2002-09-29	2002	9	0	THJ77
3.1	0.0	2002-09-29	2002	9	15	THJ77
5.31	0.0	2002-09-29	2002	9	30	THJ77
