foF2	foF2_err	date	year	h	m	sonde
6.603057043073341	0.56	2011-07-04	2011	7	0	WI937
6.537538998835855	0.8600000000000001	2011-07-04	2011	7	15	WI937
6.47202095459837	1.1600000000000001	2011-07-04	2011	7	30	WI937
6.406502910360885	1.46	2011-07-04	2011	7	45	WI937
6.340984866123399	1.7600000000000002	2011-07-04	2011	8	0	WI937
6.275466821885914	2.06	2011-07-04	2011	8	15	WI937
6.209948777648428	2.36	2011-07-04	2011	8	30	WI937
6.1444307334109425	2.66	2011-07-04	2011	8	45	WI937
6.078912689173458	2.96	2011-07-04	2011	9	0	WI937
6.013394644935972	3.26	2011-07-04	2011	9	15	WI937
5.9478766006984864	3.56	2011-07-04	2011	9	30	WI937
5.882358556461001	3.86	2011-07-04	2011	9	45	WI937
5.816840512223516	4.16	2011-07-04	2011	10	0	WI937
5.75132246798603	4.460000000000001	2011-07-04	2011	10	15	WI937
5.685804423748545	4.760000000000001	2011-07-04	2011	10	30	WI937
5.620286379511059	5.0600000000000005	2011-07-04	2011	10	45	WI937
5.5547683352735735	5.36	2011-07-04	2011	11	0	WI937
5.489250291036088	5.66	2011-07-04	2011	11	15	WI937
5.423732246798603	5.960000000000001	2011-07-04	2011	11	30	WI937
5.3582142025611175	6.260000000000001	2011-07-04	2011	11	45	WI937
5.292696158323632	6.5600000000000005	2011-07-04	2011	12	0	WI937
5.227178114086147	6.86	2011-07-04	2011	12	15	WI937
5.161660069848661	7.16	2011-07-04	2011	12	30	WI937
5.096142025611176	7.460000000000001	2011-07-04	2011	12	45	WI937
5.03062398137369	7.760000000000001	2011-07-04	2011	13	0	WI937
4.9651059371362045	8.06	2011-07-04	2011	13	15	WI937
4.899587892898719	8.36	2011-07-04	2011	13	30	WI937
4.834069848661234	8.66	2011-07-04	2011	13	45	WI937
4.7685518044237485	8.96	2011-07-04	2011	14	0	WI937
4.703033760186263	8.72	2011-07-04	2011	14	15	WI937
4.637515715948778	8.42	2011-07-04	2011	14	30	WI937
4.5719976717112925	8.12	2011-07-04	2011	14	45	WI937
4.506479627473807	7.82	2011-07-04	2011	15	0	WI937
4.440961583236321	7.5200000000000005	2011-07-04	2011	15	15	WI937
4.3754435389988355	7.220000000000001	2011-07-04	2011	15	30	WI937
4.30992549476135	6.920000000000001	2011-07-04	2011	15	45	WI937
4.244407450523864	6.62	2011-07-04	2011	16	0	WI937
4.1788894062863795	6.32	2011-07-04	2011	16	15	WI937
4.113371362048894	6.0200000000000005	2011-07-04	2011	16	30	WI937
4.047853317811409	5.720000000000001	2011-07-04	2011	16	45	WI937
3.982335273573923	5.420000000000001	2011-07-04	2011	17	0	WI937
3.9168172293364374	5.12	2011-07-04	2011	17	15	WI937
3.851299185098952	4.82	2011-07-04	2011	17	30	WI937
3.7857811408614666	4.5200000000000005	2011-07-04	2011	17	45	WI937
3.7202630966239814	4.220000000000001	2011-07-04	2011	18	0	WI937
3.6547450523864957	3.92	2011-07-04	2011	18	15	WI937
3.5892270081490105	3.62	2011-07-04	2011	18	30	WI937
3.523708963911525	3.32	2011-07-04	2011	18	45	WI937
3.4581909196740392	3.02	2011-07-04	2011	19	0	WI937
3.392672875436554	2.7199999999999998	2011-07-04	2011	19	15	WI937
3.3271548311990684	2.42	2011-07-04	2011	19	30	WI937
3.261636786961583	2.12	2011-07-04	2011	19	45	WI937
3.1961187427240976	1.8199999999999998	2011-07-04	2011	20	0	WI937
3.130600698486612	1.52	2011-07-04	2011	20	15	WI937
3.0650826542491267	1.2200000000000002	2011-07-04	2011	20	30	WI937
2.999564610011641	0.92	2011-07-04	2011	20	45	WI937
2.934046565774156	0.62	2011-07-04	2011	21	0	WI937
2.0945	0.42000000000000004	2011-07-04	2011	21	15	WI937
4.806	0.0	2011-07-04	2011	21	30	WI937
8.625	0.0	2011-07-04	2011	21	45	WI937
4.195	0.0	2011-07-04	2011	22	0	WI937
9.244	0.0	2011-07-04	2011	22	15	WI937
9.582	0.0	2011-07-04	2011	22	30	WI937
10.002	0.0	2011-07-04	2011	22	45	WI937
9.433	0.0	2011-07-04	2011	23	0	WI937
9.543	0.0	2011-07-04	2011	23	15	WI937
2.194	0.0	2011-07-04	2011	23	30	WI937
9.597	0.0	2011-07-04	2011	23	45	WI937
9.478	0.0	2011-07-05	2011	0	0	WI937
9.639	0.0	2011-07-05	2011	0	15	WI937
9.889	0.0	2011-07-05	2011	0	30	WI937
10.139	0.0	2011-07-05	2011	0	45	WI937
9.392	0.0	2011-07-05	2011	1	0	WI937
9.135	0.0	2011-07-05	2011	1	15	WI937
8.976	0.0	2011-07-05	2011	1	30	WI937
8.39	0.0	2011-07-05	2011	1	45	WI937
8.585	0.0	2011-07-05	2011	2	0	WI937
7.641	0.0	2011-07-05	2011	2	15	WI937
7.429142857142858	0.42000000000000004	2011-07-05	2011	2	30	WI937
7.308	0.0	2011-07-05	2011	2	45	WI937
6.694	0.0	2011-07-05	2011	3	0	WI937
6.9055	0.42000000000000004	2011-07-05	2011	3	15	WI937
6.954	0.0	2011-07-05	2011	3	30	WI937
5.835	0.0	2011-07-05	2011	3	45	WI937
5.492000000000001	0.0	2011-07-05	2011	4	0	WI937
5.358	0.0	2011-07-05	2011	4	15	WI937
5.129	0.0	2011-07-05	2011	4	30	WI937
4.932	0.0	2011-07-05	2011	4	45	WI937
4.9303333333333335	0.46	2011-07-05	2011	5	0	WI937
4.679769230769231	0.42000000000000004	2011-07-05	2011	5	15	WI937
4.541307692307692	0.72	2011-07-05	2011	5	30	WI937
4.402846153846154	0.56	2011-07-05	2011	5	45	WI937
5.6474375	0.44	2011-07-05	2011	6	0	WI937
5.09571875	0.7	2011-07-05	2011	6	15	WI937
4.544	0.0	2011-07-05	2011	6	30	WI937
5.278	0.0	2011-07-05	2011	6	45	WI937
4.047499999999999	0.42000000000000004	2011-07-05	2011	7	0	WI937
4.244	0.66	2011-07-05	2011	7	15	WI937
4.345166666666667	0.44	2011-07-05	2011	7	30	WI937
3.6838333333333333	0.42000000000000004	2011-07-05	2011	7	45	WI937
4.894	0.0	2011-07-05	2011	8	0	WI937
4.074	0.44	2011-07-05	2011	8	15	WI937
3.682	0.0	2011-07-05	2011	8	30	WI937
