foF2	foF2_err	date	year	h	m	sonde
6.06	0.0	2011-01-20	2011	2	30	WK546
5.979310344827586	0.7	2011-01-20	2011	2	45	WK546
5.898620689655172	1.0	2011-01-20	2011	3	0	WK546
5.817931034482759	1.3	2011-01-20	2011	3	15	WK546
5.737241379310345	1.6	2011-01-20	2011	3	30	WK546
5.656551724137931	1.8000000000000003	2011-01-20	2011	3	45	WK546
5.575862068965518	1.5	2011-01-20	2011	4	0	WK546
5.495172413793103	1.2000000000000002	2011-01-20	2011	4	15	WK546
5.414482758620689	0.9	2011-01-20	2011	4	30	WK546
5.333793103448276	0.6000000000000001	2011-01-20	2011	4	45	WK546
5.241333333333333	0.5	2011-01-20	2011	5	0	WK546
5.125333333333334	0.8	2011-01-20	2011	5	15	WK546
5.009333333333333	1.1	2011-01-20	2011	5	30	WK546
4.8933333333333335	1.4	2011-01-20	2011	5	45	WK546
4.777333333333334	1.7000000000000002	2011-01-20	2011	6	0	WK546
4.661333333333333	2.0	2011-01-20	2011	6	15	WK546
4.545333333333334	2.3000000000000003	2011-01-20	2011	6	30	WK546
4.429333333333333	2.6	2011-01-20	2011	6	45	WK546
4.3133333333333335	2.9	2011-01-20	2011	7	0	WK546
4.197333333333333	3.2	2011-01-20	2011	7	15	WK546
4.081333333333333	3.3	2011-01-20	2011	7	30	WK546
3.9653333333333336	3.0	2011-01-20	2011	7	45	WK546
3.8493333333333335	2.7	2011-01-20	2011	8	0	WK546
3.7333333333333334	2.4	2011-01-20	2011	8	15	WK546
3.6173333333333333	2.1	2011-01-20	2011	8	30	WK546
3.501333333333333	1.8000000000000003	2011-01-20	2011	8	45	WK546
3.3853333333333335	1.5	2011-01-20	2011	9	0	WK546
3.2693333333333334	1.2000000000000002	2011-01-20	2011	9	15	WK546
3.1533333333333333	0.9	2011-01-20	2011	9	30	WK546
3.037333333333333	0.6000000000000001	2011-01-20	2011	9	45	WK546
2.9541176470588235	0.5	2011-01-20	2011	10	0	WK546
2.936470588235294	0.8	2011-01-20	2011	10	15	WK546
2.918823529411765	1.1	2011-01-20	2011	10	30	WK546
2.901176470588235	1.4	2011-01-20	2011	10	45	WK546
2.8835294117647057	1.7000000000000002	2011-01-20	2011	11	0	WK546
2.8658823529411763	2.0	2011-01-20	2011	11	15	WK546
2.848235294117647	1.9	2011-01-20	2011	11	30	WK546
2.8305882352941176	1.6	2011-01-20	2011	11	45	WK546
2.8129411764705883	1.3	2011-01-20	2011	12	0	WK546
2.7952941176470585	1.0	2011-01-20	2011	12	15	WK546
2.777647058823529	0.7	2011-01-20	2011	12	30	WK546
2.76	0.0	2011-01-20	2011	12	45	WK546
2.7699999999999996	0.7	2011-01-20	2011	13	0	WK546
2.78	1.0	2011-01-20	2011	13	15	WK546
2.79	1.3	2011-01-20	2011	13	30	WK546
2.8	1.6	2011-01-20	2011	13	45	WK546
2.8099999999999996	1.9	2011-01-20	2011	14	0	WK546
2.82	2.2	2011-01-20	2011	14	15	WK546
2.83	2.5	2011-01-20	2011	14	30	WK546
2.84	2.8	2011-01-20	2011	14	45	WK546
2.8499999999999996	3.1	2011-01-20	2011	15	0	WK546
2.86	3.4	2011-01-20	2011	15	15	WK546
2.87	3.1	2011-01-20	2011	15	30	WK546
2.88	2.8	2011-01-20	2011	15	45	WK546
2.8899999999999997	2.5	2011-01-20	2011	16	0	WK546
2.9	2.2	2011-01-20	2011	16	15	WK546
2.91	1.9	2011-01-20	2011	16	30	WK546
2.92	1.6	2011-01-20	2011	16	45	WK546
2.9299999999999997	1.3	2011-01-20	2011	17	0	WK546
2.94	1.0	2011-01-20	2011	17	15	WK546
2.95	0.7	2011-01-20	2011	17	30	WK546
2.96	0.0	2011-01-20	2011	17	45	WK546
3.06	0.7	2011-01-20	2011	18	0	WK546
3.16	1.0	2011-01-20	2011	18	15	WK546
3.26	1.3	2011-01-20	2011	18	30	WK546
3.36	1.6	2011-01-20	2011	18	45	WK546
3.46	1.9	2011-01-20	2011	19	0	WK546
3.56	2.2	2011-01-20	2011	19	15	WK546
3.66	2.5	2011-01-20	2011	19	30	WK546
3.7600000000000002	2.8	2011-01-20	2011	19	45	WK546
3.8600000000000003	3.1	2011-01-20	2011	20	0	WK546
3.96	3.4	2011-01-20	2011	20	15	WK546
4.0600000000000005	3.7	2011-01-20	2011	20	30	WK546
4.16	4.0	2011-01-20	2011	20	45	WK546
4.26	3.7	2011-01-20	2011	21	0	WK546
4.36	3.4	2011-01-20	2011	21	15	WK546
4.46	3.1	2011-01-20	2011	21	30	WK546
4.5600000000000005	2.8	2011-01-20	2011	21	45	WK546
4.66	2.5	2011-01-20	2011	22	0	WK546
4.76	2.2	2011-01-20	2011	22	15	WK546
