foF2	foF2_err	date	year	h	m	sonde
2.15	0.0	2011-01-20	2011	23	30	YA462
2.8	0.0	2011-01-20	2011	23	45	YA462
3.45	0.0	2011-01-21	2011	0	0	YA462
4.2	0.0	2011-01-21	2011	0	15	YA462
4.25	0.0	2011-01-21	2011	0	30	YA462
4.55	0.0	2011-01-21	2011	0	45	YA462
4.45	0.0	2011-01-21	2011	1	0	YA462
4.65	0.0	2011-01-21	2011	1	15	YA462
3.75	0.0	2011-01-21	2011	1	30	YA462
4.975	0.0	2011-01-21	2011	1	45	YA462
5.307	0.0	2011-01-21	2011	2	0	YA462
5.85	0.0	2011-01-21	2011	2	15	YA462
5.475	0.7	2011-01-21	2011	2	30	YA462
5.1	0.0	2011-01-21	2011	2	45	YA462
5.25	0.0	2011-01-21	2011	3	0	YA462
5.4	0.0	2011-01-21	2011	3	15	YA462
5.75	0.0	2011-01-21	2011	3	30	YA462
6.4	0.0	2011-01-21	2011	3	45	YA462
5.475	0.0	2011-01-21	2011	4	0	YA462
5.75	0.0	2011-01-21	2011	4	15	YA462
5.8	0.0	2011-01-21	2011	4	30	YA462
5.2	0.0	2011-01-21	2011	4	45	YA462
6.0	0.0	2011-01-21	2011	5	0	YA462
5.85	0.0	2011-01-21	2011	5	15	YA462
5.725	0.0	2011-01-21	2011	5	30	YA462
4.95	0.0	2011-01-21	2011	5	45	YA462
5.35	0.0	2011-01-21	2011	6	0	YA462
5.1	0.0	2011-01-21	2011	6	15	YA462
4.65	0.0	2011-01-21	2011	6	30	YA462
4.45	0.0	2011-01-21	2011	6	45	YA462
4.5	0.0	2011-01-21	2011	7	0	YA462
4.1	0.0	2011-01-21	2011	7	15	YA462
3.8	0.0	2011-01-21	2011	7	30	YA462
3.55	0.0	2011-01-21	2011	7	45	YA462
3.3	0.0	2011-01-21	2011	8	0	YA462
3.35	0.0	2011-01-21	2011	8	15	YA462
3.7	0.0	2011-01-21	2011	8	30	YA462
3.13	0.6000000000000001	2011-01-21	2011	8	45	YA462
2.8	0.0	2011-01-21	2011	9	0	YA462
2.3	0.0	2011-01-21	2011	9	15	YA462
2.3	0.0	2011-01-21	2011	9	30	YA462
2.3	0.7	2011-01-21	2011	9	45	YA462
2.3	1.0	2011-01-21	2011	10	0	YA462
2.3	1.3	2011-01-21	2011	10	15	YA462
2.3	1.6	2011-01-21	2011	10	30	YA462
2.3	1.9	2011-01-21	2011	10	45	YA462
2.3	2.2	2011-01-21	2011	11	0	YA462
2.3	2.5	2011-01-21	2011	11	15	YA462
2.3	2.8	2011-01-21	2011	11	30	YA462
2.3	3.1	2011-01-21	2011	11	45	YA462
2.3	3.4	2011-01-21	2011	12	0	YA462
2.3	3.7	2011-01-21	2011	12	15	YA462
2.3	4.0	2011-01-21	2011	12	30	YA462
2.3	4.3	2011-01-21	2011	12	45	YA462
2.3	4.6000000000000005	2011-01-21	2011	13	0	YA462
2.3	4.9	2011-01-21	2011	13	15	YA462
2.3	5.2	2011-01-21	2011	13	30	YA462
2.3	5.500000000000001	2011-01-21	2011	13	45	YA462
2.3	5.800000000000001	2011-01-21	2011	14	0	YA462
2.3	6.1000000000000005	2011-01-21	2011	14	15	YA462
2.3	6.4	2011-01-21	2011	14	30	YA462
2.3	6.7	2011-01-21	2011	14	45	YA462
2.3	7.000000000000001	2011-01-21	2011	15	0	YA462
2.3	7.300000000000001	2011-01-21	2011	15	15	YA462
2.3	7.6000000000000005	2011-01-21	2011	15	30	YA462
2.3	7.9	2011-01-21	2011	15	45	YA462
2.3	8.2	2011-01-21	2011	16	0	YA462
2.3	8.5	2011-01-21	2011	16	15	YA462
2.3	8.8	2011-01-21	2011	16	30	YA462
2.3	8.5	2011-01-21	2011	16	45	YA462
2.3	8.2	2011-01-21	2011	17	0	YA462
2.3	7.9	2011-01-21	2011	17	15	YA462
2.3	7.6000000000000005	2011-01-21	2011	17	30	YA462
2.3	7.300000000000001	2011-01-21	2011	17	45	YA462
2.3	7.000000000000001	2011-01-21	2011	18	0	YA462
2.3	6.7	2011-01-21	2011	18	15	YA462
2.3	6.4	2011-01-21	2011	18	30	YA462
2.3	6.1000000000000005	2011-01-21	2011	18	45	YA462
2.3	5.800000000000001	2011-01-21	2011	19	0	YA462
2.3	5.500000000000001	2011-01-21	2011	19	15	YA462
2.3	5.2	2011-01-21	2011	19	30	YA462
2.3	4.9	2011-01-21	2011	19	45	YA462
2.3	4.6000000000000005	2011-01-21	2011	20	0	YA462
2.3	4.3	2011-01-21	2011	20	15	YA462
2.3	4.0	2011-01-21	2011	20	30	YA462
2.3	3.7	2011-01-21	2011	20	45	YA462
2.3	3.4	2011-01-21	2011	21	0	YA462
2.3	3.1	2011-01-21	2011	21	15	YA462
2.3	2.8	2011-01-21	2011	21	30	YA462
2.3	2.5	2011-01-21	2011	21	45	YA462
2.3	2.2	2011-01-21	2011	22	0	YA462
2.3	1.9	2011-01-21	2011	22	15	YA462
2.3	1.6	2011-01-21	2011	22	30	YA462
2.3	1.3	2011-01-21	2011	22	45	YA462
2.3	1.0	2011-01-21	2011	23	0	YA462
2.3	0.7	2011-01-21	2011	23	15	YA462
2.3	0.0	2011-01-21	2011	23	30	YA462
2.8	0.0	2011-01-21	2011	23	45	YA462
3.25	0.0	2011-01-22	2011	0	0	YA462
3.75	0.0	2011-01-22	2011	0	15	YA462
4.05	0.0	2011-01-22	2011	0	30	YA462
4.55	0.0	2011-01-22	2011	0	45	YA462
4.7	0.0	2011-01-22	2011	1	0	YA462
4.6	0.0	2011-01-22	2011	1	15	YA462
5.35	0.0	2011-01-22	2011	1	30	YA462
5.6	0.0	2011-01-22	2011	1	45	YA462
5.35	0.0	2011-01-22	2011	2	0	YA462
5.3	0.0	2011-01-22	2011	2	15	YA462
5.075	0.0	2011-01-22	2011	2	30	YA462
5.375	0.0	2011-01-22	2011	2	45	YA462
5.375	0.0	2011-01-22	2011	3	0	YA462
5.325	0.0	2011-01-22	2011	3	15	YA462
5.325	0.0	2011-01-22	2011	3	30	YA462
4.652	0.0	2011-01-22	2011	3	45	YA462
4.755	0.0	2011-01-22	2011	4	0	YA462
5.475	0.0	2011-01-22	2011	4	15	YA462
5.775	0.0	2011-01-22	2011	4	30	YA462
5.8	0.0	2011-01-22	2011	4	45	YA462
5.85	0.0	2011-01-22	2011	5	0	YA462
5.4	0.0	2011-01-22	2011	5	15	YA462
5.8	0.0	2011-01-22	2011	5	30	YA462
5.2	0.0	2011-01-22	2011	5	45	YA462
4.8	0.0	2011-01-22	2011	6	0	YA462
4.85	0.0	2011-01-22	2011	6	15	YA462
4.6	0.0	2011-01-22	2011	6	30	YA462
4.65	0.0	2011-01-22	2011	6	45	YA462
4.4	0.0	2011-01-22	2011	7	0	YA462
3.85	0.0	2011-01-22	2011	7	15	YA462
3.8	0.0	2011-01-22	2011	7	30	YA462
3.6	0.0	2011-01-22	2011	7	45	YA462
3.75	0.0	2011-01-22	2011	8	0	YA462
3.05	0.0	2011-01-22	2011	8	15	YA462
2.95	0.0	2011-01-22	2011	8	30	YA462
2.7	0.0	2011-01-22	2011	8	45	YA462
2.45	0.0	2011-01-22	2011	9	0	YA462
2.3	0.0	2011-01-22	2011	9	15	YA462
2.1875	0.5	2011-01-22	2011	9	30	YA462
2.1535714285714285	0.6000000000000001	2011-01-22	2011	9	45	YA462
2.1589285714285715	0.9	2011-01-22	2011	10	0	YA462
2.164285714285714	1.2000000000000002	2011-01-22	2011	10	15	YA462
2.169642857142857	1.5	2011-01-22	2011	10	30	YA462
2.175	1.8000000000000003	2011-01-22	2011	10	45	YA462
2.180357142857143	2.1	2011-01-22	2011	11	0	YA462
2.1857142857142855	2.4	2011-01-22	2011	11	15	YA462
2.1910714285714286	2.7	2011-01-22	2011	11	30	YA462
2.196428571428571	3.0	2011-01-22	2011	11	45	YA462
2.2017857142857142	3.3	2011-01-22	2011	12	0	YA462
2.2071428571428573	3.6	2011-01-22	2011	12	15	YA462
2.2125	3.9	2011-01-22	2011	12	30	YA462
2.217857142857143	4.2	2011-01-22	2011	12	45	YA462
2.2232142857142856	4.5	2011-01-22	2011	13	0	YA462
2.2285714285714286	4.800000000000001	2011-01-22	2011	13	15	YA462
2.2339285714285713	5.1000000000000005	2011-01-22	2011	13	30	YA462
2.2392857142857143	5.4	2011-01-22	2011	13	45	YA462
2.244642857142857	5.7	2011-01-22	2011	14	0	YA462
2.25	6.000000000000001	2011-01-22	2011	14	15	YA462
2.255357142857143	6.300000000000001	2011-01-22	2011	14	30	YA462
2.2607142857142857	6.6000000000000005	2011-01-22	2011	14	45	YA462
2.2660714285714287	6.9	2011-01-22	2011	15	0	YA462
