sonde	lat	lon	name
AG005	5.6	-0.2	ACCRA
AD651	51.9	-176.6	ADAK
AA109	9.1	38.7	ADDIS_ABABA
AVJ2N	-25.4	-70	AGUA_VERDE
AH223	23	72.5	AHMEDABAD
AJ42Q	-27.9	114.7	AJANA
AK539	39.7	140.1	AKITA
ALJ82	82.6	-62.6	ALERT
AB12Q	-28.6	16.5	ALEXANDER_BAY
AL52M	-24	143.8	ALICE_SPRINGS
AA343	43.2	76.9	ALMA_ATA
AL945	45.1	-83.6	ALPENA
AM269	69.5	61.4	AMDERMA
AN761	61.2	-149.9	ANCHORAGE
AN438	37.4	126.9	ANYANG
XG082	82.3	9.5	ARCTICA_NP-06
XHJ86	86.3	-63.4	ARCTICA_NP-07
XM676	78.1	176.5	ARCTICA_NP-16
ARJ19	18.5	-66.8	ARECIBO
AFJ49	47.3	-54	ARGENTIA
AIJ6N	-65.2	-64.3	ARGENTINE_IS
AZ163	64.6	40.5	ARKHANGELSK
AS00Q	-8	-14	ASCENSION
AS07R	-7.9	12.4	ASCENSION
AS237	37.9	58.3	ASHKHABAD
AT138	38	23.6	ATHENS
AU63P	-37	175	AUCKLAND
AU930	30.4	-97.7	AUSTIN
1061	51.7	0.5	BADDOW
55039	48.8	2.3	BAGNEUX
BF416	16.4	120.6	BAGUIO
PLJ48	47.4	-70.5	BAIE ST PAUL  
BL964	64.3	-96	BAKER_LAKE
0240Q	-6.9	107.6	BANDOENG
BK314	13.7	100.6	BANGKOK
BI104	4.6	18.6	BANGUI
BSJ13	13.1	-59.6	BARBADOS
BW771	71.3	-156.8	BARROW
3939	39.4	-84.1	BATAVIA
4930	30.5	-92	BATON_ROUGE
BB17_	-70.4	23.3	BAUDOUIN
BY841	41.9	-111.4	BEAR_LAKE
BP440	40	116.3	BEIJING
BH148	46.7	21.2	BEKESCSABA
GEA7Q	-77.9	-38.6	BELGRANO
BE145	44.8	20.5	BEOGRAD
BJJ32	32.4	-64.7	BERMUDA
BV53Q	-37.3	144.6	BEVERIDGE
BOJ43	42.6	-71.3	BILLERICA
BGJ05	4.5	-74.2	BOGOTA
BM219	19	72.8	BOMBAY
BO42N	-24.6	113.6	BOOLATHANA
56J43	42.4	-71.2	BOSTON
BC840	40	-105	BOULDER
BD840	39.992	-105.269	BOULDER
BQ53P	-27.3	153	BRIBIE_ISLAND
BR52P	-27.5	152.9	BRISBANE
BU147	47.4	19	BUDAPEST
BAJ3M	-34.5	-58.5	BUENOS_AIRES
BN102	1.5	30.2	BUNIA
6063	57.7	3.5	BURGHEAD
BD88_	-80	-120	BYRD_STATION
CAJ2M	-23.2	-45.8	CACHOEIRA_PAULISTA
5130	30	31.2	CAIRO
CU322	23	88.6	CALCUTTA
CN53L	-34	150.7	CAMDEN
CI65K	-52.5	169.2	CAMPBELL_IS
CB53N	-35.32	149	CANBERRA
HT67K	-72.3	170.3	CAPE_HALLETT
CC929	28.4	-80.6	CAPE_KENNEDY
CF870	70.2	-125.6	CAPE_PARRY
CE669	68.8	179.5	CAPE_SCHMIDT
CT13M	-34.1	18.3	CAPETOWN
0751J	-11	142.4	CAPE_YORK
CV135	34.6	32.9	CAPE_ZEVGARI
CA033	33.6	-7.6	CASABLANCA
CW46O	-66.3	110.5	CASEY
CG443	43.8	125.3	CHANGCHUN
CY90P	-6.8	-79.8	CHICLAYO
RL052	51.6	-1.3	CHILTON
CM90R	-9.1	-78.6	CHIMBOTE
CX452	52	113.5	CHITA
9429	29.5	106.4	CHONGQING
GH64L	-43.6	172.8	CHRISTCHURCH
8701	1.9	-157.3	CHRISTMAS_IS
CL424	24.9	121.2	CHUNG-LI
CH958	58.8	-94.2	CHURCHILL
CRJ70	70.5	-68.6	CLYDE_RIVER
10928	28.2	-80.6	COCOA
CS31K	-12.2	96.8	COCOS IS 
CO764	64.9	-147.8	COLLEGE
11306	6.9	79.9	COLOMBO
CPJ3O	-36.6	-73	CONCEPCION
CD923	23	-82	CUBA
CR41R	-17.6	123.8	CURTIN_RAAFB
12439	39	121.6	DAIREN
DKA14	14.8	-18.4	DAKAR
DW41K	-12.4	130.9	DARWIN
DV36Q	-68.6	77.9	DAVIS
DT053	52.1	5.2	DE_BILT
DEJ6L	-63	-60.7	DECEPCION
DH328	28.6	77.2	DELHI
DY41O	-17.3	123.6	DERBY
DI373	73.5	80.4	DIKSON
DJ111	11.5	42.8	DJIBOUTI
13062	49	2.3	DOMONT
DB049	50.1	4.6	DOURBES
DU238	38.6	68.6	DUSHANBE
DS932	32.4	-99.7	DYESS
EG931	30.4	-86.7	EGLIN_AFB
EI764	64.7	-147.1	EIELSON
EI97N	-75.2	-77.2	EIGHTS
EA036	37.1	-6.7	EL_ARENOSILLO
EZ11J	-11.6	27.5	ELIZABETHVILLE
EL41Q	-17.6	133.5	ELLIOTT
ELA7P	-77.7	-41.1	ELLSWORTH
EOJ42	44.8	-71.1	ERROL
EU980	80	-85.9	EUREKA
FF051	51.7	-1.8	FAIRFORD
1461Q	-18	178.2	FIJI
XC982	75.9	-124.3	FLETCHERS_ICE
FZA0M	-3.7	-38.8	FORTALEZA
FA109	9.2	18.4	FORT_ARCHAMBAULT
FCJ58	58.1	-68.4	FORT_CHIMO
FMJ40	40.4	-74.1	FORT_MONMOUTH
FN864	64.9	-125.5	FORT_NORMAN
15065	57.6	-2.1	FRASERBURGH
FR048	48.1	7.6	FREIBURG
FBJ63	63.8	-68.6	FROBISHER_BAY
16541	40.6	139.9	FUKAURA
GA762	62.4	-145.2	GAKONA
GY042	47.3	3.1	GARCHY
GV044	44.6	9	GENOVA
GM037	37.9	14	GIBILMANNA
GOJ69	69.3	-53.5	GODHAVN
GSJ53	53.3	-60.8	GOOSE_BAY
GR160	60.3	29.4	GORKOVSKAYA
GK156	56.1	44.3	GORKY
GR13L	-33.3	26.5	GRAHAMSTOWN
GB926	26.6	-78.2	GRAND_BAHAMA
GZ146	47.1	15.5	GRAZ
GE51M	-13.9	136.4	GROOTE_EYLANDT
17513	13.5	144.9	GUAM
GU513	13.6	144.9	GUAM
GU421	23.1	113.4	GUANGZHOU
HA132	32.8	35	HAIFA
HC420	20	110.3	HAIKOU
HA419	18.3	109.3	HAINAN
HBA7N	-75.5	-26.6	HALLEY_BAY
19432	30.7	114.3	HANKOW
HNJ44	43.7	-72.2	HANOVER
HAJ43	42.45	-71.2	HANSCOM
HAJ45	42.95	-76.87	HANSCOM
HE13N	-34.4	19.2	HERMANUS
20536	36.4	140.6	HIRAISO
HO54K	-42.9	147.2	HOBART
HL50K	-2.5	140.8	HOLLANDIA
HK423	22.3	114.2	HONG_KONG
HU91K	-12	-75.3	HUANCAYO
HY317	17.3	78.5	HYDERABAD
IB007	7.4	3.9	IBADAN
IC437	37.1	127.5	I-CHEON
IF843	43.8	-112.7	IDAHO_FALLS
ILJ1P	-17.4	-71.2	ILO
IL008	8.5	4.5	ILORIN
IN056	57.4	-4.2	INVERNESS
IR352	52.5	104	IRKUTSK
IS233	33.8	72.9	ISLAMABAD
IS141	41.1	29	ISTANBUL
JA918	18	-76.9	JAMAICA
JB57N	-74.6	164.2	JANG_BOGO
JJ433	33.4	126.3	JEJU
JI91J	-12	-76.8	JICAMARCA
JM91J	-12	-76.8	JICAMARCA
JO12O	-26.1	28.1	JOHANNESBURG
JUJ1N	-15.5	-70.2	JULIACA
JR055	54.6	13.4	JULIUSRUH/RUGEN
KL154	54.7	20.6	KALININGRAD
KK41P	-17.4	130.8	KALKARINGI
22532	35.6	139.6	KAMINOGE
KA225	25	67.1	KARACHI
KR250	49.8	73.1	KARAGADA
KG24R	-49.4	70.3	KERGUELEN
KC62R	-29.2	-177.9	KERMADEC
KB548	48.5	135.1	KHABAROVSK
23115	15.5	32.6	KHARTOUM
BT280	80.6	58	KHEYSA_IS
KV151	50.5	30.5	KIEV
KS759	58.7	-156.6	KING_SALMON
LB10M	-4.5	15.2	KINSHASA_BINZA
KR835	35.1	-106.6	KIRTLAND_AFB
KI167	67.8	20.4	KIRUNA
KI100	0	34.6	KISUMU
OS059	60	11.1	KJELLER
24064	47.7	11.4	KOCHEL
KO310	10.2	77.5	KODAIKANAL
KD758	57.8	-152.4	KODIAK
TO535	35.7	139.5	KOKUBUNJI
TO536	35.7	139.5	KOKUBUNJI
KJ609	9	167.2	KWAJALEIN
LC058	53	-2	LANCASTER
LN047	48.5	-3.3	LANNION
27336	36.1	103.8	LANZHOU
LPJ1O	-16.5	-68.1	LA_PAZ
LPJ3M	-34.9	-57.9	LA_PLATA
LQJ2K	-22.1	-65.6	LA_QUIACA
LR22J	-21.1	55.9	LA_REUNION
LT42P	-27	123.5	LAVERTON
LM42B	-21.9	114	LEARMONTH
LM42J	-21	115	LEARMONTH
LD160	60	30.7	LENINGRAD
28411	11	125	LEYTE
LI050	51.6	10.1	LINDAU
LE038	38.7	-9.3	LISBONNE
LA77Q	-78.2	-162.2	LITTLE_AMERICA
LG52L	-23.4	143.8	LONGUACH
LG178	78.2	15.9	LONGYEARBYEN
MM168	68	33	LOPARSKAYA
29329	29.5	103.7	LOSHAN
LV12P	-28.5	21.2	LOUISVALE
LO168	68	35	LOVOZERO
LU165	65.6	22.1	LULEA
LW10K	-2.3	28.8	LWIRO
LY164	64.6	18.8	LYCKSELE
LR51Q	-18	144.9	LYND_RIVER
MC422	22.2	113.6	MACAU
MQ55M	-54.5	159	MACQUARIE_IS
MU12K	-22.4	26.5	MADIMBU
MD313	13.1	80.3	MADRAS
MG560	60	151	MAGADAN
3040N	-5.2	119.5	MAKASSAR
MN414	14.6	121.1	MANILA
ML449	49.6	117.5	MANZHOULI
MR14O	-46.9	37.9	MARION_IS
MA720	20.8	-156.5	MAUI
MW26P	-67.6	62.9	MAWSON
MYJ43	42.4	-71.4	MAYNARD
ME855	54.6	-113.3	MEANOOK
31534	35.6	139.7	MEGURO
MX919	19.4	-99.7	MEXICO_CITY
MZ152	52.2	21.2	MIEDZESZYN
