date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2013-06-18	-0.9999999999999999	2.0	2.0	AT138	IS141	2013.0
2013-06-19	0.4471549842038579	3.0	3.0	AT138	IS141	2013.0
2013-07-09		1.0	1.0	AT138	IS141	2013.0
2013-08-03	0.8309908533290428	4.0	4.0	AT138	IS141	2013.0
2013-08-04	0.4564946456859876	19.0	19.0	AT138	IS141	2013.0
2013-08-05	0.8969099811015525	11.0	11.0	AT138	IS141	2013.0
2013-08-06	0.7664419634430689	15.0	15.0	AT138	IS141	2013.0
2013-08-07	0.9395303909514628	20.0	20.0	AT138	IS141	2013.0
2013-08-08	0.8931532401241028	15.0	15.0	AT138	IS141	2013.0
2013-08-09	0.8892725599914117	13.0	13.0	AT138	IS141	2013.0
2013-08-10	0.831914203821494	17.0	17.0	AT138	IS141	2013.0
2013-08-11	0.9250349409138962	16.0	16.0	AT138	IS141	2013.0
2013-08-12	0.9469381301903109	3.0	3.0	AT138	IS141	2013.0
2013-08-15		1.0	1.0	AT138	IS141	2013.0
2013-08-21	0.9338393050570807	5.0	5.0	AT138	IS141	2013.0
2013-08-22	0.9818478289601078	11.0	11.0	AT138	IS141	2013.0
2013-08-23	0.9664988669376451	14.0	14.0	AT138	IS141	2013.0
2013-08-24	0.954927778593512	15.0	15.0	AT138	IS141	2013.0
2013-08-25	0.9307154450472334	9.0	9.0	AT138	IS141	2013.0
2013-08-26	0.919332413760244	7.0	7.0	AT138	IS141	2013.0
2013-08-27	0.9876782031878015	10.0	10.0	AT138	IS141	2013.0
2013-09-10	0.9604617432800168	15.0	15.0	AT138	IS141	2013.0
2013-09-11	0.8667873057785179	5.0	5.0	AT138	IS141	2013.0
2013-09-14		1.0	1.0	AT138	IS141	2013.0
2014-02-13	0.9526430793767544	24.0	24.0	AT138	IS141	2014.0
2014-02-14	0.9678048459152699	22.0	22.0	AT138	IS141	2014.0
2014-02-15	0.9564421558218137	24.0	24.0	AT138	IS141	2014.0
2014-02-16	0.9192656396539534	24.0	24.0	AT138	IS141	2014.0
2014-02-17	0.9115763484253476	24.0	24.0	AT138	IS141	2014.0
2014-02-18	0.8785389351998675	24.0	24.0	AT138	IS141	2014.0
2014-02-19	0.9119945353262313	23.0	23.0	AT138	IS141	2014.0
2014-02-20	0.8651719716528106	24.0	24.0	AT138	IS141	2014.0
2014-02-21	0.858120739068205	24.0	24.0	AT138	IS141	2014.0
2014-02-22	0.8733099759949831	24.0	24.0	AT138	IS141	2014.0
2014-02-23	0.8934893182922001	24.0	24.0	AT138	IS141	2014.0
2014-02-24	0.8896625633635024	24.0	24.0	AT138	IS141	2014.0
2014-02-25	0.8915511167937573	24.0	24.0	AT138	IS141	2014.0
2014-02-26	0.8583640082419136	24.0	24.0	AT138	IS141	2014.0
2014-02-27	0.879731372151006	24.0	24.0	AT138	IS141	2014.0
2014-02-28	0.8592127763340227	24.0	24.0	AT138	IS141	2014.0
2014-03-01	0.9620737735720839	24.0	24.0	AT138	IS141	2014.0
2014-03-02	0.09715777162112038	3.0	3.0	AT138	IS141	2014.0
2014-03-06	1.0	2.0	2.0	AT138	IS141	2014.0
2014-03-07	0.9434806764106466	16.0	16.0	AT138	IS141	2014.0
2014-03-08	0.9526160216111228	24.0	24.0	AT138	IS141	2014.0
2014-03-09	0.9255229304814526	24.0	24.0	AT138	IS141	2014.0
2014-03-10	0.9458639189122511	24.0	24.0	AT138	IS141	2014.0
2014-03-11	0.9221333540999895	24.0	24.0	AT138	IS141	2014.0
2014-03-12	0.8924988483172533	24.0	24.0	AT138	IS141	2014.0
