date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2002-02-26	0.830203226090507	13.0	24.0	AT138	VT139	2002.0
2002-02-27	0.6984798929171266	13.0	24.0	AT138	VT139	2002.0
2002-02-28	0.8035579039348962	13.0	24.0	AT138	VT139	2002.0
2002-03-01	0.8714902187235786	13.0	24.0	AT138	VT139	2002.0
2002-03-02	0.9692155415236772	13.0	24.0	AT138	VT139	2002.0
2002-03-03	0.9202132798016132	13.0	24.0	AT138	VT139	2002.0
2002-03-04	0.8625911255001807	13.0	24.0	AT138	VT139	2002.0
2002-03-05	0.9153781376239273	13.0	24.0	AT138	VT139	2002.0
2002-03-06	0.9183747551007523	13.0	24.0	AT138	VT139	2002.0
2002-03-07	0.8462151601819717	13.0	24.0	AT138	VT139	2002.0
2002-03-08	0.7746885250284027	13.0	24.0	AT138	VT139	2002.0
2002-03-09	0.9389255287535562	13.0	24.0	AT138	VT139	2002.0
2002-03-10	0.8543199906598915	13.0	24.0	AT138	VT139	2002.0
2002-03-11	0.8721126020848252	13.0	23.0	AT138	VT139	2002.0
2002-03-12	0.9335884506433415	13.0	24.0	AT138	VT139	2002.0
2002-03-13	0.8813478366882257	13.0	24.0	AT138	VT139	2002.0
2002-03-14	0.8291124462009961	13.0	24.0	AT138	VT139	2002.0
2002-03-15	0.9183257187211815	13.0	24.0	AT138	VT139	2002.0
2002-03-16	0.9191382569215389	12.0	21.0	AT138	VT139	2002.0
2002-03-17		0.0	0.0	AT138	VT139	2002.0
2002-03-18	0.9227484969088616	8.0	15.0	AT138	VT139	2002.0
2002-03-19	0.9222982828265344	13.0	24.0	AT138	VT139	2002.0
2002-03-20	0.7520362431335282	13.0	24.0	AT138	VT139	2002.0
2002-03-21	0.8817576341150626	13.0	24.0	AT138	VT139	2002.0
2002-03-22	0.6690684100678392	13.0	24.0	AT138	VT139	2002.0
2002-03-23	0.8208022374190027	13.0	24.0	AT138	VT139	2002.0
2002-03-24	0.867303321029392	13.0	24.0	AT138	VT139	2002.0
2002-03-25	0.9865345013263648	13.0	24.0	AT138	VT139	2002.0
2002-03-26	0.9508497190458362	13.0	24.0	AT138	VT139	2002.0
2002-03-27	0.8313677027070787	13.0	24.0	AT138	VT139	2002.0
2002-03-28	0.9104726014487157	13.0	24.0	AT138	VT139	2002.0
2002-03-29	0.7436911802510905	13.0	24.0	AT138	VT139	2002.0
2002-03-30	0.8537380628241111	13.0	24.0	AT138	VT139	2002.0
2002-03-31	0.9163753249748526	12.0	22.0	AT138	VT139	2002.0
2002-04-01	0.9170349319801497	13.0	24.0	AT138	VT139	2002.0
2002-04-02	0.9415307659134011	13.0	24.0	AT138	VT139	2002.0
2002-04-03	0.9240244242665757	13.0	24.0	AT138	VT139	2002.0
2002-04-04	0.9460038204141332	13.0	24.0	AT138	VT139	2002.0
2002-04-05	0.9826153898611366	13.0	24.0	AT138	VT139	2002.0
2002-04-06	0.9691108257138631	13.0	24.0	AT138	VT139	2002.0
2002-04-07	0.8720368711021667	12.0	22.0	AT138	VT139	2002.0
2002-04-08	0.9076517566664829	13.0	24.0	AT138	VT139	2002.0
2002-04-09	0.9005715030040241	13.0	24.0	AT138	VT139	2002.0
2002-04-10	0.9522535456874188	13.0	24.0	AT138	VT139	2002.0
2002-04-11	0.9670330835326886	5.0	9.0	AT138	VT139	2002.0
2002-04-12	0.9223717241288241	3.0	5.0	AT138	VT139	2002.0
2002-04-13		1.0	1.0	AT138	VT139	2002.0
2002-04-14	0.8700786792348432	2.0	3.0	AT138	VT139	2002.0
2002-04-15	0.9219295996549284	10.0	17.0	AT138	VT139	2002.0
2002-04-16	0.8878720055972292	13.0	24.0	AT138	VT139	2002.0
2002-04-17	0.9599198487921544	13.0	23.0	AT138	VT139	2002.0
2002-04-18	0.9832906913825861	13.0	23.0	AT138	VT139	2002.0
2002-04-19	0.8367938326456958	13.0	24.0	AT138	VT139	2002.0
2002-04-20	0.9210613037451449	12.0	21.0	AT138	VT139	2002.0
2002-04-21	0.9375495534808398	13.0	24.0	AT138	VT139	2002.0
2002-04-22	0.8848250474476671	13.0	24.0	AT138	VT139	2002.0
2002-04-23	0.9427751091908129	13.0	24.0	AT138	VT139	2002.0
2002-04-24	0.8171292892037398	13.0	24.0	AT138	VT139	2002.0
2002-04-25	0.9620984348206604	13.0	24.0	AT138	VT139	2002.0
2002-04-26	0.7442778868119984	13.0	24.0	AT138	VT139	2002.0
2002-04-27	0.758168174698754	13.0	24.0	AT138	VT139	2002.0
2002-04-28	0.9628459016148594	13.0	24.0	AT138	VT139	2002.0
2002-04-29	0.8875274463284591	13.0	24.0	AT138	VT139	2002.0
2002-04-30	0.9636028994677737	13.0	24.0	AT138	VT139	2002.0
2002-05-01	0.5966794873518141	13.0	24.0	AT138	VT139	2002.0
2002-05-02	0.9304818625507424	13.0	24.0	AT138	VT139	2002.0
2002-05-03	0.9138694107422319	13.0	24.0	AT138	VT139	2002.0
2002-05-04	0.8317450239968488	13.0	24.0	AT138	VT139	2002.0
2002-05-05	0.9218195728192345	13.0	22.0	AT138	VT139	2002.0
2002-05-06	0.8717734373752067	13.0	24.0	AT138	VT139	2002.0
2002-05-07	0.7450151564612859	13.0	24.0	AT138	VT139	2002.0
2002-05-08	0.6825102912559103	13.0	24.0	AT138	VT139	2002.0
2002-05-09	0.4476780677485316	13.0	24.0	AT138	VT139	2002.0
2002-05-10	0.7510260593851361	5.0	8.0	AT138	VT139	2002.0
2002-05-14	0.9632491971252141	8.0	15.0	AT138	VT139	2002.0
2002-05-15	0.6240504707370794	13.0	24.0	AT138	VT139	2002.0
2002-05-16	0.8798918699326141	13.0	23.0	AT138	VT139	2002.0
2002-05-17	0.8629780322811447	10.0	19.0	AT138	VT139	2002.0
2002-05-18	0.8605519334938149	13.0	23.0	AT138	VT139	2002.0
2002-05-19	0.8754985135883113	12.0	22.0	AT138	VT139	2002.0
2002-05-20	0.9344814053399677	13.0	22.0	AT138	VT139	2002.0
2002-05-21	0.8561070234178237	13.0	21.0	AT138	VT139	2002.0
2002-05-22	0.957258466083904	13.0	24.0	AT138	VT139	2002.0
2002-05-23	0.8735731023285391	13.0	24.0	AT138	VT139	2002.0
2002-05-24	0.9622759692034344	13.0	24.0	AT138	VT139	2002.0
2002-05-25	0.9193005973063902	13.0	24.0	AT138	VT139	2002.0
