date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2006-03-29	0.9765171075317555	21.0	21.0	CB53N	CN53L	2006.0
2006-03-30	0.9260443218052797	19.0	19.0	CB53N	CN53L	2006.0
2006-03-31	0.9763801006446731	24.0	24.0	CB53N	CN53L	2006.0
2006-04-01	0.9731491448284022	21.0	21.0	CB53N	CN53L	2006.0
2006-04-02	0.9537403479085554	22.0	22.0	CB53N	CN53L	2006.0
2006-04-03	0.9816949383329009	22.0	22.0	CB53N	CN53L	2006.0
2006-04-04	0.9580619372897893	23.0	23.0	CB53N	CN53L	2006.0
2006-04-05	0.9742483126589437	19.0	19.0	CB53N	CN53L	2006.0
2006-04-06	0.9874666393500127	22.0	22.0	CB53N	CN53L	2006.0
2006-04-07	0.9821744918970062	20.0	20.0	CB53N	CN53L	2006.0
2006-04-08	0.9735607491098575	23.0	23.0	CB53N	CN53L	2006.0
2006-04-09	0.965787422589945	23.0	23.0	CB53N	CN53L	2006.0
2006-04-10	0.9912712199794689	20.0	20.0	CB53N	CN53L	2006.0
2006-04-11	0.9857700258538852	23.0	23.0	CB53N	CN53L	2006.0
2006-04-12	0.989146250590648	23.0	23.0	CB53N	CN53L	2006.0
2006-04-13	0.9830956045193086	19.0	19.0	CB53N	CN53L	2006.0
2006-04-14	0.9772195677089992	16.0	16.0	CB53N	CN53L	2006.0
2006-04-15	0.9929255668676956	12.0	12.0	CB53N	CN53L	2006.0
2006-04-16	0.9513673130205558	19.0	19.0	CB53N	CN53L	2006.0
2006-04-17	0.9806808432221477	24.0	24.0	CB53N	CN53L	2006.0
2006-04-18	0.9847120299447136	22.0	22.0	CB53N	CN53L	2006.0
2006-04-19	0.980216749137345	20.0	20.0	CB53N	CN53L	2006.0
2006-04-20	0.9746157599024445	22.0	22.0	CB53N	CN53L	2006.0
2006-04-21	0.9519445765326304	22.0	22.0	CB53N	CN53L	2006.0
2006-04-22	0.9727623937682529	21.0	21.0	CB53N	CN53L	2006.0
2006-04-23	0.9531912239023425	20.0	20.0	CB53N	CN53L	2006.0
2006-04-24	0.9776440608327874	24.0	24.0	CB53N	CN53L	2006.0
2006-04-25	0.9843006351881265	21.0	21.0	CB53N	CN53L	2006.0
2006-04-26	0.9729032999933752	23.0	23.0	CB53N	CN53L	2006.0
2006-04-27	0.9873055206275707	21.0	21.0	CB53N	CN53L	2006.0
2006-04-28	0.9850866409545889	20.0	20.0	CB53N	CN53L	2006.0
2006-04-29	0.9854024785443628	24.0	24.0	CB53N	CN53L	2006.0
2006-04-30	0.9660799726061506	21.0	21.0	CB53N	CN53L	2006.0
2006-05-01	0.9769156503686913	22.0	22.0	CB53N	CN53L	2006.0
2006-05-02	0.985685281012351	21.0	21.0	CB53N	CN53L	2006.0
2006-05-03	0.975770868123446	21.0	21.0	CB53N	CN53L	2006.0
2006-05-04	0.9296753666934743	19.0	19.0	CB53N	CN53L	2006.0
2006-05-05	0.9784946428840573	22.0	22.0	CB53N	CN53L	2006.0
2006-05-06	0.9955371846215081	20.0	20.0	CB53N	CN53L	2006.0
2006-05-07	0.8517566921183878	23.0	23.0	CB53N	CN53L	2006.0
2006-05-08	0.9664898048822681	23.0	23.0	CB53N	CN53L	2006.0
2006-05-09	0.8988898197519731	23.0	23.0	CB53N	CN53L	2006.0
2006-05-10	0.9393689794639064	21.0	21.0	CB53N	CN53L	2006.0
2006-05-11	0.9641713437672319	24.0	24.0	CB53N	CN53L	2006.0
2006-05-12	0.97298935191853	22.0	22.0	CB53N	CN53L	2006.0
2006-05-13	0.965360133305062	22.0	22.0	CB53N	CN53L	2006.0
2006-05-14	0.9768785353469983	22.0	22.0	CB53N	CN53L	2006.0
2006-05-15	0.9399646158320134	24.0	24.0	CB53N	CN53L	2006.0
2006-05-16	0.8944136885015977	22.0	22.0	CB53N	CN53L	2006.0
2006-05-17	0.945842724170116	22.0	22.0	CB53N	CN53L	2006.0
2006-05-18	0.9556259165739189	20.0	20.0	CB53N	CN53L	2006.0
2006-05-19	0.8879590228836962	22.0	22.0	CB53N	CN53L	2006.0
2006-05-20	0.8476137625388654	20.0	20.0	CB53N	CN53L	2006.0
2006-05-21	0.9647003157751632	22.0	22.0	CB53N	CN53L	2006.0
2006-05-22	0.9355206170253773	21.0	21.0	CB53N	CN53L	2006.0
2006-05-23	0.9791091696334344	21.0	21.0	CB53N	CN53L	2006.0
2006-05-24	0.9351979231014588	21.0	21.0	CB53N	CN53L	2006.0
2006-05-25	0.9372768067338136	17.0	17.0	CB53N	CN53L	2006.0
2006-05-26	0.921671986526795	20.0	20.0	CB53N	CN53L	2006.0
2007-02-10	0.9596854961556064	7.0	7.0	CB53N	CN53L	2007.0
2007-02-11	0.9758148419220255	15.0	15.0	CB53N	CN53L	2007.0
2007-02-12	0.8945433322525996	15.0	15.0	CB53N	CN53L	2007.0
2007-02-13	0.8854659004358704	18.0	18.0	CB53N	CN53L	2007.0
2007-02-14	0.8806930874042158	15.0	15.0	CB53N	CN53L	2007.0
2007-02-15	0.8534642690698392	17.0	17.0	CB53N	CN53L	2007.0
2007-02-16	0.9116911051803198	16.0	16.0	CB53N	CN53L	2007.0
2007-02-17	0.9364139204378917	21.0	21.0	CB53N	CN53L	2007.0
2007-02-18	0.8993813196487944	14.0	14.0	CB53N	CN53L	2007.0
2007-02-19	0.9510642434793269	15.0	15.0	CB53N	CN53L	2007.0
2007-02-20	0.9063869946939951	19.0	19.0	CB53N	CN53L	2007.0
2007-02-21	0.9037702174160354	19.0	19.0	CB53N	CN53L	2007.0
2007-02-22	0.9511340190416403	17.0	17.0	CB53N	CN53L	2007.0
