date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2013-02-16	0.5561913339334541	14.0	36.0	CL424	OK426	2013.0
2013-03-01	0.7851734574126444	4.0	9.0	CL424	OK426	2013.0
2013-03-02	0.7247263786406243	12.0	36.0	CL424	OK426	2013.0
2013-03-03	0.8439741563201317	15.0	46.0	CL424	OK426	2013.0
2013-03-04	0.7424361026438461	17.0	50.0	CL424	OK426	2013.0
2013-03-05	0.6819616860871682	16.0	32.0	CL424	OK426	2013.0
2013-03-06	0.7765745506434291	14.0	28.0	CL424	OK426	2013.0
2013-03-07	0.908289946137655	18.0	50.0	CL424	OK426	2013.0
2013-03-08	0.847255300031357	14.0	33.0	CL424	OK426	2013.0
2013-03-09	0.5986898540405879	13.0	36.0	CL424	OK426	2013.0
2013-03-10	0.7786338196479644	16.0	42.0	CL424	OK426	2013.0
2013-03-11	0.8442650586220196	17.0	50.0	CL424	OK426	2013.0
2013-03-12	0.8288574856095143	18.0	50.0	CL424	OK426	2013.0
2013-03-13	0.8546940348857909	15.0	41.0	CL424	OK426	2013.0
2013-03-14	0.8606611151340967	17.0	47.0	CL424	OK426	2013.0
2013-03-15	0.7519334393517687	16.0	44.0	CL424	OK426	2013.0
2013-03-16	0.8636731894332882	15.0	34.0	CL424	OK426	2013.0
2013-03-17	0.8011951595801676	15.0	44.0	CL424	OK426	2013.0
2013-03-18	0.8903003649558267	14.0	33.0	CL424	OK426	2013.0
2013-03-19	0.7817015229104891	14.0	40.0	CL424	OK426	2013.0
2013-03-20	0.7893306716312204	14.0	29.0	CL424	OK426	2013.0
2013-03-21	0.9657811619243809	11.0	32.0	CL424	OK426	2013.0
2013-03-22	0.6753091593804073	15.0	34.0	CL424	OK426	2013.0
2013-03-23	0.8341209150009546	13.0	37.0	CL424	OK426	2013.0
2013-03-24	0.6293739250264262	13.0	35.0	CL424	OK426	2013.0
2013-03-25	0.6249872950530848	5.0	18.0	CL424	OK426	2013.0
2013-03-27		1.0	1.0	CL424	OK426	2013.0
2013-03-28	-0.38606871331273196	1.0	3.0	CL424	OK426	2013.0
2013-04-02	0.6498095121059183	6.0	20.0	CL424	OK426	2013.0
2013-04-03	0.6850312590249447	14.0	42.0	CL424	OK426	2013.0
2013-04-04	0.7109334601094749	13.0	33.0	CL424	OK426	2013.0
2013-04-05	0.7111700406746837	17.0	46.0	CL424	OK426	2013.0
2013-04-06	0.6477384627269334	18.0	48.0	CL424	OK426	2013.0
2013-04-07	0.48006189489277734	15.0	32.0	CL424	OK426	2013.0
2013-04-08	0.8527823143424194	11.0	19.0	CL424	OK426	2013.0
2013-04-09	0.6697978092069496	18.0	46.0	CL424	OK426	2013.0
2013-04-10	0.6850502603614733	15.0	29.0	CL424	OK426	2013.0
2013-04-11	0.8372497810300528	14.0	31.0	CL424	OK426	2013.0
2013-04-12	0.8143356118705245	14.0	36.0	CL424	OK426	2013.0
2013-04-13	0.6020376151458209	11.0	31.0	CL424	OK426	2013.0
2013-04-14	0.689464866838368	13.0	30.0	CL424	OK426	2013.0
2013-04-15	0.8017729582154677	11.0	25.0	CL424	OK426	2013.0
2013-04-16	0.6108070727818113	17.0	43.0	CL424	OK426	2013.0
2013-04-17	0.6815766084871847	13.0	27.0	CL424	OK426	2013.0
2013-04-18	0.8811232021329557	15.0	39.0	CL424	OK426	2013.0
2013-04-19	0.6712044384732518	23.0	72.0	CL424	OK426	2013.0
2013-04-20	0.77727879959325	21.0	51.0	CL424	OK426	2013.0
2013-04-21	0.7615354257907613	22.0	65.0	CL424	OK426	2013.0
2013-04-22	0.7434859190726706	22.0	71.0	CL424	OK426	2013.0
2013-04-23	0.8697510168942971	19.0	52.0	CL424	OK426	2013.0
2013-04-24	0.9287032300714321	19.0	58.0	CL424	OK426	2013.0
2013-04-25	0.878879724559659	22.0	63.0	CL424	OK426	2013.0
2013-04-26	0.8195570590804895	18.0	50.0	CL424	OK426	2013.0
2013-04-27	0.8297761559954306	21.0	63.0	CL424	OK426	2013.0
2013-04-28	0.7463149519658695	20.0	55.0	CL424	OK426	2013.0
2013-04-29	0.6963495238005795	2.0	6.0	CL424	OK426	2013.0
2013-05-03	0.43180429694158373	16.0	48.0	CL424	OK426	2013.0
2013-05-04	0.6508711402501363	24.0	63.0	CL424	OK426	2013.0
2013-05-05	0.67793325878039	18.0	47.0	CL424	OK426	2013.0
2013-05-06	0.9016791836193004	18.0	45.0	CL424	OK426	2013.0
2013-05-07	0.9249901786826793	15.0	44.0	CL424	OK426	2013.0
2013-05-08	0.8546154333225972	21.0	51.0	CL424	OK426	2013.0
2013-05-09	0.8310628278193483	18.0	45.0	CL424	OK426	2013.0
2013-05-10	0.5315990505722065	19.0	49.0	CL424	OK426	2013.0
2013-05-11	0.8108562537914659	15.0	51.0	CL424	OK426	2013.0
2013-05-12	0.9232306945025331	19.0	47.0	CL424	OK426	2013.0
2013-05-13		0.0	0.0	CL424	OK426	2013.0
2013-05-14		0.0	0.0	CL424	OK426	2013.0
2013-05-15		1.0	2.0	CL424	OK426	2013.0
2013-05-16	0.9778295024838037	4.0	6.0	CL424	OK426	2013.0
2013-05-17		1.0	1.0	CL424	OK426	2013.0
2013-05-19		1.0	1.0	CL424	OK426	2013.0
2013-05-20	0.9293304142533036	3.0	5.0	CL424	OK426	2013.0
2013-05-23	0.43720885950310845	14.0	32.0	CL424	OK426	2013.0
2013-05-24	0.7135292125293249	17.0	51.0	CL424	OK426	2013.0
2013-05-25	0.7911015825025378	18.0	47.0	CL424	OK426	2013.0
2013-05-26	0.7676345252271852	20.0	41.0	CL424	OK426	2013.0
