date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
1998-12-10	1.0	2.0	2.0	CO764	GA762	1998.0
1998-12-11		1.0	1.0	CO764	GA762	1998.0
1998-12-12	0.9999999999999998	2.0	2.0	CO764	GA762	1998.0
1998-12-13		0.0	0.0	CO764	GA762	1998.0
1998-12-14		0.0	0.0	CO764	GA762	1998.0
1998-12-15	0.963328564425991	4.0	5.0	CO764	GA762	1998.0
1998-12-16	-1.0	2.0	2.0	CO764	GA762	1998.0
1998-12-17	0.9421384325340034	5.0	6.0	CO764	GA762	1998.0
1998-12-18	0.9361211900377074	5.0	9.0	CO764	GA762	1998.0
1998-12-19	0.5205056056527897	3.0	4.0	CO764	GA762	1998.0
1998-12-20	0.12354727229760447	2.0	4.0	CO764	GA762	1998.0
1998-12-21	0.9389244048975169	4.0	4.0	CO764	GA762	1998.0
1998-12-22		0.0	0.0	CO764	GA762	1998.0
1998-12-23		1.0	1.0	CO764	GA762	1998.0
1999-01-04	1.0	2.0	2.0	CO764	GA762	1999.0
1999-01-05	0.9632001703897767	9.0	15.0	CO764	GA762	1999.0
1999-01-06		1.0	1.0	CO764	GA762	1999.0
1999-01-08	0.9789549691455338	7.0	15.0	CO764	GA762	1999.0
1999-01-09	-0.5426079943348943	9.0	12.0	CO764	GA762	1999.0
1999-01-10	0.8204967967613963	4.0	13.0	CO764	GA762	1999.0
1999-01-11	0.9516117691877404	10.0	29.0	CO764	GA762	1999.0
1999-01-12	0.9362038342301798	9.0	22.0	CO764	GA762	1999.0
1999-01-13	0.9346795043744538	9.0	25.0	CO764	GA762	1999.0
1999-01-14	0.8610935853517181	9.0	24.0	CO764	GA762	1999.0
1999-01-15	0.9818962069457727	7.0	19.0	CO764	GA762	1999.0
1999-01-16	0.9755414286385949	11.0	31.0	CO764	GA762	1999.0
1999-01-17	0.9857901046876264	12.0	31.0	CO764	GA762	1999.0
1999-01-18	0.9900023225371687	13.0	40.0	CO764	GA762	1999.0
1999-01-19	0.976545502845829	12.0	37.0	CO764	GA762	1999.0
1999-01-20	0.953081533133113	13.0	42.0	CO764	GA762	1999.0
1999-01-21	0.9601814448160121	12.0	34.0	CO764	GA762	1999.0
1999-01-22	0.8884492636216751	10.0	26.0	CO764	GA762	1999.0
1999-01-23	0.6302494905431959	3.0	7.0	CO764	GA762	1999.0
1999-01-24	-0.816475528751673	2.0	4.0	CO764	GA762	1999.0
1999-01-25	0.8958106364417314	11.0	32.0	CO764	GA762	1999.0
1999-01-26	0.9274813162493081	12.0	39.0	CO764	GA762	1999.0
1999-01-27	0.9461225467221465	4.0	11.0	CO764	GA762	1999.0
1999-03-13	0.900959874381964	9.0	24.0	CO764	GA762	1999.0
1999-03-14	0.9616421366517107	11.0	33.0	CO764	GA762	1999.0
1999-03-15	0.5742492816203754	4.0	10.0	CO764	GA762	1999.0
1999-03-30	0.5980931187258491	5.0	16.0	CO764	GA762	1999.0
1999-04-01	0.5915779207339118	6.0	23.0	CO764	GA762	1999.0
1999-04-02	0.9290290224370003	8.0	27.0	CO764	GA762	1999.0
1999-04-05		0.0	0.0	CO764	GA762	1999.0
1999-04-07	0.6813572271074395	13.0	27.0	CO764	GA762	1999.0
1999-04-08	0.9130954633720282	10.0	27.0	CO764	GA762	1999.0
1999-04-09	0.8050817280294758	15.0	52.0	CO764	GA762	1999.0
1999-04-10	0.22560728549735182	12.0	31.0	CO764	GA762	1999.0
1999-04-11	0.6120748990812637	13.0	39.0	CO764	GA762	1999.0
1999-04-12	0.9592765343200192	12.0	40.0	CO764	GA762	1999.0
1999-04-13	0.9378542041219496	13.0	46.0	CO764	GA762	1999.0
1999-04-14	0.8546706340606316	13.0	44.0	CO764	GA762	1999.0
1999-04-15	0.8711129083131652	10.0	36.0	CO764	GA762	1999.0
1999-04-16	0.605411933772854	9.0	26.0	CO764	GA762	1999.0
1999-04-17	-0.07738123077158214	3.0	8.0	CO764	GA762	1999.0
1999-04-18	0.9427001401083677	12.0	46.0	CO764	GA762	1999.0
1999-04-19	0.8288791688275411	11.0	36.0	CO764	GA762	1999.0
1999-04-20	0.9198314922818395	6.0	17.0	CO764	GA762	1999.0
1999-06-23	0.25858661679269407	3.0	5.0	CO764	GA762	1999.0
1999-06-24	0.4904078404077997	12.0	37.0	CO764	GA762	1999.0
1999-06-25	0.3144087018800265	12.0	39.0	CO764	GA762	1999.0
1999-06-26	0.5161888792994119	4.0	16.0	CO764	GA762	1999.0
1999-06-28	0.7417185400878437	12.0	30.0	CO764	GA762	1999.0
1999-06-30	-0.2683314371814605	4.0	11.0	CO764	GA762	1999.0
1999-07-01	0.13438376208576389	13.0	44.0	CO764	GA762	1999.0
1999-07-02	-0.34573145228380286	12.0	28.0	CO764	GA762	1999.0
1999-07-03	0.16398542914864592	12.0	30.0	CO764	GA762	1999.0
1999-07-04	0.8474745095879882	12.0	20.0	CO764	GA762	1999.0
1999-07-05	0.5361771656677984	15.0	24.0	CO764	GA762	1999.0
1999-07-06	0.722330224155398	23.0	36.0	CO764	GA762	1999.0
1999-07-07	0.440957470105973	23.0	40.0	CO764	GA762	1999.0
1999-07-08	0.6493555541036473	13.0	37.0	CO764	GA762	1999.0
1999-07-09	0.6311069530007437	12.0	34.0	CO764	GA762	1999.0
1999-07-10	0.2818335805655661	10.0	30.0	CO764	GA762	1999.0
1999-07-11	-0.14960868391247858	9.0	16.0	CO764	GA762	1999.0
1999-07-12	-1.0	2.0	2.0	CO764	GA762	1999.0
1999-07-13	0.685388753034585	12.0	42.0	CO764	GA762	1999.0
1999-07-14	-0.2728790573702433	11.0	31.0	CO764	GA762	1999.0
1999-07-17	0.6444944569187098	7.0	25.0	CO764	GA762	1999.0
1999-07-18	0.28439796655094496	13.0	48.0	CO764	GA762	1999.0
1999-07-19	0.20645189501593708	12.0	45.0	CO764	GA762	1999.0
1999-07-20	-0.1589442027385943	13.0	45.0	CO764	GA762	1999.0
1999-07-21	0.6693137614668556	12.0	39.0	CO764	GA762	1999.0
1999-07-22	0.3587451885908102	12.0	32.0	CO764	GA762	1999.0
1999-07-23	0.45599334804324243	10.0	35.0	CO764	GA762	1999.0
1999-07-24	0.5909736721298696	14.0	47.0	CO764	GA762	1999.0
1999-07-25	0.4998943504467555	15.0	48.0	CO764	GA762	1999.0
1999-07-26	0.32190001664389606	15.0	46.0	CO764	GA762	1999.0
1999-07-27	0.7673545465717033	14.0	51.0	CO764	GA762	1999.0
1999-07-28	0.190081244495029	14.0	35.0	CO764	GA762	1999.0
1999-07-29	0.673083770602446	11.0	31.0	CO764	GA762	1999.0
1999-07-30	0.8699716350381017	11.0	27.0	CO764	GA762	1999.0
1999-07-31	0.21418824260671135	11.0	36.0	CO764	GA762	1999.0
1999-08-01	0.4553518562862613	5.0	18.0	CO764	GA762	1999.0
1999-08-02		0.0	0.0	CO764	GA762	1999.0
1999-08-03		0.0	0.0	CO764	GA762	1999.0
1999-08-04		0.0	0.0	CO764	GA762	1999.0
1999-08-05		0.0	0.0	CO764	GA762	1999.0
1999-08-06		0.0	0.0	CO764	GA762	1999.0
1999-08-07		0.0	0.0	CO764	GA762	1999.0
1999-08-08		0.0	0.0	CO764	GA762	1999.0
1999-08-09		0.0	0.0	CO764	GA762	1999.0
1999-08-10		0.0	0.0	CO764	GA762	1999.0
1999-08-12		0.0	0.0	CO764	GA762	1999.0
1999-08-13		0.0	0.0	CO764	GA762	1999.0
1999-08-14		0.0	0.0	CO764	GA762	1999.0
1999-08-15		0.0	0.0	CO764	GA762	1999.0
1999-08-16		0.0	0.0	CO764	GA762	1999.0
1999-08-17		0.0	0.0	CO764	GA762	1999.0
1999-08-18		0.0	0.0	CO764	GA762	1999.0
1999-08-19		0.0	0.0	CO764	GA762	1999.0
