date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2013-01-02	0.07676331615484402	2.0	5.0	EI764	GA762	2013.0
2013-01-03	0.9555720561721208	11.0	32.0	EI764	GA762	2013.0
2013-01-04	0.9087161857468369	12.0	28.0	EI764	GA762	2013.0
2013-01-05	0.9273308780897389	16.0	35.0	EI764	GA762	2013.0
2013-01-06	0.9117039769335695	10.0	28.0	EI764	GA762	2013.0
2013-01-07	0.9715433811566321	19.0	53.0	EI764	GA762	2013.0
2013-01-08	0.9346346903567491	13.0	30.0	EI764	GA762	2013.0
2013-01-09	0.9727283599402758	10.0	30.0	EI764	GA762	2013.0
2013-01-10	0.9620683284739214	12.0	28.0	EI764	GA762	2013.0
2013-01-11	0.9590097122182102	17.0	33.0	EI764	GA762	2013.0
2013-01-12	0.9604219900406366	14.0	36.0	EI764	GA762	2013.0
2013-01-13	0.9484496058689114	19.0	50.0	EI764	GA762	2013.0
2013-01-14	0.9666082574266005	16.0	37.0	EI764	GA762	2013.0
2013-01-15	0.9894587895388149	17.0	40.0	EI764	GA762	2013.0
2013-01-16	0.9775887043229833	16.0	42.0	EI764	GA762	2013.0
2013-01-17	0.9890705900789404	12.0	32.0	EI764	GA762	2013.0
2013-01-18	0.9713661994208899	12.0	26.0	EI764	GA762	2013.0
2013-01-19	0.9589764767941799	13.0	27.0	EI764	GA762	2013.0
2013-01-20	0.9722377229136083	14.0	34.0	EI764	GA762	2013.0
2013-01-21	0.9902727589626167	20.0	46.0	EI764	GA762	2013.0
2013-01-22	0.9189355432314404	12.0	29.0	EI764	GA762	2013.0
2013-01-23	0.9486268555643551	12.0	29.0	EI764	GA762	2013.0
2013-01-24	0.946971313939851	11.0	29.0	EI764	GA762	2013.0
2013-01-25	0.8984560567970247	13.0	35.0	EI764	GA762	2013.0
2013-01-26	0.8919248775875313	8.0	14.0	EI764	GA762	2013.0
2013-01-27	0.9664582388867652	7.0	14.0	EI764	GA762	2013.0
2013-01-28	0.9778990790954211	8.0	15.0	EI764	GA762	2013.0
2013-01-29	0.9095645740117997	10.0	22.0	EI764	GA762	2013.0
2013-01-30	0.9397771755828831	11.0	23.0	EI764	GA762	2013.0
2013-01-31	0.9304847015865706	11.0	23.0	EI764	GA762	2013.0
2013-02-01	0.9538920477756951	13.0	35.0	EI764	GA762	2013.0
2013-02-02	0.9248864984237997	14.0	33.0	EI764	GA762	2013.0
2013-02-03	0.7926631903472674	11.0	29.0	EI764	GA762	2013.0
2013-02-04	0.9694456341755399	18.0	37.0	EI764	GA762	2013.0
2013-02-05	0.9583885197832718	18.0	43.0	EI764	GA762	2013.0
2013-02-06	0.9208271096602573	16.0	40.0	EI764	GA762	2013.0
2013-02-07	0.9713340781797526	15.0	39.0	EI764	GA762	2013.0
2013-02-08	0.9199448357285629	14.0	39.0	EI764	GA762	2013.0
2013-02-09	0.8760429194059244	15.0	39.0	EI764	GA762	2013.0
2013-02-10	0.9584716688860616	19.0	41.0	EI764	GA762	2013.0
2013-02-11	0.9333610685929506	15.0	40.0	EI764	GA762	2013.0
2013-02-12	0.9504090738829065	14.0	37.0	EI764	GA762	2013.0
2013-02-13	0.9440134276751075	20.0	56.0	EI764	GA762	2013.0
2013-02-14	0.9352414868361799	12.0	28.0	EI764	GA762	2013.0
2013-02-15	0.9393460475861333	14.0	34.0	EI764	GA762	2013.0
2013-02-16	0.9729794588179655	17.0	37.0	EI764	GA762	2013.0
2013-02-17	0.9432481586025199	12.0	31.0	EI764	GA762	2013.0
2013-02-18	0.9622392546388483	16.0	41.0	EI764	GA762	2013.0
2013-02-19	0.9417095550115625	15.0	38.0	EI764	GA762	2013.0
2013-02-20	0.9628635821008313	16.0	45.0	EI764	GA762	2013.0
2013-02-21	0.9400545719778022	13.0	28.0	EI764	GA762	2013.0
2013-02-22	0.9251295945767668	14.0	36.0	EI764	GA762	2013.0
2013-02-23	0.895659450350461	15.0	37.0	EI764	GA762	2013.0
2013-02-24	0.9595900684245925	16.0	41.0	EI764	GA762	2013.0
2016-12-28		0.0	0.0	EI764	GA762	2016.0
2017-01-03		1.0	1.0	EI764	GA762	2017.0
2017-01-04	0.7047004356632058	6.0	11.0	EI764	GA762	2017.0
2017-01-05	0.03053685226346381	3.0	9.0	EI764	GA762	2017.0
2017-01-06	0.6610581394944337	4.0	8.0	EI764	GA762	2017.0
2017-01-07	0.6069860125635687	2.0	6.0	EI764	GA762	2017.0
2017-01-08	0.4848728507350458	3.0	5.0	EI764	GA762	2017.0
2017-01-09	0.8433554697524467	6.0	18.0	EI764	GA762	2017.0
2017-01-10	0.8359501464892555	6.0	20.0	EI764	GA762	2017.0
2017-01-11	0.9353793784767997	6.0	19.0	EI764	GA762	2017.0
2017-01-12	0.934382922314455	10.0	27.0	EI764	GA762	2017.0
2017-01-13	0.94693918854292	10.0	32.0	EI764	GA762	2017.0
2017-01-14	0.9362711406477473	9.0	28.0	EI764	GA762	2017.0
2017-01-15	0.877187193169887	8.0	22.0	EI764	GA762	2017.0
2017-01-16	0.9173264529562719	10.0	30.0	EI764	GA762	2017.0
2017-01-17	0.9127176500122512	10.0	31.0	EI764	GA762	2017.0
2017-01-18	0.8926587129599873	7.0	19.0	EI764	GA762	2017.0
2017-01-19	0.9250207760808224	9.0	27.0	EI764	GA762	2017.0
2017-01-20	0.9522057722536736	11.0	29.0	EI764	GA762	2017.0
2017-01-21	0.8789447573903457	7.0	17.0	EI764	GA762	2017.0
2017-01-22	0.9534464960080229	9.0	25.0	EI764	GA762	2017.0
2017-01-23	0.9440765712055815	8.0	19.0	EI764	GA762	2017.0
2017-01-24	0.9092699121135477	9.0	27.0	EI764	GA762	2017.0
2017-01-25	0.9226134877706997	10.0	32.0	EI764	GA762	2017.0
2017-01-26	0.9515383506946926	11.0	23.0	EI764	GA762	2017.0
2017-01-27	0.9693744046263736	10.0	30.0	EI764	GA762	2017.0
2017-01-28	0.9475649032062123	10.0	28.0	EI764	GA762	2017.0
2017-01-29	0.9682241044608719	10.0	34.0	EI764	GA762	2017.0
2017-01-30	0.9583849430787483	11.0	36.0	EI764	GA762	2017.0
2017-01-31	0.9751097008878139	5.0	12.0	EI764	GA762	2017.0
2017-02-01	0.938636251473147	5.0	7.0	EI764	GA762	2017.0
2017-02-02	-0.8446877845160855	2.0	3.0	EI764	GA762	2017.0
2017-02-03	0.9951971468311154	2.0	3.0	EI764	GA762	2017.0
2017-02-04	0.9854025765146944	8.0	19.0	EI764	GA762	2017.0
2017-02-05	0.975100322892027	5.0	9.0	EI764	GA762	2017.0
2017-02-06	0.6678102957305305	8.0	18.0	EI764	GA762	2017.0
2017-02-07	0.9669506569710657	9.0	25.0	EI764	GA762	2017.0
2017-02-08	0.9637090562984196	12.0	40.0	EI764	GA762	2017.0
2017-02-09	0.9564240692307616	11.0	34.0	EI764	GA762	2017.0
2017-02-10	0.9792191282927519	11.0	39.0	EI764	GA762	2017.0
2017-02-11	0.5925956068952326	11.0	32.0	EI764	GA762	2017.0
2017-02-12	0.9779221324572375	10.0	28.0	EI764	GA762	2017.0
2017-02-13	0.9459371420186296	13.0	43.0	EI764	GA762	2017.0
2017-02-14	0.9408730377941287	13.0	44.0	EI764	GA762	2017.0
2017-02-15	0.955822656796466	11.0	35.0	EI764	GA762	2017.0
2017-02-16	0.9582475683193407	12.0	36.0	EI764	GA762	2017.0
2017-02-17	0.6860941052204333	12.0	38.0	EI764	GA762	2017.0
2017-02-18	0.9597690560264249	8.0	22.0	EI764	GA762	2017.0
2017-02-19	0.9124109305087978	10.0	30.0	EI764	GA762	2017.0
2017-02-20	0.9375255124368916	4.0	10.0	EI764	GA762	2017.0
2017-02-21	0.656872633897912	10.0	28.0	EI764	GA762	2017.0
2017-02-22	0.9516259412478209	14.0	33.0	EI764	GA762	2017.0
2017-02-23	0.850575807135382	12.0	29.0	EI764	GA762	2017.0
2017-02-24	0.7753093291231473	15.0	34.0	EI764	GA762	2017.0
2017-02-25	0.9503725793035613	13.0	43.0	EI764	GA762	2017.0
2017-02-26	0.9726313655393437	13.0	47.0	EI764	GA762	2017.0
2017-02-27	0.9770821869733447	17.0	49.0	EI764	GA762	2017.0
2017-02-28	0.9021194379953621	12.0	36.0	EI764	GA762	2017.0
2017-03-01	0.6923785374280168	8.0	19.0	EI764	GA762	2017.0
2017-03-02	0.9823249723771144	2.0	4.0	EI764	GA762	2017.0
2017-03-03	0.9680604380684539	8.0	21.0	EI764	GA762	2017.0
2017-03-04	0.9815242659010748	6.0	10.0	EI764	GA762	2017.0
2017-03-05	-0.9924563736170792	1.0	3.0	EI764	GA762	2017.0
2017-03-06	0.97762390522796	3.0	4.0	EI764	GA762	2017.0
2017-03-07	0.9213778052259779	4.0	6.0	EI764	GA762	2017.0
2017-03-08	0.9696193111104875	9.0	16.0	EI764	GA762	2017.0
2017-03-09	0.7432651432954361	7.0	18.0	EI764	GA762	2017.0
2017-03-10	0.4394747108878425	12.0	40.0	EI764	GA762	2017.0
2017-03-11	0.8973623225940031	13.0	43.0	EI764	GA762	2017.0
2017-03-12	0.8721864816769032	10.0	30.0	EI764	GA762	2017.0
2017-03-13	0.6997127137883573	15.0	48.0	EI764	GA762	2017.0
2017-03-14	0.9768666501082688	16.0	52.0	EI764	GA762	2017.0
2017-03-15	0.9586249013902375	17.0	53.0	EI764	GA762	2017.0
2017-03-16	0.8705615439900874	15.0	51.0	EI764	GA762	2017.0
2017-03-17	0.9251384277488593	15.0	47.0	EI764	GA762	2017.0
2017-03-18	0.9689173601848129	15.0	54.0	EI764	GA762	2017.0
2017-03-19	0.9520839496110982	17.0	60.0	EI764	GA762	2017.0
2017-03-20	0.9619466599224793	19.0	60.0	EI764	GA762	2017.0
2017-03-21	0.9195926821978984	8.0	25.0	EI764	GA762	2017.0
2017-03-22	0.8612464050192574	6.0	10.0	EI764	GA762	2017.0
2017-03-23	-0.06924837254664658	13.0	34.0	EI764	GA762	2017.0
2017-03-24	0.9589035691419296	16.0	51.0	EI764	GA762	2017.0
2017-03-25	0.9251132894813067	16.0	57.0	EI764	GA762	2017.0
2017-03-26	0.9749974878817131	18.0	65.0	EI764	GA762	2017.0
2017-03-27	0.4863173088374431	5.0	16.0	EI764	GA762	2017.0
2017-03-28	0.8536791275395905	6.0	12.0	EI764	GA762	2017.0
2017-03-29	0.8746791010298589	5.0	12.0	EI764	GA762	2017.0
2017-03-30	0.9322407479556765	6.0	9.0	EI764	GA762	2017.0
2017-03-31	-1.0	1.0	2.0	EI764	GA762	2017.0
2017-04-01	0.9122482938009975	2.0	4.0	EI764	GA762	2017.0
2017-04-02	0.8432563971876029	10.0	16.0	EI764	GA762	2017.0
