date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2010-01-23	0.9483294552275796	21.0	67.0	GM037	VT139	2010.0
2010-01-24	0.9600140536720834	22.0	68.0	GM037	VT139	2010.0
2010-01-25	0.9666239241817541	24.0	73.0	GM037	VT139	2010.0
2010-01-26	0.9509657343801474	24.0	85.0	GM037	VT139	2010.0
2010-01-27	0.8587452291456368	23.0	80.0	GM037	VT139	2010.0
2010-01-28	0.955778839900335	24.0	79.0	GM037	VT139	2010.0
2010-01-29	0.9315019610756932	14.0	51.0	GM037	VT139	2010.0
2010-01-31	0.9626496148338722	23.0	81.0	GM037	VT139	2010.0
2010-02-01	0.963693195259019	23.0	84.0	GM037	VT139	2010.0
2010-02-02	0.9688643455677105	21.0	75.0	GM037	VT139	2010.0
2010-02-03	0.960634725220694	24.0	89.0	GM037	VT139	2010.0
2010-02-04	0.9562361543366652	24.0	84.0	GM037	VT139	2010.0
2010-02-05	0.9720579176063686	23.0	85.0	GM037	VT139	2010.0
2010-02-06	0.9649602667934337	24.0	77.0	GM037	VT139	2010.0
2010-02-07	0.9633803466957428	24.0	83.0	GM037	VT139	2010.0
2010-02-08	0.9604097710471536	24.0	92.0	GM037	VT139	2010.0
2010-02-09	0.9411671268713505	23.0	77.0	GM037	VT139	2010.0
2010-02-10	0.9843397750907502	24.0	82.0	GM037	VT139	2010.0
2010-02-11	0.9448795051569374	21.0	68.0	GM037	VT139	2010.0
2010-02-12	0.975991979933025	24.0	81.0	GM037	VT139	2010.0
2010-02-13	0.9551546813350321	24.0	75.0	GM037	VT139	2010.0
2010-02-14	0.9858886343652996	24.0	77.0	GM037	VT139	2010.0
2010-02-15	0.9627296832616117	22.0	70.0	GM037	VT139	2010.0
2010-02-16	0.9770239497430926	23.0	87.0	GM037	VT139	2010.0
2010-02-17	0.9633866485911872	23.0	82.0	GM037	VT139	2010.0
2010-02-18	0.9746698515564478	23.0	67.0	GM037	VT139	2010.0
2010-02-19	0.9760928051179107	23.0	80.0	GM037	VT139	2010.0
2010-02-20	0.9730406457854321	24.0	81.0	GM037	VT139	2010.0
2010-02-21	0.9798598598893205	24.0	90.0	GM037	VT139	2010.0
2010-02-22	0.9693351117288113	21.0	79.0	GM037	VT139	2010.0
2010-02-23	0.9668337010295281	21.0	69.0	GM037	VT139	2010.0
2010-02-24	0.9773163278420935	20.0	64.0	GM037	VT139	2010.0
2010-02-25	0.9586899987064245	16.0	57.0	GM037	VT139	2010.0
2010-02-26	0.9733938820612722	24.0	87.0	GM037	VT139	2010.0
2010-02-27	0.9679033373758231	22.0	80.0	GM037	VT139	2010.0
2010-02-28	0.9763506423054465	24.0	84.0	GM037	VT139	2010.0
2010-03-01	0.9577016428332791	23.0	77.0	GM037	VT139	2010.0
2010-03-02	0.9786838300532631	22.0	73.0	GM037	VT139	2010.0
2010-03-03	0.979664741896127	23.0	76.0	GM037	VT139	2010.0
2010-03-04	0.9677782817886881	16.0	60.0	GM037	VT139	2010.0
2010-03-05	0.767510069124815	10.0	35.0	GM037	VT139	2010.0
2010-03-08		1.0	1.0	GM037	VT139	2010.0
2015-09-28	0.9835027528864795	18.0	67.0	GM037	VT139	2015.0
2015-09-29	0.8960932053299003	24.0	87.0	GM037	VT139	2015.0
2015-09-30	0.9623064481727388	24.0	91.0	GM037	VT139	2015.0
2015-10-01	0.982254219923098	24.0	87.0	GM037	VT139	2015.0
2015-10-02	0.9737106230359885	24.0	91.0	GM037	VT139	2015.0
2015-10-03	0.9800367805363768	24.0	89.0	GM037	VT139	2015.0
2015-10-04	0.8776151072565526	8.0	29.0	GM037	VT139	2015.0
2015-10-05	0.9917890066060289	9.0	33.0	GM037	VT139	2015.0
2015-10-06	0.9751646028716109	23.0	79.0	GM037	VT139	2015.0
2015-10-07	0.9402577000843715	18.0	63.0	GM037	VT139	2015.0
2015-10-08	0.9749304926835893	24.0	90.0	GM037	VT139	2015.0
2015-10-09	0.9796741103970834	19.0	69.0	GM037	VT139	2015.0
2015-10-10	0.9306783400395081	8.0	30.0	GM037	VT139	2015.0
2015-10-11		0.0	0.0	GM037	VT139	2015.0
2015-10-12	0.6975723808149985	10.0	31.0	GM037	VT139	2015.0
2015-10-13	0.9785246469700531	19.0	69.0	GM037	VT139	2015.0
2015-10-14	0.988237884980983	18.0	61.0	GM037	VT139	2015.0
2015-10-15	0.9453930701774798	17.0	61.0	GM037	VT139	2015.0
2015-10-16	0.9848938549017227	24.0	87.0	GM037	VT139	2015.0
2015-10-17	0.9918383435762601	24.0	85.0	GM037	VT139	2015.0
2015-10-18	0.9946960425610485	11.0	33.0	GM037	VT139	2015.0
2015-10-19	0.9846355841139569	15.0	46.0	GM037	VT139	2015.0
2015-10-20	0.9572349282770412	16.0	54.0	GM037	VT139	2015.0
2015-10-21	0.9346158553450663	17.0	59.0	GM037	VT139	2015.0
2015-10-22	0.9915938427015598	20.0	71.0	GM037	VT139	2015.0
2015-10-23	0.9871429723102584	15.0	51.0	GM037	VT139	2015.0
2015-10-24	0.9799563844805896	23.0	83.0	GM037	VT139	2015.0
2015-10-26	0.964506322876858	20.0	68.0	GM037	VT139	2015.0
2015-10-27	0.9560144676105983	14.0	50.0	GM037	VT139	2015.0
2015-10-28	0.9391234512420923	15.0	53.0	GM037	VT139	2015.0
2015-10-29	0.9893186894404491	15.0	51.0	GM037	VT139	2015.0
2015-10-30	0.9839860243073768	14.0	47.0	GM037	VT139	2015.0
2015-10-31	0.9553701704183766	20.0	61.0	GM037	VT139	2015.0
2015-11-01	0.9834271227035	24.0	84.0	GM037	VT139	2015.0
2015-11-02	0.9739144341483766	24.0	76.0	GM037	VT139	2015.0
2015-11-03	0.9893736150780316	17.0	61.0	GM037	VT139	2015.0
2015-11-04	0.9623125991306045	20.0	73.0	GM037	VT139	2015.0
2015-11-05	0.9664739077440981	24.0	73.0	GM037	VT139	2015.0
2015-11-06	0.9763974137336585	23.0	90.0	GM037	VT139	2015.0
2015-11-07	0.9921598798782948	23.0	79.0	GM037	VT139	2015.0
2015-11-08	0.9711278401714162	20.0	69.0	GM037	VT139	2015.0
2015-11-09	0.9842675667062115	24.0	85.0	GM037	VT139	2015.0
2015-11-10	0.981523157431513	24.0	80.0	GM037	VT139	2015.0
2015-11-11	0.973448806625467	23.0	78.0	GM037	VT139	2015.0
2015-11-12	0.9802674358495396	23.0	85.0	GM037	VT139	2015.0
2015-11-13	0.9833344901758833	24.0	85.0	GM037	VT139	2015.0
2015-11-14	0.9820274555816467	24.0	89.0	GM037	VT139	2015.0
2015-11-15	0.980384039082377	24.0	81.0	GM037	VT139	2015.0
