date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2010-02-15	0.983529876883836	23.0	23.0	GU421	HA419	2010.0
2010-02-16	0.9733137227882334	24.0	24.0	GU421	HA419	2010.0
2010-02-17	0.9614317627630312	23.0	23.0	GU421	HA419	2010.0
2010-02-18	0.9620502708333567	23.0	23.0	GU421	HA419	2010.0
2010-02-19	0.9280395138431821	24.0	24.0	GU421	HA419	2010.0
2010-02-20	0.9705261751858898	24.0	24.0	GU421	HA419	2010.0
2010-02-21	0.8187509124740863	17.0	17.0	GU421	HA419	2010.0
2010-02-22	0.958213012066458	23.0	23.0	GU421	HA419	2010.0
2010-02-23	0.9672472015313271	24.0	24.0	GU421	HA419	2010.0
2010-02-24	0.9441999111025399	24.0	24.0	GU421	HA419	2010.0
2010-02-25	0.9455134859712081	24.0	24.0	GU421	HA419	2010.0
2010-02-26	0.9707910952738744	23.0	23.0	GU421	HA419	2010.0
2010-02-27	0.8258694506779286	19.0	19.0	GU421	HA419	2010.0
2010-02-28	0.9545708750682779	24.0	24.0	GU421	HA419	2010.0
2010-03-01	0.9513917479079341	24.0	24.0	GU421	HA419	2010.0
2010-03-02	0.9460870238662492	22.0	22.0	GU421	HA419	2010.0
2010-03-03	0.9457894540115844	24.0	24.0	GU421	HA419	2010.0
2010-03-04	0.961599361514678	24.0	24.0	GU421	HA419	2010.0
2010-03-05	0.9643836891774827	23.0	23.0	GU421	HA419	2010.0
2010-03-06	0.9519735528830553	21.0	21.0	GU421	HA419	2010.0
2010-03-07	0.9221934056525225	24.0	24.0	GU421	HA419	2010.0
2010-03-08	0.9459717803809968	23.0	23.0	GU421	HA419	2010.0
2010-03-09	0.9583763522817537	22.0	22.0	GU421	HA419	2010.0
2010-03-10	0.8673197612873169	24.0	24.0	GU421	HA419	2010.0
2010-03-11	0.9654110270830465	24.0	24.0	GU421	HA419	2010.0
2010-03-12	0.9521721250408515	17.0	17.0	GU421	HA419	2010.0
2010-03-13	0.9520587911148319	19.0	19.0	GU421	HA419	2010.0
2010-03-14	0.9494434958908833	24.0	24.0	GU421	HA419	2010.0
2010-03-15	0.9505146283806758	23.0	23.0	GU421	HA419	2010.0
2010-03-16	0.8552245057847261	17.0	17.0	GU421	HA419	2010.0
2010-03-17	0.9501274812040139	24.0	24.0	GU421	HA419	2010.0
2010-03-18	0.9419989226001839	23.0	23.0	GU421	HA419	2010.0
2010-03-19	0.936418914034055	24.0	24.0	GU421	HA419	2010.0
2010-03-20	0.960890938980016	24.0	24.0	GU421	HA419	2010.0
