date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2010-01-05	0.929924958453992	14.0	36.0	JJ433	YG431	2010.0
2010-01-06	0.9015552566709316	19.0	53.0	JJ433	YG431	2010.0
2010-01-07	0.9055649117412187	19.0	58.0	JJ433	YG431	2010.0
2010-01-08	0.8769596118603588	24.0	63.0	JJ433	YG431	2010.0
2010-01-10	0.9599630454293341	2.0	4.0	JJ433	YG431	2010.0
2010-01-11	0.8644921758780155	24.0	70.0	JJ433	YG431	2010.0
2010-01-13	0.8514141138073209	17.0	51.0	JJ433	YG431	2010.0
2010-01-14	0.9390065208891568	20.0	54.0	JJ433	YG431	2010.0
2010-01-15	0.9165215271166914	22.0	68.0	JJ433	YG431	2010.0
2010-01-16	0.8280277870851693	16.0	48.0	JJ433	YG431	2010.0
2010-01-17	0.8250011084213362	22.0	63.0	JJ433	YG431	2010.0
2010-01-18	0.9347920565443391	23.0	80.0	JJ433	YG431	2010.0
2010-01-19	0.9071122095326833	18.0	48.0	JJ433	YG431	2010.0
2010-01-20	0.9448357930872856	22.0	58.0	JJ433	YG431	2010.0
2010-01-21	0.9563379753666108	17.0	57.0	JJ433	YG431	2010.0
2010-01-22	0.9819570276129079	21.0	63.0	JJ433	YG431	2010.0
2010-01-23	0.8419789993022422	23.0	67.0	JJ433	YG431	2010.0
2010-01-24	0.9456912524075362	16.0	52.0	JJ433	YG431	2010.0
2010-01-25	0.8394737859803774	18.0	52.0	JJ433	YG431	2010.0
2010-01-26	0.9169381445892351	24.0	55.0	JJ433	YG431	2010.0
2010-01-27	0.946403745312481	16.0	46.0	JJ433	YG431	2010.0
2010-01-28	0.8713464581599265	13.0	42.0	JJ433	YG431	2010.0
2010-01-29	0.9461223425430343	21.0	66.0	JJ433	YG431	2010.0
2010-01-30	0.9099303927656894	24.0	69.0	JJ433	YG431	2010.0
2010-01-31	0.9612778186650921	17.0	46.0	JJ433	YG431	2010.0
2010-02-01	0.9596140871154506	20.0	45.0	JJ433	YG431	2010.0
2010-02-02	0.9500134335666828	15.0	46.0	JJ433	YG431	2010.0
2010-02-03	0.9608789933780064	21.0	68.0	JJ433	YG431	2010.0
2010-02-04	0.914079893318295	18.0	55.0	JJ433	YG431	2010.0
2010-02-05	0.9738880673804404	17.0	49.0	JJ433	YG431	2010.0
2010-02-06	0.9439128027673919	19.0	61.0	JJ433	YG431	2010.0
2010-02-07	0.9403846060440032	22.0	66.0	JJ433	YG431	2010.0
2010-02-08	0.9472212949932042	21.0	61.0	JJ433	YG431	2010.0
2010-02-09	0.9705339877287733	18.0	57.0	JJ433	YG431	2010.0
2010-02-18	0.831319369044108	14.0	32.0	JJ433	YG431	2010.0
2010-02-19	0.9664565154255588	24.0	75.0	JJ433	YG431	2010.0
2010-02-20	0.9263236146709236	22.0	62.0	JJ433	YG431	2010.0
2010-02-21	0.9411203606698935	23.0	80.0	JJ433	YG431	2010.0
2010-02-22	0.9501099321132102	22.0	65.0	JJ433	YG431	2010.0
2010-02-23	0.9756564164486197	24.0	66.0	JJ433	YG431	2010.0
2010-02-24	0.9695616258748009	21.0	49.0	JJ433	YG431	2010.0
2010-02-25	0.8973378381830895	21.0	56.0	JJ433	YG431	2010.0
2010-02-26		0.0	0.0	JJ433	YG431	2010.0
2010-03-02	0.9518892699695871	23.0	70.0	JJ433	YG431	2010.0
2010-03-03	0.9646593112497964	24.0	60.0	JJ433	YG431	2010.0
2010-03-04	0.9636192651207264	18.0	51.0	JJ433	YG431	2010.0
2010-03-05	0.7603131272457229	20.0	59.0	JJ433	YG431	2010.0
2010-03-06	0.989135590021451	22.0	66.0	JJ433	YG431	2010.0
2010-03-07	0.9777577957264678	23.0	69.0	JJ433	YG431	2010.0
2010-03-08	0.9644923327635655	24.0	82.0	JJ433	YG431	2010.0
2010-03-09	0.935776289198846	23.0	82.0	JJ433	YG431	2010.0
2010-03-10	0.9656739994429553	24.0	77.0	JJ433	YG431	2010.0
2010-03-11	0.9493048918521646	23.0	76.0	JJ433	YG431	2010.0
2010-03-12	0.9342951885746317	21.0	51.0	JJ433	YG431	2010.0
2010-03-13	0.9332008601348478	24.0	78.0	JJ433	YG431	2010.0
2010-03-14	0.9587983992850043	23.0	74.0	JJ433	YG431	2010.0
2010-03-15	0.9378995901667604	24.0	63.0	JJ433	YG431	2010.0
2010-03-16	0.7202842870117031	7.0	21.0	JJ433	YG431	2010.0
2010-03-18	0.8364414077705137	12.0	30.0	JJ433	YG431	2010.0
2010-03-19	0.9595197807181108	23.0	72.0	JJ433	YG431	2010.0
2010-03-20	0.9309079717227002	24.0	78.0	JJ433	YG431	2010.0
2010-03-21	0.9596159000714592	24.0	79.0	JJ433	YG431	2010.0
2010-03-22	0.9224018654460482	15.0	38.0	JJ433	YG431	2010.0
2010-03-23	0.9529054089038798	24.0	79.0	JJ433	YG431	2010.0
2010-03-24	0.9679720208571924	18.0	51.0	JJ433	YG431	2010.0
2010-03-25	0.9484587805562356	24.0	74.0	JJ433	YG431	2010.0
2010-03-26	0.9393268323780664	24.0	79.0	JJ433	YG431	2010.0
2010-03-27	0.9442060542010198	24.0	71.0	JJ433	YG431	2010.0
2010-03-28	0.973485921046524	24.0	72.0	JJ433	YG431	2010.0
2010-03-29	0.9242276342551308	24.0	82.0	JJ433	YG431	2010.0
2010-03-30	0.9012230073112005	20.0	61.0	JJ433	YG431	2010.0
2010-03-31	0.900263435353547	21.0	44.0	JJ433	YG431	2010.0
2010-04-01	0.957991127807865	20.0	35.0	JJ433	YG431	2010.0
2010-04-02	0.9819713384889507	16.0	47.0	JJ433	YG431	2010.0
2010-04-03	0.9257219116357656	24.0	82.0	JJ433	YG431	2010.0
2010-04-04	0.8922522130430914	17.0	58.0	JJ433	YG431	2010.0
2010-04-05	0.9311964740828155	24.0	69.0	JJ433	YG431	2010.0
2010-04-06	0.9054079081424398	15.0	40.0	JJ433	YG431	2010.0
2010-04-07	0.9471932162829289	19.0	54.0	JJ433	YG431	2010.0
2010-04-08	0.9279340632006833	20.0	56.0	JJ433	YG431	2010.0
2010-04-09	0.9695102440912559	20.0	49.0	JJ433	YG431	2010.0
2010-04-10	0.9846222869637813	16.0	46.0	JJ433	YG431	2010.0
