date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2002-09-29	0.7989625911010798	24.0	88.0	NQJ61	SMJ67	2002.0
2002-09-30	0.5106170309581504	13.0	40.0	NQJ61	SMJ67	2002.0
2002-10-01	0.34398084767958786	3.0	4.0	NQJ61	SMJ67	2002.0
2002-10-02	0.1360038903212538	4.0	6.0	NQJ61	SMJ67	2002.0
2002-10-03	0.11303793526532148	7.0	14.0	NQJ61	SMJ67	2002.0
2002-10-04	0.31622707014772766	6.0	9.0	NQJ61	SMJ67	2002.0
2002-10-05	0.7614828208708657	10.0	17.0	NQJ61	SMJ67	2002.0
2002-10-06	0.7561241565161272	17.0	50.0	NQJ61	SMJ67	2002.0
2002-10-07	0.1936595220088915	11.0	24.0	NQJ61	SMJ67	2002.0
2002-10-08	0.7222369175811459	6.0	9.0	NQJ61	SMJ67	2002.0
2002-10-09	-0.1882070471793747	11.0	23.0	NQJ61	SMJ67	2002.0
2002-10-10	0.482755256806419	18.0	36.0	NQJ61	SMJ67	2002.0
2002-10-11	0.703287591479113	19.0	43.0	NQJ61	SMJ67	2002.0
2002-10-12	0.6665235653314937	21.0	58.0	NQJ61	SMJ67	2002.0
2002-10-13	0.8240722786695104	18.0	49.0	NQJ61	SMJ67	2002.0
2002-10-14	0.41990165953830433	14.0	33.0	NQJ61	SMJ67	2002.0
2002-10-15	0.8570788112628521	18.0	38.0	NQJ61	SMJ67	2002.0
2002-10-16	0.7946630585925955	22.0	59.0	NQJ61	SMJ67	2002.0
2002-10-17	0.5606128077324204	22.0	63.0	NQJ61	SMJ67	2002.0
2002-10-18	0.7444464673401763	24.0	71.0	NQJ61	SMJ67	2002.0
2002-10-19	0.6255270235397984	20.0	64.0	NQJ61	SMJ67	2002.0
2002-10-20	0.729844509058397	22.0	81.0	NQJ61	SMJ67	2002.0
2002-10-21	0.7122678543537643	24.0	88.0	NQJ61	SMJ67	2002.0
2002-10-22	0.7931749979174892	24.0	92.0	NQJ61	SMJ67	2002.0
2002-10-23	0.773628825314109	24.0	94.0	NQJ61	SMJ67	2002.0
2002-10-24	0.5156478747342698	18.0	49.0	NQJ61	SMJ67	2002.0
2002-10-25	0.4130182478800946	16.0	41.0	NQJ61	SMJ67	2002.0
2002-10-26	0.7868704801996568	17.0	51.0	NQJ61	SMJ67	2002.0
2002-10-27	0.7026843138753146	18.0	46.0	NQJ61	SMJ67	2002.0
2002-10-28	0.48587488837651205	19.0	59.0	NQJ61	SMJ67	2002.0
2002-10-29	0.7711285848294203	22.0	69.0	NQJ61	SMJ67	2002.0
2002-10-30	-0.08594315602474148	3.0	11.0	NQJ61	SMJ67	2002.0
2002-10-31	-0.03749541836982192	4.0	12.0	NQJ61	SMJ67	2002.0
2002-11-01	0.8350654098264488	22.0	72.0	NQJ61	SMJ67	2002.0
2002-11-02	0.31309609452669374	21.0	60.0	NQJ61	SMJ67	2002.0
2002-11-03	0.5923648730552703	20.0	48.0	NQJ61	SMJ67	2002.0
2002-11-04	0.3791842478379683	19.0	53.0	NQJ61	SMJ67	2002.0
2002-11-05	0.39522706608120955	16.0	49.0	NQJ61	SMJ67	2002.0
2002-11-06	0.6639629792812568	17.0	48.0	NQJ61	SMJ67	2002.0
2002-11-07	0.8572650698153506	20.0	65.0	NQJ61	SMJ67	2002.0
2002-11-08	0.8534630512264698	21.0	80.0	NQJ61	SMJ67	2002.0
2002-11-09	0.9273048318858468	24.0	93.0	NQJ61	SMJ67	2002.0
2002-11-10	0.8053062228327563	22.0	80.0	NQJ61	SMJ67	2002.0
2002-11-11	0.8241797027674366	24.0	91.0	NQJ61	SMJ67	2002.0
2002-11-12	0.8282892399524141	24.0	81.0	NQJ61	SMJ67	2002.0
2002-11-13	0.6251311311629	24.0	82.0	NQJ61	SMJ67	2002.0
2004-11-21	0.6317050175846677	21.0	61.0	NQJ61	SMJ67	2004.0
2004-11-22	0.7044508483898116	18.0	55.0	NQJ61	SMJ67	2004.0
2004-11-23	0.6923011467695174	21.0	68.0	NQJ61	SMJ67	2004.0
2004-11-24	0.7615615588648477	24.0	68.0	NQJ61	SMJ67	2004.0
2004-11-25	-0.01534355161843133	14.0	40.0	NQJ61	SMJ67	2004.0
2004-11-26	-0.02027782371721341	16.0	40.0	NQJ61	SMJ67	2004.0
2004-11-27	0.43579110295221374	20.0	60.0	NQJ61	SMJ67	2004.0
2004-11-28	-0.2167004722668489	18.0	53.0	NQJ61	SMJ67	2004.0
2004-11-29	-0.1215915481841118	20.0	67.0	NQJ61	SMJ67	2004.0
2004-11-30	0.4542666560321359	21.0	59.0	NQJ61	SMJ67	2004.0
2004-12-01	0.8690708867178768	18.0	54.0	NQJ61	SMJ67	2004.0
2004-12-02	0.8635337768488566	19.0	71.0	NQJ61	SMJ67	2004.0
2004-12-03	0.8688332057662901	24.0	84.0	NQJ61	SMJ67	2004.0
2004-12-04	0.8557781015566074	23.0	79.0	NQJ61	SMJ67	2004.0
2004-12-05	0.7851349725020299	22.0	70.0	NQJ61	SMJ67	2004.0
2004-12-06	0.29220364673735777	17.0	49.0	NQJ61	SMJ67	2004.0
2004-12-07	0.11155947355840594	13.0	30.0	NQJ61	SMJ67	2004.0
2004-12-08	0.6102288586589454	18.0	50.0	NQJ61	SMJ67	2004.0
2004-12-09	0.7388004043056302	22.0	53.0	NQJ61	SMJ67	2004.0
2004-12-10	0.23461327413756763	16.0	37.0	NQJ61	SMJ67	2004.0
2004-12-11	0.21453353925355578	16.0	34.0	NQJ61	SMJ67	2004.0
2004-12-12	0.07383766416496426	14.0	41.0	NQJ61	SMJ67	2004.0
2004-12-13	0.22469846960407205	15.0	51.0	NQJ61	SMJ67	2004.0
2004-12-14	0.642620419914398	20.0	57.0	NQJ61	SMJ67	2004.0
2004-12-15	0.1830150413118118	21.0	61.0	NQJ61	SMJ67	2004.0
