date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2010-01-05	0.9264742365035183	12.0	28.0	OK426	YG431	2010.0
2010-01-06	0.9021632337263373	15.0	46.0	OK426	YG431	2010.0
2010-01-07	0.8853320791833753	17.0	51.0	OK426	YG431	2010.0
2010-01-08	0.858409283015181	22.0	52.0	OK426	YG431	2010.0
2010-01-10	0.9966288998878916	2.0	4.0	OK426	YG431	2010.0
2010-01-11	0.7682261203837026	23.0	55.0	OK426	YG431	2010.0
2010-01-13	0.9082100319311951	17.0	46.0	OK426	YG431	2010.0
2010-01-14	0.8354721380173867	19.0	51.0	OK426	YG431	2010.0
2010-01-15	0.7748891395372361	21.0	59.0	OK426	YG431	2010.0
2010-01-16	0.8027067057922851	18.0	54.0	OK426	YG431	2010.0
2010-01-17	0.5712859650610256	22.0	61.0	OK426	YG431	2010.0
2010-01-18	0.8856971118724821	23.0	80.0	OK426	YG431	2010.0
2010-01-19	0.8621978613813234	17.0	45.0	OK426	YG431	2010.0
2010-01-20	0.9236166332025255	19.0	53.0	OK426	YG431	2010.0
2010-01-21	0.950382889820437	17.0	59.0	OK426	YG431	2010.0
2010-01-22	0.8952008871729119	19.0	56.0	OK426	YG431	2010.0
2010-01-23	0.7818916595324941	23.0	74.0	OK426	YG431	2010.0
2010-01-24	0.7681235956253067	16.0	50.0	OK426	YG431	2010.0
2010-01-25	0.8742158875792083	19.0	50.0	OK426	YG431	2010.0
2010-01-26	0.7431392230327201	23.0	49.0	OK426	YG431	2010.0
2010-01-27	0.779072254453268	16.0	49.0	OK426	YG431	2010.0
2010-01-28	0.8584763839399379	12.0	42.0	OK426	YG431	2010.0
2010-01-29	0.8812068783675937	22.0	61.0	OK426	YG431	2010.0
2010-01-30	0.8735074018090688	23.0	73.0	OK426	YG431	2010.0
2010-01-31	0.9403792853771568	18.0	50.0	OK426	YG431	2010.0
2010-02-01	0.9564901550427762	20.0	48.0	OK426	YG431	2010.0
2010-02-02	0.8465639569165342	15.0	47.0	OK426	YG431	2010.0
2010-02-03	0.9184511525401042	21.0	65.0	OK426	YG431	2010.0
2010-02-04	0.9219359536884129	18.0	57.0	OK426	YG431	2010.0
2010-02-05	0.9158281046390326	16.0	47.0	OK426	YG431	2010.0
2010-02-06	0.8675113919649265	18.0	57.0	OK426	YG431	2010.0
2010-02-07	0.808562568489621	22.0	62.0	OK426	YG431	2010.0
2010-02-08	0.9015715058626245	20.0	59.0	OK426	YG431	2010.0
2010-02-09	0.9259489561042861	23.0	84.0	OK426	YG431	2010.0
2010-02-10	0.7965042387440754	20.0	47.0	OK426	YG431	2010.0
2010-02-11	0.8831641706915979	24.0	83.0	OK426	YG431	2010.0
2010-02-12	0.9223390539459991	23.0	62.0	OK426	YG431	2010.0
2010-02-13	0.9154684700158815	21.0	64.0	OK426	YG431	2010.0
2010-02-14	0.7166525794612678	21.0	62.0	OK426	YG431	2010.0
2010-02-15	0.9202768120796331	24.0	85.0	OK426	YG431	2010.0
2010-02-16	0.8669496356975339	24.0	75.0	OK426	YG431	2010.0
2010-02-17	0.8819003833586595	24.0	77.0	OK426	YG431	2010.0
2010-02-18	0.773157988018531	19.0	58.0	OK426	YG431	2010.0
2010-02-19	0.8207433144293309	24.0	78.0	OK426	YG431	2010.0
2010-02-20	0.9024613928076706	22.0	58.0	OK426	YG431	2010.0
2010-02-21	0.8251125294735182	23.0	79.0	OK426	YG431	2010.0
2010-02-22	0.9123106579080208	22.0	68.0	OK426	YG431	2010.0
2010-02-23	0.9387043511022625	24.0	65.0	OK426	YG431	2010.0
2010-02-24	0.8221147881158387	20.0	57.0	OK426	YG431	2010.0
2010-02-25	0.8264051967018822	21.0	59.0	OK426	YG431	2010.0
2010-02-26	0.8664355100717729	22.0	42.0	OK426	YG431	2010.0
2010-02-27	0.7468872730628602	22.0	66.0	OK426	YG431	2010.0
2010-02-28	0.887664155702301	20.0	48.0	OK426	YG431	2010.0
2010-03-01	0.9036790351000648	20.0	58.0	OK426	YG431	2010.0
2010-03-02	0.8815812589440695	24.0	78.0	OK426	YG431	2010.0
2010-03-03	0.9239468653921333	24.0	59.0	OK426	YG431	2010.0
2010-03-04	0.9432668041749939	17.0	53.0	OK426	YG431	2010.0
2010-03-05	0.7129989691793276	19.0	58.0	OK426	YG431	2010.0
2010-03-06	0.9031772579642041	24.0	70.0	OK426	YG431	2010.0
2010-03-07	0.9711398945411095	24.0	72.0	OK426	YG431	2010.0
2010-03-08	0.871137130493883	24.0	80.0	OK426	YG431	2010.0
2010-03-09	0.8582362908719962	23.0	80.0	OK426	YG431	2010.0
2010-03-10	0.9360686019367228	24.0	76.0	OK426	YG431	2010.0
2010-03-11	0.9102159552210907	23.0	75.0	OK426	YG431	2010.0
2010-03-12	0.913745839528589	21.0	55.0	OK426	YG431	2010.0
2010-03-13	0.9307308540411454	24.0	77.0	OK426	YG431	2010.0
2010-03-14	0.9035475285819285	22.0	66.0	OK426	YG431	2010.0
2010-03-15	0.9030972969046199	24.0	66.0	OK426	YG431	2010.0
2010-03-16	0.8899532151179843	21.0	49.0	OK426	YG431	2010.0
2010-03-17	0.8294789837442713	21.0	60.0	OK426	YG431	2010.0
2010-03-18	0.780533311389788	18.0	57.0	OK426	YG431	2010.0
2010-03-19	0.8484448845615588	23.0	74.0	OK426	YG431	2010.0
2010-03-20	0.9075619586097702	24.0	82.0	OK426	YG431	2010.0
2010-03-21	0.9181709484169992	24.0	79.0	OK426	YG431	2010.0
2010-03-22	0.6963515165193289	16.0	40.0	OK426	YG431	2010.0
2010-03-23	0.9218509717331467	24.0	78.0	OK426	YG431	2010.0
2010-03-24	0.8570510433721799	18.0	51.0	OK426	YG431	2010.0
2010-03-25	0.8582896938079113	24.0	81.0	OK426	YG431	2010.0
2010-03-26	0.82639436104774	24.0	83.0	OK426	YG431	2010.0
2010-03-27	0.9528313232485647	24.0	74.0	OK426	YG431	2010.0
2010-03-28	0.9565426493629383	24.0	75.0	OK426	YG431	2010.0
2010-03-29	0.8859956146629953	24.0	77.0	OK426	YG431	2010.0
2010-03-30	0.8545208490857646	19.0	61.0	OK426	YG431	2010.0
2010-03-31	0.8883411153194606	21.0	45.0	OK426	YG431	2010.0
2010-04-01	0.845635451205008	20.0	35.0	OK426	YG431	2010.0
2010-04-02	0.8756212023363769	13.0	42.0	OK426	YG431	2010.0
2010-04-03	0.8865598942562894	21.0	71.0	OK426	YG431	2010.0
2010-04-04	0.8617403315357639	21.0	66.0	OK426	YG431	2010.0
2010-04-05	0.9173208157748507	23.0	70.0	OK426	YG431	2010.0
2010-04-06	0.9040345865915819	15.0	40.0	OK426	YG431	2010.0
2010-04-07	0.9062184486820489	19.0	59.0	OK426	YG431	2010.0
2010-04-08	0.9015686066008279	19.0	58.0	OK426	YG431	2010.0
2010-04-09	0.9336956227343275	19.0	51.0	OK426	YG431	2010.0
2010-04-10	0.9341601266847211	22.0	62.0	OK426	YG431	2010.0
2010-04-11	0.8651108211878608	15.0	49.0	OK426	YG431	2010.0
2010-04-12	0.8533095553002283	21.0	47.0	OK426	YG431	2010.0
2010-04-13	0.9182963441136777	19.0	58.0	OK426	YG431	2010.0
2010-04-14	0.8615209494596864	19.0	50.0	OK426	YG431	2010.0
2010-04-15	0.9669718726399292	19.0	49.0	OK426	YG431	2010.0
2010-04-16	0.919850483176144	24.0	71.0	OK426	YG431	2010.0
2010-04-17	0.7362699465122408	21.0	53.0	OK426	YG431	2010.0
2010-04-18	0.7402694024694513	19.0	44.0	OK426	YG431	2010.0
2010-04-19	0.8496764861057423	17.0	42.0	OK426	YG431	2010.0
