date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2019-08-02	0.9353059250743144	19.0	64.0	RA041	VT139	2019.0
2019-08-03	0.9358183933073343	21.0	63.0	RA041	VT139	2019.0
2019-08-04	0.9297313059356694	21.0	66.0	RA041	VT139	2019.0
2019-08-05	0.943788819705383	19.0	51.0	RA041	VT139	2019.0
2019-08-06	0.8876934263917294	17.0	46.0	RA041	VT139	2019.0
2019-08-07	0.8565528616224253	17.0	50.0	RA041	VT139	2019.0
2019-08-08	0.9692283829142777	17.0	51.0	RA041	VT139	2019.0
2019-08-09	0.7298887201672456	14.0	42.0	RA041	VT139	2019.0
2019-08-10	0.9510824656754806	22.0	67.0	RA041	VT139	2019.0
2019-08-11	0.8744897455543654	15.0	47.0	RA041	VT139	2019.0
2019-08-12	0.9612079111160717	14.0	34.0	RA041	VT139	2019.0
2019-08-13	0.9525786672788297	17.0	38.0	RA041	VT139	2019.0
2019-08-14	0.9479293719639487	21.0	56.0	RA041	VT139	2019.0
2019-08-15	0.7974560125385088	21.0	54.0	RA041	VT139	2019.0
2019-08-16	0.9133206586775172	18.0	53.0	RA041	VT139	2019.0
2019-08-17	0.9426078551229475	19.0	52.0	RA041	VT139	2019.0
2019-08-18	0.9438291688184702	21.0	57.0	RA041	VT139	2019.0
2019-08-19	0.8550357689449936	20.0	59.0	RA041	VT139	2019.0
2019-08-20	0.9268255145244911	19.0	58.0	RA041	VT139	2019.0
2019-08-21	0.9328752733537694	23.0	69.0	RA041	VT139	2019.0
2019-08-22	0.9535407556138684	23.0	76.0	RA041	VT139	2019.0
2019-08-23	0.9330583540291805	20.0	65.0	RA041	VT139	2019.0
2019-08-24	0.7697956461902601	14.0	37.0	RA041	VT139	2019.0
2019-08-25	0.8896077472034853	17.0	42.0	RA041	VT139	2019.0
2019-08-26	0.9434432220037808	11.0	40.0	RA041	VT139	2019.0
2019-08-27	0.8956159168874216	17.0	41.0	RA041	VT139	2019.0
2019-08-28	0.8438018637153148	15.0	46.0	RA041	VT139	2019.0
2019-08-29	0.943672458910031	21.0	55.0	RA041	VT139	2019.0
2019-08-30	0.8983303753424289	21.0	57.0	RA041	VT139	2019.0
2019-08-31	0.9323569807530234	21.0	40.0	RA041	VT139	2019.0
2019-09-01	0.9825187102407223	18.0	58.0	RA041	VT139	2019.0
2019-09-02	0.9279712448329738	22.0	64.0	RA041	VT139	2019.0
2019-09-03	0.969920201198286	24.0	90.0	RA041	VT139	2019.0
2019-09-04	0.9303245445034045	24.0	89.0	RA041	VT139	2019.0
2019-09-05	0.9661415666942341	22.0	70.0	RA041	VT139	2019.0
2019-09-06	0.9624334568853641	24.0	67.0	RA041	VT139	2019.0
2019-09-07	0.9030106963176546	21.0	56.0	RA041	VT139	2019.0
2019-09-08	0.901153424647824	15.0	36.0	RA041	VT139	2019.0
2019-09-09	0.9160289836775783	20.0	50.0	RA041	VT139	2019.0
2019-09-10	0.9252303588226246	24.0	74.0	RA041	VT139	2019.0
2019-09-11	0.9603666539970853	24.0	80.0	RA041	VT139	2019.0
2019-09-12	0.9687640530188119	23.0	87.0	RA041	VT139	2019.0
2019-09-13	0.9369317942229894	22.0	68.0	RA041	VT139	2019.0
2019-09-14	0.9601345367038122	21.0	74.0	RA041	VT139	2019.0
2019-09-15	0.9368798168365711	23.0	76.0	RA041	VT139	2019.0
2019-09-16	0.9207579966549263	22.0	67.0	RA041	VT139	2019.0
2019-09-17	0.9422717924857759	24.0	91.0	RA041	VT139	2019.0
2019-09-18	0.9744107006098837	23.0	80.0	RA041	VT139	2019.0
2019-09-19	0.9780558469898082	20.0	66.0	RA041	VT139	2019.0
2019-09-20	0.9495229226714326	22.0	80.0	RA041	VT139	2019.0
2019-09-21	0.9574883662450572	23.0	79.0	RA041	VT139	2019.0
2019-09-22	0.9497508606899091	24.0	91.0	RA041	VT139	2019.0
2019-09-23	0.9482196705013552	24.0	89.0	RA041	VT139	2019.0
2019-09-24	0.9634637785333244	23.0	85.0	RA041	VT139	2019.0
2019-09-25	0.9687350601066085	24.0	88.0	RA041	VT139	2019.0
2019-09-26	0.9537479270232383	24.0	95.0	RA041	VT139	2019.0
2019-09-27	0.9485076226156531	22.0	84.0	RA041	VT139	2019.0
2019-09-28	0.936463628616814	23.0	68.0	RA041	VT139	2019.0
2019-09-29	0.9636671785454278	23.0	85.0	RA041	VT139	2019.0
2019-09-30	0.9559831120239758	24.0	81.0	RA041	VT139	2019.0
2019-10-01	0.9699199364283184	24.0	92.0	RA041	VT139	2019.0
2019-10-02	0.9470197700075657	24.0	86.0	RA041	VT139	2019.0
2019-10-03	0.9641758791477305	24.0	90.0	RA041	VT139	2019.0
2019-10-04	0.9489724489057991	24.0	91.0	RA041	VT139	2019.0
2019-10-05	0.9557204711314121	24.0	91.0	RA041	VT139	2019.0
