sonde1	sonde2	date	foF2_corr	foF2_n_hours	foF2_total_time_points	year
VT139	RO041	2015-09-28	0.984584203257943	24	80	2015
VT139	RO041	2015-09-29	0.989834966990409	24	78	2015
VT139	RO041	2015-09-30	0.971074918021233	24	84	2015
VT139	RO041	2015-10-01	0.981830011439723	24	80	2015
VT139	RO041	2015-10-02	0.956597810571415	24	81	2015
VT139	RO041	2015-10-03	0.982660279754684	24	83	2015
VT139	RO041	2015-10-04	0.957181823953083	24	87	2015
VT139	RO041	2015-10-05	0.965538194628263	24	85	2015
VT139	RO041	2015-10-06	0.97511468120006	24	84	2015
VT139	RO041	2015-10-07	0.933838314141063	22	70	2015
VT139	RO041	2015-10-08	0.953089560965215	24	80	2015
VT139	RO041	2015-10-09	0.952581752091217	19	66	2015
VT139	RO041	2015-10-10	0.940590725518212	20	68	2015
VT139	RO041	2015-10-11	0.977181055168101	24	84	2015
VT139	RO041	2015-10-12	0.971158621511568	24	84	2015
VT139	RO041	2015-10-13	0.965414333967665	24	82	2015
VT139	RO041	2015-10-14	0.981185519354237	23	79	2015
VT139	RO041	2015-10-15	0.948364738971481	24	83	2015
VT139	RO041	2015-10-16	0.975432098470251	24	79	2015
VT139	RO041	2015-10-17	0.612571172984763	6	22	2015
VT139	RO041	2015-10-19	0.988749394880688	16	47	2015
VT139	RO041	2015-10-20	0.988112225749958	24	77	2015
VT139	RO041	2015-10-21	0.959630471588975	23	80	2015
VT139	RO041	2015-10-22	0.983339287024308	24	79	2015
VT139	RO041	2015-10-23	0.978076253577126	21	71	2015
VT139	RO041	2015-10-24	0.981139917576833	24	85	2015
VT139	RO041	2015-10-26	0.984410735985446	24	83	2015
VT139	RO041	2015-10-27	0.953165600623919	24	85	2015
VT139	RO041	2015-10-28	0.988530232793221	24	86	2015
VT139	RO041	2015-10-29	0.984755785149713	24	84	2015
VT139	RO041	2015-10-30	0.971397697761599	17	59	2015
VT139	RO041	2015-10-31	0.946198380614661	20	61	2015
VT139	RO041	2015-11-01	0.980890730029828	24	87	2015
VT139	RO041	2015-11-02	0.987286179148001	20	62	2015
VT139	RO041	2015-11-03	0.99459379440255	10	34	2015
VT139	RO041	2015-11-04	0.962062847198629	19	70	2015
VT139	RO041	2015-11-05	0.968769280610375	23	68	2015
VT139	RO041	2015-11-06	0.964442589409805	24	92	2015
VT139	RO041	2015-11-07	0.98388781034417	24	73	2015
VT139	RO041	2015-11-08	0.970995195627893	21	71	2015
VT139	RO041	2015-11-09	0.974907833575739	22	77	2015
VT139	RO041	2015-11-10	0.98311609766276	24	83	2015
VT139	RO041	2015-11-11	0.971395223733103	23	73	2015
VT139	RO041	2015-11-12	0.982243738089936	22	74	2015
VT139	RO041	2015-11-13	0.983407753192226	24	85	2015
VT139	RO041	2015-11-14	0.979780177265327	24	85	2015
VT139	RO041	2015-11-15	0.981853387008156	24	82	2015
VT139	RO041	2015-11-16	0.990477604363272	24	87	2015
VT139	RO041	2015-11-17	0.978842843082269	15	52	2015
VT139	RO041	2015-11-18	0.987233938184726	15	43	2015
VT139	RO041	2015-11-23	0.976404698650444	10	34	2015
VT139	RO041	2015-11-24	0.967243807961426	24	80	2015
VT139	RO041	2015-11-25	0.967085256838008	24	84	2015
VT139	RO041	2015-11-26	0.947960699798915	24	83	2015
VT139	RO041	2015-11-27	0.974915867393421	24	83	2015
VT139	RO041	2015-11-28	0.925472528417636	16	50	2015
VT139	RO041	2015-11-29	0.963816603101746	20	65	2015
VT139	RO041	2015-11-30	0.970660691468967	24	88	2015
VT139	RO041	2015-12-01	0.97461600346362	24	83	2015
VT139	RO041	2015-12-02	0.945034430271157	24	79	2015
VT139	RO041	2015-12-03	0.941731712871016	24	75	2015
VT139	RO041	2015-12-04	0.952436203183576	24	84	2015
VT139	RO041	2015-12-05	0.940608261359142	24	79	2015
VT139	RO041	2015-12-06	0.960020306615578	24	89	2015
VT139	RO041	2015-12-07	0.896891316339878	24	74	2015
VT139	RO041	2015-12-08	0.975580773383738	24	86	2015
VT139	RO041	2015-12-09	0.961284469955077	18	59	2015
VT139	RO041	2015-12-10	0.955479775017933	20	68	2015
VT139	RO041	2015-12-11	0.985575988330934	24	85	2015
VT139	RO041	2015-12-12	0.972360119446684	24	82	2015
VT139	RO041	2015-12-13	0.983061119853435	22	79	2015
VT139	RO041	2015-12-14	0.966133135973138	24	80	2015
VT139	RO041	2015-12-15	0.970209720253649	24	82	2015
VT139	RO041	2015-12-16	0.968830598849091	24	88	2015
VT139	RO041	2015-12-17	0.957478581016065	24	86	2015
VT139	RO041	2015-12-18	0.940999510683258	23	70	2015
VT139	RO041	2015-12-19	0.944428610798556	24	83	2015
VT139	RO041	2015-12-20	0.970244595119333	24	91	2015
VT139	RO041	2015-12-21	0.924924829644198	21	65	2015
VT139	RO041	2015-12-22	0.949825516911321	19	51	2015
VT139	RO041	2015-12-23	0.985133105161255	19	54	2015
VT139	RO041	2015-12-24	0.977125211775436	23	79	2015
VT139	RO041	2015-12-25	0.950390316792511	23	75	2015
VT139	RO041	2015-12-26	0.919791833963378	21	62	2015
VT139	RO041	2015-12-27	0.953428811494974	20	68	2015
VT139	RO041	2015-12-28	0.969258117221156	22	71	2015
VT139	RO041	2015-12-29	0.943635129145202	24	86	2015
VT139	RO041	2015-12-30	0.960867496496424	24	86	2015
VT139	RO041	2015-12-31	0.965486067593086	24	85	2015
VT139	RO041	2016-01-01	0.96405380464661	24	78	2016
VT139	RO041	2016-01-02	0.957522544921972	24	78	2016
VT139	RO041	2016-01-03	0.94399682986539	24	75	2016
VT139	RO041	2016-01-04	0.900311763309741	23	66	2016
VT139	RO041	2016-01-05	0.932649674513049	24	69	2016
VT139	RO041	2016-01-06	0.966137734729634	24	85	2016
YG431	JJ433	2015-09-25	0.950930334687807	22	75	2015
YG431	JJ433	2015-09-26	0.950772567467899	24	67	2015
YG431	JJ433	2015-09-27	0.938800149031262	24	69	2015
YG431	JJ433	2015-09-28	0.945407294446942	21	66	2015
YG431	JJ433	2015-09-29	0.972906321776015	23	74	2015
YG431	JJ433	2015-09-30	0.961191054762718	24	82	2015
YG431	JJ433	2015-10-01	0.937605279648762	24	71	2015
YG431	JJ433	2015-10-02	0.944547832374844	23	72	2015
YG431	JJ433	2015-10-03	0.965873102835916	24	81	2015
YG431	JJ433	2015-10-04	0.971239912768882	24	78	2015
YG431	JJ433	2015-10-05	0.970865378899188	23	74	2015
YG431	JJ433	2015-10-06	0.974715800932921	24	75	2015
YG431	JJ433	2015-10-07	0.950930583005351	22	65	2015
YG431	JJ433	2015-10-08	0.954349747079574	20	56	2015
YG431	JJ433	2015-10-09	0.947278463867015	21	71	2015
YG431	JJ433	2015-10-10	0.968926057499093	23	74	2015
YG431	JJ433	2015-10-11	0.95591236556048	24	81	2015
YG431	JJ433	2015-10-12	0.952921758179562	22	71	2015
YG431	JJ433	2015-10-13	0.963691437796813	24	82	2015
YG431	JJ433	2015-10-14	0.972207183246756	24	77	2015
YG431	JJ433	2015-10-15	0.979682685931647	24	89	2015
YG431	JJ433	2015-10-16	0.966443389866765	24	72	2015
YG431	JJ433	2015-10-17	0.958296015307177	24	73	2015
YG431	JJ433	2015-10-18	0.952191791763115	21	70	2015
YG431	JJ433	2015-10-19	0.957216943390928	22	77	2015
YG431	JJ433	2015-10-20	0.898278981534334	22	72	2015
YG431	JJ433	2015-10-21	0.966843403949069	24	79	2015
YG431	JJ433	2015-10-22	0.959450590528127	24	71	2015
YG431	JJ433	2015-10-23	0.956886657878431	23	72	2015
YG431	JJ433	2015-10-24	0.95540088402573	23	73	2015
YG431	JJ433	2015-10-25	0.876991341146969	20	63	2015
YG431	JJ433	2015-10-26	0.956914001790255	21	64	2015
YG431	JJ433	2015-10-27	0.972955307552462	21	64	2015
YG431	JJ433	2015-10-28	0.956592074450077	23	74	2015
YG431	JJ433	2015-10-29	0.95834861973212	24	81	2015
YG431	JJ433	2015-10-30	0.962552693514383	22	68	2015
YG431	JJ433	2015-10-31	0.950884201181344	22	82	2015
YG431	JJ433	2015-11-01	0.934971049705085	23	74	2015
YG431	JJ433	2015-11-02	0.968613938470009	23	79	2015
YG431	JJ433	2015-11-03	0.946757809646645	19	63	2015
YG431	JJ433	2015-11-04	0.96454007784985	20	57	2015
YG431	JJ433	2015-11-05	0.960237320292866	24	68	2015
YG431	JJ433	2015-11-06	0.499251683629663	9	32	2015
YG431	JJ433	2015-11-09	0.937309861155199	17	47	2015
YG431	JJ433	2015-11-10	0.956088954161937	21	67	2015
YG431	JJ433	2015-11-11	0.948983651390798	22	64	2015
YG431	JJ433	2015-11-12	0.970000958799426	24	76	2015
YG431	JJ433	2015-11-13	0.919391336725257	23	78	2015
YG431	JJ433	2015-11-14	0.961016741772558	23	72	2015
YG431	JJ433	2015-11-15	0.971217025891302	23	79	2015
YG431	JJ433	2015-11-16	0.934954731850785	22	73	2015
YG431	JJ433	2015-11-17	0.96876361653654	24	70	2015
YG431	JJ433	2015-11-18	0.968968120944547	23	67	2015
YG431	JJ433	2015-11-19	0.954091705747403	23	73	2015
YG431	JJ433	2015-11-20	0.954270651877604	24	81	2015
YG431	JJ433	2015-11-21	0.950222149962153	23	72	2015
YG431	JJ433	2015-11-22	0.952108192309244	24	77	2015
YG431	JJ433	2015-11-23	0.941665596036603	24	72	2015
YG431	JJ433	2015-11-24	0.966871229798171	20	65	2015
YG431	JJ433	2015-11-25	0.961586377670678	24	84	2015
YG431	JJ433	2015-11-26	0.942420056148925	23	80	2015
YG431	JJ433	2015-11-27	0.975656986128663	24	83	2015
YG431	JJ433	2015-11-28	0.971099068011727	24	75	2015
YG431	JJ433	2015-11-29	0.95789408307858	24	85	2015
YG431	JJ433	2015-11-30	0.976028021915132	23	75	2015
YG431	JJ433	2015-12-01	0.97689908290448	23	75	2015
YG431	JJ433	2015-12-02	0.970589604798337	23	70	2015
YG431	JJ433	2015-12-03	0.960079888047572	19	61	2015
YG431	JJ433	2015-12-04	0.968366212127418	24	78	2015
YG431	JJ433	2015-12-05	0.930623811995597	21	75	2015
YG431	JJ433	2015-12-06	0.939679896825975	22	61	2015
YG431	JJ433	2015-12-07	0.938699409057012	20	53	2015
YG431	JJ433	2015-12-08	0.965757331185148	24	72	2015
YG431	JJ433	2015-12-09	0.966381863335381	22	71	2015
YG431	JJ433	2015-12-10	0.97444729177837	24	87	2015
YG431	JJ433	2015-12-11	0.944371224522973	19	64	2015
YG431	JJ433	2015-12-12	0.923344012245814	22	73	2015
YG431	JJ433	2015-12-13	0.924875394047692	24	78	2015
YG431	JJ433	2015-12-14	0.946657921056033	23	84	2015
YG431	JJ433	2015-12-15	0.958514817043238	24	69	2015
YG431	JJ433	2015-12-16	0.961152469946172	24	84	2015
YG431	JJ433	2015-12-17	0.915235492865013	22	79	2015
YG431	JJ433	2015-12-18	0.951849456145338	24	82	2015
YG431	JJ433	2015-12-19	0.947933788330245	24	74	2015
YG431	JJ433	2015-12-20	0.945993143530063	23	75	2015
YG431	JJ433	2015-12-21	0.928385223088337	24	76	2015
YG431	JJ433	2015-12-22	0.949326472544762	22	63	2015
YG431	JJ433	2015-12-23	0.964964797746764	10	36	2015
YG431	JJ433	2015-12-24	0.974616599022321	22	69	2015
YG431	JJ433	2015-12-25	0.968184670387991	21	66	2015
YG431	JJ433	2015-12-26	0.951438673843324	24	91	2015
YG431	JJ433	2015-12-27	0.918224212934578	24	76	2015
YG431	JJ433	2015-12-28	0.933782050992635	20	66	2015
YG431	JJ433	2015-12-29	0.957740881184849	21	66	2015
YG431	JJ433	2015-12-30	0.914547880035824	24	74	2015
YG431	JJ433	2015-12-31	0.846546623277305	15	56	2015
YG431	JJ433	2016-01-01	0.93785700687126	20	65	2016
YG431	JJ433	2016-01-02	0.949863645919676	21	68	2016
YG431	JJ433	2016-01-03	0.947981316535692	24	85	2016
YG431	OK426	2015-09-25	0.912267211430618	19	65	2015
YG431	OK426	2015-09-26	0.8841258879158	17	49	2015
YG431	OK426	2015-09-27	0.901303558183148	17	54	2015
YG431	OK426	2015-09-28	0.869922971804854	17	56	2015
YG431	OK426	2015-09-29	0.905551105248665	20	61	2015
YG431	OK426	2015-09-30	0.800401631827402	20	59	2015
YG431	OK426	2015-10-01	0.892631478266155	19	59	2015
YG431	OK426	2015-10-02	0.931495198740426	22	67	2015
YG431	OK426	2015-10-03	0.965668620545451	21	71	2015
YG431	OK426	2015-10-04	0.882841291272337	19	56	2015
YG431	OK426	2015-10-05	0.887320561680981	21	60	2015
YG431	OK426	2015-10-06	0.928235230637837	20	70	2015
YG431	OK426	2015-10-07	0.922548262037841	20	60	2015
YG431	OK426	2015-10-08	0.961460688554262	19	45	2015
YG431	OK426	2015-10-09	0.950910338831896	22	72	2015
YG431	OK426	2015-10-10	0.922750244934922	20	62	2015
YG431	OK426	2015-10-11	0.845113108414156	18	57	2015
YG431	OK426	2015-10-12	0.900982287235792	16	55	2015
YG431	OK426	2015-10-13	0.914986298445209	22	67	2015
YG431	OK426	2015-10-14	0.962448499549232	21	64	2015
YG431	OK426	2015-10-15	0.969353130287547	22	75	2015
YG431	OK426	2015-10-16	0.934839424976467	19	61	2015
YG431	OK426	2015-10-17	0.928763003023467	21	66	2015
YG431	OK426	2015-10-18	0.88122372691271	19	63	2015
YG431	OK426	2015-10-19	0.789225653036216	19	63	2015
YG431	OK426	2015-10-20	0.835701565954586	19	62	2015
YG431	OK426	2015-10-21	0.809108698337945	18	58	2015
YG431	OK426	2015-10-22	0.879297198508869	22	63	2015
YG431	OK426	2015-10-23	0.940240586075819	18	55	2015
YG431	OK426	2015-10-24	0.878746197390772	17	58	2015
YG431	OK426	2015-10-25	0.889384161581329	17	56	2015
YG431	OK426	2015-10-26	0.911454534127841	16	55	2015
YG431	OK426	2015-10-27	0.805399488699245	19	56	2015
YG431	OK426	2015-10-28	0.915625067174216	20	60	2015
YG431	OK426	2015-10-29	0.797115864522709	20	59	2015
YG431	OK426	2015-10-30	0.925217608410376	20	60	2015
YG431	OK426	2015-10-31	0.762770238206961	23	74	2015
YG431	OK426	2015-11-01	0.590838761210771	18	55	2015
YG431	OK426	2015-11-02	0.818583400601037	19	60	2015
YG431	OK426	2015-11-03	0.831047121666614	18	56	2015
YG431	OK426	2015-11-04	0.858246332061087	17	47	2015
YG431	OK426	2015-11-05	0.869489360146998	20	57	2015
YG431	OK426	2015-11-06	0.636048397692043	9	33	2015
YG431	OK426	2015-11-09	0.83230571625923	12	33	2015
YG431	OK426	2015-11-10	0.93811501688358	21	61	2015
YG431	OK426	2015-11-11	0.917654922366338	19	56	2015
YG431	OK426	2015-11-12	0.950202521455124	21	67	2015
YG431	OK426	2015-11-13	0.814680962208777	20	61	2015
YG431	OK426	2015-11-14	0.929855986334282	21	63	2015
YG431	OK426	2015-11-15	0.85670429009665	21	67	2015
YG431	OK426	2015-11-16	0.851387503082603	18	59	2015
YG431	OK426	2015-11-17	0.904286622984971	21	60	2015
YG431	OK426	2015-11-18	0.896014104310317	19	52	2015
YG431	OK426	2015-11-19	0.899402278930368	20	66	2015
YG431	OK426	2015-11-20	0.877502472090389	22	67	2015
YG431	OK426	2015-11-21	0.832262592706683	21	60	2015
YG431	OK426	2015-11-22	0.846775799148433	19	62	2015
YG431	OK426	2015-11-23	0.890913189642311	22	63	2015
YG431	OK426	2015-11-24	0.805164739117056	16	56	2015
YG431	OK426	2015-11-25	0.933601161101889	17	37	2015
YG431	OK426	2015-11-26	0.88370108093964	21	63	2015
YG431	OK426	2015-11-27	0.885002077228258	18	59	2015
YG431	OK426	2015-11-28	0.910145799931056	20	59	2015
YG431	OK426	2015-11-29	0.923075227242626	21	69	2015
YG431	OK426	2015-11-30	0.907669315375761	20	58	2015
YG431	OK426	2015-12-01	0.894456146964354	19	65	2015
YG431	OK426	2015-12-02	0.870868293925992	19	57	2015
YG431	OK426	2015-12-03	0.92537871518273	18	55	2015
YG431	OK426	2015-12-04	0.92083393048335	22	65	2015
YG431	OK426	2015-12-05	0.917742121234547	20	65	2015
YG431	OK426	2015-12-06	0.935193199900739	18	44	2015
YG431	OK426	2015-12-07	0.920661162121121	18	50	2015
YG431	OK426	2015-12-08	0.891108499580345	22	62	2015
YG431	OK426	2015-12-09	0.913389842665864	22	59	2015
YG431	OK426	2015-12-10	0.936463272646903	20	57	2015
YG431	OK426	2015-12-11	0.904884402383394	18	54	2015
YG431	OK426	2015-12-12	0.866631899208655	20	63	2015
YG431	OK426	2015-12-13	0.833535493597614	18	60	2015
YG431	OK426	2015-12-14	0.910115743111633	21	65	2015
YG431	OK426	2015-12-15	0.906139029816935	19	48	2015
YG431	OK426	2015-12-16	0.891592541546974	22	68	2015
YG431	OK426	2015-12-17	0.855785217089377	19	62	2015
YG431	OK426	2015-12-18	0.895183561951807	21	57	2015
YG431	OK426	2015-12-19	0.935208902606554	20	61	2015
YG431	OK426	2015-12-20	0.820842828956264	18	49	2015
