sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
9429	2009	2009-12-11	0	0	3.9		
9429	2009	2009-12-11	1	0	4.6		
9429	2009	2009-12-11	2	0	5.2		
9429	2009	2009-12-11	3	0	5.0		
9429	2009	2009-12-11	4	0	5.4		
9429	2009	2009-12-11	5	0	6.5		
9429	2009	2009-12-11	6	0	5.7		
9429	2009	2009-12-11	7	0	5.7		
9429	2009	2009-12-11	8	0	6.1		
9429	2009	2009-12-11	9	0	4.9		
9429	2009	2009-12-11	10	0	5.0		
9429	2009	2009-12-11	11	0	4.0		
9429	2009	2009-12-11	12	0	2.6		
9429	2009	2009-12-11	13	0	2.2		
9429	2009	2009-12-11	14	0	2.9		
9429	2009	2009-12-11	15	0	2.1		
9429	2009	2009-12-11	16	0	2.3		
9429	2009	2009-12-11	17	0	2.5		
9429	2009	2009-12-11	22	0	3.0		
9429	2009	2009-12-11	23	0	1.9		
9429	2009	2009-12-12	0	0	4.0	3.9	1.0
9429	2009	2009-12-12	1	0	4.5	4.6	1.0
9429	2009	2009-12-12	2	0	4.4	5.2	1.0
9429	2009	2009-12-12	3	0	4.9	5.0	1.0
9429	2009	2009-12-12	4	0	6.2	5.4	1.0
9429	2009	2009-12-12	5	0	6.0	6.5	1.0
9429	2009	2009-12-12	6	0	6.2	5.7	1.0
9429	2009	2009-12-12	7	0	5.2	5.7	1.0
9429	2009	2009-12-12	8	0	4.8	6.1	1.0
9429	2009	2009-12-12	9	0	4.4	4.9	1.0
9429	2009	2009-12-12	10	0	4.4	5.0	1.0
9429	2009	2009-12-12	11	0	3.1	4.0	1.0
9429	2009	2009-12-12	12	0	2.4	2.6	1.0
9429	2009	2009-12-12	13	0	2.6	2.2	1.0
9429	2009	2009-12-12	14	0	2.1	2.9	1.0
9429	2009	2009-12-12	16	0	2.1	2.3	1.0
9429	2009	2009-12-12	22	0	1.9	3.0	1.0
9429	2009	2009-12-12	23	0	1.7	1.9	1.0
9429	2009	2009-12-13	0	0	4.3	3.95	2.0
9429	2009	2009-12-13	1	0	5.3	4.55	2.0
9429	2009	2009-12-13	2	0	5.6	4.800000000000001	2.0
9429	2009	2009-12-13	3	0	5.5	4.95	2.0
9429	2009	2009-12-13	4	0	5.1	5.800000000000001	2.0
9429	2009	2009-12-13	5	0	6.5	6.25	2.0
9429	2009	2009-12-13	6	0	5.9	5.95	2.0
9429	2009	2009-12-13	7	0	5.2	5.45	2.0
9429	2009	2009-12-13	8	0	4.8	5.449999999999999	2.0
9429	2009	2009-12-13	9	0	4.6	4.65	2.0
9429	2009	2009-12-13	10	0	4.3	4.7	2.0
9429	2009	2009-12-13	11	0	4.2	3.55	2.0
9429	2009	2009-12-13	12	0	2.9	2.5	2.0
9429	2009	2009-12-13	13	0	3.0	2.4000000000000004	2.0
9429	2009	2009-12-13	14	0	2.2	2.5	2.0
9429	2009	2009-12-13	15	0	2.0	2.1	1.0
9429	2009	2009-12-13	16	0	2.1	2.2	2.0
9429	2009	2009-12-13	17	0	2.4	2.5	1.0
9429	2009	2009-12-13	18	0	2.4		
9429	2009	2009-12-13	19	0	2.5		
9429	2009	2009-12-13	20	0	2.5		
9429	2009	2009-12-13	21	0	2.8		
9429	2009	2009-12-13	22	0	2.1	2.45	2.0
9429	2009	2009-12-13	23	0	2.0	1.7999999999999998	2.0
9429	2009	2009-12-14	0	0	4.6	4.066666666666666	3.0
9429	2009	2009-12-14	1	0	3.0	4.8	3.0
9429	2009	2009-12-14	2	0	3.0	5.066666666666667	3.0
9429	2009	2009-12-14	3	0	3.0	5.133333333333334	3.0
9429	2009	2009-12-14	4	0	3.4	5.566666666666667	3.0
9429	2009	2009-12-14	5	0	2.1	6.333333333333333	3.0
9429	2009	2009-12-14	6	0	2.1	5.933333333333334	3.0
