sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
AN438	2000	2000-06-17	0	0	8.25		
AN438	2000	2000-06-17	1	0	7.05		
AN438	2000	2000-06-17	2	0	7.325		
AN438	2000	2000-06-17	3	0	7.603		
AN438	2000	2000-06-17	4	0	8.15		
AN438	2000	2000-06-17	5	0	7.75		
AN438	2000	2000-06-17	6	0	7.35		
AN438	2000	2000-06-17	7	0	8.05		
AN438	2000	2000-06-17	8	0	8.95		
AN438	2000	2000-06-17	9	0	9.05		
AN438	2000	2000-06-17	10	0	8.683		
AN438	2000	2000-06-17	11	0	9.15		
AN438	2000	2000-06-17	12	0	9.42		
AN438	2000	2000-06-17	13	0	9.568		
AN438	2000	2000-06-17	14	0	9.501		
AN438	2000	2000-06-17	15	0	9.901		
AN438	2000	2000-06-17	16	0	9.925		
AN438	2000	2000-06-17	17	0	9.488		
AN438	2000	2000-06-17	18	0	9.25		
AN438	2000	2000-06-17	19	0	8.95		
AN438	2000	2000-06-17	20	0	8.95		
AN438	2000	2000-06-17	21	0	8.959		
AN438	2000	2000-06-17	22	0	9.25		
AN438	2000	2000-06-17	23	0	8.95		
AN438	2000	2000-06-18	0	0	8.85	8.25	1.0
AN438	2000	2000-06-18	1	0	9.05	7.05	1.0
AN438	2000	2000-06-18	2	0	9.35	7.325	1.0
AN438	2000	2000-06-18	3	0	9.45	7.603	1.0
AN438	2000	2000-06-18	4	0	8.75	8.15	1.0
AN438	2000	2000-06-18	5	0	9.15	7.75	1.0
AN438	2000	2000-06-18	6	0	9.15	7.35	1.0
AN438	2000	2000-06-18	7	0	8.85	8.05	1.0
AN438	2000	2000-06-18	8	0	8.75	8.95	1.0
AN438	2000	2000-06-18	9	0	8.782	9.05	1.0
AN438	2000	2000-06-18	10	0	9.85	8.683	1.0
AN438	2000	2000-06-18	11	0	9.75	9.15	1.0
AN438	2000	2000-06-18	12	0	999.9	9.42	1.0
AN438	2000	2000-06-18	13	0	9.15	9.568	1.0
AN438	2000	2000-06-18	14	0	9.241	9.501	1.0
AN438	2000	2000-06-18	15	0	9.15	9.901	1.0
